team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
91,/team/91/derby-county/240002,24,2,2023-09-22,Derby County,60,League One,3.0,14,England,67,66,66,67,3311.0,Molton Road (Sheldon Stadium),14,1,10.0,,10000000.0,29.45,26.04,193849.0,193849.0,193849.0,193849.0,193849.0,193849.0,193849.0,193849.0,Balanced,51.0,51.0,,,,,,Fast build up,Forward runs,71.0,5.0,3.0,3.0,,,,,,,,
4,/team/4/bolton-wanderers/240002,24,2,2023-09-22,Bolton Wanderers,60,League One,3.0,14,England,66,67,65,65,491.0,Sanderson Park (FIFA 13 NEW generic),1917,1,10.0,,6000000.0,26.27,25.68,212090.0,235807.0,235807.0,235807.0,221705.0,220039.0,231951.0,235807.0,Press after possession loss,51.0,51.0,,,,,,Slow build up,Possession,71.0,5.0,3.0,3.0,,,,,,,,
89,/team/89/charlton-athletic/240002,24,2,2023-09-22,Charlton Athletic,60,League One,3.0,14,England,66,62,66,65,37559807.0,Forest Park Stadium (Square Ground),97,1,9.0,,6500000.0,23.45,23.43,225769.0,237332.0,225769.0,237332.0,237332.0,237332.0,240331.0,230864.0,Balanced,61.0,51.0,,,,,,Slow build up,Possession,61.0,3.0,3.0,3.0,,,,,,,,
1793,/team/1793/reading/240002,24,2,2023-09-22,Reading,60,League One,3.0,14,England,66,59,65,64,37684524.0,Molton Road (Sheldon Stadium),1951,1,6.0,,7000000.0,23.82,23.14,258522.0,265789.0,265789.0,265789.0,265789.0,263101.0,265789.0,265789.0,Balanced,41.0,41.0,,,,,,Long ball,Direct passing,51.0,3.0,3.0,3.0,,,,,,,,
1926,/team/1926/blackpool/240002,24,2,2023-09-22,Blackpool,60,League One,3.0,14,England,66,66,65,66,2823538.0,Molton Road (Sheldon Stadium),1801,1,8.0,,8000000.0,25.27,24.71,250810.0,245761.0,245761.0,245761.0,245761.0,238990.0,245761.0,245761.0,Pressure on heavy touch,51.0,51.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
1932,/team/1932/barnsley/240002,24,2,2023-09-22,Barnsley,60,League One,3.0,14,England,66,64,67,63,1752.0,Forest Park Stadium (Square Ground),1794,1,8.0,,7200000.0,24.0,23.43,237415.0,243842.0,243842.0,243842.0,243842.0,206134.0,236247.0,243842.0,Pressure on heavy touch,51.0,51.0,,,,,,Fast build up,Forward runs,71.0,3.0,3.0,3.0,,,,,,,,
1790,/team/1790/portsmouth/240002,24,2,2023-09-22,Portsmouth,60,League One,3.0,14,England,65,70,64,66,3428.0,Fratton Park,17,1,9.0,,4500000.0,26.55,24.15,196916.0,196916.0,196916.0,196916.0,196916.0,221692.0,196916.0,240865.0,Pressure on heavy touch,51.0,61.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
1917,/team/1917/wigan-athletic/240002,24,2,2023-09-22,Wigan Athletic,60,League One,3.0,14,England,65,67,63,64,1334.0,Ivy Lane,4,1,7.0,,9800000.0,24.0,23.73,240673.0,235347.0,247731.0,240673.0,235347.0,204217.0,247731.0,235347.0,Balanced,61.0,41.0,,,,,,Long ball,Direct passing,61.0,5.0,3.0,3.0,,,,,,,,
1933,/team/1933/wycombe-wanderers/240002,24,2,2023-09-22,Wycombe Wanderers,60,League One,3.0,14,England,65,64,65,64,7464.0,Court Lane,1935,1,7.0,,5500000.0,26.0,25.85,205015.0,239119.0,239119.0,239119.0,239119.0,179746.0,203138.0,239119.0,Press after possession loss,61.0,51.0,,,,,,Balanced,Balanced,71.0,5.0,3.0,3.0,,,,,,,,
1938,/team/1938/peterborough-united/240002,24,2,2023-09-22,Peterborough United,60,League One,3.0,14,England,65,71,65,65,455607.0,Court Lane,1944,1,8.0,,6800000.0,22.55,21.72,236784.0,200779.0,240605.0,200779.0,200779.0,200779.0,240605.0,240605.0,Balanced,61.0,61.0,,,,,,Balanced,Balanced,61.0,6.0,3.0,3.0,,,,,,,,
