player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
263371,/player/263371/tommy-leigh/240002,24.0,2.0,2023-09-22,T. Leigh,Tommy Leigh,"ST, CAM, CM",64,70,925000.0,3000.0,23,2000-04-13,185,75,110313.0,Accrington Stanley,61.0,League Two,4.0,CAM,18.0,,2021-07-10,2024.0,14,England,,,,Right,3,3,1,Medium/High,Lean (185+),No,1800000.0,,Long Throw,69.0,63.0,60.0,64.0,53.0,71.0,56,63,60,64,54,64,55,53,60,63,67,70,65,63,65,64,70,83,70,61,58,52,64,61,65,59.0,45,58,52,6,6,12,15,13,,64+2,64+2,64+2,63,64,64,64,63,63+2,63+2,63+2,64+2,63+2,63+2,63+2,64+2,61+2,60+2,60+2,60+2,61+2,60+2,58+2,58+2,58+2,60+2,16+2
191108,/player/191108/sean-mcconville/240002,24.0,2.0,2023-09-22,S. McConville,Sean Joseph McConville,"LM, LWB",64,64,275000.0,3000.0,34,1989-03-06,180,74,110313.0,Accrington Stanley,61.0,League Two,4.0,RES,11.0,,2015-07-01,2024.0,14,England,,,,Right,4,3,1,High/Medium,Stocky (170-185),No,481000.0,,"Dead Ball, Long Ball Pass, Whipped Cross",63.0,59.0,64.0,62.0,56.0,66.0,66,57,42,62,57,62,69,68,63,61,63,63,62,62,68,63,54,81,62,60,59,56,60,62,62,65.0,58,58,55,11,9,12,10,9,,59+2,59+2,59+2,62,61,61,61,62,61+2,61+2,61+2,63+1,62+2,62+2,62+2,63+1,62+2,61+2,61+2,61+2,62+2,61+2,57+2,57+2,57+2,61+2,16+2
238410,/player/238410/liam-coyle/240002,24.0,2.0,2023-09-22,L. Coyle,Liam Coyle,"CDM, CM",63,67,625000.0,2000.0,23,1999-12-06,175,67,110313.0,Accrington Stanley,61.0,League Two,4.0,RDM,6.0,,2021-07-05,2024.0,35,Northern Ireland,,,,Right,3,2,1,Low/High,Normal (170-185),No,1100000.0,,Intercept,61.0,50.0,56.0,62.0,60.0,69.0,49,48,54,63,43,59,42,41,58,58,60,62,78,58,84,58,61,71,62,48,87,60,51,56,56,54.0,60,62,61,11,13,5,12,8,,55+2,55+2,55+2,57,56,56,56,57,58+2,58+2,58+2,58+2,59+2,59+2,59+2,58+2,60+2,62+2,62+2,62+2,60+2,60+2,62+2,62+2,62+2,60+2,16+2
231145,/player/231145/joe-pritchard/240002,24.0,2.0,2023-09-22,J. Pritchard,Joe Cameron Pritchard,"RM, LM, CM",63,63,525000.0,3000.0,26,1996-09-10,174,66,110313.0,Accrington Stanley,61.0,League Two,4.0,SUB,10.0,,2019-07-01,2024.0,14,England,,,,Right,3,3,1,High/Medium,Normal (170-185),No,919000.0,,,72.0,59.0,61.0,65.0,57.0,61.0,62,57,54,61,53,63,64,59,56,62,74,71,77,59,81,63,64,69,58,64,59,56,55,63,54,62.0,57,58,57,8,6,9,10,11,,60+2,60+2,60+2,63,61,61,61,63,62+1,62+1,62+1,62+1,60+2,60+2,60+2,62+1,61+2,59+2,59+2,59+2,61+2,61+2,58+2,58+2,58+2,61+2,14+2
167512,/player/167512/shaun-whalley/240002,24.0,2.0,2023-09-22,S. Whalley,Shaun James Whalley,"RM, ST",62,62,160000.0,2000.0,35,1987-08-07,176,67,110313.0,Accrington Stanley,61.0,League Two,4.0,RM,7.0,,2022-07-04,2024.0,14,England,,,,Right,3,3,1,High/High,Normal (170-185),No,280000.0,,"Chip Shot, Rapid",66.0,60.0,58.0,65.0,51.0,54.0,61,60,55,58,57,63,50,56,54,60,68,65,79,64,81,64,60,63,54,59,41,57,60,59,57,61.0,45,53,49,12,16,15,10,10,,61+1,61+1,61+1,62,61,61,61,62,61+1,61+1,61+1,61+1,59+2,59+2,59+2,61+1,58+2,55+2,55+2,55+2,58+2,57+2,53+2,53+2,53+2,57+2,18+2
187782,/player/187782/seamus-conneely/240002,24.0,2.0,2023-09-22,S. Conneely,Séamus Joseph Conneely,"CDM, CM",62,62,140000.0,2000.0,34,1988-07-09,175,68,110313.0,Accrington Stanley,61.0,League Two,4.0,LDM,28.0,,2015-01-01,2024.0,25,Republic of Ireland,,,,Right,3,2,1,Medium/High,Normal (170-185),No,245000.0,,,35.0,49.0,56.0,59.0,61.0,66.0,51,46,58,62,40,56,40,42,59,61,36,34,57,59,68,57,57,55,69,46,72,61,55,57,52,62.0,62,61,58,15,14,13,12,14,,54+2,54+2,54+2,53,54,54,54,53,55+2,55+2,55+2,54+2,58+2,58+2,58+2,54+2,56+2,61+1,61+1,61+1,56+2,56+2,61+1,61+1,61+1,56+2,19+2
251165,/player/251165/toby-savin/240002,24.0,2.0,2023-09-22,T. Savin,Toby Savin,GK,61,68,575000.0,1000.0,22,2001-05-04,194,84,110313.0,Accrington Stanley,61.0,League Two,4.0,GK,1.0,,2019-06-19,2024.0,14,England,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,1100000.0,,,,,,,,,13,18,13,43,11,16,13,11,49,25,46,43,42,58,44,48,58,33,59,11,30,23,10,55,57,46.0,16,12,12,62,58,64,60,62,45.0,29+2,29+2,29+2,29,30,30,30,29,34+2,34+2,34+2,31+2,35+2,35+2,35+2,31+2,27+2,32+2,32+2,32+2,27+2,26+2,26+2,26+2,26+2,26+2,60+2
245213,/player/245213/baba-fernandes/240002,24.0,2.0,2023-09-22,Baba Fernandes,Baba Fernandes,CB,61,66,450000.0,2000.0,23,2000-03-07,188,82,110313.0,Accrington Stanley,61.0,League Two,4.0,SUB,15.0,,2022-08-08,2024.0,119,Guinea Bissau,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,821000.0,,,49.0,29.0,38.0,42.0,60.0,69.0,36,25,63,46,29,35,32,27,39,46,47,51,44,53,57,43,70,53,79,24,63,57,30,29,37,45.0,59,62,60,15,14,13,11,13,,42+2,42+2,42+2,39,39,39,39,39,39+2,39+2,39+2,40+2,42+2,42+2,42+2,40+2,51+2,53+2,53+2,53+2,51+2,53+2,61+2,61+2,61+2,53+2,18+2
244985,/player/244985/rosaire-longelo/240002,24.0,2.0,2023-09-22,R. Longelo,Rosaire Longelo-Mbule,"LM, RM, LB",61,65,475000.0,2000.0,23,1999-10-20,184,72,110313.0,Accrington Stanley,61.0,League Two,4.0,SUB,14.0,,2022-01-07,2024.0,14,England,,,,Left,3,3,1,High/Medium,Normal (170-185),No,867000.0,,,82.0,51.0,54.0,63.0,47.0,57.0,61,52,41,54,40,63,57,48,47,59,83,82,76,55,73,59,62,61,60,48,42,47,49,51,42,55.0,45,52,48,6,8,12,10,11,,56+2,56+2,56+2,60,58,58,58,60,57+2,57+2,57+2,60+2,54+2,54+2,54+2,60+2,57+2,51+2,51+2,51+2,57+2,56+2,50+2,50+2,50+2,56+2,14+2
276436,/player/276436/brad-hills/240002,24.0,2.0,2023-09-22,B. Hills,Brad Hills,CB,60,73,550000.0,3000.0,19,2004-03-10,188,79,110313.0,Accrington Stanley,61.0,League Two,4.0,LCB,5.0,Norwich City,,2024.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,,,,62.0,25.0,37.0,42.0,59.0,68.0,28,19,57,50,29,37,30,16,48,42,65,60,52,56,50,40,70,62,72,23,64,58,21,23,33,46.0,60,60,59,13,6,12,14,13,,40+2,40+2,40+2,39,38,38,38,39,39+2,39+2,39+2,41+2,43+2,43+2,43+2,41+2,53+2,54+2,54+2,54+2,53+2,55+2,60+2,60+2,60+2,55+2,16+2
256786,/player/256786/josh-andrews/240002,24.0,2.0,2023-09-22,J. Andrews,Josh Andrews,ST,60,69,550000.0,2000.0,21,2001-10-16,196,90,110313.0,Accrington Stanley,61.0,League Two,4.0,ST,19.0,Birmingham City,,2024.0,14,England,,,,Right,2,2,1,High/Low,Stocky (185+),No,,,,66.0,58.0,43.0,53.0,20.0,68.0,28,61,58,53,41,53,37,38,33,56,64,68,53,55,37,61,76,58,83,54,42,12,60,52,58,56.0,16,18,14,13,6,6,15,6,,60+2,60+2,60+2,54,57,57,57,54,55+2,55+2,55+2,53+2,48+2,48+2,48+2,53+2,38+2,37+2,37+2,37+2,38+2,36+2,37+2,37+2,37+2,36+2,15+2
