player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
192450,/player/192450/andy-cook/240002,24.0,2.0,2023-09-22,A. Cook,Andrew Ellis Cook,ST,66,66,700000.0,7000.0,32,1990-10-18,185,89,1804.0,Bradford City,61.0,League Two,4.0,ST,9.0,,2021-07-01,2026.0,14,England,,,,Right,4,3,1,Low/Low,Stocky (185+),No,1200000.0,#Strength,"Power Header, Bruiser, Press Proven, Aerial",54.0,65.0,53.0,60.0,28.0,84.0,40,67,68,59,64,59,58,40,53,63,52,55,45,65,68,69,87,70,91,59,85,23,68,58,60,63.0,22,26,25,11,11,10,7,10,,66,66,66,59,62,62,62,59,60+2,60+2,60+2,59+2,57+2,57+2,57+2,59+2,45+2,48+2,48+2,48+2,45+2,43+2,47+2,47+2,47+2,43+2,16+2
222096,/player/222096/harry-lewis/240002,24.0,2.0,2023-09-22,H. Lewis,Harry Lewis,GK,65,71,875000.0,4000.0,25,1997-12-20,191,77,1804.0,Bradford City,61.0,League Two,4.0,GK,1.0,,2022-07-01,2024.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (185+),Yes,1700000.0,,,,,,,,,18,18,16,45,14,30,18,20,47,35,60,51,42,60,45,49,67,29,60,15,23,23,12,46,28,58.0,25,20,14,65,63,65,64,65,56.0,33+2,33+2,33+2,34,35,35,35,34,37+2,37+2,37+2,36+2,37+2,37+2,37+2,36+2,31+2,34+2,34+2,34+2,31+2,30+2,30+2,30+2,30+2,30+2,64+2
200806,/player/200806/richard-smallwood/240002,24.0,2.0,2023-09-22,R. Smallwood,Richard Smallwood,"CDM, CM",65,65,475000.0,5000.0,32,1990-12-29,180,72,1804.0,Bradford City,61.0,League Two,4.0,RCM,6.0,,2022-07-01,2024.0,14,England,,,,Right,2,2,1,Medium/High,Normal (170-185),No,831000.0,,"Long Ball Pass, Intercept, Slide Tackle",51.0,54.0,62.0,56.0,61.0,76.0,59,53,60,64,49,51,63,57,62,61,50,52,57,63,67,57,67,90,71,55,71,62,56,61,55,59.0,58,63,60,9,10,15,8,16,,57+2,57+2,57+2,57,57,57,57,57,58+2,58+2,58+2,59+2,62+2,62+2,62+2,59+2,63+2,64+1,64+1,64+1,63+2,62+2,63+2,63+2,63+2,62+2,17+2
237341,/player/237341/sam-stubbs/240002,24.0,2.0,2023-09-22,S. Stubbs,Sam Alan Stubbs,CB,64,68,750000.0,4000.0,24,1998-11-20,190,87,1804.0,Bradford City,61.0,League Two,4.0,CB,15.0,,2023-01-31,2024.0,14,England,,,,Right,3,2,1,Low/High,Normal (185+),No,1400000.0,,Aerial,65.0,29.0,41.0,52.0,64.0,72.0,29,23,63,56,23,53,30,28,36,53,61,68,47,57,49,45,75,67,79,28,59,63,25,34,35,52.0,64,65,61,6,15,10,15,14,,46+2,46+2,46+2,45,45,45,45,45,45+2,45+2,45+2,47+2,48+2,48+2,48+2,47+2,57+2,58+2,58+2,58+2,57+2,59+2,64+2,64+2,64+2,59+2,17+2
175314,/player/175314/kevin-mcdonald/240002,24.0,2.0,2023-09-22,K. McDonald,Kevin McDonald,"CDM, CM",64,64,200000.0,5000.0,34,1988-11-04,192,83,1804.0,Bradford City,61.0,League Two,4.0,SUB,26.0,,2023-07-01,2025.0,42,Scotland,,,,Right,3,3,1,Low/Medium,Normal (185+),Yes,350000.0,,,33.0,58.0,64.0,58.0,63.0,68.0,64,54,56,66,50,57,62,56,65,62,34,33,49,66,36,68,64,33,82,61,76,64,57,63,48,68.0,63,65,58,7,11,6,8,8,,58+2,58+2,58+2,57,58,58,58,57,59+2,59+2,59+2,56+2,61+2,61+2,61+2,56+2,57+2,63+1,63+1,63+1,57+2,57+2,65-1,65-1,65-1,57+2,15+2
193123,/player/193123/ash-taylor/240002,24.0,2.0,2023-09-22,A. Taylor,Ashton John Taylor,CB,64,64,375000.0,5000.0,32,1990-09-02,193,82,1804.0,Bradford City,61.0,League Two,4.0,RES,4.0,,2023-07-01,2025.0,50,Wales,,,,Right,2,2,1,Medium/High,Stocky (185+),No,656000.0,,"Power Header, Bruiser, Long Throw, Aerial",43.0,38.0,43.0,47.0,62.0,79.0,26,40,69,51,21,46,51,20,53,49,40,45,38,51,40,51,73,66,87,27,76,62,23,41,39,56.0,60,62,60,12,16,8,12,15,,46+2,46+2,46+2,41,43,43,43,41,43+2,43+2,43+2,44+2,48+2,48+2,48+2,44+2,52+2,58+2,58+2,58+2,52+2,54+2,64,64,64,54+2,18+2
206565,/player/206565/jamie-walker/240002,24.0,2.0,2023-09-22,J. Walker,Jamie Walker,"CAM, LW",64,64,575000.0,5000.0,30,1993-06-25,175,70,1804.0,Bradford City,61.0,League Two,4.0,LW,7.0,,2022-07-01,2024.0,42,Scotland,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,1000000.0,,Technical,78.0,62.0,63.0,67.0,45.0,65.0,63,63,50,63,62,64,63,65,59,63,79,78,84,59,81,58,68,64,62,62,74,45,61,64,63,68.0,40,50,37,12,13,14,15,6,,62+2,62+2,62+2,65-1,64,64,64,65-1,64,64,64,65-1,61+2,61+2,61+2,65-1,57+2,55+2,55+2,55+2,57+2,55+2,52+2,52+2,52+2,55+2,17+2
219467,/player/219467/bradley-halliday/240002,24.0,2.0,2023-09-22,B. Halliday,Bradley Halliday,RB,64,64,575000.0,5000.0,27,1995-07-10,180,68,1804.0,Bradford City,61.0,League Two,4.0,SUB,2.0,,2022-07-10,2024.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,1000000.0,,"Long Ball Pass, Jockey",73.0,39.0,54.0,61.0,59.0,71.0,60,33,52,57,30,60,46,37,53,57,72,73,75,57,77,49,68,88,68,38,59,61,53,52,44,50.0,58,60,58,15,9,9,11,10,,52+2,52+2,52+2,56,54,54,54,56,55+2,55+2,55+2,59+2,57+2,57+2,57+2,59+2,63+1,60+2,60+2,60+2,63+1,62+2,60+2,60+2,60+2,62+2,16+2
230812,/player/230812/alex-pattison/240002,24.0,2.0,2023-09-22,A. Pattison,Alexander Antony Pattison,"CM, RM, CAM",63,66,625000.0,4000.0,25,1997-09-06,173,70,1804.0,Bradford City,61.0,League Two,4.0,LCM,10.0,,2023-07-01,2026.0,14,England,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1100000.0,,Relentless,81.0,58.0,61.0,65.0,59.0,67.0,55,57,54,64,45,62,55,53,62,62,82,81,84,62,84,60,80,82,61,60,62,63,59,62,60,61.0,58,60,59,11,6,9,8,14,,61+2,61+2,61+2,64,63,63,63,64,64+2,64+2,64+2,65+1,63+2,63+2,63+2,65+1,65+1,63+2,63+2,63+2,65+1,64+2,61+2,61+2,61+2,64+2,15+2
234261,/player/234261/matthew-platt/240002,24.0,2.0,2023-09-22,M. Platt,Matthew James Platt,CB,63,65,525000.0,4000.0,25,1997-10-03,188,80,1804.0,Bradford City,61.0,League Two,4.0,RCB,5.0,,2022-07-01,2024.0,14,England,,,,Right,3,2,1,Low/High,Normal (185+),No,958000.0,,"Long Ball Pass, Jockey",58.0,28.0,44.0,53.0,61.0,76.0,33,25,62,51,27,52,25,25,55,52,57,59,56,58,61,37,75,71,82,23,65,61,25,45,34,57.0,60,61,60,8,9,6,9,9,,44+2,44+2,44+2,45,44,44,44,45,46+2,46+2,46+2,48+2,51+2,51+2,51+2,48+2,56+2,59+2,59+2,59+2,56+2,57+2,63+2,63+2,63+2,57+2,14+2
