player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
236923,/player/236923/ryan-cooney/240002,24.0,2.0,2023-09-22,R. Cooney,Ryan Thomas Cooney,"RB, RWB",63,67,650000.0,2000.0,23,2000-02-26,179,77,121.0,Crewe Alexandra,61.0,League Two,4.0,RWB,2.0,,2023-07-01,2025.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1200000.0,,"Jockey, Long Throw",72.0,47.0,54.0,60.0,58.0,68.0,59,42,53,55,40,58,48,40,55,57,73,71,72,57,77,54,68,80,69,51,48,58,56,53,54,54.0,57,59,58,11,7,13,6,7,,55+2,55+2,55+2,58,56,56,56,58,56+2,56+2,56+2,59+2,57+2,57+2,57+2,59+2,61+2,58+2,58+2,58+2,61+2,61+2,58+2,58+2,58+2,61+2,13+2
220893,/player/220893/courtney-baker-richardson/240002,24.0,2.0,2023-09-22,C. Baker-Richardson,Courtney Romello Baker-Richardson,ST,63,64,550000.0,3000.0,27,1995-12-05,188,83,121.0,Crewe Alexandra,61.0,League Two,4.0,RS,9.0,,2022-07-01,2024.0,14,England,,,,Right,3,2,1,Medium/Low,Normal (185+),Yes,1000000.0,,Aerial,69.0,62.0,43.0,59.0,25.0,70.0,28,62,62,51,56,58,50,38,30,63,65,73,54,59,60,65,76,72,78,61,44,20,63,52,59,60.0,21,22,18,12,15,8,9,14,,63+1,63+1,63+1,57,60,60,60,57,57+2,57+2,57+2,56+2,51+2,51+2,51+2,56+2,42+2,41+2,41+2,41+2,42+2,41+2,40+2,40+2,40+2,41+2,17+2
209368,/player/209368/jack-powell/240002,24.0,2.0,2023-09-22,J. Powell,Jack Patrick Powell,CM,63,63,475000.0,3000.0,29,1994-01-29,177,74,121.0,Crewe Alexandra,61.0,League Two,4.0,LCM,23.0,,2023-06-30,2025.0,14,England,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,831000.0,,"Power Shot, Dead Ball, Long Ball Pass",62.0,60.0,63.0,64.0,54.0,65.0,60,55,36,63,49,60,65,63,64,62,59,65,84,59,79,70,50,83,61,64,55,54,59,64,59,62.0,55,58,52,7,9,16,15,9,,58+2,58+2,58+2,61,61,61,61,61,62+1,62+1,62+1,62+1,63,63,63,62+1,61+2,60+2,60+2,60+2,61+2,59+2,55+2,55+2,55+2,59+2,16+2
216795,/player/216795/chris-long/240002,24.0,2.0,2023-09-22,C. Long,Christopher Michael Long,"ST, LM",63,63,500000.0,3000.0,28,1995-02-25,179,77,121.0,Crewe Alexandra,61.0,League Two,4.0,LS,7.0,,2021-07-01,2024.0,14,England,,,,Right,3,2,1,Medium/Low,Normal (170-185),No,875000.0,,Rapid,76.0,62.0,50.0,63.0,31.0,64.0,45,63,60,56,49,62,48,42,41,62,73,78,68,60,62,66,74,51,69,61,63,30,63,54,59,62.0,29,26,24,7,7,7,15,13,,63,63,63,61,62,62,62,61,60+2,60+2,60+2,59+2,53+2,53+2,53+2,59+2,46+2,45+2,45+2,45+2,46+2,45+2,44+2,44+2,44+2,45+2,16+2
223381,/player/223381/mickey-demetriou/240002,24.0,2.0,2023-09-22,M. Demetriou,Mickey David Demetriou,CB,63,63,300000.0,3000.0,32,1990-12-01,188,79,121.0,Crewe Alexandra,61.0,League Two,4.0,LCB,5.0,,2023-07-21,2024.0,14,England,,,,Left,3,2,1,Medium/High,Normal (185+),No,525000.0,,"Long Throw +, Long Ball Pass, Block, Anticipate, Aerial",51.0,47.0,55.0,58.0,62.0,72.0,57,43,63,59,38,54,54,56,60,57,50,52,68,60,70,58,77,76,73,45,65,62,46,42,60,60.0,62,63,62,16,9,11,12,14,,53+2,53+2,53+2,53,52,52,52,53,52+2,52+2,52+2,55+2,56+2,56+2,56+2,55+2,61+2,61+2,61+2,61+2,61+2,61+2,63,63,63,61+2,18+2
241828,/player/241828/luke-offord/240002,24.0,2.0,2023-09-22,L. Offord,Luke William Offord,CB,62,69,750000.0,2000.0,23,1999-11-19,183,80,121.0,Crewe Alexandra,61.0,League Two,4.0,RCB,6.0,,2017-12-01,2024.0,14,England,,,,Right,3,2,1,Low/Medium,Lean (170-185),No,1500000.0,,"Long Ball Pass, Block, Intercept",65.0,28.0,48.0,54.0,61.0,71.0,44,24,60,55,28,51,30,31,49,53,66,64,65,59,57,33,81,72,72,30,63,64,42,47,29,54.0,60,62,60,8,9,8,10,7,,46+2,46+2,46+2,49,48,48,48,49,50+2,50+2,50+2,52+2,52+2,52+2,52+2,52+2,59+2,59+2,59+2,59+2,59+2,60+2,62+2,62+2,62+2,60+2,14+2
200781,/player/200781/conor-thomas/240002,24.0,2.0,2023-09-22,C. Thomas,Conor Thomas,"CDM, CM",62,62,350000.0,2000.0,29,1993-10-29,185,72,121.0,Crewe Alexandra,61.0,League Two,4.0,CDM,8.0,,2022-07-01,2024.0,14,England,,,,Right,3,2,1,Low/High,Lean (185+),No,613000.0,,Long Throw,64.0,55.0,56.0,59.0,59.0,73.0,54,55,57,58,43,57,51,48,58,59,62,65,61,59,62,57,67,85,70,52,68,61,56,57,66,64.0,60,59,58,14,14,12,12,14,,58+2,58+2,58+2,58,58,58,58,58,58+2,58+2,58+2,59+2,59+2,59+2,59+2,59+2,62,61+1,61+1,61+1,62,61+1,61+1,61+1,61+1,61+1,18+2
236601,/player/236601/shilow-tracey/240002,24.0,2.0,2023-09-22,S. Tracey,Shilow Ethan Tracey,"RM, LM",61,64,425000.0,2000.0,25,1998-04-29,179,76,121.0,Crewe Alexandra,61.0,League Two,4.0,SUB,10.0,,2023-07-01,2025.0,14,England,,,,Right,2,3,1,High/Medium,Normal (170-185),No,776000.0,,"Rapid, Quick Step",86.0,54.0,54.0,63.0,42.0,56.0,59,55,43,56,32,63,59,42,45,60,82,90,77,50,63,57,63,51,60,54,48,40,52,55,50,57.0,46,41,40,9,10,8,14,13,,57+2,57+2,57+2,61,59,59,59,61,59+2,59+2,59+2,60+2,53+2,53+2,53+2,60+2,53+2,49+2,49+2,49+2,53+2,52+2,48+2,48+2,48+2,52+2,16+2
263192,/player/263192/elliott-nevitt/240002,24.0,2.0,2023-09-22,E. Nevitt,Elliott Nevitt,ST,61,63,400000.0,3000.0,26,1996-10-30,183,80,121.0,Crewe Alexandra,61.0,League Two,4.0,SUB,20.0,,2023-01-11,2024.0,14,England,,,,Right,3,2,1,High/Low,Normal (170-185),No,730000.0,,Long Throw,73.0,58.0,46.0,58.0,27.0,79.0,38,58,62,53,53,56,37,35,40,57,73,73,64,56,77,65,84,79,85,52,64,20,57,53,53,52.0,27,24,19,13,9,7,8,8,,61+2,61+2,61+2,57,58,58,58,57,56+2,56+2,56+2,57+2,51+2,51+2,51+2,57+2,45+2,44+2,44+2,44+2,45+2,43+2,43+2,43+2,43+2,43+2,14+2
254135,/player/254135/joe-white/240002,24.0,2.0,2023-09-22,J. White,Joe White,"CAM, CM",60,74,600000.0,10000.0,20,2002-10-01,186,70,121.0,Crewe Alexandra,61.0,League Two,4.0,SUB,30.0,Newcastle United,,2024.0,14,England,,,,Left,3,3,1,Medium/Medium,Lean (185+),No,,,"Long Ball Pass, Technical, Flair",67.0,54.0,61.0,59.0,51.0,57.0,55,52,52,64,52,59,61,53,66,60,66,68,59,56,56,60,62,56,63,56,44,52,58,60,46,54.0,50,54,46,13,8,5,15,9,,58+2,58+2,58+2,59,59,59,59,59,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,56+2,57+2,57+2,57+2,56+2,55+2,54+2,54+2,54+2,55+2,16+2
