player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
156464,/player/156464/richard-wood/240002,24.0,2.0,2023-09-22,R. Wood,Richard Mark Wood,CB,66,66,150000.0,4000.0,37,1985-07-05,191,82,142.0,Doncaster Rovers,61.0,League Two,4.0,LCB,6.0,,2023-07-01,2024.0,14,England,,,,Left,3,2,1,Medium/High,Normal (185+),No,263000.0,,Power Header,31.0,35.0,46.0,42.0,66.0,68.0,40,35,67,53,27,36,22,26,43,50,30,31,29,64,34,45,68,35,85,24,66,65,40,52,40,64.0,67,65,63,7,14,10,6,10,,46+2,46+2,46+2,42,44,44,44,42,44+2,44+2,44+2,43+2,49+2,49+2,49+2,43+2,52+2,58+2,58+2,58+2,52+2,54+2,66,66,66,54+2,15+2
211143,/player/211143/joe-ironside/240002,24.0,2.0,2023-09-22,J. Ironside,Joe Samuel Ironside,ST,64,64,575000.0,6000.0,29,1993-10-16,183,75,142.0,Doncaster Rovers,61.0,League Two,4.0,ST,20.0,,2023-07-01,2026.0,14,England,,,,Right,3,2,1,High/Low,Normal (170-185),No,1000000.0,,Aerial,70.0,63.0,50.0,60.0,41.0,80.0,47,64,67,54,51,59,45,43,42,60,71,69,55,64,70,64,84,79,84,60,71,41,64,54,69,62.0,42,34,31,14,12,15,13,7,,64,64,64,60,62,62,62,60,59+2,59+2,59+2,60+2,55+2,55+2,55+2,60+2,52+2,51+2,51+2,51+2,52+2,51+2,52+2,52+2,52+2,51+2,17+2
222937,/player/222937/ben-close/240002,24.0,2.0,2023-09-22,B. Close,Ben Easton Close,"CM, CDM",63,64,550000.0,4000.0,26,1996-08-08,175,75,142.0,Doncaster Rovers,61.0,League Two,4.0,RES,33.0,,2021-07-01,2024.0,14,England,,,,Right,4,3,1,Low/Medium,Normal (170-185),No,1000000.0,,,71.0,61.0,61.0,63.0,59.0,67.0,57,59,55,64,67,60,58,54,63,63,73,69,73,60,71,63,69,84,63,64,53,61,55,62,50,64.0,57,60,58,14,8,9,12,10,,61+2,61+2,61+2,62,62,62,62,62,62+2,62+2,62+2,63+1,63+1,63+1,63+1,63+1,63+1,62+2,62+2,62+2,63+1,63+1,60+2,60+2,60+2,63+1,16+2
209256,/player/209256/tom-anderson/240002,24.0,2.0,2023-09-22,T. Anderson,Thomas Robert Anderson,CB,63,63,400000.0,4000.0,29,1993-09-02,193,83,142.0,Doncaster Rovers,61.0,League Two,4.0,SUB,4.0,,2018-07-01,2025.0,14,England,,,,Right,2,2,1,Low/Medium,Normal (185+),No,700000.0,#Strength,,34.0,33.0,41.0,38.0,62.0,78.0,25,33,64,54,27,32,26,27,50,42,34,34,31,60,33,43,70,67,86,27,72,60,28,33,34,61.0,62,62,60,13,11,11,12,14,,43+2,43+2,43+2,37,39,39,39,37,39+2,39+2,39+2,40+2,46+2,46+2,46+2,40+2,51+2,58+2,58+2,58+2,51+2,53+2,63,63,63,53+2,18+2
241864,/player/241864/joseph-olowu/240002,24.0,2.0,2023-09-22,J. Olowu,Joseph Olugbenga Olowu,CB,62,68,575000.0,3000.0,23,1999-11-27,184,75,142.0,Doncaster Rovers,61.0,League Two,4.0,RCB,5.0,,2021-09-10,2025.0,14,England,,,,Right,3,2,1,Medium/High,Lean (170-185),No,1100000.0,,,73.0,32.0,42.0,51.0,61.0,69.0,35,32,61,53,29,47,31,24,46,50,66,79,59,59,59,45,73,70,73,22,57,62,25,32,30,52.0,61,62,60,12,11,11,7,13,,47+2,47+2,47+2,46,45,45,45,46,45+2,45+2,45+2,48+2,48+2,48+2,48+2,48+2,58+2,57+2,57+2,57+2,58+2,59+2,62+2,62+2,62+2,59+2,16+2
231929,/player/231929/george-miller/240002,24.0,2.0,2023-09-22,G. Miller,George Miller,ST,62,66,550000.0,4000.0,25,1998-01-02,178,64,142.0,Doncaster Rovers,61.0,League Two,4.0,SUB,9.0,,2022-07-01,2025.0,14,England,,,,Right,3,2,1,High/High,Lean (170-185),No,1000000.0,,Relentless,83.0,61.0,51.0,61.0,37.0,75.0,52,61,57,55,57,59,58,49,35,57,81,84,76,59,77,63,76,85,69,58,76,35,64,54,62,56.0,34,39,26,10,9,13,13,13,,62+2,62+2,62+2,62,61,61,61,62,59+2,59+2,59+2,61+2,54+2,54+2,54+2,61+2,53+2,49+2,49+2,49+2,53+2,51+2,48+2,48+2,48+2,51+2,17+2
235915,/player/235915/luke-molyneux/240002,24.0,2.0,2023-09-22,L. Molyneux,Luke James Molyneux,"RW, RM, LWB",62,65,525000.0,4000.0,25,1998-03-29,180,75,142.0,Doncaster Rovers,61.0,League Two,4.0,RW,7.0,,2022-07-01,2024.0,14,England,,,,Left,3,3,1,High/Low,Normal (170-185),No,958000.0,,,81.0,58.0,55.0,64.0,40.0,60.0,58,57,53,55,55,65,56,49,51,61,82,81,72,56,74,59,68,81,56,62,42,36,57,56,59,61.0,38,42,34,5,10,13,8,11,,60+2,60+2,60+2,62,61,61,61,62,60+2,60+2,60+2,63+2,57+2,57+2,57+2,63+2,55+2,49+2,49+2,49+2,55+2,53+2,46+2,46+2,46+2,53+2,14+2
228368,/player/228368/jamie-sterry/240002,24.0,2.0,2023-09-22,J. Sterry,Jamie Michael Sterry,"RB, RWB",62,63,425000.0,4000.0,27,1995-11-21,180,76,142.0,Doncaster Rovers,61.0,League Two,4.0,SUB,2.0,,2023-07-01,2025.0,14,England,,,,Right,3,2,1,High/Medium,Lean (170-185),Yes,776000.0,,"Relentless, Long Throw",73.0,50.0,56.0,60.0,55.0,73.0,60,49,54,55,45,58,58,55,53,57,74,72,75,56,73,54,69,81,69,45,75,55,57,54,55,55.0,54,56,56,7,15,8,9,14,,56+2,56+2,56+2,58,57,57,57,58,57+2,57+2,57+2,60+2,56+2,56+2,56+2,60+2,60+2,58+2,58+2,58+2,60+2,60+2,59+2,59+2,59+2,60+2,16+2
242258,/player/242258/harrison-biggins/240002,24.0,2.0,2023-09-22,H. Biggins,Harrison Biggins,CM,62,63,450000.0,4000.0,27,1996-03-15,175,68,142.0,Doncaster Rovers,61.0,League Two,4.0,SUB,14.0,,2022-07-01,2024.0,14,England,,,,Right,4,2,1,Medium/High,Lean (170-185),No,821000.0,,,54.0,56.0,59.0,63.0,58.0,61.0,50,53,51,63,39,61,57,60,61,63,53,54,72,60,75,63,54,82,58,61,43,59,58,61,41,60.0,57,61,59,6,11,13,11,9,,57+2,57+2,57+2,59,59,59,59,59,61+2,61+2,61+2,60+2,62+1,62+1,62+1,60+2,61+2,61+2,61+2,61+2,61+2,60+2,57+2,57+2,57+2,60+2,15+2
179663,/player/179663/tommy-rowe/240002,24.0,2.0,2023-09-22,T. Rowe,Thomas Malcolm Rowe,"CM, CB, LB",62,62,180000.0,4000.0,34,1988-09-24,180,81,142.0,Doncaster Rovers,61.0,League Two,4.0,LCM,10.0,,2021-07-01,2024.0,14,England,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,315000.0,,,54.0,57.0,61.0,62.0,61.0,63.0,64,57,56,62,44,59,45,53,61,62,54,54,67,63,68,61,62,70,65,56,49,62,58,62,53,63.0,62,60,59,14,14,14,13,16,,59+2,59+2,59+2,60,59,59,59,60,60+2,60+2,60+2,61+1,62,62,62,61+1,62,62,62,62,62,61+1,60+2,60+2,60+2,61+1,20+2
256815,/player/256815/kyle-hurst/240002,24.0,2.0,2023-09-22,K. Hurst,Kyle Hurst,"LW, LM",61,68,675000.0,3000.0,21,2002-01-20,178,72,142.0,Doncaster Rovers,61.0,League Two,4.0,RES,21.0,,2022-07-22,2025.0,14,England,,,,Right,3,3,1,High/Low,Lean (170-185),No,1300000.0,,,77.0,53.0,53.0,64.0,29.0,51.0,54,53,35,55,48,64,54,49,47,62,79,76,76,58,72,55,50,71,49,51,33,22,58,55,57,52.0,32,28,33,7,5,12,12,11,,56+2,56+2,56+2,61,59,59,59,61,59+2,59+2,59+2,61+2,54+2,54+2,54+2,61+2,50+2,44+2,44+2,44+2,50+2,47+2,37+2,37+2,37+2,47+2,14+2
209750,/player/209750/ian-lawlor/240002,24.0,2.0,2023-09-22,I. Lawlor,Ian John Lawlor,GK,61,62,250000.0,3000.0,28,1994-10-27,193,80,142.0,Doncaster Rovers,61.0,League Two,4.0,GK,1.0,,2023-07-01,2025.0,25,Republic of Ireland,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,456000.0,,,,,,,,,14,13,12,33,13,21,12,12,25,34,43,46,63,57,43,44,64,28,72,16,37,15,14,45,28,43.0,12,11,16,63,58,59,60,63,44.0,29+2,29+2,29+2,30,31,31,31,30,32+2,32+2,32+2,30+2,30+2,30+2,30+2,30+2,26+2,28+2,28+2,28+2,26+2,25+2,27+2,27+2,27+2,25+2,60+2
198235,/player/198235/jon-taylor/240002,24.0,2.0,2023-09-22,J. Taylor,Jon Peter Taylor,"RW, LW",61,61,325000.0,4000.0,30,1992-07-20,168,77,142.0,Doncaster Rovers,61.0,League Two,4.0,SUB,11.0,,2019-08-09,2024.0,14,England,,,,Right,3,3,1,High/Medium,Normal (170-),No,569000.0,#Acrobat,Rapid,77.0,56.0,55.0,64.0,27.0,38.0,59,56,39,55,41,61,52,62,47,59,80,74,90,55,90,59,43,34,32,57,55,28,56,56,56,61.0,25,25,20,6,16,16,7,10,,56+2,56+2,56+2,61,59,59,59,61,59+2,59+2,59+2,58+2,51+2,51+2,51+2,58+2,44+2,41+2,41+2,41+2,44+2,42+2,35+2,35+2,35+2,42+2,15+2
