player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
213659,/player/213659/fankaty-dabo/240002,24.0,2.0,2023-09-22,F. Dabo,Fankaty Dabo,"RB, RWB",68,69,1300000.0,6000.0,27,1995-10-11,181,76,561.0,Forest Green Rovers,61.0,League Two,4.0,RES,25.0,,2023-09-01,2025.0,14,England,,,,Right,3,3,1,High/Medium,Stocky (170-185),No,2400000.0,,,73.0,49.0,63.0,68.0,65.0,68.0,66,44,61,67,39,70,60,40,59,67,74,73,64,67,64,59,76,52,71,48,80,65,68,62,42,66.0,63,69,65,8,13,8,7,14,,61+2,61+2,61+2,65,64,64,64,65,64+2,64+2,64+2,65+2,63+2,63+2,63+2,65+2,66+2,65+2,65+2,65+2,66+2,66+2,67+2,67+2,67+2,66+2,17+2
183125,/player/183125/troy-deeney/240002,24.0,2.0,2023-09-22,T. Deeney,Troy Deeney,ST,68,68,525000.0,6000.0,35,1988-06-29,183,90,561.0,Forest Green Rovers,61.0,League Two,4.0,SUB,14.0,,2023-08-17,2024.0,14,England,,,,Right,3,2,2,High/Medium,Stocky (170-185),Yes,919000.0,#Strength,"Power Header, Bruiser",39.0,70.0,62.0,63.0,37.0,76.0,56,68,74,64,71,60,63,53,59,68,38,40,57,71,61,78,77,48,87,64,83,31,70,67,78,71.0,38,30,25,10,11,16,12,15,,68,68,68,61,65,65,65,61,64+2,64+2,64+2,60+2,61+2,61+2,61+2,60+2,47+2,52+2,52+2,52+2,47+2,45+2,51+2,51+2,51+2,45+2,19+2
184630,/player/184630/luke-daniels/240002,24.0,2.0,2023-09-22,L. Daniels,Luke Daniels,GK,65,65,80000.0,2000.0,35,1988-01-05,195,90,561.0,Forest Green Rovers,61.0,League Two,4.0,GK,1.0,,2023-07-14,2024.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (185+),Yes,140000.0,,,,,,,,,12,12,14,38,13,11,20,18,31,25,47,52,64,60,52,48,58,35,55,12,32,24,14,42,41,60.0,29,12,11,66,63,64,64,66,49.0,28+2,28+2,28+2,28,29,29,29,28,31+2,31+2,31+2,29+2,30+2,30+2,30+2,29+2,28+2,31+2,31+2,31+2,28+2,28+2,28+2,28+2,28+2,28+2,64+1
236388,/player/236388/jordon-garrick/240002,24.0,2.0,2023-09-22,J. Garrick,Jordon Garrick,"LM, ST",64,67,800000.0,4000.0,24,1998-07-15,179,77,561.0,Forest Green Rovers,61.0,League Two,4.0,SUB,11.0,,2023-01-05,2024.0,82,Jamaica,,,,Right,3,3,1,High/Low,Lean (170-185),No,1500000.0,,"Power Shot, Rapid",81.0,63.0,55.0,65.0,42.0,63.0,58,63,56,58,56,66,53,40,44,62,82,81,76,60,72,72,75,69,65,58,46,39,60,57,50,56.0,40,43,37,10,12,7,8,10,,64+2,64+2,64+2,64,64,64,64,64,62+2,62+2,62+2,63+2,57+2,57+2,57+2,63+2,55+2,50+2,50+2,50+2,55+2,54+2,49+2,49+2,49+2,54+2,15+2
204499,/player/204499/ryan-inniss/240002,24.0,2.0,2023-09-22,R. Inniss,Ryan Stuart Clayton Inniss,CB,64,64,500000.0,4000.0,28,1995-06-05,196,82,561.0,Forest Green Rovers,61.0,League Two,4.0,RCB,5.0,,2023-07-01,2025.0,14,England,,,,Right,3,2,1,Low/High,Normal (185+),Yes,875000.0,#Strength,"Power Header, Slide Tackle, Bruiser, Aerial",35.0,37.0,42.0,35.0,63.0,81.0,33,33,65,51,33,29,38,36,44,40,34,36,30,55,30,52,63,65,90,31,81,60,27,34,42,49.0,62,64,62,7,13,15,14,10,,43+2,43+2,43+2,36,38,38,38,36,38+2,38+2,38+2,39+2,44+2,44+2,44+2,39+2,51+2,57+2,57+2,57+2,51+2,54+2,64,64,64,54+2,16+2
208645,/player/208645/jordan-moore-taylor/240002,24.0,2.0,2023-09-22,J. Moore-Taylor,Jordan Alan Moore-Taylor,CB,64,64,500000.0,4000.0,29,1994-01-24,180,83,561.0,Forest Green Rovers,61.0,League Two,4.0,LCB,15.0,,2020-07-21,2024.0,14,England,,,,Left,2,2,1,Medium/High,Normal (170-185),No,875000.0,,"Long Ball Pass, Long Throw",65.0,36.0,56.0,57.0,62.0,75.0,56,25,64,60,30,55,46,54,57,54,62,68,64,58,68,51,76,76,79,46,64,61,33,53,39,58.0,62,63,61,6,12,14,13,9,,49+2,49+2,49+2,52,50,50,50,52,52+2,52+2,52+2,54+2,56+2,56+2,56+2,54+2,61+2,61+2,61+2,61+2,61+2,62+2,64,64,64,62+2,15+2
219259,/player/219259/reece-brown/240002,24.0,2.0,2023-09-22,R. Brown,Reece Brown,"CM, CDM",64,64,625000.0,4000.0,27,1996-03-03,175,78,561.0,Forest Green Rovers,61.0,League Two,4.0,RES,29.0,,2022-07-01,2024.0,14,England,,,,Right,4,3,1,High/Low,Lean (170-185),No,1100000.0,,Flair,79.0,60.0,62.0,67.0,58.0,65.0,59,59,49,64,52,65,62,61,62,64,82,77,83,63,81,62,67,79,60,62,57,63,63,64,58,69.0,57,58,55,16,10,13,13,7,,62+2,62+2,62+2,66-2,64,64,64,66-2,65-1,65-1,65-1,66-2,64,64,64,66-2,64,62+2,62+2,62+2,64,63+1,59+2,59+2,59+2,63+1,17+2
228668,/player/228668/matty-taylor/240002,24.0,2.0,2023-09-22,M. Taylor,Matthew James Taylor,ST,64,64,375000.0,5000.0,33,1990-03-30,176,74,561.0,Forest Green Rovers,61.0,League Two,4.0,SUB,10.0,,2023-07-17,2024.0,14,England,,,,Right,3,3,1,High/Medium,Normal (170-185),No,656000.0,,Finesse Shot,68.0,64.0,56.0,64.0,27.0,61.0,49,63,62,59,63,60,64,44,53,61,69,67,79,67,81,69,69,61,61,59,60,24,65,63,67,59.0,22,22,24,13,11,14,11,15,,64,64,64,62,63,63,63,62,62+2,62+2,62+2,61+2,57+2,57+2,57+2,61+2,46+2,45+2,45+2,45+2,46+2,44+2,41+2,41+2,41+2,44+2,19+2
237683,/player/237683/nathan-holland/240002,24.0,2.0,2023-09-22,N. Holland,Nathan Elliot Holland,"RW, LW, LM",63,66,625000.0,4000.0,25,1998-06-19,178,70,561.0,Forest Green Rovers,61.0,League Two,4.0,LM,37.0,,2023-08-24,2025.0,14,England,,,,Right,3,3,1,High/Medium,Lean (170-185),Yes,1100000.0,,Rapid,83.0,54.0,56.0,66.0,26.0,45.0,56,54,30,56,47,66,52,55,52,64,84,83,76,59,78,55,46,53,41,55,43,26,59,59,52,61.0,31,21,19,6,13,7,10,8,,57+2,57+2,57+2,63,61,61,61,63,62+2,62+2,62+2,62+2,55+2,55+2,55+2,62+2,48+2,43+2,43+2,43+2,48+2,44+2,35+2,35+2,35+2,44+2,15+2
237860,/player/237860/kyle-mcallister/240002,24.0,2.0,2023-09-22,K. McAllister,Kyle McAllister,"RM, LWB",63,66,650000.0,3000.0,24,1999-01-21,175,75,561.0,Forest Green Rovers,61.0,League Two,4.0,RM,7.0,,2022-07-01,2024.0,42,Scotland,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,1200000.0,,Rapid,85.0,56.0,56.0,65.0,49.0,63.0,63,52,41,53,50,63,66,66,49,61,86,84,86,55,82,65,64,72,60,56,57,50,54,56,60,55.0,49,51,49,15,8,7,13,6,,58+2,58+2,58+2,62,60,60,60,62,59+2,59+2,59+2,62+2,56+2,56+2,56+2,62+2,59+2,54+2,54+2,54+2,59+2,58+2,52+2,52+2,52+2,58+2,15+2
