player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
193185,/player/193185/scott-malone/240002,24.0,2.0,2023-09-22,S. Malone,Scott Malone,"LB, LWB",69,69,975000.0,9000.0,32,1991-03-25,189,75,1802.0,Gillingham,61.0,League Two,4.0,LB,13.0,,2023-07-24,2024.0,14,England,,,,Left,3,3,1,High/Medium,Lean (185+),Yes,1700000.0,,Long Ball Pass,72.0,60.0,64.0,66.0,63.0,70.0,70,54,57,65,51,65,56,57,64,66,68,75,70,66,65,69,68,77,69,66,66,63,58,58,56,64.0,63,66,64,12,9,11,9,7,,62+2,62+2,62+2,65,63,63,63,65,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,67+2,65+2,65+2,65+2,67+2,67+2,65+2,65+2,65+2,67+2,16+2
220045,/player/220045/connor-mahoney/240002,24.0,2.0,2023-09-22,C. Mahoney,Connor Mahoney,"RM, LM",68,69,1400000.0,5000.0,26,1997-02-12,175,67,1802.0,Gillingham,61.0,League Two,4.0,SUB,23.0,Huddersfield Town,,2024.0,14,England,,,,Left,4,3,1,Medium/Low,Normal (170-185),No,,,Technical,74.0,62.0,63.0,71.0,38.0,47.0,73,62,35,56,48,73,69,64,57,69,77,72,77,63,75,65,47,62,44,67,35,40,57,69,49,55.0,34,40,38,10,12,10,7,10,,60+2,60+2,60+2,68,65,65,65,68,66+2,66+2,66+2,67+2,61+2,61+2,61+2,67+2,56+2,50+2,50+2,50+2,56+2,53+2,42+2,42+2,42+2,53+2,16+2
198776,/player/198776/jonny-williams/240002,24.0,2.0,2023-09-22,J. Williams,Jonathan Peter Williams,"LM, LW, CM",65,65,700000.0,6000.0,29,1993-10-09,168,60,1802.0,Gillingham,61.0,League Two,4.0,LM,8.0,,2023-07-01,2025.0,50,Wales,,,,Right,3,3,1,Medium/Low,Lean (170-),No,1200000.0,#Acrobat,"Pinged Pass, Technical",68.0,61.0,63.0,68.0,53.0,48.0,64,62,43,64,51,64,59,54,62,64,69,67,91,64,92,60,40,71,34,61,55,55,61,64,59,66.0,51,56,52,8,16,11,10,9,,59+2,59+2,59+2,65,63,63,63,65,64+1,64+1,64+1,64+1,63+2,63+2,63+2,64+1,61+2,59+2,59+2,59+2,61+2,60+2,52+2,52+2,52+2,60+2,17+2
204007,/player/204007/tom-nichols/240002,24.0,2.0,2023-09-22,T. Nichols,Thomas Andrew Nichols,ST,64,64,575000.0,6000.0,29,1993-08-28,178,75,1802.0,Gillingham,61.0,League Two,4.0,RS,9.0,,2023-01-01,2025.0,14,England,,,,Right,3,3,1,High/High,Lean (170-185),No,1000000.0,#Engine,"Technical, Relentless",78.0,62.0,58.0,66.0,27.0,63.0,49,63,61,63,57,63,53,56,51,64,80,76,83,64,75,62,83,87,60,58,35,16,62,64,64,67.0,25,25,23,8,6,15,10,12,,64,64,64,64,64,64,64,64,64,64,64,64,59+2,59+2,59+2,64,50+2,45+2,45+2,45+2,50+2,47+2,40+2,40+2,40+2,47+2,15+2
206142,/player/206142/timothee-dieng/240002,24.0,2.0,2023-09-22,T. Dieng,Sony Thimotée Dieng,CM,64,64,475000.0,5000.0,31,1992-04-09,189,79,1802.0,Gillingham,61.0,League Two,4.0,CM,38.0,,2023-01-11,2024.0,18,France,,,,Right,2,2,1,Medium/High,Normal (185+),No,831000.0,,"Power Header, Aerial",57.0,57.0,58.0,61.0,62.0,81.0,49,57,65,64,36,61,47,39,62,65,60,54,56,65,42,62,77,85,82,58,72,62,64,60,50,64.0,60,64,62,10,10,11,9,11,,62+2,62+2,62+2,60,62,62,62,60,62+2,62+2,62+2,62+2,64,64,64,62+2,63+1,65-1,65-1,65-1,63+1,63+1,66-2,66-2,66-2,63+1,16+2
232102,/player/232102/conor-masterson/240002,24.0,2.0,2023-09-22,C. Masterson,Conor Masterson,CB,63,68,650000.0,3000.0,24,1998-09-08,185,75,1802.0,Gillingham,61.0,League Two,4.0,SUB,4.0,,2023-07-01,2025.0,25,Republic of Ireland,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1200000.0,,,61.0,33.0,42.0,51.0,63.0,70.0,29,30,62,55,33,51,28,37,37,54,59,63,37,59,43,46,71,69,74,22,60,63,33,42,43,62.0,63,64,62,9,7,10,6,12,,47+2,47+2,47+2,46,47,47,47,46,47+2,47+2,47+2,48+2,49+2,49+2,49+2,48+2,57+2,58+2,58+2,58+2,57+2,59+2,63+2,63+2,63+2,59+2,14+2
227682,/player/227682/george-lapslie/240002,24.0,2.0,2023-09-22,G. Lapslie,George Robert Lapslie,"CAM, CM",63,66,625000.0,4000.0,25,1997-09-05,180,74,1802.0,Gillingham,61.0,League Two,4.0,SUB,7.0,,2023-01-14,2025.0,14,England,,,,Right,3,3,1,High/Medium,Lean (170-185),No,1100000.0,,,66.0,61.0,60.0,65.0,56.0,66.0,55,61,60,64,54,62,47,48,63,64,68,64,75,61,81,65,76,73,61,60,65,59,59,62,55,60.0,53,58,53,11,14,9,11,15,,62+2,62+2,62+2,62,62,62,62,62,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,61+2,61+2,60+2,59+2,59+2,59+2,60+2,18+2
213634,/player/213634/macauley-bonne/240002,24.0,2.0,2023-09-22,M. Bonne,Macauley Miles Bonne,ST,63,64,550000.0,5000.0,27,1995-10-26,180,76,1802.0,Gillingham,61.0,League Two,4.0,SUB,45.0,,2023-08-11,2025.0,148,Zimbabwe,,,,Right,5,2,1,High/Low,Normal (170-185),No,1000000.0,,,70.0,62.0,51.0,63.0,34.0,71.0,41,64,61,58,56,62,52,44,48,63,71,70,66,62,69,65,76,75,72,55,62,39,62,53,61,57.0,27,33,23,10,7,7,7,13,,63+1,63+1,63+1,61,62,62,62,61,60+2,60+2,60+2,60+2,56+2,56+2,56+2,60+2,49+2,49+2,49+2,49+2,49+2,48+2,47+2,47+2,47+2,48+2,15+2
223981,/player/223981/max-clark/240002,24.0,2.0,2023-09-22,M. Clark,Max Oliver Clark,"LB, LWB",63,64,500000.0,4000.0,27,1996-01-19,180,73,1802.0,Gillingham,61.0,League Two,4.0,SUB,3.0,,2023-07-01,2025.0,14,England,,,,Left,2,2,1,High/Medium,Normal (170-185),No,913000.0,,"Long Ball Pass, Jockey, Block, Long Throw",71.0,48.0,58.0,61.0,58.0,69.0,61,47,56,59,44,60,60,41,57,60,71,71,70,58,68,50,70,72,68,48,69,59,57,57,51,59.0,58,59,57,15,13,6,11,9,,56+2,56+2,56+2,59,58,58,58,59,58+2,58+2,58+2,61+2,59+2,59+2,59+2,61+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,61+2,17+2
181681,/player/181681/shaun-williams/240002,24.0,2.0,2023-09-22,S. Williams,Shaun Williams,"CDM, CM",63,63,90000.0,3000.0,36,1986-10-19,183,80,1802.0,Gillingham,61.0,League Two,4.0,CDM,6.0,,2022-07-01,2024.0,25,Republic of Ireland,,,,Left,3,2,1,Low/High,Lean (170-185),No,158000.0,,Long Ball Pass,33.0,59.0,63.0,57.0,62.0,70.0,66,54,62,63,56,55,69,61,62,58,33,33,51,61,65,68,62,70,72,60,67,59,57,59,64,66.0,61,64,62,12,14,8,9,8,,57+2,57+2,57+2,55,56,56,56,55,57+2,57+2,57+2,56+2,61+2,61+2,61+2,56+2,60+2,62+1,62+1,62+1,60+2,59+2,62+1,62+1,62+1,59+2,16+2
