player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
202408,/player/202408/aden-flint/240002,24.0,2.0,2023-09-22,A. Flint,Aden Flint,CB,68,68,575000.0,8000.0,33,1989-07-11,197,83,1940.0,Mansfield Town,61.0,League Two,4.0,RCB,14.0,,2023-08-03,2024.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1000000.0,"#Aerial threat, #Strength","Power Header, Long Ball Pass, Block, Bruiser, Aerial",38.0,48.0,40.0,38.0,68.0,78.0,21,52,77,51,38,33,24,25,46,44,35,41,30,64,27,63,71,59,88,26,76,64,54,42,36,55.0,67,68,66,13,10,8,10,11,,54+2,54+2,54+2,42,47,47,47,42,45+2,45+2,45+2,43+2,49+2,49+2,49+2,43+2,52+2,60+2,60+2,60+2,52+2,56+2,68,68,68,56+2,17+2
236487,/player/236487/davis-keillor-dunn/240002,24.0,2.0,2023-09-22,D. Keillor-Dunn,Davis James Marshall Keillor-Dunn,"ST, CAM",64,67,775000.0,5000.0,25,1997-11-02,180,68,1940.0,Mansfield Town,61.0,League Two,4.0,CAM,40.0,,2023-01-31,2025.0,14,England,,,,Right,3,3,1,High/Medium,Lean (170-185),No,1400000.0,,Relentless,76.0,62.0,60.0,65.0,30.0,67.0,60,62,62,60,55,63,69,55,57,63,77,76,70,63,79,61,83,89,64,62,45,27,64,60,63,63.0,28,24,27,6,13,8,6,10,,64+2,64+2,64+2,64,64,64,64,64,63+2,63+2,63+2,65+2,59+2,59+2,59+2,65+2,52+2,48+2,48+2,48+2,52+2,50+2,43+2,43+2,43+2,50+2,15+2
222477,/player/222477/louis-reed/240002,24.0,2.0,2023-09-22,L. Reed,Louis Samuel Reed,CDM,64,66,650000.0,4000.0,25,1997-07-25,173,60,1940.0,Mansfield Town,61.0,League Two,4.0,CDM,25.0,,2023-01-15,2024.0,14,England,,,,Right,3,3,1,Medium/High,Lean (170-185),No,1200000.0,,"Pinged Pass, Long Ball Pass, Press Proven",65.0,55.0,61.0,67.0,60.0,60.0,52,48,57,64,43,63,59,61,64,63,67,64,86,60,90,68,64,79,46,59,72,59,54,63,58,63.0,59,63,60,9,7,10,12,12,,58+2,58+2,58+2,60,60,60,60,60,62+2,62+2,62+2,61+2,63+2,63+2,63+2,61+2,62+2,63+2,63+2,63+2,62+2,62+2,60+2,60+2,60+2,62+2,16+2
203428,/player/203428/elliott-hewitt/240002,24.0,2.0,2023-09-22,E. Hewitt,Elliott Jack Hewitt,"CB, RB",64,64,500000.0,5000.0,29,1994-05-30,186,75,1940.0,Mansfield Town,61.0,League Two,4.0,RES,4.0,,2021-07-01,2025.0,50,Wales,,,,Right,4,2,1,Medium/Medium,Lean (185+),No,875000.0,,"Anticipate, Long Throw, Aerial",71.0,46.0,56.0,58.0,62.0,76.0,63,40,61,58,39,55,44,35,57,59,69,72,65,63,66,54,82,81,72,48,76,62,52,52,53,54.0,61,63,62,15,11,8,12,13,,55+2,55+2,55+2,57,56,56,56,57,56+2,56+2,56+2,59+2,58+2,58+2,58+2,59+2,64,63+1,63+1,63+1,64,64,64,64,64,64,18+2
231107,/player/231107/alfie-kilgour/240002,24.0,2.0,2023-09-22,A. Kilgour,Alfie George Alexander Kilgour,CB,63,65,525000.0,4000.0,25,1998-05-18,189,75,1940.0,Mansfield Town,61.0,League Two,4.0,RES,5.0,,2023-01-12,2024.0,14,England,,,,Right,3,2,1,Medium/High,Normal (185+),No,958000.0,,Aerial,67.0,39.0,43.0,51.0,60.0,75.0,30,28,63,56,25,48,36,26,53,54,64,69,50,57,50,59,79,64,84,50,67,58,30,32,35,52.0,59,60,59,6,11,11,10,5,,49+2,49+2,49+2,47,47,47,47,47,47+2,47+2,47+2,48+2,50+2,50+2,50+2,48+2,55+2,58+2,58+2,58+2,55+2,57+2,63+2,63+2,63+2,57+2,14+2
215211,/player/215211/baily-cargill/240002,24.0,2.0,2023-09-22,B. Cargill,Baily James Cargill,CB,63,64,475000.0,4000.0,27,1995-07-05,189,87,1940.0,Mansfield Town,61.0,League Two,4.0,LCB,6.0,,2023-07-01,2025.0,14,England,,,,Left,3,2,1,Medium/Medium,Normal (185+),Yes,867000.0,,Long Throw,58.0,34.0,54.0,56.0,62.0,76.0,52,33,63,58,21,58,45,50,55,54,62,55,58,59,51,42,78,79,82,29,59,60,39,51,39,55.0,61,63,62,7,7,9,13,9,,49+2,49+2,49+2,51,50,50,50,51,52+2,52+2,52+2,54+2,55+2,55+2,55+2,54+2,60+2,61+2,61+2,61+2,60+2,61+2,63+1,63+1,63+1,61+2,15+2
223810,/player/223810/george-maris/240002,24.0,2.0,2023-09-22,G. Maris,George Thomas Maris,"CDM, CM",63,64,500000.0,4000.0,27,1996-03-06,180,75,1940.0,Mansfield Town,61.0,League Two,4.0,RCM,10.0,,2020-07-28,2024.0,14,England,,,,Right,3,2,1,Medium/High,Normal (170-185),No,913000.0,,Long Ball Pass,65.0,54.0,60.0,60.0,60.0,67.0,55,54,54,62,48,59,54,62,62,60,67,63,70,57,65,56,64,70,65,55,68,65,56,61,55,56.0,58,60,60,13,13,15,10,12,,57+2,57+2,57+2,59,59,59,59,59,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,61+2,62+2,62+2,62+2,61+2,61+2,61+2,61+2,61+2,61+2,17+2
230809,/player/230809/callum-johnson/240002,24.0,2.0,2023-09-22,C. Johnson,Callum Charles Johnson,"RB, RWB",63,64,525000.0,4000.0,26,1996-10-23,185,71,1940.0,Mansfield Town,61.0,League Two,4.0,SUB,2.0,,2023-01-13,2024.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,958000.0,,,70.0,45.0,55.0,60.0,59.0,71.0,60,38,56,57,33,59,41,33,53,58,71,70,71,58,62,58,73,74,71,52,66,59,55,58,39,60.0,58,60,59,6,6,11,15,8,,55+2,55+2,55+2,58,56,56,56,58,57+2,57+2,57+2,59+2,58+2,58+2,58+2,59+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,61+2,14+2
233793,/player/233793/aaron-lewis/240002,24.0,2.0,2023-09-22,A. Lewis,Aaron James Lewis,"CM, LWB, LB",63,64,575000.0,4000.0,25,1998-06-26,183,85,1940.0,Mansfield Town,61.0,League Two,4.0,SUB,15.0,,2023-07-11,2025.0,50,Wales,,,,Right,4,3,1,High/High,Normal (170-185),No,1000000.0,,"Technical, Long Throw",67.0,53.0,61.0,63.0,58.0,67.0,61,51,54,63,55,62,52,55,60,63,69,66,71,63,65,52,65,83,66,57,52,60,56,62,47,56.0,55,62,57,11,9,13,13,9,,58+2,58+2,58+2,61,60,60,60,61,61+2,61+2,61+2,63+1,63+1,63+1,63+1,63+1,63+1,62+2,62+2,62+2,63+1,63+1,59+2,59+2,59+2,63+1,16+2
173673,/player/173673/stephen-quinn/240002,24.0,2.0,2023-09-22,S. Quinn,Stephen Jude Quinn,CM,63,63,150000.0,3000.0,37,1986-04-01,168,60,1940.0,Mansfield Town,61.0,League Two,4.0,LCM,16.0,,2021-07-01,2024.0,25,Republic of Ireland,,,,Left,2,3,1,High/Medium,Normal (170-),Yes,263000.0,,Flair,45.0,59.0,64.0,65.0,58.0,50.0,62,58,55,65,60,61,64,62,63,64,49,42,82,62,87,62,42,71,34,61,67,59,58,64,57,61.0,56,60,59,13,6,6,8,9,,57+2,57+2,57+2,60,60,60,60,60,62+1,62+1,62+1,60+2,63,63,63,60+2,60+2,61+2,61+2,61+2,60+2,59+2,56+2,56+2,56+2,59+2,15+2
198071,/player/198071/george-williams/240002,24.0,2.0,2023-09-22,G. Williams,George Benjamin Williams,"RB, CB",63,63,425000.0,4000.0,30,1993-04-14,176,70,1940.0,Mansfield Town,61.0,League Two,4.0,SUB,22.0,,2023-07-17,2024.0,14,England,,,,Right,3,2,1,Medium/High,Lean (170-185),No,744000.0,,Long Throw,70.0,34.0,55.0,62.0,58.0,71.0,58,32,60,59,28,60,42,38,58,57,72,69,82,60,77,39,74,80,70,31,59,57,50,50,41,57.0,58,59,58,6,7,11,6,8,,51+2,51+2,51+2,56,53,53,53,56,55+2,55+2,55+2,58+2,57+2,57+2,57+2,58+2,62+1,60+2,60+2,60+2,62+1,61+2,60+2,60+2,60+2,61+2,13+2
202033,/player/202033/stephen-mclaughlin/240002,24.0,2.0,2023-09-22,S. McLaughlin,Stephen Antony McLaughlin,"LB, LWB",63,63,250000.0,4000.0,33,1990-06-14,175,77,1940.0,Mansfield Town,61.0,League Two,4.0,SUB,3.0,,2020-09-11,2024.0,25,Republic of Ireland,,,,Left,3,3,1,High/High,Normal (170-185),No,438000.0,,"Dead Ball, Whipped Cross, Technical",70.0,58.0,59.0,62.0,56.0,64.0,64,55,55,58,58,60,62,67,54,61,71,70,71,60,71,67,66,75,59,58,60,58,55,59,58,58.0,55,56,55,11,13,11,9,8,,59+2,59+2,59+2,61,60,60,60,61,60+2,60+2,60+2,61+2,59+2,59+2,59+2,61+2,61+2,59+2,59+2,59+2,61+2,61+2,58+2,58+2,58+2,61+2,16+2
213143,/player/213143/rhys-oates/240002,24.0,2.0,2023-09-22,R. Oates,Rhys Derek Oates,ST,63,63,500000.0,5000.0,28,1994-12-04,188,74,1940.0,Mansfield Town,61.0,League Two,4.0,LS,18.0,,2021-07-08,2024.0,14,England,,,,Right,5,3,1,High/Medium,Normal (185+),No,875000.0,,"Technical, Flair",85.0,61.0,51.0,63.0,34.0,73.0,53,61,58,54,54,61,44,43,42,60,83,87,79,60,84,64,82,75,76,60,63,39,62,56,57,58.0,27,30,29,6,12,9,6,6,,63,63,63,63,62,62,62,63,60+2,60+2,60+2,62+1,55+2,55+2,55+2,62+1,52+2,48+2,48+2,48+2,52+2,50+2,47+2,47+2,47+2,50+2,13+2
257330,/player/257330/will-swan/240002,24.0,2.0,2023-09-22,W. Swan,Will Jonathan Swan,ST,62,70,900000.0,4000.0,22,2000-10-26,182,75,1940.0,Mansfield Town,61.0,League Two,4.0,SUB,26.0,,2023-06-14,2026.0,14,England,,,,Right,3,2,1,High/Low,Lean (170-185),No,1800000.0,,,82.0,61.0,44.0,60.0,19.0,57.0,30,63,61,55,56,59,40,34,41,59,82,82,70,59,62,62,77,63,64,57,29,12,61,42,57,51.0,12,15,20,10,14,9,9,13,,62+2,62+2,62+2,59,60,60,60,59,58+2,58+2,58+2,57+2,50+2,50+2,50+2,57+2,41+2,37+2,37+2,37+2,41+2,40+2,34+2,34+2,34+2,40+2,17+2
212782,/player/212782/hiram-boateng/240002,24.0,2.0,2023-09-22,H. Boateng,Hiram Kojo Kwarteng Boateng,CM,62,63,450000.0,4000.0,27,1996-01-08,183,80,1940.0,Mansfield Town,61.0,League Two,4.0,SUB,44.0,,2022-07-01,2025.0,14,England,,,,Left,3,3,1,High/High,Normal (170-185),Yes,821000.0,,Technical,66.0,50.0,60.0,64.0,60.0,76.0,57,46,58,65,39,64,47,43,61,63,68,65,68,58,63,60,75,78,80,52,63,59,57,61,46,65.0,61,62,58,10,16,9,10,12,,58+2,58+2,58+2,60,60,60,60,60,61+2,61+2,61+2,62+1,62+1,62+1,62+1,62+1,63,63,63,63,63,62+1,63,63,63,62+1,17+2
235064,/player/235064/calum-macdonald/240002,24.0,2.0,2023-09-22,C. MacDonald,Calum Ross MacDonald,"LB, LWB",62,63,425000.0,3000.0,25,1997-12-18,180,78,1940.0,Mansfield Town,61.0,League Two,4.0,LB,11.0,,2023-07-01,2025.0,42,Scotland,,,,Left,2,2,1,High/High,Lean (170-185),No,776000.0,,Long Throw,72.0,34.0,52.0,57.0,58.0,63.0,56,29,49,54,24,54,55,52,48,55,76,69,72,55,65,45,65,77,62,30,48,57,53,49,36,54.0,59,60,58,8,6,12,9,9,,49+2,49+2,49+2,54,51,51,51,54,52+2,52+2,52+2,56+2,53+2,53+2,53+2,56+2,60+2,57+2,57+2,57+2,60+2,60+2,57+2,57+2,57+2,60+2,13+2
