player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
235808,/player/235808/jacob-bedeau/240002,24.0,2.0,2023-09-22,J. Bedeau,Jacob Bedeau,CB,63,69,700000.0,2000.0,23,1999-12-24,182,78,357.0,Morecambe,61.0,League Two,4.0,LCB,4.0,,2022-08-09,2024.0,77,Grenada,,,,Left,3,2,1,Low/High,Normal (170-185),No,1400000.0,,"Long Ball Pass, Block",74.0,36.0,46.0,54.0,62.0,72.0,44,36,63,55,28,51,34,28,50,50,75,73,71,58,61,48,87,71,75,24,61,61,39,36,37,52.0,62,63,62,10,6,7,14,8,,50+2,50+2,50+2,50,49,49,49,50,49+2,49+2,49+2,52+2,50+2,50+2,50+2,52+2,59+2,58+2,58+2,58+2,59+2,61+2,63+2,63+2,63+2,61+2,15+2
223852,/player/223852/farrend-rawson/240002,24.0,2.0,2023-09-22,F. Rawson,Farrend James Rawson,CB,63,64,500000.0,2000.0,26,1996-07-11,193,91,357.0,Morecambe,61.0,League Two,4.0,RCB,5.0,,2022-07-01,2024.0,14,England,,,,Right,3,2,1,Low/Medium,Normal (185+),No,913000.0,,"Power Header, Block, Aerial",49.0,32.0,41.0,40.0,64.0,74.0,31,33,61,49,23,36,32,24,43,41,50,49,38,54,51,38,72,72,81,25,60,62,36,42,35,53.0,65,65,63,8,11,9,9,14,,44+2,44+2,44+2,40,41,41,41,40,41+2,41+2,41+2,43+2,46+2,46+2,46+2,43+2,54+2,57+2,57+2,57+2,54+2,56+2,63+1,63+1,63+1,56+2,15+2
266328,/player/266328/james-connolly/240002,24.0,2.0,2023-09-22,J. Connolly,James Connolly,CB,62,69,750000.0,1000.0,21,2001-11-02,185,84,357.0,Morecambe,61.0,League Two,4.0,SUB,22.0,Bristol Rovers,,2024.0,50,Wales,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,,,Long Ball Pass,60.0,28.0,47.0,50.0,61.0,69.0,33,25,62,59,26,44,31,24,54,55,62,58,49,56,64,42,74,63,76,20,60,59,24,42,37,57.0,60,63,61,8,6,11,15,14,,44+2,44+2,44+2,44,44,44,44,44,46+2,46+2,46+2,47+2,50+2,50+2,50+2,47+2,56+2,59+2,59+2,59+2,56+2,57+2,62+2,62+2,62+2,57+2,16+2
251425,/player/251425/jake-taylor/240002,24.0,2.0,2023-09-22,J. Taylor,Jake Jon Taylor,CM,62,63,500000.0,2000.0,24,1998-09-08,178,77,357.0,Morecambe,61.0,League Two,4.0,SUB,18.0,,2022-07-08,2024.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,913000.0,,,71.0,58.0,61.0,65.0,55.0,58.0,55,58,46,64,41,63,54,49,63,64,74,68,75,59,77,62,62,58,60,60,53,54,58,63,53,58.0,54,59,55,14,11,7,10,15,,59+2,59+2,59+2,63,62,62,62,63,63,63,63,62+1,62+1,62+1,62+1,62+1,59+2,59+2,59+2,59+2,59+2,59+2,56+2,56+2,56+2,59+2,17+2
213686,/player/213686/donald-love/240002,24.0,2.0,2023-09-22,D. Love,Donald Love,"RWB, RB",62,62,350000.0,2000.0,28,1994-12-02,178,72,357.0,Morecambe,61.0,League Two,4.0,RB,2.0,,2022-07-01,2024.0,42,Scotland,,,,Right,3,2,1,High/High,Normal (170-185),Yes,613000.0,,"Long Ball Pass, Long Throw",69.0,35.0,55.0,59.0,57.0,67.0,62,29,52,58,27,59,42,32,55,57,70,69,65,56,75,40,73,71,67,38,59,57,48,51,51,55.0,55,59,58,8,13,7,14,9,,49+2,49+2,49+2,55,52,52,52,55,54+2,54+2,54+2,57+2,55+2,55+2,55+2,57+2,60+2,58+2,58+2,58+2,60+2,60+2,59+2,59+2,59+2,60+2,16+2
227880,/player/227880/chris-stokes/240002,24.0,2.0,2023-09-22,C. Stokes,Christopher Martin Thomas Stokes,"CB, LB",62,62,250000.0,2000.0,32,1991-03-08,184,83,357.0,Morecambe,61.0,League Two,4.0,SUB,15.0,,2023-07-01,2024.0,14,England,,,,Left,3,2,1,Low/Medium,Stocky (170-185),No,438000.0,,,42.0,36.0,53.0,52.0,61.0,68.0,56,22,62,55,30,50,42,38,50,52,34,49,58,56,43,56,65,49,77,48,71,60,44,53,36,58.0,62,61,60,10,14,13,15,9,,47+2,47+2,47+2,48,47,47,47,48,49+2,49+2,49+2,49+2,52+2,52+2,52+2,49+2,55+2,58+2,58+2,58+2,55+2,56+2,62,62,62,56+2,17+2
261732,/player/261732/tom-bloxham/240002,24.0,2.0,2023-09-22,T. Bloxham,Tom Bloxham,"ST, RW",61,77,850000.0,1000.0,19,2003-11-01,195,82,357.0,Morecambe,61.0,League Two,4.0,RM,7.0,Shrewsbury Town,,2024.0,14,England,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,,,"Rapid, Flair",77.0,59.0,51.0,61.0,27.0,67.0,55,60,54,56,59,63,36,34,48,61,74,80,65,55,39,61,73,67,75,58,47,27,57,50,51,58.0,21,26,23,12,9,13,12,6,,61+2,61+2,61+2,61,60,60,60,61,59+2,59+2,59+2,60+2,53+2,53+2,53+2,60+2,48+2,44+2,44+2,44+2,48+2,45+2,41+2,41+2,41+2,45+2,15+2
271675,/player/271675/adam-mayor/240002,24.0,2.0,2023-09-22,A. Mayor,Adam Mayor,"LM, LW, LWB",61,74,775000.0,1000.0,19,2004-04-10,170,65,357.0,Morecambe,61.0,League Two,4.0,LM,11.0,,2022-08-27,2025.0,14,England,,,,Left,3,3,1,High/High,Normal (170-),No,1800000.0,,Rapid,77.0,56.0,51.0,66.0,35.0,50.0,53,57,47,54,49,63,61,41,42,61,75,78,85,54,85,57,49,73,43,51,39,31,57,51,60,68.0,32,38,27,11,15,8,11,11,,57+2,57+2,57+2,60,59,59,59,60,58+2,58+2,58+2,60+2,53+2,53+2,53+2,60+2,50+2,45+2,45+2,45+2,50+2,48+2,40+2,40+2,40+2,48+2,16+2
265658,/player/265658/eli-king/240002,24.0,2.0,2023-09-22,E. King,Eli King,"CDM, CM",60,68,500000.0,2000.0,20,2002-12-23,188,80,357.0,Morecambe,61.0,League Two,4.0,LDM,8.0,Cardiff City,,2024.0,50,Wales,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,,,,62.0,46.0,57.0,58.0,56.0,65.0,49,39,54,61,37,57,50,45,60,59,61,63,60,56,59,57,63,66,68,50,58,60,50,60,46,54.0,52,57,54,6,14,5,12,10,,53+2,53+2,53+2,55,55,55,55,55,57+2,57+2,57+2,57+2,58+2,58+2,58+2,57+2,58+2,59+2,59+2,59+2,58+2,57+2,58+2,58+2,58+2,57+2,15+2
230070,/player/230070/jacob-davenport/240002,24.0,2.0,2023-09-22,J. Davenport,Jacob Davenport,"CDM, CM",60,63,300000.0,1000.0,24,1998-12-28,177,73,357.0,Morecambe,61.0,League Two,4.0,SUB,16.0,,2023-07-20,2024.0,14,England,,,,Left,2,2,1,Medium/High,Normal (170-185),No,548000.0,,,64.0,43.0,58.0,59.0,58.0,55.0,53,36,45,63,28,57,48,53,62,58,63,64,68,59,71,59,56,34,61,44,66,59,50,57,41,49.0,57,61,59,5,5,9,7,7,,52+2,52+2,52+2,55,55,55,55,55,56+2,56+2,56+2,56+2,57+2,57+2,57+2,56+2,57+2,59+2,59+2,59+2,57+2,57+2,59+2,59+2,59+2,57+2,12+2
