player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
195671,/player/195671/charlie-austin/240002,24.0,2.0,2023-09-22,C. Austin,Charlie Austin,ST,65,65,450000.0,4000.0,33,1989-07-05,188,84,1934.0,Swindon Town,61.0,League Two,4.0,RS,32.0,,2022-12-30,2024.0,14,England,,,,Right,2,2,1,Medium/Low,Stocky (185+),Yes,788000.0,,"Power Shot, Power Header, Aerial",45.0,68.0,56.0,62.0,35.0,70.0,56,66,68,60,65,59,59,49,46,66,47,44,60,66,52,74,74,45,83,63,66,44,68,58,78,68.0,20,37,22,9,11,7,9,13,,65,65,65,60,62,62,62,60,61+2,61+2,61+2,58+2,57+2,57+2,57+2,58+2,47+2,49+2,49+2,49+2,47+2,45+2,49+2,49+2,49+2,45+2,16+2
240248,/player/240248/remeao-hutton/240002,24.0,2.0,2023-09-22,R. Hutton,Remeao Andrew Hutton,"RWB, RB",64,68,775000.0,3000.0,24,1998-09-28,175,72,1934.0,Swindon Town,61.0,League Two,4.0,RWB,2.0,,2022-07-15,2024.0,14,England,,,,Right,4,2,1,High/Medium,Normal (170-185),No,1400000.0,,"Whipped Cross, Long Throw",80.0,43.0,56.0,63.0,55.0,72.0,65,33,48,55,22,63,63,42,51,57,79,81,82,57,80,59,68,84,68,50,69,55,52,56,44,54.0,54,57,56,8,12,11,12,5,,53+2,53+2,53+2,59,56,56,56,59,57+2,57+2,57+2,61+2,57+2,57+2,57+2,61+2,62+2,58+2,58+2,58+2,62+2,62+2,58+2,58+2,58+2,62+2,15+2
250758,/player/250758/frazer-blake-tracy/240002,24.0,2.0,2023-09-22,F. Blake-Tracy,Frazer John Blake-Tracy,"CB, LB",64,64,550000.0,3000.0,27,1995-09-10,178,68,1934.0,Swindon Town,61.0,League Two,4.0,LCB,5.0,,2023-01-31,2024.0,14,England,,,,Left,3,2,1,Medium/High,Normal (170-185),No,963000.0,,"Long Ball Pass, Jockey, Block, Anticipate",63.0,37.0,58.0,61.0,63.0,72.0,60,35,60,61,36,61,35,42,57,61,66,61,70,62,49,39,81,70,73,36,70,64,51,59,40,59.0,63,63,62,8,11,12,5,5,,52+2,52+2,52+2,57,55,55,55,57,57+2,57+2,57+2,59+2,59+2,59+2,59+2,59+2,63+1,63+1,63+1,63+1,63+1,63+1,64,64,64,63+1,14+2
241160,/player/241160/george-mceachran/240002,24.0,2.0,2023-09-22,G. McEachran,George McEachran,"CM, CDM, CAM",63,69,775000.0,3000.0,22,2000-08-30,172,65,1934.0,Swindon Town,61.0,League Two,4.0,LCM,6.0,,2023-02-13,2024.0,14,England,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,1500000.0,,,60.0,45.0,63.0,65.0,57.0,50.0,57,41,41,67,46,61,63,59,64,64,69,53,83,59,84,47,39,73,34,49,66,57,56,64,50,63.0,56,63,59,8,14,7,10,5,,52+2,52+2,52+2,59,58,58,58,59,61+2,61+2,61+2,61+2,63+2,63+2,63+2,61+2,61+2,61+2,61+2,61+2,61+2,60+2,55+2,55+2,55+2,60+2,15+2
238059,/player/238059/dan-kemp/240002,24.0,2.0,2023-09-22,D. Kemp,Daniel Harry Kemp,"CAM, CM",63,68,725000.0,4000.0,24,1999-01-11,168,63,1934.0,Swindon Town,61.0,League Two,4.0,RCM,10.0,Milton Keynes Dons,,2024.0,14,England,,,,Left,3,3,1,High/Medium,Normal (170-),Yes,,#Acrobat,Dead Ball,78.0,59.0,59.0,67.0,30.0,39.0,58,60,37,59,49,64,62,63,58,62,79,78,92,56,90,60,43,58,33,61,30,28,59,61,57,59.0,30,31,27,11,13,6,13,10,,58+2,58+2,58+2,64,62,62,62,64,63+2,63+2,63+2,62+2,57+2,57+2,57+2,62+2,49+2,45+2,45+2,45+2,49+2,47+2,36+2,36+2,36+2,47+2,16+2
238189,/player/238189/tariq-uwakwe/240002,24.0,2.0,2023-09-22,T. Uwakwe,Tariq Uwakwe,"LWB, LB, CDM",62,68,600000.0,2000.0,23,1999-11-19,183,79,1934.0,Swindon Town,61.0,League Two,4.0,SUB,19.0,,2023-08-04,2025.0,14,England,,,,Left,3,3,1,High/Medium,Lean (170-185),No,1200000.0,,,72.0,50.0,54.0,57.0,56.0,63.0,56,48,47,53,45,57,57,54,52,55,72,72,64,55,69,55,60,81,59,54,51,57,49,53,47,53.0,57,57,56,10,9,14,13,10,,54+2,54+2,54+2,56,55,55,55,56,55+2,55+2,55+2,58+2,55+2,55+2,55+2,58+2,60+2,57+2,57+2,57+2,60+2,60+2,56+2,56+2,56+2,60+2,16+2
253482,/player/253482/jake-cain/240002,24.0,2.0,2023-09-22,J. Cain,Jake Cain,"CM, CDM",62,68,625000.0,2000.0,21,2001-09-02,176,74,1934.0,Swindon Town,61.0,League Two,4.0,SUB,16.0,,2023-01-16,2025.0,14,England,,,,Left,4,3,1,Medium/High,Lean (170-185),No,1200000.0,,,64.0,57.0,60.0,64.0,58.0,59.0,54,57,52,64,55,60,57,57,61,64,65,64,77,60,76,56,56,64,54,58,66,58,57,62,52,62.0,58,61,55,8,7,11,11,11,,58+2,58+2,58+2,61,60,60,60,61,62+2,62+2,62+2,61+2,62+2,62+2,62+2,61+2,60+2,61+2,61+2,61+2,60+2,60+2,58+2,58+2,58+2,60+2,15+2
247073,/player/247073/udoka-godwin-malife/240002,24.0,2.0,2023-09-22,U. Godwin-Malife,Udoka Favour Godwin-Malife,"CB, RB",62,66,525000.0,2000.0,23,2000-05-09,180,79,1934.0,Swindon Town,61.0,League Two,4.0,RCB,22.0,,2023-08-03,2025.0,14,England,,,,Right,2,2,1,High/Medium,Normal (170-185),No,958000.0,,,75.0,32.0,52.0,57.0,61.0,69.0,48,29,58,58,25,55,38,29,55,53,73,76,70,58,68,39,83,69,72,30,60,62,43,53,34,55.0,61,62,60,11,12,14,9,5,,49+2,49+2,49+2,53,51,51,51,53,53+2,53+2,53+2,55+2,55+2,55+2,55+2,55+2,60+2,60+2,60+2,60+2,60+2,61+2,62+2,62+2,62+2,61+2,15+2
222405,/player/222405/liam-kinsella/240002,24.0,2.0,2023-09-22,L. Kinsella,Liam Mark Kinsella,CM,62,63,450000.0,3000.0,27,1996-02-23,175,75,1934.0,Swindon Town,61.0,League Two,4.0,SUB,23.0,,2023-07-28,2025.0,25,Republic of Ireland,,,,Right,3,2,1,Medium/High,Lean (170-185),No,821000.0,,"Jockey, Intercept, Slide Tackle, Relentless",72.0,51.0,58.0,63.0,62.0,77.0,55,47,55,61,45,58,56,47,59,60,73,71,84,63,88,57,79,92,66,52,86,66,58,58,52,61.0,58,64,66,16,11,15,8,10,,58+2,58+2,58+2,60,59,59,59,60,60+2,60+2,60+2,62+1,62+1,62+1,62+1,62+1,66-3,65-2,65-2,65-2,66-3,65-2,65-2,65-2,65-2,65-2,17+2
270607,/player/270607/saidou-khan/240002,24.0,2.0,2023-09-22,S. Khan,Saidou Khan,"CDM, CM",62,63,400000.0,2000.0,27,1995-12-05,188,76,1934.0,Swindon Town,61.0,League Two,4.0,CDM,8.0,,2022-07-15,2024.0,116,Gambia,,,,Right,2,2,1,Medium/High,Lean (185+),No,730000.0,,,63.0,52.0,56.0,61.0,56.0,73.0,44,54,49,63,36,61,47,35,62,59,62,64,65,55,68,49,63,77,72,54,71,56,54,58,42,58.0,54,59,60,9,7,10,15,8,,56+2,56+2,56+2,58,58,58,58,58,59+2,59+2,59+2,59+2,60+2,60+2,60+2,59+2,59+2,61+2,61+2,61+2,59+2,59+2,59+2,59+2,59+2,59+2,15+2
237190,/player/237190/tom-brewitt/240002,24.0,2.0,2023-09-22,T. Brewitt,Tom Brewitt,CB,62,62,375000.0,2000.0,26,1997-02-11,185,84,1934.0,Swindon Town,61.0,League Two,4.0,CB,12.0,,2023-03-07,2024.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,656000.0,,,63.0,36.0,45.0,51.0,59.0,77.0,32,24,59,54,28,47,36,33,50,55,62,63,52,58,59,57,75,74,82,41,71,58,38,44,47,48.0,58,61,59,11,13,7,5,11,,49+2,49+2,49+2,47,48,48,48,47,48+2,48+2,48+2,49+2,52+2,52+2,52+2,49+2,56+2,59+2,59+2,59+2,56+2,58+2,62,62,62,58+2,15+2
248839,/player/248839/jake-young/240002,24.0,2.0,2023-09-22,J. Young,Jake Alan Young,ST,61,67,525000.0,3000.0,21,2001-07-22,186,77,1934.0,Swindon Town,61.0,League Two,4.0,LS,7.0,Bradford City,,2024.0,14,England,,,,Right,2,3,1,Medium/Medium,Normal (185+),No,,,Rapid,79.0,60.0,43.0,59.0,25.0,63.0,37,61,56,49,50,59,55,41,31,59,76,81,66,57,54,61,77,60,74,58,38,21,60,47,58,51.0,20,23,19,13,9,12,8,10,,61+2,61+2,61+2,58,59,59,59,58,56+2,56+2,56+2,56+2,48+2,48+2,48+2,56+2,43+2,39+2,39+2,39+2,43+2,41+2,39+2,39+2,39+2,41+2,15+2
253429,/player/253429/tom-clayton/240002,24.0,2.0,2023-09-22,T. Clayton,Thomas Clayton,CB,61,65,425000.0,2000.0,22,2000-09-16,183,73,1934.0,Swindon Town,61.0,League Two,4.0,SUB,4.0,,2022-07-12,2024.0,42,Scotland,,,,Left,2,2,1,Medium/Medium,Lean (170-185),No,776000.0,,Long Ball Pass,61.0,32.0,47.0,52.0,61.0,69.0,32,28,60,59,31,50,29,37,53,50,62,60,55,59,67,41,71,69,72,29,59,60,29,43,43,56.0,60,62,60,6,14,8,12,6,,46+2,46+2,46+2,46,46,46,46,46,48+2,48+2,48+2,49+2,51+2,51+2,51+2,49+2,56+2,59+2,59+2,59+2,56+2,58+2,61+2,61+2,61+2,58+2,15+2
228148,/player/228148/rushian-hepburn-murphy/240002,24.0,2.0,2023-09-22,R. Hepburn-Murphy,Rushian Marcus Amari Hepburn-Murphy,"ST, RW",61,64,450000.0,2000.0,24,1998-08-28,173,65,1934.0,Swindon Town,61.0,League Two,4.0,SUB,11.0,,2022-09-01,2024.0,14,England,,,,Right,3,3,1,High/Low,Lean (170-185),No,821000.0,,Rapid,88.0,61.0,47.0,65.0,25.0,39.0,39,62,58,54,54,64,42,43,40,60,86,90,82,56,80,61,59,44,34,60,40,21,59,48,60,57.0,19,22,23,14,13,11,11,7,,61+2,61+2,61+2,62,62,62,62,62,59+2,59+2,59+2,59+2,50+2,50+2,50+2,59+2,43+2,38+2,38+2,38+2,43+2,42+2,35+2,35+2,35+2,42+2,16+2
240373,/player/240373/tyrese-shade/240002,24.0,2.0,2023-09-22,T. Shade,Tyrese Shade,"RW, LWB",60,65,375000.0,2000.0,23,2000-06-09,183,76,1934.0,Swindon Town,61.0,League Two,4.0,SUB,28.0,,2022-07-01,2024.0,89,Saint Kitts and Nevis,,,,Right,3,3,1,Medium/High,Normal (170-185),No,684000.0,,"Technical, Flair",84.0,54.0,51.0,62.0,49.0,67.0,55,54,54,52,53,61,52,56,42,59,83,84,81,55,69,55,74,71,68,53,58,49,54,52,52,55.0,46,52,44,14,9,7,6,11,,58+2,58+2,58+2,60,58,58,58,60,57+2,57+2,57+2,60+2,54+2,54+2,54+2,60+2,57+2,53+2,53+2,53+2,57+2,56+2,54+2,54+2,54+2,56+2,15+2
223988,/player/223988/lewis-ward/240002,24.0,2.0,2023-09-22,L. Ward,Lewis Moore Ward,GK,60,61,220000.0,2000.0,26,1997-03-05,195,81,1934.0,Swindon Town,61.0,League Two,4.0,SUB,44.0,,2023-08-22,2024.0,14,England,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,402000.0,,,,,,,,,16,15,16,44,15,19,16,17,24,27,46,44,41,55,47,44,54,38,51,19,36,23,14,33,19,29.0,14,19,12,60,59,59,60,61,45.0,29+2,29+2,29+2,29,30,30,30,29,31+2,31+2,31+2,30+2,31+2,31+2,31+2,30+2,29+2,30+2,30+2,30+2,29+2,28+2,27+2,27+2,27+2,28+2,59+2
253095,/player/253095/reece-devine/240002,24.0,2.0,2023-09-22,R. Devine,Reece Devine,"LWB, LB",59,65,350000.0,1000.0,21,2001-12-18,183,80,1934.0,Swindon Town,61.0,League Two,4.0,RES,18.0,,2022-07-01,2024.0,14,England,,,,Left,3,2,1,High/Medium,Normal (170-185),No,683000.0,,Rapid,71.0,40.0,55.0,59.0,56.0,62.0,59,36,56,55,28,60,56,51,52,56,70,72,66,52,62,50,68,50,67,41,62,57,58,55,32,52.0,56,57,55,14,8,6,11,10,,53+2,53+2,53+2,56,55,55,55,56,55+2,55+2,55+2,57+2,54+2,54+2,54+2,57+2,57+2,56+2,56+2,56+2,57+2,57+2,58+2,58+2,58+2,57+2,15+2
268544,/player/268544/murphy-mahoney/240002,24.0,2.0,2023-09-22,M. Mahoney,Murphy Mahoney,GK,58,66,400000.0,1000.0,21,2001-12-27,188,79,1934.0,Swindon Town,61.0,League Two,4.0,GK,1.0,Queens Park Rangers,,2024.0,14,England,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,13,7,12,17,8,7,12,13,26,19,44,36,32,52,39,41,59,20,64,7,20,8,8,38,12,23.0,8,10,14,57,57,54,56,60,41.0,22+2,22+2,22+2,20,21,21,21,20,22+2,22+2,22+2,22+2,22+2,22+2,22+2,22+2,19+2,21+2,21+2,21+2,19+2,19+2,21+2,21+2,21+2,19+2,57+2
274404,/player/274404/benn-ward/240002,24.0,2.0,2023-09-22,B. Ward,Benn Ward,"CB, LWB, CDM",57,70,375000.0,3000.0,19,2004-01-20,185,77,1934.0,Swindon Town,61.0,League Two,4.0,SUB,3.0,Burnley,,2024.0,14,England,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,,,,62.0,24.0,36.0,44.0,57.0,64.0,23,19,57,47,28,44,33,26,42,39,63,62,46,51,57,39,66,59,68,18,58,55,29,29,33,48.0,56,59,57,10,11,10,7,13,,40+2,40+2,40+2,39,39,39,39,39,39+2,39+2,39+2,41+2,42+2,42+2,42+2,41+2,50+2,51+2,51+2,51+2,50+2,52+2,57+2,57+2,57+2,52+2,15+2
271559,/player/271559/brooklyn-genesini/240002,24.0,2.0,2023-09-22,B. Genesini,Brooklyn Genesini,"RWB, LWB, RB",57,65,350000.0,1000.0,21,2001-12-12,180,70,1934.0,Swindon Town,61.0,League Two,4.0,LWB,14.0,,2023-08-08,2025.0,14,England,,,,Right,3,2,1,High/Medium,Lean (170-185),No,683000.0,,,76.0,32.0,46.0,59.0,50.0,51.0,48,30,37,53,33,60,55,28,44,55,80,72,70,51,71,40,49,62,47,24,47,47,51,33,30,44.0,49,55,53,8,15,9,6,11,,47+2,47+2,47+2,53,50,50,50,53,50+2,50+2,50+2,54+2,48+2,48+2,48+2,54+2,55+2,50+2,50+2,50+2,55+2,54+2,50+2,50+2,50+2,54+2,14+2
265562,/player/265562/harrison-minturn/240002,24.0,2.0,2023-09-22,H. Minturn,Harrison Minturn,CB,57,64,300000.0,1000.0,19,2003-12-26,188,79,1934.0,Swindon Town,61.0,League Two,4.0,SUB,31.0,,2021-11-20,2024.0,14,England,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,585000.0,,,60.0,24.0,35.0,43.0,56.0,67.0,22,20,55,47,26,36,21,24,39,47,54,65,44,53,68,35,68,60,76,23,54,55,20,28,28,48.0,54,58,56,12,14,14,11,8,,39+2,39+2,39+2,38,38,38,38,38,38+2,38+2,38+2,40+2,42+2,42+2,42+2,40+2,50+2,52+2,52+2,52+2,50+2,52+2,57+2,57+2,57+2,52+2,16+2
268264,/player/268264/harvey-fox/240002,24.0,2.0,2023-09-22,H. Fox,Harvey Fox,LWB,52,63,160000.0,550.0,18,2004-09-24,175,66,1934.0,Swindon Town,61.0,League Two,4.0,SUB,36.0,,2022-03-08,2024.0,14,England,,,,Left,3,2,1,High/Medium,Normal (170-185),No,312000.0,,,72.0,25.0,40.0,48.0,46.0,48.0,45,21,43,44,25,47,37,33,36,43,70,73,62,47,71,27,38,60,43,26,46,44,46,35,36,37.0,40,54,51,12,15,7,11,6,,40+2,40+2,40+2,45,43,43,43,45,43+2,43+2,43+2,47+2,43+2,43+2,43+2,47+2,50+2,45+2,45+2,45+2,50+2,51+2,46+2,46+2,46+2,51+2,15+2
274071,/player/274071/abu-kanu/240002,24.0,2.0,2023-09-22,A. Kanu,Abu Kanu,"CAM, ST",52,59,150000.0,500.0,17,2005-10-17,178,72,1934.0,Swindon Town,61.0,League Two,4.0,SUB,38.0,,2023-01-14,2024.0,14,England,,,,Right,3,2,1,High/Medium,Lean (170-185),No,293000.0,,,74.0,48.0,46.0,55.0,30.0,48.0,40,49,39,49,45,51,43,42,44,53,75,74,72,51,71,48,48,46,50,47,43,25,45,52,45,50.0,35,25,29,15,9,10,7,13,,50+2,50+2,50+2,53,52,52,52,53,52+2,52+2,52+2,52+2,47+2,47+2,47+2,52+2,43+2,40+2,40+2,40+2,43+2,42+2,37+2,37+2,37+2,42+2,15+2
271667,/player/271667/conor-brann/240002,24.0,2.0,2023-09-22,C. Brann,Conor Brann,GK,52,58,100000.0,1000.0,20,2003-06-27,193,85,1934.0,Swindon Town,61.0,League Two,4.0,SUB,25.0,,2022-09-01,2025.0,25,Republic of Ireland,,,,Right,1,1,1,Medium/Medium,Lean (185+),No,195000.0,,,,,,,,,12,7,13,29,6,12,12,14,20,16,32,35,36,44,49,38,47,29,54,6,25,14,5,24,15,21.0,7,14,11,53,51,50,52,54,33.0,20+2,20+2,20+2,19,20,20,20,19,20+2,20+2,20+2,21+2,21+2,21+2,21+2,21+2,20+2,22+2,22+2,22+2,20+2,20+2,21+2,21+2,21+2,20+2,51+2
