player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
187796,/player/187796/kristian-dennis/240002,24.0,2.0,2023-09-22,K. Dennis,Kristian Dennis,ST,65,65,450000.0,5000.0,33,1990-03-12,180,75,15048.0,Tranmere Rovers,61.0,League Two,4.0,RW,14.0,,2023-07-01,2025.0,14,England,,,,Left,1,2,1,High/Low,Normal (170-185),No,788000.0,,,65.0,65.0,52.0,63.0,38.0,75.0,38,65,64,58,61,60,51,60,46,63,63,66,74,65,68,68,73,81,73,62,72,40,66,59,67,64.0,32,38,22,5,7,21,3,5,,65,65,65,61,63,63,63,61,61+2,61+2,61+2,60+2,58+2,58+2,58+2,60+2,50+2,51+2,51+2,51+2,50+2,49+2,49+2,49+2,49+2,49+2,12+2
206170,/player/206170/jordan-turnbull/240002,24.0,2.0,2023-09-22,J. Turnbull,Jordan Robert Turnbull,CB,65,65,625000.0,4000.0,28,1994-10-30,185,72,15048.0,Tranmere Rovers,61.0,League Two,4.0,LCB,6.0,,2022-07-26,2024.0,14,England,,,,Left,2,2,1,Low/Medium,Normal (185+),No,1100000.0,,"Jockey, Aerial",50.0,27.0,44.0,48.0,64.0,79.0,38,23,62,52,23,43,29,21,45,48,51,50,57,62,59,38,81,75,81,26,76,64,23,45,35,55.0,64,64,62,11,15,10,10,14,,42+2,42+2,42+2,42,42,42,42,42,44+2,44+2,44+2,45+2,49+2,49+2,49+2,45+2,57+2,60+2,60+2,60+2,57+2,58+2,65,65,65,58+2,18+2
237731,/player/237731/josh-hawkes/240002,24.0,2.0,2023-09-22,J. Hawkes,Josh Hawkes,LM,63,68,725000.0,3000.0,24,1999-01-28,180,70,15048.0,Tranmere Rovers,61.0,League Two,4.0,LW,11.0,,2022-01-25,2024.0,14,England,,,,Right,3,3,1,High/Low,Normal (170-185),No,1300000.0,,Whipped Cross,71.0,61.0,60.0,63.0,36.0,58.0,62,63,38,59,53,62,64,62,55,61,74,69,72,56,71,60,54,77,56,61,41,35,59,60,57,59.0,34,38,32,13,7,7,6,10,,59+2,59+2,59+2,62,61,61,61,62,61+2,61+2,61+2,62+2,58+2,58+2,58+2,62+2,53+2,49+2,49+2,49+2,53+2,50+2,42+2,42+2,42+2,50+2,14+2
227947,/player/227947/regan-hendry/240002,24.0,2.0,2023-09-22,R. Hendry,Regan Hendry,CM,63,65,600000.0,3000.0,25,1998-01-21,176,73,15048.0,Tranmere Rovers,61.0,League Two,4.0,LCM,8.0,,2023-07-01,2025.0,42,Scotland,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,Dead Ball,71.0,58.0,61.0,65.0,58.0,63.0,57,56,51,62,46,63,61,59,61,64,68,73,76,62,77,61,60,78,58,63,56,57,59,63,57,60.0,59,60,56,14,13,7,7,12,,60+2,60+2,60+2,63,62,62,62,63,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,62+2,61+2,61+2,61+2,62+2,62+2,58+2,58+2,58+2,62+2,17+2
208852,/player/208852/kieron-morris/240002,24.0,2.0,2023-09-22,K. Morris,Kieron Morris,RM,63,63,475000.0,4000.0,29,1994-06-03,178,71,15048.0,Tranmere Rovers,61.0,League Two,4.0,RCM,7.0,,2019-07-01,2024.0,14,England,,,,Left,4,3,1,High/Low,Normal (170-185),No,831000.0,,"Power Shot, Technical",69.0,61.0,59.0,66.0,53.0,67.0,58,58,51,61,49,65,60,55,55,62,69,69,80,60,75,70,64,75,66,63,62,54,59,60,60,60.0,52,55,50,16,16,9,12,12,,61+2,61+2,61+2,63,62,62,62,63,62+1,62+1,62+1,62+1,61+2,61+2,61+2,62+1,60+2,58+2,58+2,58+2,60+2,59+2,57+2,57+2,57+2,59+2,19+2
222947,/player/222947/tom-davies/240002,24.0,2.0,2023-09-22,T. Davies,Thomas Christopher Davies,CB,63,63,325000.0,3000.0,31,1992-04-18,185,78,15048.0,Tranmere Rovers,61.0,League Two,4.0,RCB,5.0,,2021-07-01,2025.0,14,England,,,,Right,2,2,1,Low/High,Normal (185+),No,569000.0,,Aerial,54.0,27.0,41.0,47.0,62.0,74.0,32,21,63,52,30,39,28,28,46,50,52,55,58,59,61,41,78,70,74,24,79,60,32,35,28,54.0,63,62,61,16,14,7,12,10,,43+2,43+2,43+2,42,42,42,42,42,43+2,43+2,43+2,44+2,47+2,47+2,47+2,44+2,55+2,58+2,58+2,58+2,55+2,57+2,63,63,63,57+2,18+2
243840,/player/243840/lee-oconnor/240002,24.0,2.0,2023-09-22,L. O'Connor,Lee Patrick O'Connor,"CM, CDM",62,66,575000.0,3000.0,22,2000-07-28,178,75,15048.0,Tranmere Rovers,61.0,League Two,4.0,RB,2.0,,2022-01-25,2024.0,25,Republic of Ireland,,,,Right,3,2,1,Low/High,Normal (170-185),No,1000000.0,,"Anticipate, Slide Tackle",70.0,53.0,60.0,64.0,61.0,69.0,56,50,58,63,43,62,56,47,60,63,72,69,70,61,77,58,79,81,65,58,61,62,59,61,48,64.0,60,62,64,12,12,11,8,14,,59+2,59+2,59+2,61,61,61,61,61,62+2,62+2,62+2,63+2,62+2,62+2,62+2,63+2,64+2,63+2,63+2,63+2,64+2,64+2,62+2,62+2,62+2,64+2,17+2
225361,/player/225361/luke-mcgee/240002,24.0,2.0,2023-09-22,L. McGee,Luke Paul McGee,GK,62,63,350000.0,2000.0,27,1995-09-02,193,83,15048.0,Tranmere Rovers,61.0,League Two,4.0,GK,1.0,,2023-07-01,2024.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,639000.0,,,,,,,,,15,13,14,42,12,14,11,13,43,27,33,42,33,54,45,47,50,26,51,13,26,14,7,45,30,37.0,12,17,20,63,61,62,61,63,37.0,26+2,26+2,26+2,26,27,27,27,26,30+2,30+2,30+2,28+2,32+2,32+2,32+2,28+2,26+2,29+2,29+2,29+2,26+2,25+2,25+2,25+2,25+2,25+2,61+2
203416,/player/203416/luke-norris/240002,24.0,2.0,2023-09-22,L. Norris,Luke Michael Norris,ST,62,62,400000.0,3000.0,30,1993-06-03,184,84,15048.0,Tranmere Rovers,61.0,League Two,4.0,ST,9.0,,2023-07-01,2024.0,14,England,,,,Right,3,2,1,High/Low,Stocky (170-185),No,700000.0,,Aerial,60.0,61.0,50.0,59.0,25.0,73.0,44,61,62,58,57,59,57,61,42,60,56,63,57,60,59,62,75,69,81,59,58,18,62,45,69,58.0,33,14,13,8,12,13,9,6,,62,62,62,57,59,59,59,57,57+2,57+2,57+2,57+2,52+2,52+2,52+2,57+2,43+2,42+2,42+2,42+2,43+2,40+2,41+2,41+2,41+2,40+2,15+2
240674,/player/240674/chris-merrie/240002,24.0,2.0,2023-09-22,C. Merrie,Christopher Francis Merrie,"CM, CDM",61,63,425000.0,3000.0,24,1998-11-02,176,70,15048.0,Tranmere Rovers,61.0,League Two,4.0,SUB,16.0,,2021-06-10,2024.0,14,England,,,,Left,3,2,1,Medium/Medium,Lean (170-185),No,776000.0,,Slide Tackle,64.0,53.0,58.0,59.0,58.0,67.0,49,51,47,62,46,57,52,49,60,61,65,64,58,60,72,55,59,73,65,56,64,61,57,60,50,59.0,58,60,57,12,10,13,15,11,,56+2,56+2,56+2,58,58,58,58,58,59+2,59+2,59+2,59+2,61+2,61+2,61+2,59+2,60+2,61+2,61+2,61+2,60+2,60+2,59+2,59+2,59+2,60+2,17+2
