team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
1798,/team/1798/milton-keynes-dons/240002,24,2,2023-09-22,Milton Keynes Dons,61,League Two,4.0,14,England,64,65,63,63,523983.0,Molton Road (Sheldon Stadium),1938,1,9.0,,2900000.0,26.18,24.79,208302.0,239611.0,230697.0,239611.0,239611.0,239611.0,230697.0,226514.0,Balanced,51.0,61.0,,,,,,Slow build up,Possession,71.0,4.0,3.0,3.0,,,,,,,,
1931,/team/1931/stockport-county/240002,24,2,2023-09-22,Stockport County,61,League Two,4.0,14,England,64,63,65,63,1467959.0,Town Park,121,1,10.0,,2800000.0,26.73,24.96,189808.0,204979.0,246249.0,189808.0,204979.0,189808.0,228781.0,246249.0,Press after possession loss,51.0,81.0,,,,,,Slow build up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
561,/team/561/forest-green-rovers/240002,24,2,2023-09-22,Forest Green Rovers,61,League Two,4.0,14,England,63,62,61,63,37376822.0,Town Park,1936,1,5.0,,2800000.0,25.27,24.21,228226.0,237860.0,237860.0,237860.0,237860.0,229731.0,227961.0,227961.0,Balanced,51.0,37.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
1802,/team/1802/gillingham/240002,24,2,2023-09-22,Gillingham,61,League Two,4.0,14,England,63,63,64,63,3038.0,Court Lane,1934,1,8.0,,2300000.0,28.18,25.5,181681.0,198776.0,198776.0,198776.0,198776.0,204007.0,198776.0,181681.0,Balanced,41.0,51.0,,,,,,Long ball,Direct passing,51.0,3.0,3.0,3.0,,,,,,,,
1804,/team/1804/bradford-city/240002,24,2,2023-09-22,Bradford City,61,League Two,4.0,14,England,63,63,63,61,455458.0,Ivy Lane,8,1,9.0,,2400000.0,25.64,26.36,200806.0,206565.0,200806.0,206565.0,206565.0,192450.0,200806.0,200806.0,Balanced,51.0,61.0,,,,,,Slow build up,Possession,61.0,5.0,3.0,3.0,,,,,,,,
1940,/team/1940/mansfield-town/240002,24,2,2023-09-22,Mansfield Town,61,League Two,4.0,14,England,63,62,63,63,455570.0,Court Lane,149,1,9.0,,2800000.0,29.09,27.0,202408.0,173673.0,173673.0,173673.0,173673.0,236487.0,236487.0,236487.0,Press after possession loss,41.0,61.0,,,,,,Slow build up,Possession,51.0,5.0,3.0,3.0,,,,,,,,
113926,/team/113926/salford-city/240002,24,2,2023-09-22,Salford City,61,League Two,4.0,14,England,63,63,63,64,37336557.0,Town Park,1931,1,9.0,,2400000.0,28.73,25.15,203215.0,225847.0,225847.0,225847.0,225847.0,240599.0,225847.0,225847.0,Balanced,61.0,61.0,,,,,,Slow build up,Possession,71.0,4.0,3.0,3.0,,,,,,,,
92,/team/92/grimsby-town/240002,24,2,2023-09-22,Grimsby Town,61,League Two,4.0,14,England,62,63,62,62,17867632.0,Town Park,149,1,6.0,,2200000.0,26.91,25.21,189159.0,207513.0,207513.0,207513.0,207513.0,207513.0,247741.0,247741.0,Press after possession loss,51.0,81.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
381,/team/381/barrow/240002,24,2,2023-09-22,Barrow,61,League Two,4.0,14,England,62,61,61,61,28184231.0,_Longville Stadium,357,1,5.0,,2200000.0,26.91,25.89,187154.0,179636.0,179636.0,179636.0,179636.0,,179636.0,179636.0,Balanced,51.0,61.0,,,,,,Fast build up,Forward runs,71.0,3.0,3.0,3.0,,,,,,,,
1803,/team/1803/walsall/240002,24,2,2023-09-22,Walsall,61,League Two,4.0,14,England,62,62,61,62,2141.0,Court Lane,127,1,6.0,,2300000.0,24.18,24.08,209493.0,245893.0,240708.0,245893.0,245893.0,224870.0,245893.0,245893.0,Pressure on heavy touch,51.0,51.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
