player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
233500,/player/233500/luis-sinisterra/240002,24.0,2.0,2023-09-22,L. Sinisterra,Luis Fernando Sinisterra Lucumí,"LM, RM, CAM",78,82,20000000.0,41000.0,24,1999-06-17,172,60,1943.0,AFC Bournemouth,13.0,Premier League,1.0,SUB,17.0,Leeds United,,2024.0,56,Colombia,,,,Right,4,4,1,High/Medium,Normal (170-185),No,,#Acrobat,"Rapid, Flair, Trickster, Trivela",89.0,72.0,70.0,84.0,53.0,61.0,68,73,69,75,73,85,64,48,65,81,92,87,93,74,87,73,78,70,56,72,56,50,76,73,55,77.0,56,48,47,15,13,9,13,9,,75+2,75+2,75+2,79,78,78,78,79,78+2,78+2,78+2,77+2,72+2,72+2,72+2,77+2,66+2,63+2,63+2,63+2,66+2,64+2,58+2,58+2,58+2,64+2,19+2
232999,/player/232999/tyler-adams/240002,24.0,2.0,2023-09-22,T. Adams,Tyler Shaan Adams,"CDM, CM",78,80,16500000.0,40000.0,24,1999-02-14,175,72,1943.0,AFC Bournemouth,13.0,Premier League,1.0,SUB,18.0,,2023-08-20,2028.0,95,United States,1387.0,CDM,4.0,Right,3,3,3,Medium/High,Normal (170-185),Yes,32600000.0,,,78.0,48.0,67.0,72.0,77.0,77.0,55,48,65,76,33,68,52,42,72,72,85,73,77,79,85,51,79,89,68,46,82,78,65,71,51,77.0,74,82,76,6,13,12,8,7,,63+3,63+3,63+3,68,67,67,67,68,70+3,70+3,70+3,70+3,73+3,73+3,73+3,70+3,75+3,77+3,77+3,77+3,75+3,76+3,76+3,76+3,76+3,76+3,16+3
194404,/player/194404/norberto-murara-neto/240002,24.0,2.0,2023-09-22,Neto,Norberto Murara Neto,GK,78,78,4600000.0,37000.0,33,1989-07-19,190,84,1943.0,AFC Bournemouth,13.0,Premier League,1.0,GK,1.0,,2022-08-07,2026.0,54,Brazil,,,,Right,2,1,2,Medium/Medium,Lean (185+),Yes,8700000.0,,,,,,,,,11,15,14,36,12,19,12,13,41,24,56,52,59,76,49,57,68,40,61,20,40,15,11,42,22,64.0,17,14,15,79,76,76,76,77,54.0,32+2,32+2,32+2,31,32,32,32,31,33+2,33+2,33+2,32+2,33+2,33+2,33+2,32+2,29+2,31+2,31+2,31+2,29+2,28+2,28+2,28+2,28+2,28+2,77+1
236920,/player/236920/justin-kluivert/240002,24.0,2.0,2023-09-22,J. Kluivert,Justin Kluivert,"RM, LM",77,82,16000000.0,41000.0,24,1999-05-05,171,67,1943.0,AFC Bournemouth,13.0,Premier League,1.0,LM,19.0,,2023-07-01,2028.0,34,Netherlands,,,,Right,4,4,1,High/Medium,Normal (170-185),Yes,31600000.0,,"Rapid, Flair, Trivela",88.0,73.0,71.0,79.0,38.0,63.0,77,71,56,71,67,81,72,58,66,77,88,88,86,67,82,79,74,67,60,75,63,30,72,74,66,71.0,43,35,30,5,6,14,7,12,,72+2,72+2,72+2,77,75,75,75,77,75+2,75+2,75+2,76+2,68+2,68+2,68+2,76+2,59+2,55+2,55+2,55+2,59+2,56+2,49+2,49+2,49+2,56+2,14+2
220714,/player/220714/philip-billing/240002,24.0,2.0,2023-09-22,P. Billing,Philip Billing,"CM, CAM",77,78,12000000.0,47000.0,27,1996-06-11,197,80,1943.0,AFC Bournemouth,13.0,Premier League,1.0,LDM,29.0,,2019-07-29,2027.0,13,Denmark,1331.0,SUB,8.0,Left,3,3,1,Medium/Medium,Lean (185+),Yes,23700000.0,#Aerial threat,Long Throw,59.0,78.0,73.0,75.0,71.0,81.0,62,78,77,78,73,78,74,71,75,79,53,63,54,81,49,85,81,81,82,78,76,74,82,74,58,81.0,69,71,69,11,7,10,14,13,,78,78,78,74,77,77,77,74,76+2,76+2,76+2,74+2,77+1,77+1,77+1,74+2,72+2,75+2,75+2,75+2,72+2,72+2,74+2,74+2,74+2,72+2,19+2
240787,/player/240787/hamed-traore/240002,24.0,2.0,2023-09-22,H. Traorè,Hamed Junior Traorè,"LM, LW, CAM",76,80,11000000.0,38000.0,23,2000-02-16,177,77,1943.0,AFC Bournemouth,13.0,Premier League,1.0,SUB,22.0,,2023-07-01,2028.0,108,Côte d'Ivoire,,,,Right,3,3,1,High/Low,Normal (170-185),No,21700000.0,,"Finesse Shot, Technical, Flair",79.0,69.0,72.0,78.0,57.0,62.0,71,69,64,73,66,79,70,67,70,80,83,76,81,72,73,74,76,63,62,67,59,41,72,74,64,67.0,60,60,61,8,10,14,12,11,,72+2,72+2,72+2,75,75,75,75,75,75+2,75+2,75+2,75+2,71+2,71+2,71+2,75+2,66+2,64+2,64+2,64+2,66+2,65+2,61+2,61+2,61+2,65+2,17+2
236506,/player/236506/marcos-senesi/240002,24.0,2.0,2023-09-22,M. Senesi,Marcos Nicolás Senesi Barón,CB,76,78,8000000.0,40000.0,26,1997-05-10,183,78,1943.0,AFC Bournemouth,13.0,Premier League,1.0,RCB,25.0,,2022-08-08,2026.0,52,Argentina,,,,Left,4,3,2,Low/Medium,Normal (170-185),Yes,15800000.0,,Intercept,59.0,42.0,69.0,72.0,76.0,75.0,63,32,74,75,58,73,41,32,76,75,65,54,66,73,61,55,80,71,77,52,74,77,32,75,40,75.0,77,76,77,10,13,11,7,8,,57+2,57+2,57+2,62,61,61,61,62,65+2,65+2,65+2,65+2,70+2,70+2,70+2,65+2,72+2,75+2,75+2,75+2,72+2,72+2,76+2,76+2,76+2,72+2,17+2
260908,/player/260908/milos-kerkez/240002,24.0,2.0,2023-09-22,M. Kerkez,Milos Kerkez,LB,75,85,11500000.0,20000.0,19,2003-11-07,176,71,1943.0,AFC Bournemouth,13.0,Premier League,1.0,LB,3.0,,2023-07-20,2027.0,23,Hungary,1886.0,LWB,11.0,Left,3,3,1,High/Medium,Lean (170-185),No,24200000.0,,"Block, Slide Tackle, Rapid",82.0,53.0,66.0,73.0,69.0,74.0,73,53,62,69,52,73,54,42,59,71,85,79,83,69,82,55,70,89,65,50,79,70,62,67,46,65.0,68,69,72,8,13,10,13,13,,64+2,64+2,64+2,69,67,67,67,69,68+2,68+2,68+2,71+2,68+2,68+2,68+2,71+2,73+2,70+2,70+2,70+2,73+2,73+2,69+2,69+2,69+2,73+2,18+2
237477,/player/237477/marcus-tavernier/240002,24.0,2.0,2023-09-22,M. Tavernier,Marcus Tavernier,"LM, RM, CAM",75,79,8000000.0,37000.0,24,1999-03-22,177,70,1943.0,AFC Bournemouth,13.0,Premier League,1.0,SUB,16.0,,2022-08-01,2027.0,14,England,,,,Left,3,3,1,High/Medium,Normal (170-185),Yes,15800000.0,,Technical,78.0,72.0,71.0,77.0,59.0,62.0,70,72,50,72,62,79,80,58,67,76,79,77,78,73,79,75,68,80,60,75,41,59,71,72,63,73.0,56,65,55,9,14,6,12,8,,71+2,71+2,71+2,75,74,74,74,75,74+2,74+2,74+2,74+2,72+2,72+2,72+2,74+2,69+2,65+2,65+2,65+2,69+2,67+2,60+2,60+2,60+2,67+2,17+2
225539,/player/225539/dominic-solanke/240002,24.0,2.0,2023-09-22,D. Solanke,Dominic Solanke,ST,75,78,7500000.0,44000.0,25,1997-09-14,187,80,1943.0,AFC Bournemouth,13.0,Premier League,1.0,ST,9.0,,2019-01-04,2026.0,14,England,,,,Right,3,3,1,High/Medium,Lean (185+),Yes,14800000.0,,"Flair, Acrobatic",72.0,74.0,64.0,73.0,28.0,79.0,54,76,74,72,75,75,56,47,59,72,65,78,64,74,67,76,81,86,79,69,68,22,76,71,72,75.0,21,25,22,9,15,14,9,10,,75+2,75+2,75+2,71,74,74,74,71,72+2,72+2,72+2,71+2,67+2,67+2,67+2,71+2,53+2,52+2,52+2,52+2,53+2,50+2,46+2,46+2,46+2,50+2,18+2
