player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
222665,/player/222665/martin-odegaard/240002,24.0,2.0,2023-09-22,M. Ødegaard,Martin Ødegaard,"CAM, CM",87,90,109000000.0,170000.0,24,1998-12-17,178,68,1.0,Arsenal,13.0,Premier League,1.0,RCM,8.0,,2021-08-20,2026.0,36,Norway,1352.0,RCM,10.0,Left,2,5,4,High/Medium,Lean (170-185),Yes,215300000.0,"#Dribbler, #Playmaker, #Complete midfielder","Pinged Pass +, Incisive Pass, Whipped Cross, Technical, Flair, First Touch, Trivela",72.0,81.0,88.0,87.0,61.0,64.0,85,82,55,90,79,86,83,85,87,89,74,71,85,84,82,82,66,81,56,83,64,66,83,89,63,86.0,67,55,54,14,15,15,8,10,,79+3,79+3,79+3,84,84,84,84,84,86+3,86+3,86+3,84+3,84+3,84+3,84+3,84+3,75+3,75+3,75+3,75+3,75+3,71+3,64+3,64+3,64+3,71+3,20+3
246669,/player/246669/bukayo-saka/240002,24.0,2.0,2023-09-22,B. Saka,Bukayo Saka,"RW, RM",86,90,99000000.0,150000.0,21,2001-09-05,178,65,1.0,Arsenal,13.0,Premier League,1.0,RW,7.0,,2018-09-14,2027.0,14,England,1318.0,RW,7.0,Left,3,3,2,High/Medium,Lean (170-185),Yes,195500000.0,#Dribbler,"Technical, Flair",85.0,81.0,79.0,87.0,60.0,70.0,83,83,45,81,79,89,81,69,69,87,88,82,85,85,86,78,70,84,63,79,68,62,82,83,82,80.0,60,62,60,7,8,13,9,13,,78+2,78+2,78+2,85,83,83,83,85,84+2,84+2,84+2,84+2,80+2,80+2,80+2,84+2,75+2,72+2,72+2,72+2,75+2,72+2,64+2,64+2,64+2,72+2,18+2
234378,/player/234378/declan-rice/240002,24.0,2.0,2023-09-22,D. Rice,Declan Rice,"CDM, CM",85,87,63000000.0,130000.0,24,1999-01-14,185,80,1.0,Arsenal,13.0,Premier League,1.0,CDM,41.0,,2023-07-15,2028.0,14,England,1318.0,CDM,4.0,Right,3,2,3,Medium/High,Normal (185+),Yes,124400000.0,#Tactician ,"Long Ball Pass, Block, Intercept, Press Proven",71.0,65.0,75.0,77.0,83.0,83.0,55,61,72,83,50,80,68,65,84,79,67,74,55,83,65,78,79,91,79,65,84,86,58,78,71,83.0,83,84,82,8,11,14,5,9,,71+3,71+3,71+3,71,73,73,73,71,75+3,75+3,75+3,74+3,80+3,80+3,80+3,74+3,79+3,83+3,83+3,83+3,79+3,79+3,82+3,82+3,82+3,79+3,17+3
209989,/player/209989/thomas-partey/240002,24.0,2.0,2023-09-22,T. Partey,Thomas Partey,"CDM, CM",85,85,45000000.0,150000.0,30,1993-06-13,185,77,1.0,Arsenal,13.0,Premier League,1.0,SUB,5.0,,2020-10-05,2024.0,117,Ghana,111462.0,RDM,5.0,Right,3,3,2,Medium/High,Lean (185+),Yes,85500000.0,,"Incisive Pass, Long Ball Pass, Press Proven",68.0,71.0,82.0,80.0,81.0,82.0,74,66,68,86,56,84,69,70,86,84,60,74,63,82,50,86,77,79,84,78,84,82,70,85,49,87.0,82,85,79,11,13,9,9,7,,75+2,75+2,75+2,77,78,78,78,77,80+2,80+2,80+2,79+2,83+2,83+2,83+2,79+2,80+2,83+2,83+2,83+2,80+2,79+2,81+2,81+2,81+2,79+2,18+2
251566,/player/251566/gabriel-teodoro-martinelli-silva/240002,24.0,2.0,2023-09-22,Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,"LW, LM",84,88,61500000.0,145000.0,22,2001-06-18,178,75,1.0,Arsenal,13.0,Premier League,1.0,LW,11.0,,2019-07-02,2027.0,54,Brazil,,,,Right,3,4,2,High/High,Lean (170-185),Yes,121500000.0,"#Dribbler, #Acrobat","Finesse Shot, Technical, Flair, Quick Step, Trivela",89.0,78.0,76.0,86.0,46.0,72.0,79,83,72,79,78,89,74,68,65,84,91,88,87,82,81,77,82,82,63,73,80,39,82,79,62,79.0,44,44,43,10,6,7,6,6,,81+2,81+2,81+2,84,83,83,83,84,82+2,82+2,82+2,83+2,75+2,75+2,75+2,83+2,67+2,63+2,63+2,63+2,67+2,64+2,58+2,58+2,58+2,64+2,15+2
233934,/player/233934/aaron-ramsdale/240002,24.0,2.0,2023-09-22,A. Ramsdale,Aaron Ramsdale,GK,84,87,43000000.0,105000.0,25,1998-05-14,191,77,1.0,Arsenal,13.0,Premier League,1.0,GK,1.0,,2021-08-20,2026.0,14,England,1318.0,SUB,13.0,Right,3,1,2,Medium/Medium,Lean (185+),Yes,84900000.0,,,,,,,,,15,14,15,56,16,18,17,16,57,36,47,50,53,83,49,65,65,35,59,15,35,24,18,65,25,65.0,20,16,15,84,79,87,81,86,48.0,35+2,35+2,35+2,36,39,39,39,36,42+2,42+2,42+2,39+2,44+2,44+2,44+2,39+2,33+2,40+2,40+2,40+2,33+2,32+2,31+2,31+2,31+2,32+2,83+2
232580,/player/232580/gabriel-dos-s-magalhaes/240002,24.0,2.0,2023-09-22,Gabriel,Gabriel dos Santos Magalhães,CB,84,86,47000000.0,130000.0,25,1997-12-19,190,87,1.0,Arsenal,13.0,Premier League,1.0,LCB,6.0,,2020-09-01,2027.0,54,Brazil,,,,Left,2,2,2,Medium/High,Normal (185+),Yes,92800000.0,"#Tactician, #Strength","Bruiser, Aerial",70.0,41.0,62.0,60.0,85.0,82.0,38,37,85,78,28,52,47,27,74,71,61,77,51,85,37,62,86,71,86,30,85,86,44,59,40,74.0,85,84,85,12,8,13,10,7,,61+2,61+2,61+2,57,60,60,60,57,61+2,61+2,61+2,61+2,68+2,68+2,68+2,61+2,73+2,80+2,80+2,80+2,73+2,76+2,84+2,84+2,84+2,76+2,18+2
230666,/player/230666/gabriel-fernando-de-jesus/240002,24.0,2.0,2023-09-22,Gabriel Jesus,Gabriel Fernando de Jesus,"ST, RW",84,85,50500000.0,165000.0,26,1997-04-03,175,73,1.0,Arsenal,13.0,Premier League,1.0,SUB,9.0,,2022-07-04,2027.0,54,Brazil,,,,Right,3,4,2,High/High,Unique,Yes,99700000.0,"#Dribbler, #Acrobat","Technical, Flair, First Touch, Relentless",83.0,82.0,75.0,88.0,40.0,77.0,74,83,78,81,79,88,76,54,66,87,86,81,92,88,90,84,87,82,72,78,82,32,88,79,75,78.0,45,30,28,13,8,6,6,15,,84+1,84+1,84+1,84,85,85,85,84,84+1,84+1,84+1,83+2,76+2,76+2,76+2,83+2,63+2,61+2,61+2,61+2,63+2,60+2,55+2,55+2,55+2,60+2,19+2
243715,/player/243715/william-saliba/240002,24.0,2.0,2023-09-22,W. Saliba,William Alain André Gabriel Saliba,CB,83,89,53000000.0,105000.0,22,2001-03-24,193,85,1.0,Arsenal,13.0,Premier League,1.0,RCB,2.0,,2019-07-25,2024.0,18,France,,,,Right,3,2,2,Medium/High,Normal (185+),Yes,111300000.0,#Strength,"Power Header, Jockey, Anticipate",82.0,39.0,69.0,73.0,84.0,82.0,58,35,72,83,34,72,55,35,76,81,77,86,50,84,59,60,87,70,87,23,83,82,43,62,47,81.0,85,87,83,7,10,6,8,11,,62+2,62+2,62+2,65,65,65,65,65,67+2,67+2,67+2,70+2,72+2,72+2,72+2,70+2,78+2,81+2,81+2,81+2,78+2,80+2,83+2,83+2,83+2,80+2,17+2
205498,/player/205498/luiz-frello-filho-jorge/240002,24.0,2.0,2023-09-22,Jorginho,Luiz Frello Filho Jorge,"CDM, CM",83,83,25500000.0,125000.0,31,1991-12-20,178,68,1.0,Arsenal,13.0,Premier League,1.0,SUB,20.0,,2023-01-31,2024.0,27,Italy,,,,Right,3,3,2,Medium/Medium,Lean (170-185),Yes,48500000.0,,"Pinged Pass, Incisive Pass, Anticipate, First Touch, Press Proven",53.0,67.0,84.0,81.0,74.0,73.0,75,65,56,89,68,79,75,76,88,87,63,45,72,82,72,71,66,86,66,61,77,80,69,84,89,84.0,71,80,70,14,7,13,14,8,,70+2,70+2,70+2,75,75,75,75,75,78+2,78+2,78+2,77+2,83,83,83,77+2,77+2,81+2,81+2,81+2,77+2,75+2,73+2,73+2,73+2,75+2,19+2
