player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
211738,/player/211738/mark-flekken/240002,24.0,2.0,2023-09-22,M. Flekken,Mark Flekken,GK,82,82,20500000.0,56000.0,30,1993-06-13,195,87,1925.0,Brentford,13.0,Premier League,1.0,GK,1.0,,2023-07-01,2027.0,34,Netherlands,105035.0,GK,1.0,Right,4,1,1,Medium/Medium,Normal (185+),Yes,39000000.0,,Footwork,,,,,,,14,16,11,39,14,12,19,12,42,34,28,36,34,82,38,62,63,28,72,11,32,12,14,43,23,39.0,15,13,20,81,74,83,81,85,31.0,32+2,32+2,32+2,28,32,32,32,28,32+2,32+2,32+2,30+2,34+2,34+2,34+2,30+2,27+2,32+2,32+2,32+2,27+2,26+2,28+2,28+2,28+2,26+2,81+1
189682,/player/189682/ben-mee/240002,24.0,2.0,2023-09-22,B. Mee,Ben Mee,CB,79,79,8500000.0,56000.0,33,1989-09-21,180,82,1925.0,Brentford,13.0,Premier League,1.0,LCB,16.0,,2022-07-22,2024.0,14,England,,,,Left,3,2,2,Medium/High,Normal (170-185),Yes,16200000.0,,"Long Ball Pass, Block, Anticipate, Acrobatic",51.0,42.0,54.0,57.0,82.0,76.0,59,36,82,54,29,50,45,31,59,61,50,52,56,78,61,60,87,67,77,39,84,80,40,52,42,75.0,85,82,79,15,7,12,10,14,,55+2,55+2,55+2,52,53,53,53,52,53+2,53+2,53+2,55+2,59+2,59+2,59+2,55+2,68+2,71+2,71+2,71+2,68+2,71+2,79,79,79,71+2,19+2
238717,/player/238717/ethan-pinnock/240002,24.0,2.0,2023-09-22,E. Pinnock,Ethan Rupert Pinnock,CB,79,79,14500000.0,56000.0,30,1993-05-29,194,79,1925.0,Brentford,13.0,Premier League,1.0,RCB,5.0,,2019-07-02,2027.0,82,Jamaica,,,,Left,3,2,1,Medium/High,Lean (185+),Yes,27600000.0,#Aerial threat,"Power Header, Long Ball Pass, Anticipate, Long Throw, Aerial",70.0,37.0,57.0,62.0,80.0,82.0,42,33,77,67,33,60,40,37,65,66,65,74,51,77,56,53,86,75,86,31,82,77,39,58,44,71.0,83,81,80,5,9,13,6,8,,57+2,57+2,57+2,56,57,57,57,56,58+2,58+2,58+2,60+2,64+2,64+2,64+2,60+2,70+2,74+2,74+2,74+2,70+2,73+2,79,79,79,73+2,15+2
243014,/player/243014/bryan-mbeumo/240002,24.0,2.0,2023-09-22,B. Mbeumo,Bryan Mbeumo,"RW, ST",78,81,19000000.0,53000.0,23,1999-08-07,171,75,1925.0,Brentford,13.0,Premier League,1.0,RW,19.0,,2019-08-05,2026.0,103,Cameroon,,,,Left,2,4,1,High/High,Normal (170-185),Yes,37500000.0,,"Rapid, Quick Step",83.0,77.0,72.0,78.0,45.0,74.0,75,77,62,72,78,79,74,70,65,76,87,79,87,76,75,80,79,78,69,74,80,48,80,75,75,72.0,44,41,37,7,14,15,13,14,,76+2,76+2,76+2,78,77,77,77,78,76+2,76+2,76+2,77+2,71+2,71+2,71+2,77+2,64+2,61+2,61+2,61+2,64+2,61+2,56+2,56+2,56+2,61+2,19+2
224494,/player/224494/rico-henry/240002,24.0,2.0,2023-09-22,R. Henry,Rico Henry,"LB, LWB",78,79,15500000.0,48000.0,25,1997-07-08,170,66,1925.0,Brentford,13.0,Premier League,1.0,LB,3.0,,2016-08-31,2026.0,14,England,,,,Left,2,3,1,High/High,Lean (170-),Yes,30600000.0,,"Rapid, Quick Step, Trivela",89.0,41.0,62.0,75.0,74.0,72.0,68,40,53,69,33,71,49,39,57,74,91,87,89,76,91,44,75,80,65,36,78,74,67,55,43,72.0,78,78,75,13,12,12,6,12,,60+2,60+2,60+2,68,65,65,65,68,66+2,66+2,66+2,70+2,66+2,66+2,66+2,70+2,76+2,72+2,72+2,72+2,76+2,76+2,73+2,73+2,73+2,76+2,18+2
210697,/player/210697/christian-norgaard/240002,24.0,2.0,2023-09-22,C. Nørgaard,Christian Thers Nørgaard,CDM,77,77,9000000.0,50000.0,29,1994-03-10,187,77,1925.0,Brentford,13.0,Premier League,1.0,CDM,6.0,,2019-06-11,2025.0,13,Denmark,1331.0,CDM,15.0,Right,3,3,1,Medium/High,Lean (185+),No,17100000.0,,Intercept,57.0,60.0,69.0,69.0,76.0,79.0,64,61,69,74,51,66,64,64,73,74,59,56,61,75,67,63,75,81,77,57,80,79,64,65,60,74.0,76,78,73,11,9,13,14,11,,66+2,66+2,66+2,66,67,67,67,66,68+2,68+2,68+2,68+2,72+2,72+2,72+2,68+2,73+2,76+1,76+1,76+1,73+2,73+2,75+2,75+2,75+2,73+2,18+2
234824,/player/234824/yoane-wissa/240002,24.0,2.0,2023-09-22,Y. Wissa,Yoane Wissa,"LW, ST",77,77,11500000.0,57000.0,26,1996-09-03,176,74,1925.0,Brentford,13.0,Premier League,1.0,ST,11.0,,2021-08-10,2026.0,110,Congo DR,,,,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,21900000.0,,"Rapid, Acrobatic",85.0,77.0,69.0,78.0,29.0,70.0,71,79,65,74,73,78,56,53,60,78,83,87,82,70,73,75,78,76,68,75,66,31,78,70,71,73.0,25,23,18,14,7,6,8,15,,76+1,76+1,76+1,77,77,77,77,77,75+2,75+2,75+2,76+1,68+2,68+2,68+2,76+1,56+2,53+2,53+2,53+2,56+2,52+2,46+2,46+2,46+2,52+2,17+2
241508,/player/241508/mikkel-damsgaard/240002,24.0,2.0,2023-09-22,M. Damsgaard,Mikkel Krogh Damsgaard,"CAM, LW, CM",76,83,15000000.0,42000.0,22,2000-07-03,180,71,1925.0,Brentford,13.0,Premier League,1.0,SUB,24.0,,2022-08-10,2027.0,13,Denmark,1331.0,LW,14.0,Right,3,4,2,High/High,Lean (170-185),No,31500000.0,,"Incisive Pass, Technical, Flair",81.0,69.0,71.0,81.0,55.0,65.0,62,70,51,73,48,82,66,82,70,80,85,78,82,68,86,71,71,65,62,73,69,48,72,76,47,74.0,54,64,50,6,10,14,11,7,,71+2,71+2,71+2,75,75,75,75,75,76+2,76+2,76+2,74+2,72+2,72+2,72+2,74+2,65+2,65+2,65+2,65+2,65+2,63+2,60+2,60+2,60+2,63+2,15+2
248484,/player/248484/nathan-collins/240002,24.0,2.0,2023-09-22,N. Collins,Nathan Michael Collins,"CB, RB",76,83,14000000.0,38000.0,22,2001-04-30,193,81,1925.0,Brentford,13.0,Premier League,1.0,SUB,22.0,,2023-07-04,2029.0,25,Republic of Ireland,1355.0,RCB,12.0,Right,3,2,1,Medium/High,Normal (185+),No,29400000.0,,Anticipate,67.0,30.0,55.0,62.0,77.0,76.0,50,29,75,68,22,62,39,25,66,66,59,73,46,76,47,46,79,72,78,19,76,76,24,39,35,74.0,77,78,76,9,10,6,13,9,,52+2,52+2,52+2,53,52,52,52,53,53+2,53+2,53+2,57+2,60+2,60+2,60+2,57+2,70+2,72+2,72+2,72+2,70+2,71+2,76+2,76+2,76+2,71+2,17+2
248808,/player/248808/aaron-hickey/240002,24.0,2.0,2023-09-22,A. Hickey,Aaron Buchanan Hickey,"RB, RWB, LB",76,82,11500000.0,32000.0,21,2002-06-10,185,72,1925.0,Brentford,13.0,Premier League,1.0,RB,2.0,,2022-07-09,2026.0,42,Scotland,1359.0,RWB,22.0,Right,5,2,1,High/High,Lean (185+),No,24200000.0,,,75.0,55.0,70.0,75.0,73.0,68.0,73,48,62,76,56,78,62,40,69,75,75,75,71,71,64,64,70,78,59,61,78,69,59,67,48,72.0,75,76,74,13,14,8,13,5,,64+2,64+2,64+2,70,68,68,68,70,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,74+2,73+2,73+2,73+2,74+2,74+2,71+2,71+2,71+2,74+2,18+2
