player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
235794,/player/235794/eberechi-eze/240002,24.0,2.0,2023-09-22,E. Eze,Eberechi Eze,"CAM, CM, LW",79,84,26000000.0,45000.0,25,1998-06-29,178,67,1799.0,Crystal Palace,13.0,Premier League,1.0,CAM,10.0,,2020-08-28,2025.0,14,England,,,,Right,3,4,1,Medium/Medium,Lean (170-185),Yes,51400000.0,,"Technical, Flair, Trivela",77.0,76.0,77.0,82.0,49.0,68.0,72,78,49,81,69,83,75,70,75,81,77,77,82,76,79,73,68,74,68,76,58,52,76,80,71,79.0,40,58,42,10,12,9,14,10,,74+2,74+2,74+2,79,78,78,78,79,79+2,79+2,79+2,78+2,76+2,76+2,76+2,78+2,66+2,65+2,65+2,65+2,66+2,63+2,57+2,57+2,57+2,63+2,18+2
233306,/player/233306/dean-henderson/240002,24.0,2.0,2023-09-22,D. Henderson,Dean Henderson,GK,79,82,17500000.0,35000.0,26,1997-03-12,188,85,1799.0,Crystal Palace,13.0,Premier League,1.0,SUB,30.0,,2023-08-31,2028.0,14,England,,,,Right,3,1,2,Medium/Medium,Normal (185+),Yes,34600000.0,,"Far Throw, Footwork",,,,,,,14,9,13,45,5,13,13,10,48,35,55,56,61,76,56,58,68,32,64,6,35,11,8,55,16,60.0,15,14,14,80,78,77,75,81,55.0,31+2,31+2,31+2,32,33,33,33,32,36+2,36+2,36+2,34+2,37+2,37+2,37+2,34+2,29+2,34+2,34+2,34+2,29+2,29+2,28+2,28+2,28+2,29+2,78+2
241159,/player/241159/marc-guehi/240002,24.0,2.0,2023-09-22,M. Guéhi,Addji Keaninkin Marc-Israel Guéhi,CB,78,85,26500000.0,34000.0,22,2000-07-13,182,82,1799.0,Crystal Palace,13.0,Premier League,1.0,LCB,6.0,,2021-07-18,2026.0,14,England,1318.0,SUB,26.0,Right,4,2,2,Medium/Medium,Normal (170-185),Yes,55700000.0,,Anticipate,72.0,39.0,59.0,69.0,79.0,75.0,35,42,76,76,32,65,42,32,75,72,68,75,68,80,65,49,83,70,77,26,73,79,35,54,38,74.0,81,79,78,8,9,11,12,12,,58+2,58+2,58+2,59,60,60,60,59,62+2,62+2,62+2,62+2,67+2,67+2,67+2,62+2,71+2,76+2,76+2,76+2,71+2,73+2,78+2,78+2,78+2,73+2,18+2
247827,/player/247827/michael-olise/240002,24.0,2.0,2023-09-22,M. Olise,Michael Olise,RW,78,84,22500000.0,35000.0,21,2001-12-12,189,73,1799.0,Crystal Palace,13.0,Premier League,1.0,RES,7.0,,2021-07-08,2027.0,18,France,,,,Left,2,4,1,Medium/Medium,Lean (185+),Yes,47300000.0,#Acrobat,"Finesse Shot, Dead Ball, Long Ball Pass, Technical, Flair, Trivela",80.0,70.0,77.0,83.0,50.0,56.0,77,71,36,78,58,83,78,70,76,82,81,79,91,73,86,74,55,68,46,68,66,48,69,78,67,74.0,52,56,46,9,11,9,10,10,,69+2,69+2,69+2,78,76,76,76,78,78+2,78+2,78+2,77+2,74+2,74+2,74+2,77+2,66+2,65+2,65+2,65+2,66+2,63+2,55+2,55+2,55+2,63+2,17+2
242619,/player/242619/cheick-doucoure/240002,24.0,2.0,2023-09-22,C. Doucouré,Cheick Oumar Doucouré,"CDM, CM",78,83,19500000.0,34000.0,23,2000-01-08,180,73,1799.0,Crystal Palace,13.0,Premier League,1.0,RDM,28.0,,2022-07-11,2026.0,126,Mali,,,,Right,3,3,1,Medium/High,Normal (170-185),No,38500000.0,,"Intercept, Slide Tackle",66.0,57.0,69.0,75.0,75.0,77.0,54,56,58,77,48,76,59,47,77,77,64,67,70,76,67,59,72,78,76,56,77,80,67,74,52,77.0,74,77,74,10,14,12,12,15,,66+2,66+2,66+2,69,70,70,70,69,72+2,72+2,72+2,71+2,75+2,75+2,75+2,71+2,73+2,77+2,77+2,77+2,73+2,73+2,74+2,74+2,74+2,73+2,20+2
224221,/player/224221/joachim-andersen/240002,24.0,2.0,2023-09-22,J. Andersen,Joachim Andersen,CB,78,80,15000000.0,39000.0,27,1996-05-31,192,90,1799.0,Crystal Palace,13.0,Premier League,1.0,RCB,16.0,,2021-07-28,2026.0,13,Denmark,1331.0,SUB,2.0,Right,3,2,2,Medium/Medium,Normal (185+),Yes,29600000.0,#Strength,"Long Ball Pass, Block, Aerial",53.0,50.0,70.0,66.0,78.0,81.0,49,40,77,79,43,64,64,52,87,75,50,55,47,78,50,73,81,70,86,53,82,78,45,67,44,77.0,78,78,77,13,7,9,15,14,,62+2,62+2,62+2,60,63,63,63,60,65+2,65+2,65+2,64+2,72+2,72+2,72+2,64+2,70+2,78+2,78+2,78+2,70+2,71+2,78+2,78+2,78+2,71+2,19+2
213991,/player/213991/jefferson-lerma/240002,24.0,2.0,2023-09-22,J. Lerma,Jefferson Andrés Lerma Solís,"CDM, CM",77,77,9500000.0,38000.0,28,1994-10-25,179,70,1799.0,Crystal Palace,13.0,Premier League,1.0,LDM,8.0,,2023-07-01,2026.0,56,Colombia,,,,Right,4,3,1,Medium/Medium,Normal (170-185),Yes,18100000.0,,"Anticipate, Slide Tackle, Relentless",68.0,67.0,68.0,72.0,76.0,79.0,64,62,69,75,56,70,66,65,70,76,67,69,67,74,74,80,76,81,75,73,88,82,63,58,58,73.0,74,75,75,16,14,11,7,9,,70+2,70+2,70+2,69,69,69,69,69,69+2,69+2,69+2,69+2,72+2,72+2,72+2,69+2,74+2,76+1,76+1,76+1,74+2,74+2,76+1,76+1,76+1,74+2,18+2
240947,/player/240947/tyrick-mitchell/240002,24.0,2.0,2023-09-22,T. Mitchell,Tyrick Mitchell,LB,76,81,10500000.0,29000.0,23,1999-09-01,175,66,1799.0,Crystal Palace,13.0,Premier League,1.0,LB,3.0,,2017-07-01,2025.0,14,England,,,,Left,3,2,1,High/High,Lean (170-185),Yes,20700000.0,,"Jockey, Rapid",75.0,39.0,60.0,70.0,75.0,68.0,69,36,53,63,36,68,52,39,53,70,76,75,76,76,74,40,69,74,63,38,74,78,59,59,45,61.0,76,79,77,9,12,14,8,14,,56+2,56+2,56+2,64,61,61,61,64,62+2,62+2,62+2,66+2,64+2,64+2,64+2,66+2,73+2,71+2,71+2,71+2,73+2,74+2,72+2,72+2,72+2,74+2,18+2
228295,/player/228295/rob-holding/240002,24.0,2.0,2023-09-22,R. Holding,Rob Holding,CB,76,77,7500000.0,34000.0,27,1995-09-20,189,75,1799.0,Crystal Palace,13.0,Premier League,1.0,SUB,20.0,,2023-09-01,2026.0,14,England,,,,Right,3,2,1,Low/High,Lean (185+),Yes,14800000.0,,,53.0,34.0,61.0,65.0,78.0,73.0,50,30,74,75,27,64,33,30,66,69,55,52,53,77,60,48,77,61,77,27,75,77,40,57,38,74.0,77,80,78,14,11,10,14,13,,54+2,54+2,54+2,56,56,56,56,56,59+2,59+2,59+2,60+2,65+2,65+2,65+2,60+2,69+2,73+2,73+2,73+2,69+2,70+2,76+1,76+1,76+1,70+2,20+2
200759,/player/200759/jeffrey-schlupp/240002,24.0,2.0,2023-09-22,J. Schlupp,Jeffrey Schlupp,"CDM, CM",76,76,6500000.0,34000.0,30,1992-12-23,178,72,1799.0,Crystal Palace,13.0,Premier League,1.0,LM,15.0,,2017-01-13,2024.0,117,Ghana,,,,Left,2,3,1,Medium/Medium,Normal (170-185),Yes,12400000.0,,Rapid,82.0,71.0,70.0,76.0,74.0,75.0,66,69,61,74,66,77,62,48,70,75,83,82,73,78,75,78,80,77,73,68,75,74,75,72,67,69.0,74,77,75,9,7,8,10,9,,73+2,73+2,73+2,74,75,75,75,74,74+2,74+2,74+2,75+1,74+2,74+2,74+2,75+1,75+1,75+1,75+1,75+1,75+1,75+1,74+2,74+2,74+2,75+1,16+2
