player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
204935,/player/204935/jordan-pickford/240002,24.0,2.0,2023-09-22,J. Pickford,Jordan Pickford,GK,82,84,25000000.0,45000.0,29,1994-03-07,185,77,7.0,Everton,13.0,Premier League,1.0,GK,1.0,,2017-06-15,2027.0,14,England,1318.0,GK,1.0,Left,4,1,3,Medium/Medium,Normal (185+),Yes,49400000.0,,Footwork,,,,,,,17,19,15,58,20,14,18,16,60,40,56,44,57,77,55,65,72,42,70,13,45,24,18,69,45,65.0,21,20,12,83,77,87,80,87,51.0,37+3,37+3,37+3,36,39,39,39,36,43+3,43+3,43+3,40+3,46+3,46+3,46+3,40+3,34+3,42+3,42+3,42+3,34+3,33+3,34+3,34+3,34+3,33+3,81+3
251892,/player/251892/norberto-gomes-betuncal/240002,24.0,2.0,2023-09-22,Beto,Norberto Bercique Gomes Betuncal,ST,81,83,33000000.0,56000.0,25,1998-01-31,194,88,7.0,Everton,13.0,Premier League,1.0,ST,14.0,,2023-08-29,2027.0,38,Portugal,,,,Right,3,3,1,High/Medium,Lean (185+),No,65200000.0,"#Aerial threat, #Strength",Rapid,86.0,79.0,59.0,75.0,25.0,84.0,40,83,78,68,76,77,63,51,60,77,82,89,63,80,58,82,94,78,91,70,72,18,83,60,71,78.0,17,20,21,15,11,9,6,13,,81+2,81+2,81+2,74,77,77,77,74,73+2,73+2,73+2,72+2,66+2,66+2,66+2,72+2,51+2,51+2,51+2,51+2,51+2,49+2,47+2,47+2,47+2,49+2,19+2
236276,/player/236276/arnaut-danjuma/240002,24.0,2.0,2023-09-22,A. Danjuma,Arnaut Danjuma Adam Groeneveld,"ST, LM",81,82,31000000.0,45000.0,26,1997-01-31,178,74,7.0,Everton,13.0,Premier League,1.0,LM,10.0,Villarreal,,2024.0,34,Netherlands,,,,Right,4,4,1,High/Medium,Normal (170-185),Yes,,,"Power Shot, Rapid, Flair",86.0,81.0,76.0,83.0,44.0,67.0,77,83,72,80,70,84,79,59,66,83,84,88,83,85,75,82,84,65,72,79,55,32,82,77,75,77.0,35,52,47,15,8,10,8,14,,81+1,81+1,81+1,82,82,82,82,82,81+1,81+1,81+1,80+2,74+2,74+2,74+2,80+2,65+2,61+2,61+2,61+2,65+2,63+2,57+2,57+2,57+2,63+2,19+2
202695,/player/202695/james-tarkowski/240002,24.0,2.0,2023-09-22,J. Tarkowski,James Tarkowski,CB,79,79,14500000.0,43000.0,30,1992-11-19,188,81,7.0,Everton,13.0,Premier League,1.0,RCB,6.0,,2022-07-02,2026.0,14,England,,,,Right,4,2,1,Medium/High,Stocky (185+),Yes,27600000.0,,"Power Header, Aerial",55.0,45.0,62.0,60.0,81.0,79.0,59,40,82,63,40,55,54,53,71,64,49,59,55,78,53,63,82,68,83,38,82,78,43,62,52,76.0,81,83,81,14,8,12,9,7,,58+2,58+2,58+2,56,57,57,57,56,58+2,58+2,58+2,59+2,64+2,64+2,64+2,59+2,70+2,74+2,74+2,74+2,70+2,72+2,79,79,79,72+2,17+2
221479,/player/221479/dominic-calvert-lewin/240002,24.0,2.0,2023-09-22,D. Calvert-Lewin,Dominic Calvert-Lewin,ST,77,80,14000000.0,44000.0,26,1997-03-16,187,71,7.0,Everton,13.0,Premier League,1.0,SUB,9.0,,2016-08-31,2025.0,14,England,,,,Right,3,3,2,High/Medium,Unique,Yes,27700000.0,,"Power Header, Aerial",78.0,75.0,64.0,72.0,39.0,76.0,65,77,88,71,70,71,64,54,47,77,69,85,66,76,64,79,91,62,82,65,76,35,77,64,77,75.0,38,31,23,12,12,8,7,11,,77+2,77+2,77+2,73,74,74,74,73,71+2,71+2,71+2,71+2,64+2,64+2,64+2,71+2,56+2,54+2,54+2,54+2,56+2,54+2,55+2,55+2,55+2,54+2,18+2
193474,/player/193474/idrissa-gueye/240002,24.0,2.0,2023-09-22,I. Gueye,Idrissa Gana Gueye,"CDM, CM",77,77,5000000.0,37000.0,33,1989-09-26,174,66,7.0,Everton,13.0,Premier League,1.0,CDM,27.0,,2022-09-01,2024.0,136,Senegal,,,,Right,3,3,2,Low/High,Lean (170-185),Yes,9500000.0,,Intercept,61.0,60.0,66.0,72.0,80.0,70.0,60,54,69,73,33,69,60,66,67,73,66,56,78,76,76,80,70,80,60,66,83,86,51,60,55,74.0,78,83,80,8,6,8,12,13,,64+2,64+2,64+2,65,66,66,66,65,66+2,66+2,66+2,66+2,70+2,70+2,70+2,66+2,74+2,76+1,76+1,76+1,74+2,75+2,77,77,77,75+2,17+2
207599,/player/207599/michael-keane/240002,24.0,2.0,2023-09-22,M. Keane,Michael Keane,CB,77,77,8500000.0,37000.0,30,1993-01-11,191,82,7.0,Everton,13.0,Premier League,1.0,SUB,5.0,,2017-07-03,2025.0,14,England,,,,Right,3,2,2,Medium/Medium,Normal (185+),Yes,16200000.0,,Power Header,52.0,49.0,63.0,61.0,79.0,77.0,57,50,81,70,40,59,53,33,70,64,50,53,52,75,50,58,83,61,85,46,77,77,29,60,48,71.0,79,79,76,16,7,8,14,11,,58+2,58+2,58+2,56,56,56,56,56,58+2,58+2,58+2,59+2,64+2,64+2,64+2,59+2,68+2,73+2,73+2,73+2,68+2,70+2,77,77,77,70+2,19+2
208135,/player/208135/abdoulaye-doucoure/240002,24.0,2.0,2023-09-22,A. Doucouré,Abdoulaye Doucouré,"CM, CDM",77,77,10000000.0,40000.0,30,1993-01-01,184,76,7.0,Everton,13.0,Premier League,1.0,RCM,16.0,,2020-09-08,2024.0,126,Mali,,,,Right,3,3,2,Medium/Medium,Unique,Yes,19000000.0,,,66.0,76.0,70.0,75.0,76.0,80.0,66,75,69,76,68,77,44,52,73,79,65,67,61,77,63,84,78,82,81,77,76,79,75,74,54,77.0,75,79,74,15,12,12,15,14,,75+2,75+2,75+2,74,76,76,76,74,75+2,75+2,75+2,74+2,77,77,77,74+2,75+2,77,77,77,75+2,75+2,76+1,76+1,76+1,75+2,21+2
211575,/player/211575/andre-filipe-tavares-gomes/240002,24.0,2.0,2023-09-22,André Gomes,André Filipe Tavares Gomes,"CDM, CM",77,77,9000000.0,38000.0,29,1993-07-30,188,84,7.0,Everton,13.0,Premier League,1.0,SUB,21.0,,2019-06-25,2024.0,38,Portugal,,,,Right,4,4,2,Low/Medium,Normal (185+),Yes,17100000.0,,,45.0,67.0,76.0,75.0,72.0,76.0,65,62,69,80,69,75,81,67,79,80,46,44,60,74,61,79,70,74,77,66,77,74,72,78,55,84.0,73,72,65,12,9,6,14,8,,70+2,70+2,70+2,69,71,71,71,69,73+2,73+2,73+2,71+2,76+1,76+1,76+1,71+2,70+2,76+1,76+1,76+1,70+2,69+2,72+2,72+2,72+2,69+2,17+2
257057,/player/257057/amadou-onana/240002,24.0,2.0,2023-09-22,A. Onana,Amadou Zeund Georges Ba Mvom Onana,"CDM, CM",76,83,14500000.0,25000.0,21,2001-08-16,192,76,7.0,Everton,13.0,Premier League,1.0,LCM,8.0,,2022-08-09,2027.0,7,Belgium,1325.0,RDM,6.0,Right,4,3,1,High/High,Lean (185+),No,30500000.0,,Slide Tackle,73.0,59.0,69.0,71.0,73.0,78.0,61,57,67,76,51,72,58,42,74,74,66,78,63,72,50,72,77,75,80,58,77,75,65,70,40,70.0,71,75,77,7,12,12,9,10,,68+2,68+2,68+2,69,69,69,69,69,70+2,70+2,70+2,70+2,72+2,72+2,72+2,70+2,73+2,75+2,75+2,75+2,73+2,73+2,74+2,74+2,74+2,73+2,17+2
