player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
241928,/player/241928/albert-sambi-lokonga/240002,24.0,2.0,2023-09-22,A. Sambi Lokonga,Albert-Mboyo Sambi Lokonga,"CDM, CM",74,80,6000000.0,56000.0,23,1999-10-22,183,73,1923.0,Luton Town,13.0,Premier League,1.0,SUB,20.0,Arsenal,,2024.0,7,Belgium,,,,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,,,Flair,66.0,58.0,74.0,77.0,68.0,68.0,68,53,61,78,58,77,71,68,76,80,62,69,73,72,65,68,67,76,63,63,72,74,65,74,41,79.0,64,71,68,14,7,6,13,9,,66+2,66+2,66+2,70,70,70,70,70,72+2,72+2,72+2,72+2,74+2,74+2,74+2,72+2,72+2,73+2,73+2,73+2,72+2,71+2,69+2,69+2,69+2,71+2,17+2
243608,/player/243608/ryan-giles/240002,24.0,2.0,2023-09-22,R. Giles,Ryan Giles,"LWB, LB",74,79,6000000.0,31000.0,23,2000-01-26,183,72,1923.0,Luton Town,13.0,Premier League,1.0,SUB,26.0,,2023-07-28,2027.0,14,England,,,,Left,2,3,1,High/Medium,Lean (170-185),Yes,12500000.0,,"Whipped Cross, Anticipate, Rapid",89.0,57.0,73.0,73.0,62.0,65.0,80,54,54,73,41,70,81,71,66,74,87,90,83,72,77,62,63,85,59,62,55,59,65,70,49,64.0,60,70,62,14,6,5,8,8,,65+2,65+2,65+2,72,69,69,69,72,71+2,71+2,71+2,74+2,70+2,70+2,70+2,74+2,72+2,67+2,67+2,67+2,72+2,71+2,63+2,63+2,63+2,71+2,16+2
199189,/player/199189/ross-barkley/240002,24.0,2.0,2023-09-22,R. Barkley,Ross Barkley,"CAM, CM",74,74,4100000.0,41000.0,29,1993-12-05,186,76,1923.0,Luton Town,13.0,Premier League,1.0,LCM,6.0,,2023-08-09,2024.0,14,England,,,,Right,5,4,2,Medium/Low,Normal (185+),Yes,8200000.0,,,67.0,72.0,73.0,75.0,56.0,70.0,67,68,65,76,62,78,69,73,75,77,65,68,65,73,61,81,75,56,76,79,71,53,70,72,65,77.0,53,60,51,9,14,12,6,10,,72+2,72+2,72+2,72,73,73,73,72,74,74,74,72+2,72+2,72+2,72+2,72+2,64+2,66+2,66+2,66+2,64+2,62+2,63+2,63+2,63+2,62+2,17+2
211363,/player/211363/tom-lockyer/240002,24.0,2.0,2023-09-22,T. Lockyer,Thomas Alun Lockyer,CB,74,74,3600000.0,37000.0,28,1994-12-03,185,72,1923.0,Luton Town,13.0,Premier League,1.0,RCB,4.0,,2020-09-01,2025.0,50,Wales,1367.0,SUB,23.0,Right,4,2,1,Medium/High,Normal (185+),No,7200000.0,,"Long Ball Pass, Aerial",64.0,36.0,54.0,61.0,74.0,79.0,45,38,73,63,21,55,44,30,62,63,65,64,68,72,64,37,81,77,80,34,79,75,38,49,39,65.0,74,74,70,15,13,14,9,7,,53+2,53+2,53+2,54,53,53,53,54,55+2,55+2,55+2,57+2,60+2,60+2,60+2,57+2,67+2,70+2,70+2,70+2,67+2,68+2,74,74,74,68+2,18+2
222994,/player/222994/marvelous-nakamba/240002,24.0,2.0,2023-09-22,M. Nakamba,Marvelous Nakamba,"CDM, CM",74,74,3600000.0,37000.0,29,1994-01-19,178,71,1923.0,Luton Town,13.0,Premier League,1.0,CDM,13.0,,2023-07-20,2026.0,148,Zimbabwe,,,,Left,2,3,1,Low/High,Normal (170-185),Yes,7200000.0,,Slide Tackle,59.0,49.0,62.0,71.0,74.0,75.0,46,36,55,74,41,70,45,37,71,69,69,51,76,70,78,74,71,73,74,54,81,74,55,62,38,67.0,77,78,74,9,15,10,15,8,,59+2,59+2,59+2,61,62,62,62,61,64+2,64+2,64+2,63+2,68+2,68+2,68+2,63+2,69+2,73+1,73+1,73+1,69+2,69+2,73+1,73+1,73+1,69+2,18+2
253052,/player/253052/issa-kabore/240002,24.0,2.0,2023-09-22,I. Kaboré,Issa Kaboré,"RWB, RB, RM",73,83,6500000.0,59000.0,22,2001-05-12,180,72,1923.0,Luton Town,13.0,Premier League,1.0,RWB,12.0,Manchester City,,2024.0,101,Burkina Faso,,,,Right,3,2,1,High/Medium,Lean (170-185),No,,,Rapid,87.0,39.0,63.0,72.0,65.0,74.0,68,36,59,69,22,70,52,29,60,71,87,87,79,74,72,42,80,73,73,44,76,65,63,63,24,70.0,64,67,72,10,8,9,14,13,,59+2,59+2,59+2,67,64,64,64,67,66+2,66+2,66+2,69+2,66+2,66+2,66+2,69+2,71+2,68+2,68+2,68+2,71+2,71+2,69+2,69+2,69+2,71+2,18+2
188400,/player/188400/thomas-kaminski/240002,24.0,2.0,2023-09-22,T. Kaminski,Thomas Kaminski,GK,73,74,2300000.0,27000.0,30,1992-10-23,190,78,1923.0,Luton Town,13.0,Premier League,1.0,SUB,24.0,,2023-08-03,2026.0,7,Belgium,1325.0,SUB,23.0,Right,3,1,1,Medium/Medium,Lean (185+),No,4800000.0,,,,,,,,,18,14,10,40,17,11,11,17,46,16,47,45,59,69,42,52,63,31,62,15,29,17,18,53,24,47.0,17,11,17,72,75,69,67,74,46.0,29+2,29+2,29+2,29,30,30,30,29,33+2,33+2,33+2,31+2,33+2,33+2,33+2,31+2,27+2,31+2,31+2,31+2,27+2,26+2,26+2,26+2,26+2,26+2,72+2
170597,/player/170597/tim-krul/240002,24.0,2.0,2023-09-22,T. Krul,Tim Krul,GK,73,73,350000.0,17000.0,35,1988-04-03,188,74,1923.0,Luton Town,13.0,Premier League,1.0,SUB,23.0,,2023-08-17,2025.0,34,Netherlands,,,,Left,2,1,2,Medium/Medium,Lean (185+),Yes,700000.0,,,,,,,,,13,11,19,31,16,13,13,15,42,25,40,33,44,62,42,53,63,36,63,14,36,15,8,50,20,50.0,14,17,14,73,72,71,71,76,37.0,27+2,27+2,27+2,25,27,27,27,25,30+2,30+2,30+2,28+2,32+2,32+2,32+2,28+2,25+2,30+2,30+2,30+2,25+2,25+2,27+2,27+2,27+2,25+2,72+1
252483,/player/252483/alfie-doughty/240002,24.0,2.0,2023-09-22,A. Doughty,Alfie Doughty,"LWB, RWB",72,78,3500000.0,25000.0,23,1999-12-21,183,68,1923.0,Luton Town,13.0,Premier League,1.0,LWB,45.0,,2022-06-20,2025.0,14,England,,,,Left,3,2,1,High/Medium,Lean (170-185),No,7700000.0,,Rapid,83.0,49.0,65.0,69.0,63.0,65.0,73,50,52,68,31,73,60,31,60,68,84,82,64,68,47,50,71,77,63,50,51,63,66,65,40,62.0,63,66,63,15,10,11,11,5,,61+2,61+2,61+2,68,66,66,66,68,67+2,67+2,67+2,70+2,66+2,66+2,66+2,70+2,70+2,65+2,65+2,65+2,70+2,68+2,63+2,63+2,63+2,68+2,17+2
229375,/player/229375/elijah-adebayo/240002,24.0,2.0,2023-09-22,E. Adebayo,Elijah Adebayo,ST,72,77,3500000.0,33000.0,25,1998-01-07,193,89,1923.0,Luton Town,13.0,Premier League,1.0,RS,11.0,,2021-02-01,2026.0,14,England,,,,Right,3,3,1,High/High,Normal (185+),No,7300000.0,,Technical,74.0,71.0,50.0,69.0,45.0,80.0,43,73,72,55,63,69,54,46,42,71,67,80,67,71,59,72,84,77,85,66,71,42,74,55,65,64.0,42,43,34,6,11,9,11,11,,72+2,72+2,72+2,66,69,69,69,66,65+2,65+2,65+2,64+2,60+2,60+2,60+2,64+2,55+2,54+2,54+2,54+2,55+2,54+2,56+2,56+2,56+2,54+2,16+2
