player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
239085,/player/239085/erling-haaland/240002,24.0,2.0,2023-09-22,E. Haaland,Erling Braut Haaland,ST,91,94,185000000.0,340000.0,22,2000-07-21,195,94,10.0,Manchester City,13.0,Premier League,1.0,ST,9.0,,2022-07-01,2027.0,36,Norway,1352.0,ST,9.0,Left,3,3,5,High/Medium,Unique,Yes,356100000.0,"#Aerial threat, #Distance shooter, #Strength, #Clinical finisher, #Complete forward","Acrobatic +, Power Header, Quick Step",89.0,93.0,66.0,80.0,45.0,88.0,47,96,83,77,90,79,77,62,53,82,82,94,76,94,72,94,93,76,93,86,87,43,96,74,84,87.0,38,47,29,7,14,13,11,7,,90+3,90+3,90+3,82,86,86,86,82,82+3,82+3,82+3,79+3,74+3,74+3,74+3,79+3,62+3,63+3,63+3,63+3,62+3,60+3,62+3,62+3,62+3,60+3,19+3
192985,/player/192985/kevin-de-bruyne/240002,24.0,2.0,2023-09-22,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,103000000.0,350000.0,32,1991-06-28,181,75,10.0,Manchester City,13.0,Premier League,1.0,SUB,17.0,,2015-08-30,2025.0,7,Belgium,1325.0,CAM,7.0,Right,5,4,5,High/Medium,Unique,Yes,190600000.0,"#Dribbler, #Playmaker, #Distance shooter, #Crosser, #Complete midfielder","Pinged Pass +, Dead Ball, Incisive Pass, Long Ball Pass, Whipped Cross, Trivela",72.0,88.0,94.0,87.0,65.0,78.0,95,85,55,94,83,86,92,83,94,92,72,72,74,92,78,92,72,88,74,92,75,66,88,95,83,88.0,66,70,53,15,13,5,10,13,,83+3,83+3,83+3,87,88,88,88,87,89+2,89+2,89+2,88+3,90+1,90+1,90+1,88+3,79+3,80+3,80+3,80+3,79+3,75+3,70+3,70+3,70+3,75+3,21+3
231866,/player/231866/rodrigo-hernandez-cascante/240002,24.0,2.0,2023-09-22,Rodri,Rodrigo Hernández Cascante,"CDM, CM",89,90,105500000.0,250000.0,27,1996-06-22,191,82,10.0,Manchester City,13.0,Premier League,1.0,RCM,16.0,,2019-07-04,2027.0,45,Spain,1362.0,RCM,16.0,Right,4,3,4,Medium/High,Normal (185+),Yes,203100000.0,,"Power Shot +, Long Ball Pass, Bruiser",58.0,73.0,80.0,80.0,85.0,84.0,63,64,81,89,59,79,65,61,90,88,54,62,65,89,64,91,80,89,83,82,83,84,75,82,62,85.0,88,87,78,10,10,7,14,8,,77+3,77+3,77+3,76,79,79,79,76,80+3,80+3,80+3,78+3,85+3,85+3,85+3,78+3,80+3,87+3,87+3,87+3,80+3,80+3,84+3,84+3,84+3,80+3,19+3
239818,/player/239818/ruben-santos-gato-alves-dias/240002,24.0,2.0,2023-09-22,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,89,90,106500000.0,250000.0,26,1997-05-14,187,82,10.0,Manchester City,13.0,Premier League,1.0,LCB,3.0,,2020-09-29,2027.0,38,Portugal,1354.0,RCB,4.0,Right,4,2,4,Medium/High,Normal (185+),Yes,205000000.0,"#Tackling, #Tactician, #Strength, #Complete defender","Bruiser +, Power Header, Block, Aerial",62.0,39.0,66.0,69.0,89.0,87.0,54,29,87,83,32,64,46,48,76,75,54,69,60,89,56,74,84,78,90,26,93,86,39,51,45,81.0,91,91,87,7,8,13,7,12,,61+3,61+3,61+3,60,61,61,61,60,62+3,62+3,62+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,88+2,88+2,88+2,80+3,18+3
210257,/player/210257/ederson-santana-de-moraes/240002,24.0,2.0,2023-09-22,Ederson,Ederson Santana de Moraes,GK,88,89,70000000.0,210000.0,29,1993-08-17,188,86,10.0,Manchester City,13.0,Premier League,1.0,GK,31.0,,2017-07-01,2026.0,54,Brazil,,,,Left,3,1,3,Medium/Medium,Unique,Yes,134800000.0,,,,,,,,,20,14,14,61,18,23,15,20,65,40,64,63,60,87,48,68,79,44,78,18,38,27,20,70,51,70.0,29,15,8,86,82,91,86,86,64.0,39+3,39+3,39+3,41,43,43,43,41,47+3,47+3,47+3,45+3,49+3,49+3,49+3,45+3,38+3,44+3,44+3,44+3,38+3,36+3,35+3,35+3,35+3,36+3,86+3
218667,/player/218667/bernardo-mota-carvalho-e-silva/240002,24.0,2.0,2023-09-22,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CM, RW",88,88,91500000.0,270000.0,28,1994-08-10,173,64,10.0,Manchester City,13.0,Premier League,1.0,SUB,20.0,,2017-07-01,2026.0,38,Portugal,1354.0,RW,10.0,Left,3,4,3,High/High,Lean (170-185),Yes,169300000.0,"#Dribbler, #Playmaker, #Engine, #Acrobat, #Complete midfielder","Technical +, Tiki Taka, Flair, Relentless, Trivela",69.0,78.0,86.0,92.0,70.0,69.0,84,78,54,91,78,92,84,67,82,91,78,61,95,89,92,79,66,93,54,79,78,73,85,87,68,89.0,70,76,60,9,10,14,12,9,,78+3,78+3,78+3,85,84,84,84,85,87+1,87+1,87+1,86+2,87+1,87+1,87+1,86+2,80+3,80+3,80+3,80+3,80+3,76+3,70+3,70+3,70+3,76+3,19+3
237692,/player/237692/phil-foden/240002,24.0,2.0,2023-09-22,P. Foden,Philip Foden,"LW, RW",85,90,81500000.0,180000.0,23,2000-05-28,171,69,10.0,Manchester City,13.0,Premier League,1.0,RW,47.0,,2016-12-06,2027.0,14,England,1318.0,SUB,20.0,Left,3,4,3,High/High,Unique,Yes,156900000.0,"#Dribbler, #Acrobat","Technical, Flair, First Touch",81.0,79.0,82.0,88.0,57.0,60.0,78,81,47,86,59,88,75,68,82,90,86,77,91,81,91,83,63,83,47,78,64,59,83,84,64,81.0,60,59,47,8,15,6,10,13,,77+3,77+3,77+3,84,84,84,84,84,85+3,85+3,85+3,84+3,82+3,82+3,82+3,84+3,73+3,71+3,71+3,71+3,73+3,69+3,60+3,60+3,60+3,69+3,19+3
203574,/player/203574/john-stones/240002,24.0,2.0,2023-09-22,J. Stones,John Stones,"CB, RB",85,86,49500000.0,180000.0,29,1994-05-28,188,76,10.0,Manchester City,13.0,Premier League,1.0,RCB,5.0,,2016-08-09,2026.0,14,England,1318.0,RCB,5.0,Right,4,3,2,High/Medium,Normal (185+),Yes,95300000.0,,Long Throw,72.0,52.0,75.0,77.0,85.0,77.0,63,54,84,86,44,75,52,37,79,84,67,76,66,86,59,55,84,74,77,44,80,84,52,78,52,87.0,86,86,84,7,15,11,10,8,,68+2,68+2,68+2,71,71,71,71,71,74+2,74+2,74+2,74+2,78+2,78+2,78+2,74+2,80+2,83+2,83+2,83+2,80+2,81+2,84+2,84+2,84+2,81+2,18+2
206517,/player/206517/jack-grealish/240002,24.0,2.0,2023-09-22,J. Grealish,Jack Grealish,"LW, LM",85,85,57500000.0,200000.0,27,1995-09-10,180,81,10.0,Manchester City,13.0,Premier League,1.0,LW,10.0,,2021-08-05,2027.0,14,England,1318.0,LW,11.0,Right,3,4,3,High/High,Unique,Yes,106400000.0,#Dribbler,"Press Proven +, Finesse Shot, Flair, First Touch",76.0,76.0,84.0,88.0,53.0,73.0,83,76,48,85,72,89,83,74,81,90,79,74,84,84,85,76,71,83,71,79,65,49,82,87,58,88.0,58,54,48,11,6,11,10,13,,77+3,77+3,77+3,84,83,83,83,84,85,85,85,84+1,82+3,82+3,82+3,84+1,71+3,70+3,70+3,70+3,71+3,67+3,61+3,61+3,61+3,67+3,18+3
188377,/player/188377/kyle-walker/240002,24.0,2.0,2023-09-22,K. Walker,Kyle Walker,RB,84,84,22000000.0,155000.0,33,1990-05-28,183,83,10.0,Manchester City,13.0,Premier League,1.0,RB,2.0,,2017-07-14,2024.0,14,England,1318.0,RB,2.0,Right,2,3,3,High/High,Unique,Yes,40700000.0,,"Jockey, Rapid, Long Throw",90.0,63.0,77.0,78.0,79.0,81.0,77,51,72,81,57,79,76,71,81,81,85,94,66,85,69,86,87,81,80,69,84,78,68,69,63,75.0,75,85,83,12,6,16,15,8,,74+3,74+3,74+3,76,76,76,76,76,76+3,76+3,76+3,78+3,78+3,78+3,78+3,78+3,81+3,81+3,81+3,81+3,81+3,82+2,81+3,81+3,81+3,82+2,19+3
