player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
200145,/player/200145/carlos-henrique-venancio-casimiro/240002,24.0,2.0,2023-09-22,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,72000000.0,240000.0,31,1992-02-23,185,84,11.0,Manchester United,13.0,Premier League,1.0,RCM,18.0,,2022-08-19,2026.0,54,Brazil,,,,Right,3,2,4,Medium/High,Unique,Yes,136800000.0,"#Tackling, #Tactician, #Strength, #Complete defender","Block +, Long Ball Pass, Slide Tackle",63.0,75.0,79.0,73.0,89.0,88.0,68,69,84,84,68,69,77,74,85,79,60,66,61,90,65,88,85,88,88,81,91,89,77,79,66,85.0,90,89,88,13,14,16,12,12,,78+3,78+3,78+3,74,77,77,77,74,77+3,77+3,77+3,76+3,82+3,82+3,82+3,76+3,82+3,87+2,87+2,87+2,82+3,83+3,87+2,87+2,87+2,83+3,21+3
212198,/player/212198/bruno-miguel-borges-fernandes/240002,24.0,2.0,2023-09-22,Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",88,88,92000000.0,260000.0,28,1994-09-08,179,69,11.0,Manchester United,13.0,Premier League,1.0,CAM,8.0,,2020-01-30,2026.0,38,Portugal,1354.0,LCM,8.0,Right,3,4,4,High/High,Unique,Yes,174800000.0,"#Playmaker, #Engine, #Distance shooter, #Crosser, #Complete midfielder","Pinged Pass +, Incisive Pass, Long Ball Pass, Flair, First Touch, Trivela",71.0,86.0,90.0,83.0,69.0,77.0,87,83,66,90,87,81,86,85,92,88,74,68,78,91,79,88,73,95,66,88,84,66,88,94,90,82.0,69,74,65,12,14,15,8,14,,82+3,82+3,82+3,85,85,85,85,85,87+1,87+1,87+1,86+2,88,88,88,86+2,79+3,81+3,81+3,81+3,79+3,77+3,73+3,73+3,73+3,77+3,21+3
231677,/player/231677/marcus-rashford/240002,24.0,2.0,2023-09-22,M. Rashford,Marcus Rashford,"LW, LM, ST",85,88,71500000.0,185000.0,25,1997-10-31,186,70,11.0,Manchester United,13.0,Premier League,1.0,LW,10.0,,2015-11-21,2028.0,14,England,1318.0,SUB,19.0,Right,3,5,3,High/Low,Unique,Yes,141200000.0,"#Dribbler, #Clinical finisher, #Complete forward","Power Shot +, Technical, Flair, Quick Step",90.0,86.0,78.0,84.0,42.0,74.0,77,86,76,79,74,86,84,77,72,84,88,91,81,86,73,93,87,76,73,80,69,39,87,79,85,82.0,40,38,33,11,6,15,7,14,,85+3,85+3,85+3,84,85,85,85,84,83+3,83+3,83+3,83+3,76+3,76+3,76+3,83+3,65+3,62+3,62+3,62+3,65+3,62+3,56+3,56+3,56+3,62+3,18+3
226753,/player/226753/andre-onana/240002,24.0,2.0,2023-09-22,A. Onana,André Onana,GK,85,86,46000000.0,130000.0,27,1996-04-02,190,93,11.0,Manchester United,13.0,Premier League,1.0,GK,24.0,,2023-07-20,2028.0,103,Cameroon,,,,Right,3,1,3,Medium/Medium,Stocky (185+),Yes,90900000.0,,Footwork,,,,,,,15,12,20,43,13,26,30,17,53,38,62,60,66,84,53,66,80,38,79,17,32,15,11,64,27,64.0,12,18,14,83,80,88,84,85,61.0,37+3,37+3,37+3,37,39,39,39,37,42+3,42+3,42+3,40+3,42+3,42+3,42+3,40+3,32+3,37+3,37+3,37+3,32+3,32+3,32+3,32+3,32+3,32+3,83+3
201535,/player/201535/raphael-varane/240002,24.0,2.0,2023-09-22,R. Varane,Raphaël Varane,CB,85,85,44000000.0,160000.0,30,1993-04-25,191,81,11.0,Manchester United,13.0,Premier League,1.0,RES,19.0,,2021-07-27,2025.0,18,France,,,,Right,4,2,3,Medium/High,Unique,Yes,83600000.0,,"Anticipate +, Aerial",79.0,49.0,64.0,67.0,86.0,78.0,42,46,85,78,42,61,46,52,76,76,75,83,62,86,39,52,90,65,84,53,78,85,55,59,43,82.0,88,87,83,11,11,9,5,14,,66+3,66+3,66+3,65,66,66,66,65,67+3,67+3,67+3,66+3,71+3,71+3,71+3,66+3,75+3,80+3,80+3,80+3,75+3,78+3,84+1,84+1,84+1,78+3,19+3
239301,/player/239301/lisandro-martinez/240002,24.0,2.0,2023-09-22,L. Martínez,Lisandro Martínez,CB,84,87,49500000.0,140000.0,25,1998-01-18,178,77,11.0,Manchester United,13.0,Premier League,1.0,LCB,6.0,,2022-07-27,2027.0,52,Argentina,1369.0,SUB,25.0,Left,3,3,2,Medium/High,Normal (170-185),Yes,97800000.0,,"Long Ball Pass, Slide Tackle, Bruiser",73.0,59.0,78.0,79.0,85.0,83.0,75,52,75,83,56,76,77,55,83,81,77,70,77,85,82,73,85,81,80,64,91,85,62,76,55,87.0,86,87,84,6,14,13,14,8,,70+2,70+2,70+2,73,73,73,73,73,75+2,75+2,75+2,76+2,79+2,79+2,79+2,76+2,81+2,84+2,84+2,84+2,81+2,82+2,84+2,84+2,84+2,82+2,19+2
190460,/player/190460/christian-eriksen/240002,24.0,2.0,2023-09-22,C. Eriksen,Christian Dannemann Eriksen,"CM, CDM",83,83,30000000.0,145000.0,31,1992-02-14,181,76,11.0,Manchester United,13.0,Premier League,1.0,LCM,14.0,,2022-07-15,2025.0,13,Denmark,1331.0,LCM,10.0,Right,5,4,3,Medium/Medium,Unique,Yes,57000000.0,"#Playmaker, #Crosser, #FK Specialist, #Complete midfielder","Pinged Pass +, Dead Ball, Long Ball Pass, Whipped Cross, Flair",59.0,77.0,89.0,81.0,51.0,53.0,88,72,52,90,80,77,89,87,90,90,62,57,68,81,72,84,57,74,50,84,35,52,75,90,72,88.0,55,57,22,9,14,7,7,6,,74+3,74+3,74+3,79,79,79,79,79,82+1,82+1,82+1,80+3,82+1,82+1,82+1,80+3,67+3,68+3,68+3,68+3,67+3,62+3,54+3,54+3,54+3,62+3,17+3
205988,/player/205988/luke-shaw/240002,24.0,2.0,2023-09-22,L. Shaw,Luke Shaw,"LB, CB",83,83,35000000.0,135000.0,27,1995-07-12,181,75,11.0,Manchester United,13.0,Premier League,1.0,RES,23.0,,2014-06-27,2027.0,14,England,1318.0,LB,3.0,Left,2,3,2,Medium/Medium,Stocky (170-185),Yes,66500000.0,,Jockey,76.0,57.0,82.0,79.0,81.0,78.0,85,46,76,84,65,78,86,67,77,83,74,77,71,81,74,78,84,75,77,56,85,83,78,80,38,84.0,81,83,79,10,12,13,7,7,,72+2,72+2,72+2,76,75,75,75,76,76+2,76+2,76+2,78+2,79+2,79+2,79+2,78+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,17+2
233049,/player/233049/jadon-sancho/240002,24.0,2.0,2023-09-22,J. Sancho,Jadon Sancho,"LW, LM",82,86,43500000.0,130000.0,23,2000-03-25,180,76,11.0,Manchester United,13.0,Premier League,1.0,SUB,25.0,,2021-07-23,2026.0,14,England,,,,Right,3,5,3,Medium/Medium,Unique,Yes,85900000.0,#Dribbler,"Finesse Shot, Flair",78.0,70.0,80.0,87.0,33.0,47.0,77,76,38,85,80,89,84,65,68,86,81,75,89,78,89,63,56,66,45,59,25,36,82,84,74,85.0,30,34,28,7,11,10,11,13,,72+3,72+3,72+3,82,80,80,80,82,82+3,82+3,82+3,81+3,75+3,75+3,75+3,81+3,61+3,56+3,56+3,56+3,61+3,56+3,42+3,42+3,42+3,56+3,18+3
255475,/player/255475/antony-matheus-dos-santos/240002,24.0,2.0,2023-09-22,Antony,Antony Matheus dos Santos,"RW, RM",81,87,40500000.0,120000.0,23,2000-02-24,172,63,11.0,Manchester United,13.0,Premier League,1.0,RW,21.0,,2022-09-01,2027.0,54,Brazil,,,,Left,2,5,3,High/High,Normal (170-185),Yes,85100000.0,"#Dribbler, #Acrobat","Finesse Shot, Technical, Flair, Trickster, Trivela",83.0,76.0,74.0,87.0,46.0,73.0,79,76,45,74,67,86,86,74,62,88,89,78,93,82,88,75,70,84,62,81,85,50,76,75,66,82.0,49,45,31,9,10,14,8,13,,75+3,75+3,75+3,81,80,80,80,81,80+3,80+3,80+3,80+3,74+3,74+3,74+3,80+3,67+3,64+3,64+3,64+3,67+3,63+3,56+3,56+3,56+3,63+3,18+3
