player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
204883,/player/204883/brice-samba/240002,24.0,2.0,2023-09-22,B. Samba,Brice Samba,GK,81,83,21500000.0,37000.0,29,1994-04-25,187,90,64.0,Lens,16.0,Ligue 1,1.0,GK,30.0,,2022-07-05,2028.0,18,France,1335.0,SUB,1.0,Left,3,1,1,Medium/Medium,Normal (185+),No,42500000.0,,Far Throw,,,,,,,10,9,15,48,13,12,14,13,36,22,49,60,39,78,54,59,72,37,75,10,26,18,11,48,15,66.0,12,14,12,79,81,79,79,83,53.0,31+2,31+2,31+2,29,32,32,32,29,33+2,33+2,33+2,32+2,34+2,34+2,34+2,32+2,29+2,32+2,32+2,32+2,29+2,29+2,29+2,29+2,29+2,29+2,80+2
236804,/player/236804/facundo-medina/240002,24.0,2.0,2023-09-22,F. Medina,Facundo Axel Medina,CB,80,84,27000000.0,34000.0,24,1999-05-28,184,77,64.0,Lens,16.0,Ligue 1,1.0,LCB,14.0,,2020-07-02,2026.0,52,Argentina,,,,Left,2,3,2,Medium/High,Normal (170-185),No,53300000.0,,"Slide Tackle, Bruiser",71.0,36.0,69.0,70.0,80.0,78.0,62,39,74,79,29,68,52,32,73,74,68,74,62,81,67,27,82,69,81,32,83,80,63,68,44,78.0,80,82,81,13,5,12,13,13,,60+2,60+2,60+2,66,64,64,64,66,67+2,67+2,67+2,69+2,71+2,71+2,71+2,69+2,75+2,78+2,78+2,78+2,75+2,76+2,80+2,80+2,80+2,76+2,19+2
237985,/player/237985/kevin-danso/240002,24.0,2.0,2023-09-22,K. Danso,Kevin Danso,CB,80,84,27000000.0,34000.0,24,1998-09-19,190,85,64.0,Lens,16.0,Ligue 1,1.0,CB,4.0,,2021-08-09,2027.0,4,Austria,,,,Right,3,2,2,Medium/High,Normal (185+),Yes,53300000.0,#Strength,"Long Ball Pass, Bruiser, Long Throw, Aerial",78.0,32.0,55.0,62.0,79.0,85.0,44,26,82,69,31,59,35,31,58,68,68,87,57,79,46,49,90,75,90,25,85,76,33,52,42,71.0,77,82,77,12,13,6,11,15,,56+2,56+2,56+2,56,56,56,56,56,57+2,57+2,57+2,60+2,62+2,62+2,62+2,60+2,71+2,73+2,73+2,73+2,71+2,74+2,80+2,80+2,80+2,74+2,20+2
212138,/player/212138/przemyslaw-frankowski/240002,24.0,2.0,2023-09-22,P. Frankowski,Przemysław Frankowski,"RWB, LWB",79,79,16000000.0,39000.0,28,1995-04-12,175,70,64.0,Lens,16.0,Ligue 1,1.0,RWB,29.0,,2021-08-05,2028.0,37,Poland,,,,Right,3,3,2,High/Medium,Normal (170-185),No,30400000.0,#Speedster,"Whipped Cross, Rapid, Quick Step",91.0,72.0,75.0,76.0,69.0,74.0,78,71,59,77,72,76,71,62,72,77,92,91,75,80,75,73,79,85,70,72,69,70,74,74,76,78.0,68,71,69,7,14,13,8,11,,74+2,74+2,74+2,78,77,77,77,78,76+2,76+2,76+2,78+1,75+2,75+2,75+2,78+1,77+2,73+2,73+2,73+2,77+2,76+2,70+2,70+2,70+2,76+2,18+2
260407,/player/260407/elye-wahi/240002,24.0,2.0,2023-09-22,E. Wahi,Sepe Elye Wahi,"ST, LM",78,88,31000000.0,31000.0,20,2003-01-02,181,77,64.0,Lens,16.0,Ligue 1,1.0,ST,9.0,,2023-08-20,2028.0,18,France,,,,Right,4,4,2,Medium/Medium,Normal (170-185),No,65100000.0,#Speedster,"Acrobatic +, Technical, Flair, Quick Step, Trivela",90.0,78.0,67.0,78.0,31.0,67.0,64,80,64,72,86,79,66,60,60,78,90,90,80,80,72,78,81,70,69,76,57,28,78,68,66,75.0,25,29,23,13,7,5,12,14,,78+2,78+2,78+2,78,78,78,78,78,76+2,76+2,76+2,76+2,68+2,68+2,68+2,76+2,57+2,53+2,53+2,53+2,57+2,53+2,47+2,47+2,47+2,53+2,19+2
252059,/player/252059/salis-abdul-samed/240002,24.0,2.0,2023-09-22,S. Abdul Samed,Salis Abdul Samed,"CDM, CM",78,82,18500000.0,29000.0,23,2000-03-26,179,69,64.0,Lens,16.0,Ligue 1,1.0,RCM,6.0,,2022-07-01,2028.0,117,Ghana,111462.0,LDM,21.0,Right,2,2,1,Medium/High,Lean (170-185),No,36500000.0,,Relentless,62.0,47.0,66.0,71.0,76.0,80.0,48,48,67,76,38,68,49,34,71,75,61,63,65,77,70,49,73,91,73,45,83,77,58,73,45,75.0,77,79,70,11,14,8,11,7,,61+2,61+2,61+2,64,65,65,65,64,68+2,68+2,68+2,67+2,73+2,73+2,73+2,67+2,72+2,77+2,77+2,77+2,72+2,72+2,75+2,75+2,75+2,72+2,18+2
208787,/player/208787/adrien-thomasson/240002,24.0,2.0,2023-09-22,A. Thomasson,Adrien Thomasson,"LW, RW, CM",78,78,14000000.0,42000.0,29,1993-12-10,175,72,64.0,Lens,16.0,Ligue 1,1.0,RW,28.0,,2023-01-12,2026.0,18,France,,,,Right,4,4,2,High/High,Lean (170-185),No,26600000.0,,"Pinged Pass, Incisive Pass",69.0,74.0,78.0,80.0,65.0,70.0,79,75,61,80,64,80,73,70,77,81,68,69,77,80,80,75,70,77,67,76,69,68,78,79,68,77.0,63,68,57,14,9,15,9,13,,74+2,74+2,74+2,78,77,77,77,78,78,78,78,78,78,78,78,78,72+2,73+2,73+2,73+2,72+2,70+2,67+2,67+2,67+2,70+2,19+2
221284,/player/221284/jonathan-gradit/240002,24.0,2.0,2023-09-22,J. Gradit,Jonathan Gradit,CB,78,78,11500000.0,34000.0,30,1992-11-24,180,75,64.0,Lens,16.0,Ligue 1,1.0,RCB,24.0,,2019-08-20,2026.0,18,France,,,,Right,2,2,1,Medium/High,Normal (170-185),No,21900000.0,,"Anticipate, Aerial",71.0,29.0,63.0,69.0,78.0,79.0,63,19,74,74,25,68,44,28,59,71,72,70,64,78,68,48,84,77,79,27,80,77,54,60,36,74.0,78,80,78,8,13,11,12,10,,56+2,56+2,56+2,61,60,60,60,61,62+2,62+2,62+2,65+2,66+2,66+2,66+2,65+2,74+2,74+2,74+2,74+2,74+2,75+2,78,78,78,75+2,18+2
227232,/player/227232/florian-sotoca/240002,24.0,2.0,2023-09-22,F. Sotoca,Florian Sotoca,"ST, RW",77,77,8500000.0,38000.0,32,1990-10-25,187,77,64.0,Lens,16.0,Ligue 1,1.0,SUB,7.0,,2019-06-11,2026.0,18,France,,,,Right,3,3,1,High/High,Lean (185+),No,16200000.0,#Engine,"Power Header, Relentless",73.0,75.0,74.0,73.0,50.0,81.0,75,77,79,76,73,72,68,64,69,77,69,76,71,80,51,76,86,87,80,69,73,49,80,77,69,77.0,47,46,44,13,15,12,11,14,,77,77,77,75,76,76,76,75,75+2,75+2,75+2,76+1,73+2,73+2,73+2,76+1,66+2,65+2,65+2,65+2,66+2,64+2,61+2,61+2,61+2,64+2,21+2
227622,/player/227622/stijn-spierings/240002,24.0,2.0,2023-09-22,S. Spierings,Stijn Spierings,"CDM, CM",76,78,8000000.0,30000.0,27,1996-03-12,188,81,64.0,Lens,16.0,Ligue 1,1.0,SUB,5.0,,2023-07-01,2027.0,34,Netherlands,,,,Right,3,3,1,Medium/High,Lean (185+),No,15800000.0,,Long Ball Pass,56.0,66.0,68.0,70.0,76.0,75.0,48,64,62,77,50,69,70,68,76,72,55,56,67,75,66,72,71,75,77,70,71,78,54,68,74,73.0,77,78,72,15,15,6,14,14,,66+2,66+2,66+2,65,67,67,67,65,69+2,69+2,69+2,66+2,72+2,72+2,72+2,66+2,70+2,75+2,75+2,75+2,70+2,70+2,74+2,74+2,74+2,70+2,21+2
