player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
243630,/player/243630/jonathan-david/240002,24.0,2.0,2023-09-22,J. David,Jonathan Christian David,ST,81,84,35500000.0,41000.0,23,2000-01-14,175,70,65.0,Lille,16.0,Ligue 1,1.0,ST,9.0,,2020-08-11,2025.0,70,Canada,,,,Right,5,3,3,High/High,Normal (170-185),Yes,70100000.0,,"Quick Step, Relentless, Trivela",82.0,81.0,71.0,78.0,34.0,75.0,67,84,76,77,76,79,58,58,69,79,80,84,75,82,71,79,87,85,77,74,55,33,85,73,86,81.0,29,29,19,7,7,11,7,7,,81+3,81+3,81+3,79,80,80,80,79,78+3,78+3,78+3,78+3,73+3,73+3,73+3,78+3,59+3,57+3,57+3,57+3,59+3,55+3,50+3,50+3,50+3,55+3,15+3
190674,/player/190674/benjamin-andre/240002,24.0,2.0,2023-09-22,B. André,Benjamin André,"CDM, CM",79,79,11500000.0,35000.0,32,1990-08-03,180,76,65.0,Lille,16.0,Ligue 1,1.0,RDM,21.0,,2019-07-17,2026.0,18,France,,,,Right,3,3,2,Medium/High,Normal (170-185),No,21900000.0,,"Long Ball Pass, Intercept, Anticipate, Aerial",63.0,64.0,73.0,75.0,78.0,83.0,70,61,80,78,56,75,68,53,75,75,60,65,70,77,72,69,82,91,79,65,85,79,70,72,66,76.0,75,80,75,8,14,15,7,10,,70+2,70+2,70+2,71,71,71,71,71,72+2,72+2,72+2,73+2,76+2,76+2,76+2,73+2,76+2,78+1,78+1,78+1,76+2,76+2,78+1,78+1,78+1,76+2,17+2
193476,/player/193476/remy-cabella/240002,24.0,2.0,2023-09-22,R. Cabella,Rémy Cabella,"CAM, LM",79,79,11000000.0,38000.0,33,1990-03-08,172,68,65.0,Lille,16.0,Ligue 1,1.0,CAM,10.0,,2022-07-13,2025.0,18,France,,,,Right,4,4,2,High/Low,Lean (170-185),Yes,20900000.0,,"Dead Ball, Pinged Pass, Technical, Flair, First Touch, Trickster",76.0,73.0,77.0,81.0,40.0,54.0,73,74,57,79,71,83,77,76,76,80,79,73,85,78,82,72,63,75,45,74,47,55,74,80,71,71.0,35,33,31,12,16,12,13,7,,73+2,73+2,73+2,78,77,77,77,78,79,79,79,78+1,75+2,75+2,75+2,78+1,63+2,60+2,60+2,60+2,63+2,59+2,49+2,49+2,49+2,59+2,19+2
205600,/player/205600/samuel-umtiti/240002,24.0,2.0,2023-09-22,S. Umtiti,Samuel Yves Umtiti,CB,79,79,14500000.0,37000.0,29,1993-11-14,182,75,65.0,Lille,16.0,Ligue 1,1.0,LCB,14.0,,2023-07-22,2025.0,18,France,,,,Left,3,2,3,Low/Medium,Unique,Yes,27600000.0,,"Jockey, Bruiser",62.0,62.0,68.0,65.0,80.0,75.0,61,51,76,76,65,61,72,62,73,69,59,65,58,76,64,83,82,55,82,70,80,81,51,58,59,74.0,81,80,77,15,10,14,12,15,,66+3,66+3,66+3,63,64,64,64,63,65+3,65+3,65+3,64+3,68+3,68+3,68+3,64+3,71+3,75+3,75+3,75+3,71+3,72+3,79,79,79,72+3,20+3
251752,/player/251752/lucas-chevalier/240002,24.0,2.0,2023-09-22,L. Chevalier,Lucas Chevalier,GK,78,84,18500000.0,17000.0,21,2001-11-06,189,78,65.0,Lille,16.0,Ligue 1,1.0,GK,30.0,,2018-06-14,2027.0,18,France,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,38900000.0,,,,,,,,,12,9,12,25,9,14,15,14,22,17,42,40,32,79,38,53,58,34,53,8,23,10,7,47,16,45.0,10,10,11,79,75,71,77,78,41.0,26+2,26+2,26+2,24,27,27,27,24,27+2,27+2,27+2,26+2,27+2,27+2,27+2,26+2,24+2,24+2,24+2,24+2,24+2,23+2,22+2,22+2,22+2,23+2,77+2
201119,/player/201119/ismaily-goncalves-dos-s/240002,24.0,2.0,2023-09-22,Ismaily,Ismaily Gonçalves dos Santos,LB,78,78,7500000.0,32000.0,33,1990-01-11,177,82,65.0,Lille,16.0,Ligue 1,1.0,LB,31.0,,2022-08-04,2024.0,54,Brazil,,,,Left,2,4,2,High/Medium,Stocky (170-185),No,14300000.0,,"Technical, Flair",80.0,64.0,73.0,78.0,73.0,75.0,78,60,58,77,55,78,65,50,67,79,84,77,72,77,83,75,79,86,75,65,62,78,77,71,51,79.0,75,74,72,8,8,14,11,10,,71+2,71+2,71+2,75,74,74,74,75,75+2,75+2,75+2,77+1,75+2,75+2,75+2,77+1,78,75+2,75+2,75+2,78,76+2,73+2,73+2,73+2,76+2,17+2
240507,/player/240507/angel-gomes/240002,24.0,2.0,2023-09-22,A. Gomes,Adilson Angel Abreu de Almeida Gomes,"CAM, CDM",76,83,15000000.0,26000.0,22,2000-08-31,168,56,65.0,Lille,16.0,Ligue 1,1.0,LDM,8.0,,2020-08-04,2025.0,14,England,,,,Right,4,4,1,Medium/Medium,Lean (170-),Yes,31500000.0,,"Finesse Shot, Pinged Pass, Technical, Flair, Trivela",76.0,70.0,74.0,79.0,71.0,68.0,65,71,62,78,65,77,70,68,74,78,77,76,87,76,89,70,74,76,63,70,68,72,70,76,66,73.0,71,72,71,14,15,14,6,14,,72+2,72+2,72+2,75,75,75,75,75,76+2,76+2,76+2,75+2,75+2,75+2,75+2,75+2,73+2,74+2,74+2,74+2,73+2,73+2,70+2,70+2,70+2,73+2,19+2
252339,/player/252339/tiago-emanuel-embalo-djalo/240002,24.0,2.0,2023-09-22,Tiago Djaló,Tiago Emanuel Embaló Djaló,CB,76,82,11000000.0,24000.0,23,2000-04-09,190,82,65.0,Lille,16.0,Ligue 1,1.0,RES,3.0,,2019-08-01,2024.0,38,Portugal,,,,Right,3,2,1,Medium/High,Lean (185+),No,23100000.0,,"Block, Bruiser",81.0,42.0,61.0,64.0,76.0,79.0,57,36,72,69,35,62,53,32,65,67,79,83,65,73,47,59,89,70,84,38,74,75,51,56,47,69.0,76,78,76,9,9,9,7,6,,60+2,60+2,60+2,61,61,61,61,61,61+2,61+2,61+2,64+2,64+2,64+2,64+2,64+2,71+2,72+2,72+2,72+2,71+2,73+2,76+2,76+2,76+2,73+2,15+2
246565,/player/246565/bafode-diakite/240002,24.0,2.0,2023-09-22,B. Diakité,Bafodé Diakité,"RB, LB, CB",75,82,11000000.0,23000.0,22,2001-01-06,185,74,65.0,Lille,16.0,Ligue 1,1.0,RCB,18.0,,2022-08-05,2026.0,18,France,,,,Right,3,2,1,Medium/High,Normal (185+),No,23100000.0,,Jockey,76.0,41.0,63.0,70.0,73.0,74.0,66,32,68,72,39,68,52,36,61,73,71,80,69,72,65,62,77,78,73,34,69,74,58,57,48,66.0,74,73,74,7,10,8,13,5,,60+2,60+2,60+2,64,62,62,62,64,63+2,63+2,63+2,67+2,66+2,66+2,66+2,67+2,73+2,71+2,71+2,71+2,73+2,73+2,73+2,73+2,73+2,73+2,16+2
239763,/player/239763/edon-zhegrova/240002,24.0,2.0,2023-09-22,E. Zhegrova,Edon Zhegrova,RM,75,80,8500000.0,25000.0,24,1999-03-31,181,66,65.0,Lille,16.0,Ligue 1,1.0,RM,23.0,,2022-01-14,2026.0,219,Kosovo,,,,Left,2,4,1,Medium/Low,Lean (170-185),No,16800000.0,,"Technical, Flair, Trivela",80.0,67.0,69.0,79.0,25.0,61.0,65,66,36,75,55,79,68,49,64,78,85,75,85,75,80,73,63,69,61,68,48,20,71,72,51,68.0,32,21,18,7,11,6,12,7,,68+2,68+2,68+2,74,74,74,74,74,74+2,74+2,74+2,74+2,67+2,67+2,67+2,74+2,54+2,51+2,51+2,51+2,54+2,49+2,40+2,40+2,40+2,49+2,16+2
