player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
231691,/player/231691/alban-lafont/240002,24.0,2.0,2023-09-22,A. Lafont,Alban Lafont,GK,78,83,17000000.0,16000.0,24,1999-01-23,196,90,71.0,Nantes,16.0,Ligue 1,1.0,GK,1.0,,2021-04-29,2024.0,18,France,,,,Right,3,1,2,Medium/Medium,Lean (185+),No,35300000.0,,Footwork,,,,,,,13,6,13,54,9,14,13,12,51,10,48,45,60,71,53,52,67,40,70,9,20,11,4,56,16,61.0,20,14,12,78,77,69,78,81,47.0,27+2,27+2,27+2,27,28,28,28,27,33+2,33+2,33+2,31+2,36+2,36+2,36+2,31+2,28+2,33+2,33+2,33+2,28+2,27+2,27+2,27+2,27+2,27+2,77+2
233885,/player/233885/eray-comert/240002,24.0,2.0,2023-09-22,E. Cömert,Eray Ervin Cömert,CB,76,81,10000000.0,27000.0,25,1998-02-04,183,80,71.0,Nantes,16.0,Ligue 1,1.0,SUB,24.0,Valencia,,2024.0,47,Switzerland,,,,Right,4,2,1,Medium/Medium,Normal (170-185),Yes,,,"Jockey, Intercept",73.0,49.0,63.0,57.0,76.0,78.0,49,30,74,74,41,41,48,59,67,71,71,75,68,73,67,76,84,76,79,67,76,77,33,59,55,66.0,74,77,74,6,8,5,7,6,,58+2,58+2,58+2,56,57,57,57,56,59+2,59+2,59+2,59+2,65+2,65+2,65+2,59+2,70+2,74+2,74+2,74+2,70+2,72+2,76+2,76+2,76+2,72+2,14+2
224019,/player/224019/pedro-chirivella-burgos/240002,24.0,2.0,2023-09-22,Pedro Chirivella,Pedro Chirivella Burgos,"CDM, CM",75,78,6500000.0,20000.0,26,1997-05-23,178,66,71.0,Nantes,16.0,Ligue 1,1.0,RDM,5.0,,2020-07-01,2026.0,45,Spain,,,,Right,3,3,2,Medium/Medium,Lean (170-185),No,13500000.0,,"Long Ball Pass, Slide Tackle",55.0,54.0,71.0,73.0,69.0,70.0,63,46,58,77,54,70,62,48,80,78,53,57,72,78,65,68,62,81,64,57,73,73,55,72,51,73.0,69,71,70,13,14,12,8,14,,62+2,62+2,62+2,66,66,66,66,66,69+2,69+2,69+2,68+2,73+2,73+2,73+2,68+2,71+2,74+2,74+2,74+2,71+2,70+2,69+2,69+2,69+2,70+2,19+2
199393,/player/199393/nicolas-pallois/240002,24.0,2.0,2023-09-22,N. Pallois,Nicolas Pallois,CB,75,75,1500000.0,15000.0,35,1987-09-19,189,89,71.0,Nantes,16.0,Ligue 1,1.0,LCB,4.0,,2017-07-28,2024.0,18,France,,,,Left,2,2,2,Medium/High,Normal (185+),No,3000000.0,#Strength,"Power Header, Jockey, Slide Tackle, Bruiser",35.0,54.0,60.0,60.0,75.0,82.0,54,44,73,70,64,61,41,41,71,64,33,36,48,67,33,79,74,64,89,57,87,74,22,51,45,74.0,73,77,74,15,16,10,15,6,,56+2,56+2,56+2,52,53,53,53,52,55+2,55+2,55+2,54+2,62+2,62+2,62+2,54+2,65+2,72+2,72+2,72+2,65+2,65+2,75,75,75,65+2,19+2
254247,/player/254247/mostafa-mohamed/240002,24.0,2.0,2023-09-22,M. Mohamed,Mostafa Mohamed Ahmed Abdallah,ST,74,77,5500000.0,22000.0,25,1997-11-28,185,78,71.0,Nantes,16.0,Ligue 1,1.0,ST,31.0,,2023-07-01,2027.0,111,Egypt,,,,Right,5,3,2,Medium/Medium,Stocky (185+),No,11400000.0,,"Power Header, Aerial",74.0,74.0,57.0,69.0,37.0,79.0,52,74,79,64,65,69,65,47,50,71,71,77,68,67,63,80,91,75,86,71,64,38,77,57,64,64.0,33,31,27,13,7,8,14,7,,74+2,74+2,74+2,68,71,71,71,68,67+2,67+2,67+2,67+2,62+2,62+2,62+2,67+2,54+2,53+2,53+2,53+2,54+2,52+2,52+2,52+2,52+2,52+2,16+2
216820,/player/216820/moses-simon/240002,24.0,2.0,2023-09-22,M. Simon,Moses Daddy-Ajala Simon,"LM, ST",74,74,4500000.0,21000.0,27,1995-07-12,168,69,71.0,Nantes,16.0,Ligue 1,1.0,LM,27.0,,2020-07-01,2024.0,133,Nigeria,,,,Right,4,4,2,High/Medium,Normal (170-),No,9000000.0,#Acrobat,"Rapid, Flair, Quick Step",88.0,68.0,68.0,78.0,33.0,61.0,71,66,46,69,73,77,69,64,62,74,88,88,90,70,92,73,71,69,66,70,38,34,70,68,60,72.0,30,31,33,7,13,12,13,9,,70+2,70+2,70+2,74,72,72,72,74,72+2,72+2,72+2,73+1,66+2,66+2,66+2,73+1,58+2,52+2,52+2,52+2,58+2,54+2,45+2,45+2,45+2,54+2,17+2
261616,/player/261616/quentin-merlin/240002,24.0,2.0,2023-09-22,Q. Merlin,Quentin Merlin,"LB, LWB",73,82,6500000.0,12000.0,21,2002-05-16,174,68,71.0,Nantes,16.0,Ligue 1,1.0,RM,29.0,,2020-07-01,2026.0,18,France,,,,Left,2,3,1,High/Medium,Normal (170-185),No,14300000.0,,Whipped Cross,71.0,59.0,73.0,76.0,67.0,56.0,79,49,50,74,67,78,74,71,69,76,73,70,71,71,81,69,58,74,48,66,55,67,71,69,55,66.0,66,73,69,11,11,12,10,9,,65+2,65+2,65+2,71,70,70,70,71,71+2,71+2,71+2,73+2,72+2,72+2,72+2,73+2,72+2,69+2,69+2,69+2,72+2,71+2,64+2,64+2,64+2,71+2,17+2
231685,/player/231685/ronael-pierre-gabriel/240002,24.0,2.0,2023-09-22,R. Pierre-Gabriel,Ronaël Julien Pierre-Gabriel,"RB, RWB",73,77,3900000.0,17000.0,25,1998-06-13,177,80,71.0,Nantes,16.0,Ligue 1,1.0,SUB,18.0,,2023-08-01,2026.0,18,France,,,,Right,3,3,1,Medium/Medium,Stocky (170-185),No,8100000.0,,"Intercept, Anticipate, Bruiser",73.0,48.0,62.0,69.0,71.0,71.0,68,41,64,67,43,69,60,35,59,69,69,76,68,69,71,57,74,72,72,53,67,70,58,56,56,65.0,72,74,72,11,10,10,6,10,,60+2,60+2,60+2,64,62,62,62,64,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,70+2,69+2,69+2,69+2,70+2,71+2,71+2,71+2,71+2,71+2,16+2
251675,/player/251675/douglas-augusto-soares-gomes/240002,24.0,2.0,2023-09-22,Douglas Augusto,Douglas Augusto Soares Gomes,"CM, CAM, CDM",73,76,4000000.0,19000.0,26,1997-01-13,173,68,71.0,Nantes,16.0,Ligue 1,1.0,SUB,6.0,,2023-08-12,2027.0,54,Brazil,,,,Left,3,2,1,Medium/High,Normal (170-185),No,8300000.0,,Jockey,73.0,69.0,69.0,70.0,69.0,78.0,57,64,58,75,60,68,67,55,73,74,74,73,71,69,78,78,76,78,76,75,84,69,73,73,64,64.0,69,72,72,8,10,13,11,14,,70+2,70+2,70+2,70,71,71,71,70,72+2,72+2,72+2,71+2,73+2,73+2,73+2,71+2,70+2,73+2,73+2,73+2,70+2,70+2,71+2,71+2,71+2,70+2,17+2
241130,/player/241130/ignatius-ganago/240002,24.0,2.0,2023-09-22,I. Ganago,Ignatius Kpene Ganago,"ST, LW",73,75,4000000.0,18000.0,24,1999-02-16,176,78,71.0,Nantes,16.0,Ligue 1,1.0,SUB,7.0,,2022-09-01,2026.0,103,Cameroon,,,,Right,3,3,1,High/Medium,Stocky (170-185),No,8300000.0,,"Finesse Shot, Rapid",81.0,73.0,61.0,74.0,34.0,68.0,62,74,65,67,60,74,59,56,54,74,79,82,77,67,79,79,81,66,75,69,49,45,71,56,66,70.0,39,17,14,9,10,8,8,13,,73+2,73+2,73+2,71,71,71,71,71,69+2,69+2,69+2,69+2,62+2,62+2,62+2,69+2,54+2,51+2,51+2,51+2,54+2,51+2,47+2,47+2,47+2,51+2,16+2
