player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
209519,/player/209519/gaetan-laborde/240002,24.0,2.0,2023-09-22,G. Laborde,Gaëtan Laborde,ST,81,81,25500000.0,61000.0,29,1994-05-03,181,78,72.0,Nice,16.0,Ligue 1,1.0,RW,24.0,,2022-09-02,2026.0,18,France,,,,Left,4,3,2,High/High,Normal (170-185),No,48500000.0,#Engine,"Flair, Relentless, Trivela",72.0,81.0,76.0,79.0,40.0,79.0,74,83,84,80,84,79,75,59,71,81,71,72,81,80,63,82,87,88,77,77,72,36,82,78,69,80.0,38,34,23,14,15,9,14,9,,81,81,81,79,80,80,80,79,79+2,79+2,79+2,78+2,75+2,75+2,75+2,78+2,61+2,61+2,61+2,61+2,61+2,58+2,55+2,55+2,55+2,58+2,20+2
245388,/player/245388/jean-clair-todibo/240002,24.0,2.0,2023-09-22,J. Todibo,Jean-Clair Dimitri Roger Todibo,CB,79,84,24000000.0,37000.0,23,1999-12-30,190,88,72.0,Nice,16.0,Ligue 1,1.0,RCB,6.0,,2021-06-28,2027.0,18,France,1335.0,RES,26.0,Right,2,3,2,Medium/Medium,Normal (185+),No,47400000.0,,"Long Ball Pass, Jockey, Block",74.0,47.0,63.0,67.0,80.0,78.0,49,44,80,78,35,66,52,41,70,72,67,80,54,76,55,60,86,73,82,45,72,80,45,56,52,78.0,80,80,78,7,13,11,8,13,,62+2,62+2,62+2,62,63,63,63,62,64+2,64+2,64+2,65+2,68+2,68+2,68+2,65+2,73+2,76+2,76+2,76+2,73+2,75+2,79+2,79+2,79+2,75+2,18+2
247246,/player/247246/khephren-thuram/240002,24.0,2.0,2023-09-22,K. Thuram,Khéphren Thuram-Ulien,"CM, CDM",79,84,27000000.0,42000.0,22,2001-03-26,192,81,72.0,Nice,16.0,Ligue 1,1.0,LCM,19.0,,2019-07-06,2025.0,18,France,,,,Right,3,3,2,High/High,Normal (185+),No,53300000.0,,"Incisive Pass, Press Proven, Relentless",72.0,72.0,77.0,78.0,77.0,79.0,72,75,76,82,55,80,72,56,78,80,73,72,71,78,70,74,86,82,80,71,70,77,78,79,59,79.0,77,77,74,7,9,14,11,9,,76+2,76+2,76+2,77,78,78,78,77,78+2,78+2,78+2,78+2,79+2,79+2,79+2,78+2,77+2,78+2,78+2,78+2,77+2,77+2,77+2,77+2,77+2,77+2,17+2
158625,/player/158625/dante-bonfim-costa-santos/240002,24.0,2.0,2023-09-22,Dante,Dante Bonfim da Costa Santos,CB,78,78,2500000.0,26000.0,39,1983-10-18,189,91,72.0,Nice,16.0,Ligue 1,1.0,LCB,4.0,,2016-08-23,2024.0,54,Brazil,,,,Left,4,3,3,Low/High,Normal (185+),Yes,4800000.0,#Strength,"Block, Anticipate, Bruiser, Aerial",32.0,52.0,68.0,65.0,79.0,79.0,58,47,78,77,48,61,51,55,77,77,32,32,41,75,59,62,76,67,86,53,76,79,41,64,60,79.0,81,79,76,14,8,10,6,13,,59+3,59+3,59+3,58,59,59,59,58,62+3,62+3,62+3,61+3,70+3,70+3,70+3,61+3,69+3,77+1,77+1,77+1,69+3,70+3,78,78,78,70+3,17+3
244892,/player/244892/sofiane-diop/240002,24.0,2.0,2023-09-22,S. Diop,Sofiane Diop,"LM, RM, CF",77,82,16000000.0,35000.0,23,2000-06-09,175,65,72.0,Nice,16.0,Ligue 1,1.0,SUB,10.0,,2022-08-30,2027.0,18,France,,,,Right,3,4,2,High/Medium,Lean (170-185),No,31600000.0,,"Technical, Flair",70.0,71.0,75.0,81.0,54.0,53.0,77,70,39,76,62,82,76,74,68,81,72,68,81,74,84,76,47,76,37,74,68,56,76,77,60,77.0,56,58,46,14,13,8,9,9,,69+2,69+2,69+2,76,75,75,75,76,76+2,76+2,76+2,76+2,74+2,74+2,74+2,76+2,67+2,65+2,65+2,65+2,67+2,64+2,55+2,55+2,55+2,64+2,18+2
255000,/player/255000/terem-moffi/240002,24.0,2.0,2023-09-22,T. Moffi,Terem Igobor Moffi,ST,77,81,15500000.0,39000.0,24,1999-05-25,188,89,72.0,Nice,16.0,Ligue 1,1.0,ST,9.0,,2023-07-01,2027.0,133,Nigeria,,,,Left,3,2,2,High/Medium,Normal (185+),No,30600000.0,"#Speedster, #Strength","Finesse Shot, Quick Step",91.0,77.0,54.0,72.0,25.0,77.0,50,79,74,65,68,76,59,55,42,75,89,93,58,69,55,80,94,66,88,76,57,15,72,47,65,68.0,18,23,18,13,11,11,11,12,,77+2,77+2,77+2,72,73,73,73,72,69+2,69+2,69+2,69+2,59+2,59+2,59+2,69+2,50+2,45+2,45+2,45+2,50+2,47+2,45+2,45+2,45+2,47+2,18+2
253157,/player/253157/hicham-boudaoui/240002,24.0,2.0,2023-09-22,H. Boudaoui,Hicham Boudaoui,"CM, RM, CDM",76,79,10000000.0,33000.0,23,1999-09-23,175,61,72.0,Nice,16.0,Ligue 1,1.0,SUB,28.0,,2019-09-02,2027.0,97,Algeria,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,19800000.0,,Technical,75.0,65.0,73.0,77.0,74.0,75.0,68,68,73,77,51,77,77,58,74,78,74,75,79,77,77,65,79,86,69,64,75,72,73,73,54,73.0,72,76,75,7,6,7,13,8,,72+2,72+2,72+2,74,74,74,74,74,75+2,75+2,75+2,75+2,76+2,76+2,76+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,75+2,16+2
210896,/player/210896/morgan-sanson/240002,24.0,2.0,2023-09-22,M. Sanson,Morgan Sanson,"CM, CAM",76,76,7500000.0,69000.0,28,1994-08-18,180,73,72.0,Nice,16.0,Ligue 1,1.0,RCM,11.0,Aston Villa,,2024.0,18,France,,,,Right,4,4,2,Medium/Medium,Normal (170-185),Yes,,,Trivela,67.0,73.0,77.0,76.0,70.0,70.0,74,71,65,78,72,76,76,68,78,77,70,64,74,76,69,79,75,64,72,72,73,71,74,78,68,77.0,68,74,71,6,16,16,9,9,,73+2,73+2,73+2,74,75,75,75,74,75+1,75+1,75+1,74+2,76,76,76,74+2,72+2,74+2,74+2,74+2,72+2,71+2,72+2,72+2,72+2,71+2,18+2
255533,/player/255533/youssouf-ndayishimiye/240002,24.0,2.0,2023-09-22,Y. Ndayishimiye,Youssouf Ndayishimiye,"CB, CDM, CM",75,80,7500000.0,28000.0,24,1998-10-27,183,79,72.0,Nice,16.0,Ligue 1,1.0,CDM,55.0,,2023-01-25,2027.0,102,Burundi,,,,Right,3,2,1,Medium/High,Stocky (170-185),No,14800000.0,,,71.0,49.0,64.0,72.0,75.0,78.0,56,46,75,73,49,71,57,59,66,75,69,73,68,73,64,60,85,78,83,41,66,74,56,59,57,70.0,76,75,73,12,9,12,12,6,,64+2,64+2,64+2,65,65,65,65,65,65+2,65+2,65+2,67+2,68+2,68+2,68+2,67+2,72+2,73+2,73+2,73+2,72+2,72+2,75+2,75+2,75+2,72+2,17+2
231318,/player/231318/romain-perraud/240002,24.0,2.0,2023-09-22,R. Perraud,Romain Perraud,LB,75,78,7000000.0,35000.0,25,1997-09-22,173,68,72.0,Nice,16.0,Ligue 1,1.0,SUB,15.0,Southampton,,2024.0,18,France,,,,Left,2,3,1,High/Medium,Normal (170-185),Yes,,,Power Shot,70.0,72.0,73.0,75.0,72.0,72.0,72,65,62,75,70,75,70,71,72,74,74,67,73,76,80,84,72,77,64,78,85,75,76,71,60,69.0,73,73,69,6,7,10,11,13,,72+2,72+2,72+2,73,74,74,74,73,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,73+2,74+2,74+2,74+2,73+2,73+2,72+2,72+2,72+2,73+2,17+2
