player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
235244,/player/235244/rasmus-nicolaisen/240002,24.0,2.0,2023-09-22,R. Nicolaisen,Rasmus Schmidt Nicolaisen,CB,76,79,8500000.0,21000.0,26,1997-03-16,191,81,1809.0,Toulouse,16.0,Ligue 1,1.0,LCB,2.0,,2021-08-18,2025.0,13,Denmark,,,,Left,3,2,2,Low/High,Lean (185+),No,17600000.0,,"Power Header, Long Ball Pass, Block, Bruiser, Aerial",47.0,41.0,57.0,60.0,76.0,80.0,39,41,81,74,32,54,38,32,69,68,40,53,54,73,50,51,80,73,84,34,78,72,48,45,36,75.0,77,78,74,6,14,14,13,13,,57+2,57+2,57+2,54,56,56,56,54,57+2,57+2,57+2,57+2,63+2,63+2,63+2,57+2,66+2,73+2,73+2,73+2,66+2,68+2,76+2,76+2,76+2,68+2,18+2
252021,/player/252021/thijs-dallinga/240002,24.0,2.0,2023-09-22,T. Dallinga,Thijs Dallinga,ST,75,84,12500000.0,21000.0,22,2000-08-03,180,72,1809.0,Toulouse,16.0,Ligue 1,1.0,ST,27.0,,2022-07-01,2026.0,34,Netherlands,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,27500000.0,,,73.0,75.0,63.0,69.0,27.0,66.0,49,79,74,72,67,69,58,43,57,72,71,74,53,74,65,75,79,76,70,68,42,21,81,72,69,76.0,20,24,23,11,6,15,10,13,,75+2,75+2,75+2,70,74,74,74,70,72+2,72+2,72+2,70+2,66+2,66+2,66+2,70+2,51+2,49+2,49+2,49+2,51+2,48+2,43+2,43+2,43+2,48+2,17+2
248564,/player/248564/zakaria-aboukhlal/240002,24.0,2.0,2023-09-22,Z. Aboukhlal,Zakaria Aboukhlal,"RM, LM",75,81,9000000.0,19000.0,23,2000-02-18,179,73,1809.0,Toulouse,16.0,Ligue 1,1.0,RM,7.0,,2022-07-02,2026.0,129,Morocco,111111.0,SUB,14.0,Left,5,4,1,High/Medium,Normal (170-185),No,19800000.0,,"Technical, Flair, Quick Step, Trivela",85.0,72.0,69.0,75.0,41.0,76.0,66,75,49,73,55,76,70,52,63,73,86,84,85,71,75,74,74,90,72,70,68,20,72,71,65,68.0,53,44,34,10,6,10,5,12,,72+2,72+2,72+2,75,74,74,74,75,74+2,74+2,74+2,74+2,68+2,68+2,68+2,74+2,61+2,58+2,58+2,58+2,61+2,57+2,52+2,52+2,52+2,57+2,15+2
212170,/player/212170/mikkel-desler/240002,24.0,2.0,2023-09-22,M. Desler,Mikkel Desler,"RB, RWB",73,73,2800000.0,18000.0,28,1995-02-19,184,73,1809.0,Toulouse,16.0,Ligue 1,1.0,RB,3.0,,2021-07-21,2024.0,13,Denmark,,,,Right,2,2,1,High/Medium,Lean (170-185),No,5600000.0,,Jockey,74.0,60.0,67.0,69.0,67.0,69.0,71,61,58,73,48,67,59,50,63,70,76,72,68,68,75,59,71,89,60,60,68,65,69,64,57,68.0,67,70,68,6,10,9,6,7,,65+2,65+2,65+2,68,67,67,67,68,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,71+2,69+2,69+2,69+2,71+2,71+2,67+2,67+2,67+2,71+2,14+2
229649,/player/229649/gabriel-suazo/240002,24.0,2.0,2023-09-22,G. Suazo,Gabriel Alonso Suazo Urbina,"LB, LM, LWB",72,75,2900000.0,15000.0,25,1997-08-09,178,72,1809.0,Toulouse,16.0,Ligue 1,1.0,LB,15.0,,2023-01-16,2026.0,55,Chile,,,,Left,2,3,1,High/Medium,Lean (170-185),No,6000000.0,,,72.0,59.0,67.0,71.0,66.0,75.0,68,60,53,71,38,70,43,67,66,73,70,73,73,68,64,67,69,81,72,50,77,67,65,64,59,70.0,68,67,71,14,7,11,12,9,,65+2,65+2,65+2,68,67,67,67,68,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,71+2,70+2,70+2,70+2,71+2,70+2,68+2,68+2,68+2,70+2,17+2
243923,/player/243923/logan-costa/240002,24.0,2.0,2023-09-22,L. Costa,Logan Costa,CB,71,83,4300000.0,12000.0,22,2001-04-01,188,87,1809.0,Toulouse,16.0,Ligue 1,1.0,RCB,6.0,,2021-08-23,2026.0,104,Cape Verde Islands,,,,Right,2,2,1,Low/Medium,Normal (185+),No,9500000.0,,,48.0,32.0,49.0,47.0,72.0,74.0,39,25,70,65,27,44,43,31,53,49,50,47,33,69,38,54,73,67,79,28,72,70,28,32,39,68.0,74,73,72,6,12,13,7,7,,47+2,47+2,47+2,43,45,45,45,43,45+2,45+2,45+2,47+2,52+2,52+2,52+2,47+2,61+2,65+2,65+2,65+2,61+2,63+2,71+2,71+2,71+2,63+2,15+2
250725,/player/250725/moussa-diarra/240002,24.0,2.0,2023-09-22,M. Diarra,Moussa Diarra,"LB, CB, CM",71,81,4000000.0,12000.0,22,2000-11-10,185,73,1809.0,Toulouse,16.0,Ligue 1,1.0,SUB,23.0,,2019-04-21,2024.0,126,Mali,,,,Left,2,2,1,Medium/Medium,Lean (185+),No,8800000.0,,,67.0,32.0,57.0,62.0,71.0,73.0,58,30,65,69,28,61,48,34,53,62,68,66,61,69,63,26,74,74,71,33,74,72,54,47,43,55.0,70,74,70,6,10,6,8,11,,52+2,52+2,52+2,57,55,55,55,57,57+2,57+2,57+2,60+2,60+2,60+2,60+2,60+2,68+2,68+2,68+2,68+2,68+2,69+2,70+2,70+2,70+2,69+2,15+2
242534,/player/242534/cristian-casseres-jr/240002,24.0,2.0,2023-09-22,C. Cásseres Jr,Cristian Sleiker Cásseres Yepes,"CDM, CM, RM",71,77,2700000.0,12000.0,23,2000-01-20,175,68,1809.0,Toulouse,16.0,Ligue 1,1.0,RDM,24.0,,2023-07-10,2027.0,61,Venezuela,,,,Right,4,3,1,High/Medium,Normal (170-185),Yes,5900000.0,,"Slide Tackle, Technical",77.0,60.0,65.0,71.0,71.0,75.0,59,59,64,68,47,70,72,69,61,70,78,77,74,68,80,62,76,85,66,67,84,67,64,64,48,70.0,71,77,72,9,15,13,8,12,,66+2,66+2,66+2,68,67,67,67,68,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,71+2,17+2
243201,/player/243201/alex-dominguez-romero/240002,24.0,2.0,2023-09-22,Álex Domínguez,Alejandro Domínguez Romero,GK,71,77,2400000.0,9000.0,24,1998-07-30,186,82,1809.0,Toulouse,16.0,Ligue 1,1.0,SUB,40.0,,2023-07-27,2026.0,45,Spain,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,5300000.0,,,,,,,,,24,7,10,39,8,15,14,22,31,31,39,47,56,67,45,48,47,36,41,18,20,15,7,38,13,43.0,11,17,10,70,69,64,69,73,42.0,26+2,26+2,26+2,29,29,29,29,29,31+2,31+2,31+2,30+2,31+2,31+2,31+2,30+2,28+2,28+2,28+2,28+2,28+2,27+2,23+2,23+2,23+2,27+2,70+2
235022,/player/235022/niklas-schmidt/240002,24.0,2.0,2023-09-22,N. Schmidt,Niklas Schmidt,"CAM, CM, CF",71,75,2600000.0,14000.0,25,1998-03-01,184,89,1809.0,Toulouse,16.0,Ligue 1,1.0,SUB,20.0,,2023-08-04,2027.0,21,Germany,,,,Right,5,3,1,Medium/Medium,Normal (170-185),Yes,5400000.0,,"Power Shot, Technical",63.0,70.0,73.0,74.0,53.0,66.0,73,64,48,75,56,76,70,71,72,77,57,67,62,70,71,82,63,60,75,77,53,46,65,70,59,65.0,56,55,57,6,11,14,7,10,,68+2,68+2,68+2,71,71,71,71,71,71+2,71+2,71+2,70+2,70+2,70+2,70+2,70+2,63+2,63+2,63+2,63+2,63+2,61+2,58+2,58+2,58+2,61+2,16+2
