team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
73,/team/73/paris-saint-germain/240002,24,2,2023-09-22,Paris Saint Germain,16,Ligue 1,1.0,18,France,83,86,79,83,523959.0,Parc des Princes,219,9,10.0,,4200000000.0,24.36,24.63,207865.0,231747.0,231747.0,231747.0,231443.0,231747.0,231443.0,231443.0,Press after possession loss,51.0,71.0,,,,,,Slow build up,Possession,51.0,5.0,3.0,3.0,,,,,,,,
219,/team/219/olympique-de-marseille/240002,24,2,2023-09-22,Olympique de Marseille,16,Ligue 1,1.0,18,France,78,77,78,78,33525.0,Orange Vélodrome,73,6,8.0,,458000000.0,27.55,24.88,219581.0,188567.0,239093.0,188567.0,188567.0,188567.0,239093.0,239093.0,Balanced,41.0,41.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
64,/team/64/lens/240002,24,2,2023-09-22,Lens,16,Ligue 1,1.0,18,France,77,77,76,77,896608.0,Ivy Lane,65,4,7.0,,160000000.0,25.64,25.06,204883.0,208787.0,212138.0,208787.0,208787.0,212138.0,208787.0,208787.0,Pressure on heavy touch,51.0,61.0,,,,,,Slow build up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
65,/team/65/lille/240002,24,2,2023-09-22,Lille,16,Ligue 1,1.0,18,France,76,77,75,75,455945.0,Decathlon Arena,64,4,6.0,,200000000.0,25.36,24.14,190674.0,193476.0,190674.0,193476.0,193476.0,243630.0,193476.0,193476.0,Pressure on heavy touch,51.0,51.0,,,,,,Slow build up,Possession,71.0,6.0,3.0,3.0,,,,,,,,
66,/team/66/olympique-lyonnais/240002,24,2,2023-09-22,Olympique Lyonnais,16,Ligue 1,1.0,18,France,76,77,75,76,94575.0,Groupama Stadium,1819,4,7.0,,734000000.0,27.0,24.3,193301.0,193301.0,219683.0,193301.0,193301.0,193301.0,246646.0,246646.0,Pressure on heavy touch,51.0,51.0,,,,,,Slow build up,Possession,51.0,5.0,3.0,3.0,,,,,,,,
72,/team/72/nice/240002,24,2,2023-09-22,Nice,16,Ligue 1,1.0,18,France,76,77,76,75,243.0,Waldstadion (Fussballstadion),69,4,6.0,,200000000.0,26.09,23.76,158625.0,210896.0,158625.0,210896.0,210896.0,209519.0,210896.0,210896.0,Press after possession loss,61.0,71.0,,,,,,Slow build up,Possession,61.0,7.0,3.0,3.0,,,,,,,,
74,/team/74/rennes/240002,24,2,2023-09-22,Rennes,16,Ligue 1,1.0,18,France,76,77,78,74,523953.0,Stade Municipal,71,4,7.0,,180000000.0,25.73,24.39,214097.0,214097.0,214097.0,214097.0,214097.0,231102.0,214097.0,214097.0,Balanced,51.0,51.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
70,/team/70/montpellier/240002,24,2,2023-09-22,Montpellier,16,Ligue 1,1.0,18,France,73,68,75,73,456603.0,Forest Park Stadium (Square Ground),219,2,4.0,,110000000.0,28.0,25.29,205686.0,205686.0,205686.0,205686.0,205686.0,205686.0,205686.0,205686.0,Balanced,51.0,51.0,,,,,,Fast build up,Forward runs,51.0,4.0,3.0,3.0,,,,,,,,
71,/team/71/nantes/240002,24,2,2023-09-22,Nantes,16,Ligue 1,1.0,18,France,73,73,73,73,361268.0,Estadio de las Artes (Generic Stadium NG),74,2,4.0,,150000000.0,27.0,24.7,231691.0,209288.0,209288.0,209288.0,209288.0,216820.0,209288.0,261616.0,Balanced,51.0,41.0,,,,,,Balanced,Balanced,71.0,3.0,3.0,3.0,,,,,,,,
217,/team/217/lorient/240002,24,2,2023-09-22,Lorient,16,Ligue 1,1.0,18,France,73,73,73,73,529482.0,Molton Road (Sheldon Stadium),74,1,3.0,,100000000.0,25.91,24.17,213367.0,242577.0,242577.0,242577.0,242577.0,261084.0,213367.0,242577.0,Balanced,61.0,51.0,,,,,,Balanced,Balanced,61.0,5.0,3.0,3.0,,,,,,,,
