player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
212607,/player/212607/maxime-chanot/240002,24.0,2.0,2023-09-22,M. Chanot,Maxime Chanot,CB,72,72,1100000.0,6000.0,33,1990-01-21,186,84,614.0,Ajaccio,17.0,Ligue 2,2.0,SUB,33.0,,2023-08-29,2024.0,31,Luxembourg,,,,Right,3,2,1,Medium/High,Normal (185+),Yes,1900000.0,#Strength,"Power Header, Intercept, Bruiser",47.0,49.0,48.0,50.0,71.0,80.0,24,38,75,65,55,38,28,60,60,61,50,45,54,68,57,73,81,70,87,53,75,66,26,36,44,66.0,70,74,72,8,16,9,15,8,,54+2,54+2,54+2,46,49,49,49,46,49+2,49+2,49+2,48+2,56+2,56+2,56+2,48+2,60+2,67+2,67+2,67+2,60+2,62+2,72,72,72,62+2,18+2
228774,/player/228774/vincent-marchetti/240002,24.0,2.0,2023-09-22,V. Marchetti,Vincent Marchetti,"CDM, CM, LB",70,75,2100000.0,4000.0,25,1997-07-04,181,71,614.0,Ajaccio,17.0,Ligue 2,2.0,RDM,8.0,,2020-10-07,2024.0,18,France,,,,Left,3,3,1,Medium/High,Lean (170-185),No,3800000.0,,Incisive Pass,65.0,55.0,68.0,70.0,68.0,70.0,62,48,62,76,59,69,61,58,67,70,66,65,78,68,68,63,71,72,70,60,68,66,60,66,57,68.0,68,70,69,12,10,10,15,9,,62+2,62+2,62+2,65,65,65,65,65,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,68+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,68+2,18+2
178160,/player/178160/thomas-mangani/240002,24.0,2.0,2023-09-22,T. Mangani,Thomas Mangani,"CDM, CM",70,70,325000.0,3000.0,36,1987-04-29,183,79,614.0,Ajaccio,17.0,Ligue 2,2.0,LDM,23.0,,2022-06-13,2024.0,18,France,,,,Left,3,3,1,Low/Medium,Normal (170-185),No,569000.0,,"Long Ball Pass, Trivela",35.0,66.0,71.0,68.0,67.0,67.0,67,63,60,73,64,67,72,68,70,70,37,34,63,71,57,67,59,71,66,69,68,70,63,72,79,75.0,70,66,62,13,12,9,13,15,,63+2,63+2,63+2,64,65,65,65,64,67+2,67+2,67+2,64+2,70,70,70,64+2,65+2,69+1,69+1,69+1,65+2,64+2,66+2,66+2,66+2,64+2,19+2
193001,/player/193001/riad-nouri/240002,24.0,2.0,2023-09-22,R. Nouri,Riad Nouri,"RM, LM",70,70,525000.0,4000.0,38,1985-06-07,178,73,614.0,Ajaccio,17.0,Ligue 2,2.0,LM,5.0,,2020-09-08,2024.0,18,France,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,919000.0,,"Technical, Flair, First Touch",63.0,72.0,71.0,75.0,31.0,54.0,70,74,60,73,68,75,64,72,70,74,66,60,80,70,77,73,68,34,64,72,49,32,71,71,60,68.0,28,26,27,9,8,11,13,13,,70,70,70,72-2,72-2,72-2,72-2,72-2,72-2,72-2,72-2,69+1,66+2,66+2,66+2,69+1,51+2,51+2,51+2,51+2,51+2,48+2,44+2,44+2,44+2,48+2,17+2
244476,/player/244476/clement-vidal/240002,24.0,2.0,2023-09-22,C. Vidal,Clément Vidal,CB,69,75,2000000.0,3000.0,23,2000-06-18,181,76,614.0,Ajaccio,17.0,Ligue 2,2.0,LCB,15.0,,2022-07-04,2025.0,18,France,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,3900000.0,,Block,47.0,35.0,47.0,57.0,70.0,68.0,29,27,74,66,28,56,39,27,53,60,45,48,42,66,59,53,70,63,69,35,69,68,32,32,44,61.0,69,71,68,14,7,5,7,9,,49+2,49+2,49+2,47,49,49,49,47,49+2,49+2,49+2,49+2,54+2,54+2,54+2,49+2,60+2,64+2,64+2,64+2,60+2,61+2,69+2,69+2,69+2,61+2,15+2
179931,/player/179931/cedric-avinel/240002,24.0,2.0,2023-09-22,C. Avinel,Cédric Mickael Avinel,CB,69,69,250000.0,3000.0,36,1986-09-11,187,85,614.0,Ajaccio,17.0,Ligue 2,2.0,RCB,21.0,,2017-07-01,2024.0,18,France,,,,Right,3,2,1,Low/High,Normal (185+),No,438000.0,,"Power Header, Aerial",67.0,46.0,51.0,46.0,69.0,79.0,37,41,70,61,44,30,33,39,59,55,66,67,66,65,59,55,80,72,83,49,75,69,38,48,46,70.0,69,70,61,16,12,13,11,14,,53+2,53+2,53+2,49,50,50,50,49,51+2,51+2,51+2,51+2,56+2,56+2,56+2,51+2,61+2,65+2,65+2,65+2,61+2,63+2,69,69,69,63+2,19+2
209423,/player/209423/mathieu-michel/240002,24.0,2.0,2023-09-22,M. Michel,Mathieu Michel,GK,69,69,750000.0,3000.0,31,1991-09-04,189,84,614.0,Ajaccio,17.0,Ligue 2,2.0,GK,1.0,,2023-06-10,2025.0,18,France,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,1300000.0,,Footwork,,,,,,,15,12,19,24,18,12,20,12,26,14,50,48,30,68,59,50,66,35,63,14,17,17,17,20,14,53.0,13,12,16,70,67,66,63,72,49.0,28+2,28+2,28+2,24,26,26,26,24,24+2,24+2,24+2,25+2,24+2,24+2,24+2,25+2,25+2,24+2,24+2,24+2,25+2,26+2,25+2,25+2,25+2,26+2,68+1
223875,/player/223875/yacine-bammou/240002,24.0,2.0,2023-09-22,Y. Bammou,Yacine Bammou,"ST, RM, LM",69,69,1200000.0,5000.0,31,1991-09-11,188,78,614.0,Ajaccio,17.0,Ligue 2,2.0,LS,10.0,,2023-07-04,2028.0,129,Morocco,,,,Right,3,3,1,High/Medium,Lean (185+),No,2100000.0,,Flair,66.0,70.0,66.0,68.0,46.0,74.0,60,69,73,70,66,68,67,59,69,71,65,67,70,63,51,73,79,71,74,71,76,45,68,63,67,73.0,32,53,42,10,15,11,7,10,,69,69,69,67,68,68,68,67,68+1,68+1,68+1,67+2,66+2,66+2,66+2,67+2,58+2,59+2,59+2,59+2,58+2,57+2,57+2,57+2,57+2,57+2,16+2
241089,/player/241089/cyrille-bayala/240002,24.0,2.0,2023-09-22,C. Bayala,Cyrille Barros Bayala,RM,69,69,1500000.0,4000.0,27,1996-05-24,181,68,614.0,Ajaccio,17.0,Ligue 2,2.0,RM,14.0,,2021-01-20,2024.0,101,Burkina Faso,,,,Right,3,3,1,Medium/Low,Lean (170-185),No,2600000.0,,,77.0,62.0,64.0,68.0,41.0,68.0,68,60,59,69,55,69,60,41,63,69,75,79,73,60,63,68,75,76,71,60,49,30,66,60,67,64.0,44,40,38,7,13,6,8,10,,65+2,65+2,65+2,67,66,66,66,67,66+2,66+2,66+2,68+1,63+2,63+2,63+2,68+1,58+2,54+2,54+2,54+2,58+2,55+2,50+2,50+2,50+2,55+2,15+2
183829,/player/183829/mohamed-youssouf/240002,24.0,2.0,2023-09-22,M. Youssouf,Mohamed Youssouf,RB,68,68,375000.0,2000.0,35,1988-03-26,169,65,614.0,Ajaccio,17.0,Ligue 2,2.0,SUB,20.0,,2018-07-01,2024.0,214,Comoros,,,,Right,2,2,1,Medium/Medium,Normal (170-),No,656000.0,,Intercept,65.0,48.0,62.0,67.0,66.0,68.0,62,41,60,66,39,66,60,60,52,64,62,67,80,67,86,56,68,73,69,53,60,66,59,62,50,54.0,67,68,66,9,16,7,16,16,,58+2,58+2,58+2,62,61,61,61,62,62+2,62+2,62+2,63+2,63+2,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,20+2
