player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
186197,/player/186197/gael-kakuta/240002,24.0,2.0,2023-09-22,G. Kakuta,Gaël Kakuta,"CAM, CM, ST",74,74,3300000.0,7000.0,32,1991-06-21,173,72,1816.0,Amiens SC,17.0,Ligue 2,2.0,CAM,10.0,,2022-10-05,2026.0,110,Congo DR,,,,Left,3,4,1,High/Medium,Lean (170-185),Yes,5800000.0,,"Power Shot, Technical, Flair, Trickster, Trivela",71.0,72.0,72.0,77.0,40.0,61.0,70,70,67,72,72,78,72,72,70,73,74,68,86,72,84,75,74,61,64,72,51,46,70,77,77,73.0,31,41,25,7,12,7,14,13,,71+2,71+2,71+2,73,73,73,73,73,74,74,74,72+2,69+2,69+2,69+2,72+2,57+2,57+2,57+2,57+2,57+2,54+2,50+2,50+2,50+2,54+2,18+2
231263,/player/231263/jeremy-gelin/240002,24.0,2.0,2023-09-22,J. Gélin,Jérémy Pierre Sincère Gelin,"CDM, CB",70,75,2100000.0,4000.0,26,1997-04-24,183,79,1816.0,Amiens SC,17.0,Ligue 2,2.0,LDM,24.0,,2022-07-08,2024.0,18,France,,,,Right,3,2,1,Low/Medium,Normal (170-185),No,3800000.0,,,43.0,36.0,66.0,61.0,70.0,65.0,60,30,68,73,30,58,52,33,70,66,40,45,51,63,60,52,63,59,69,35,65,71,26,66,48,71.0,67,72,70,8,11,7,12,14,,49+2,49+2,49+2,53,52,52,52,53,56+2,56+2,56+2,56+2,63+2,63+2,63+2,56+2,64+2,69+2,69+2,69+2,64+2,64+2,68+2,68+2,68+2,64+2,17+2
235849,/player/235849/mamadou-fofana/240002,24.0,2.0,2023-09-22,M. Fofana,Mamadou Fofana,CB,70,75,2100000.0,4000.0,25,1998-01-21,186,75,1816.0,Amiens SC,17.0,Ligue 2,2.0,LCB,2.0,,2021-08-12,2026.0,126,Mali,,,,Right,3,2,1,Low/High,Lean (185+),No,3800000.0,,Long Ball Pass,64.0,33.0,54.0,63.0,69.0,77.0,34,30,69,66,38,61,35,29,63,66,68,61,70,66,56,40,78,82,76,30,71,72,35,55,45,58.0,71,67,66,13,12,13,14,6,,52+2,52+2,52+2,54,54,54,54,54,57+2,57+2,57+2,57+2,61+2,61+2,61+2,57+2,64+2,68+2,68+2,68+2,64+2,66+2,70+2,70+2,70+2,66+2,17+2
191210,/player/191210/sebastien-corchia/240002,24.0,2.0,2023-09-22,S. Corchia,Sébastien Corchia,"RB, RWB",70,70,1100000.0,4000.0,32,1990-11-01,176,69,1816.0,Amiens SC,17.0,Ligue 2,2.0,RB,14.0,,2023-07-01,2025.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,1900000.0,,,66.0,62.0,69.0,69.0,69.0,53.0,69,57,53,70,43,67,78,75,70,71,68,65,69,71,73,71,54,58,45,68,67,70,66,64,52,63.0,71,71,69,6,8,7,10,15,,63+2,63+2,63+2,67,67,67,67,67,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,68+2,68+2,68+2,68+2,68+2,68+2,65+2,65+2,65+2,68+2,16+2
237198,/player/237198/antoine-leautey/240002,24.0,2.0,2023-09-22,A. Leautey,Antoine Léautey,"RW, RWB, RM",70,70,1700000.0,5000.0,27,1996-04-14,172,66,1816.0,Amiens SC,17.0,Ligue 2,2.0,RM,7.0,,2022-07-05,2026.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,3000000.0,#Speedster,"Whipped Cross, Quick Step, Long Throw",90.0,64.0,63.0,71.0,45.0,52.0,60,63,28,66,57,71,62,60,58,68,91,90,87,63,81,71,54,68,46,61,48,45,67,65,58,55.0,49,48,39,14,11,11,6,8,,63+2,63+2,63+2,70,68,68,68,70,68+2,68+2,68+2,69+1,63+2,63+2,63+2,69+1,60+2,56+2,56+2,56+2,60+2,57+2,48+2,48+2,48+2,57+2,16+2
237077,/player/237077/frank-boya/240002,24.0,2.0,2023-09-22,F. Boya,Frank Thierry Boya,"CDM, CM, CB",69,71,1500000.0,4000.0,27,1996-07-01,195,83,1816.0,Amiens SC,17.0,Ligue 2,2.0,RES,13.0,,2023-09-04,2026.0,103,Cameroon,,,,Right,4,2,1,High/Medium,Normal (185+),No,2700000.0,#Strength,,45.0,58.0,61.0,60.0,67.0,87.0,58,48,73,66,43,63,55,61,64,65,38,51,42,62,34,78,78,83,91,62,83,68,64,53,54,68.0,62,70,64,15,7,9,14,14,,63+2,63+2,63+2,58,60,60,60,58,59+2,59+2,59+2,60+2,64+2,64+2,64+2,60+2,64+2,68+2,68+2,68+2,64+2,64+2,70+1,70+1,70+1,64+2,18+2
176994,/player/176994/regis-gurtner/240002,24.0,2.0,2023-09-22,R. Gurtner,Régis Gurtner,GK,69,69,150000.0,2000.0,36,1986-12-08,182,82,1816.0,Amiens SC,17.0,Ligue 2,2.0,GK,1.0,,2015-07-01,2024.0,18,France,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,263000.0,,,,,,,,,10,9,10,29,10,10,9,10,30,28,39,46,32,74,32,51,61,38,68,8,35,13,6,28,24,59.0,10,12,13,66,67,68,69,68,42.0,27+2,27+2,27+2,24,26,26,26,24,26+2,26+2,26+2,26+2,27+2,27+2,27+2,26+2,25+2,28+2,28+2,28+2,25+2,25+2,26+2,26+2,26+2,25+2,68+1
182836,/player/182836/andy-carroll/240002,24.0,2.0,2023-09-22,A. Carroll,Andy Carroll,ST,68,68,575000.0,4000.0,34,1989-01-06,193,79,1816.0,Amiens SC,17.0,Ligue 2,2.0,RES,99.0,,2023-09-04,2025.0,14,England,,,,Left,3,2,2,Medium/High,Normal (185+),Yes,1000000.0,#Strength,"Power Header, Aerial",37.0,70.0,61.0,60.0,47.0,81.0,58,69,84,61,79,59,64,49,62,72,36,37,39,66,30,79,85,47,94,63,89,44,66,66,74,71.0,38,45,48,14,14,12,10,6,,68,68,68,60,64,64,64,60,62+2,62+2,62+2,60+2,62+2,62+2,62+2,60+2,52+2,58+2,58+2,58+2,52+2,51+2,60+2,60+2,60+2,51+2,17+2
266586,/player/266586/louis-mafouta/240002,24.0,2.0,2023-09-22,L. Mafouta,Louis Mafouta,ST,68,68,1200000.0,4000.0,28,1994-07-02,181,70,1816.0,Amiens SC,17.0,Ligue 2,2.0,ST,9.0,,2023-07-16,2026.0,105,Central African Republic,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2100000.0,,,78.0,68.0,51.0,66.0,29.0,67.0,42,68,69,59,61,65,51,50,39,65,76,79,76,59,67,72,81,71,73,66,41,25,71,54,66,66.0,23,26,24,9,13,7,10,7,,68,68,68,64,66,66,66,64,63+2,63+2,63+2,62+2,56+2,56+2,56+2,62+2,48+2,44+2,44+2,44+2,48+2,46+2,43+2,43+2,43+2,46+2,15+2
253225,/player/253225/abdoul-fessal-tapsoba/240002,24.0,2.0,2023-09-22,A. Tapsoba,Abdoul Fessal Tapsoba,"ST, CAM, LM",67,77,2300000.0,5000.0,21,2001-08-23,177,71,1816.0,Amiens SC,17.0,Ligue 2,2.0,SUB,8.0,Standard Liège,,2024.0,101,Burkina Faso,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,Rapid,83.0,67.0,54.0,70.0,22.0,54.0,55,68,57,63,68,70,38,42,40,72,84,83,81,52,73,69,71,59,56,66,38,23,67,54,61,57.0,15,18,19,8,6,7,12,7,,67+2,67+2,67+2,68,67,67,67,68,65+2,65+2,65+2,65+2,56+2,56+2,56+2,65+2,47+2,41+2,41+2,41+2,47+2,44+2,36+2,36+2,36+2,44+2,13+2
