player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
198836,/player/198836/vincent-pajot/240002,24.0,2.0,2023-09-22,V. Pajot,Vincent Pajot,"CM, CDM",69,69,1100000.0,3000.0,32,1990-08-19,180,70,115494.0,Annecy,17.0,Ligue 2,2.0,RDM,17.0,,2022-07-07,2027.0,18,France,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,1900000.0,,,49.0,56.0,68.0,68.0,66.0,71.0,64,52,66,73,47,66,56,54,67,69,61,39,71,70,71,60,72,74,71,62,69,62,65,72,59,67.0,65,69,66,9,11,16,16,11,,62+2,62+2,62+2,64,64,64,64,64,67+2,67+2,67+2,65+2,69,69,69,65+2,66+2,68+1,68+1,68+1,66+2,65+2,67+2,67+2,67+2,65+2,18+2
189099,/player/189099/jonathan-kodjia/240002,24.0,2.0,2023-09-22,J. Kodjia,Jonathan Adjo Kodjia,ST,68,68,775000.0,3000.0,33,1989-10-22,189,77,115494.0,Annecy,17.0,Ligue 2,2.0,RS,24.0,,2023-08-22,2024.0,108,Côte d'Ivoire,,,,Right,3,3,1,High/Medium,Lean (185+),No,1400000.0,,,71.0,66.0,55.0,67.0,29.0,69.0,49,66,70,62,63,71,56,56,43,66,68,73,63,65,53,71,76,62,74,61,64,26,70,58,71,70.0,22,26,19,8,14,16,9,13,,68,68,68,65,67,67,67,65,64+2,64+2,64+2,64+2,57+2,57+2,57+2,64+2,48+2,46+2,46+2,46+2,48+2,45+2,44+2,44+2,44+2,45+2,17+2
188825,/player/188825/ahmed-kashi/240002,24.0,2.0,2023-09-22,A. Kashi,Ahmed Kashi,"CDM, CM",67,67,350000.0,2000.0,34,1988-11-18,178,76,115494.0,Annecy,17.0,Ligue 2,2.0,LDM,5.0,,2020-02-04,2024.0,97,Algeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,613000.0,,"Long Ball Pass, Flair",49.0,52.0,63.0,64.0,61.0,70.0,49,45,43,70,33,62,58,62,66,66,58,42,67,63,72,58,58,67,72,64,73,63,52,62,54,63.0,64,64,59,12,7,13,15,9,,55+2,55+2,55+2,58,59,59,59,58,62+2,62+2,62+2,59+2,64+2,64+2,64+2,59+2,61+2,66+1,66+1,66+1,61+2,60+2,62+2,62+2,62+2,60+2,17+2
207994,/player/207994/alexy-bosetti/240002,24.0,2.0,2023-09-22,A. Bosetti,Alexy Bosetti,"ST, LM",67,67,1000000.0,3000.0,30,1993-04-23,170,65,115494.0,Annecy,17.0,Ligue 2,2.0,LM,23.0,,2021-06-28,2024.0,18,France,,,,Right,3,3,1,High/Medium,Normal (170-),No,1800000.0,,Flair,75.0,69.0,63.0,70.0,32.0,64.0,63,69,51,67,68,68,69,59,53,70,74,75,81,66,77,71,66,63,63,66,68,39,69,64,70,63.0,32,26,16,10,10,11,12,6,,67,67,67,69-2,68-1,68-1,68-1,69-2,68-1,68-1,68-1,67,62+2,62+2,62+2,67,52+2,51+2,51+2,51+2,52+2,49+2,45+2,45+2,45+2,49+2,16+2
247407,/player/247407/kevin-mouanga/240002,24.0,2.0,2023-09-22,K. Mouanga,Kevin Mouanga,CB,66,74,1800000.0,2000.0,22,2000-07-24,190,85,115494.0,Annecy,17.0,Ligue 2,2.0,RCB,14.0,,2021-07-01,2024.0,18,France,,,,Right,3,2,1,Low/Medium,Normal (185+),No,3500000.0,,"Power Header, Block",38.0,31.0,45.0,43.0,67.0,74.0,34,25,65,59,27,36,29,28,50,52,37,38,38,58,39,45,70,66,85,32,55,64,22,38,46,47.0,67,70,64,8,14,8,13,11,,43+2,43+2,43+2,40,41,41,41,40,42+2,42+2,42+2,43+2,50+2,50+2,50+2,43+2,56+2,61+2,61+2,61+2,56+2,58+2,66+2,66+2,66+2,58+2,16+2
232410,/player/232410/florian-escales/240002,24.0,2.0,2023-09-22,F. Escales,Florian Escales,GK,66,70,900000.0,1000.0,27,1996-02-03,184,78,115494.0,Annecy,17.0,Ligue 2,2.0,GK,1.0,,2021-06-12,2024.0,18,France,,,,Left,2,1,1,Medium/Medium,Normal (170-185),No,1600000.0,,,,,,,,,11,5,11,38,7,8,12,10,42,17,25,33,24,52,46,47,56,35,69,9,19,14,7,39,14,47.0,10,10,10,69,68,63,67,64,28.0,22+2,22+2,22+2,20,22,22,22,20,25+2,25+2,25+2,24+2,28+2,28+2,28+2,24+2,22+2,27+2,27+2,27+2,22+2,21+2,23+2,23+2,23+2,21+2,65+2
266272,/player/266272/martin-adeline/240002,24.0,2.0,2023-09-22,M. Adeline,Martin Adeline,"CAM, CM",65,77,1700000.0,3000.0,19,2003-12-02,180,63,115494.0,Annecy,17.0,Ligue 2,2.0,SUB,21.0,Stade de Reims,,2024.0,18,France,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,,,Technical,64.0,58.0,65.0,68.0,56.0,61.0,59,55,57,70,49,71,59,48,66,70,65,64,63,58,70,65,65,60,61,58,62,54,59,65,57,54.0,49,62,58,9,10,8,11,15,,61+2,61+2,61+2,64,64,64,64,64,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,61+2,62+2,62+2,62+2,61+2,60+2,59+2,59+2,59+2,60+2,16+2
270888,/player/270888/gaby-jean/240002,24.0,2.0,2023-09-22,G. Jean,Gaby Jean,CB,65,74,1500000.0,1000.0,23,2000-02-19,191,80,115494.0,Annecy,17.0,Ligue 2,2.0,LCB,13.0,,2022-07-26,2026.0,18,France,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,2900000.0,,,55.0,33.0,45.0,44.0,65.0,70.0,38,26,69,60,28,40,37,29,50,47,56,54,42,54,43,47,72,62,74,34,69,59,29,27,48,60.0,64,68,65,6,10,12,10,10,,45+2,45+2,45+2,42,42,42,42,42,43+2,43+2,43+2,45+2,48+2,48+2,48+2,45+2,56+2,59+2,59+2,59+2,56+2,58+2,65+2,65+2,65+2,58+2,14+2
228431,/player/228431/warren-caddy/240002,24.0,2.0,2023-09-22,W. Caddy,Warren Caddy,ST,65,68,950000.0,2000.0,26,1997-04-09,183,83,115494.0,Annecy,17.0,Ligue 2,2.0,LS,10.0,Paris,,2024.0,18,France,,,,Right,2,3,1,High/Low,Normal (170-185),No,,,,81.0,63.0,49.0,66.0,28.0,67.0,41,63,65,53,51,64,51,50,43,64,80,82,74,62,78,68,83,50,76,61,60,20,64,54,65,65.0,36,17,18,6,9,15,11,10,,65+2,65+2,65+2,62,64,64,64,62,61+2,61+2,61+2,60+2,52+2,52+2,52+2,60+2,44+2,43+2,43+2,43+2,44+2,43+2,43+2,43+2,43+2,43+2,15+2
225935,/player/225935/steve-shamal/240002,24.0,2.0,2023-09-22,S. Shamal,Steve Shamal,"LM, LW",65,65,750000.0,2000.0,27,1996-02-22,182,73,115494.0,Annecy,17.0,Ligue 2,2.0,SUB,27.0,,2022-06-17,2028.0,18,France,,,,Right,3,3,1,High/Low,Lean (170-185),No,1300000.0,,Technical,76.0,57.0,56.0,68.0,20.0,56.0,63,54,55,58,52,69,57,61,42,67,75,77,73,62,67,64,69,60,61,54,34,12,68,56,64,52.0,17,18,17,12,9,11,11,12,,62+2,62+2,62+2,65,64,64,64,65,62+2,62+2,62+2,64+1,54+2,54+2,54+2,64+1,46+2,40+2,40+2,40+2,46+2,43+2,35+2,35+2,35+2,43+2,17+2
