player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
237132,/player/237132/gaetan-weissbeck/240002,24.0,2.0,2023-09-22,G. Weissbeck,Gaëtan Weissbeck,"CAM, CM",72,75,3100000.0,7000.0,26,1997-01-17,177,70,59.0,Bordeaux,17.0,Ligue 2,2.0,CAM,10.0,,2019-01-31,2024.0,18,France,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,5800000.0,,"Power Shot, Pinged Pass, Flair, First Touch",66.0,70.0,72.0,75.0,46.0,68.0,66,68,47,75,58,76,77,78,70,76,64,68,79,65,75,77,62,79,69,74,53,29,66,70,67,68.0,38,63,50,14,7,9,15,7,,68+2,68+2,68+2,71,71,71,71,71,72+2,72+2,72+2,71+2,70+2,70+2,70+2,71+2,61+2,60+2,60+2,60+2,61+2,58+2,53+2,53+2,53+2,58+2,17+2
216730,/player/216730/stian-gregersen/240002,24.0,2.0,2023-09-22,S. Gregersen,Stian Rode Gregersen,CB,72,74,2400000.0,7000.0,28,1995-05-17,192,83,59.0,Bordeaux,17.0,Ligue 2,2.0,RCB,2.0,,2021-09-01,2026.0,36,Norway,1352.0,SUB,2.0,Right,2,2,1,Low/Medium,Normal (185+),No,4500000.0,#Strength,"Slide Tackle, Bruiser, Aerial",76.0,44.0,52.0,46.0,70.0,84.0,35,38,72,61,41,39,48,38,58,54,69,82,33,68,45,51,87,78,90,50,78,69,44,51,45,67.0,68,71,68,8,10,10,7,12,,55+2,55+2,55+2,51,53,53,53,51,52+2,52+2,52+2,54+2,57+2,57+2,57+2,54+2,63+2,66+2,66+2,66+2,63+2,66+2,72+2,72+2,72+2,66+2,16+2
236245,/player/236245/alberth-elis/240002,24.0,2.0,2023-09-22,A. Elis,Alberth Josué Elis Martínez,"ST, RM",72,73,2700000.0,8000.0,27,1996-02-12,185,82,59.0,Bordeaux,17.0,Ligue 2,2.0,RES,29.0,,2022-07-01,2026.0,81,Honduras,,,,Right,4,4,1,High/Medium,Lean (185+),Yes,5100000.0,,"Rapid, Flair",87.0,69.0,63.0,72.0,30.0,76.0,61,72,68,65,65,72,63,57,58,71,88,87,83,70,66,70,85,80,75,65,71,33,72,69,64,69.0,27,21,25,9,7,6,10,9,,72+1,72+1,72+1,72,72,72,72,72,71+2,71+2,71+2,71+2,64+2,64+2,64+2,71+2,55+2,52+2,52+2,52+2,55+2,52+2,47+2,47+2,47+2,52+2,15+2
224189,/player/224189/yoann-barbet/240002,24.0,2.0,2023-09-22,Y. Barbet,Yoann Barbet,CB,72,72,1900000.0,7000.0,30,1993-05-10,187,81,59.0,Bordeaux,17.0,Ligue 2,2.0,LCB,5.0,,2022-09-01,2026.0,18,France,,,,Left,2,3,1,Medium/Medium,Normal (185+),No,3400000.0,,Long Ball Pass,69.0,52.0,70.0,66.0,73.0,77.0,66,38,72,74,51,65,65,73,72,68,68,69,65,68,54,68,81,83,77,66,69,71,55,67,58,73.0,74,72,73,14,11,9,10,13,,62+2,62+2,62+2,64,63,63,63,64,65+2,65+2,65+2,66+2,69+2,69+2,69+2,66+2,71+1,72,72,72,71+1,72,72,72,72,72,18+2
230019,/player/230019/vital-nsimba/240002,24.0,2.0,2023-09-22,V. Nsimba,Vital Manuel N,LB,72,72,2100000.0,7000.0,29,1993-07-08,169,69,59.0,Bordeaux,17.0,Ligue 2,2.0,LB,14.0,,2022-09-01,2024.0,110,Congo DR,,,,Left,3,3,1,High/High,Normal (170-),No,3800000.0,,"Whipped Cross, Quick Step",84.0,58.0,66.0,72.0,65.0,58.0,70,55,46,67,49,69,68,64,59,68,85,84,87,72,92,67,56,83,40,60,74,66,66,63,50,68.0,67,69,67,9,8,5,11,8,,63+2,63+2,63+2,69,67,67,67,69,67+2,67+2,67+2,70+2,67+2,67+2,67+2,70+2,71+1,67+2,67+2,67+2,71+1,70+2,63+2,63+2,63+2,70+2,16+2
231753,/player/231753/jeremy-livolant/240002,24.0,2.0,2023-09-22,J. Livolant,Jérémy Livolant,"LM, ST, RM",71,74,2500000.0,6000.0,25,1998-01-09,175,70,59.0,Bordeaux,17.0,Ligue 2,2.0,SUB,7.0,,2023-07-27,2026.0,18,France,,,,Right,3,3,1,High/Low,Normal (170-185),No,4700000.0,,"Whipped Cross, Rapid",78.0,71.0,66.0,72.0,57.0,70.0,66,69,50,68,68,72,62,62,64,70,79,77,84,61,79,72,71,80,69,74,58,54,71,66,68,64.0,51,64,62,6,11,5,9,9,,68+2,68+2,68+2,71,70,70,70,71,70+2,70+2,70+2,70+2,67+2,67+2,67+2,70+2,66+2,63+2,63+2,63+2,66+2,65+2,60+2,60+2,60+2,65+2,14+2
236492,/player/236492/pedro-diaz-fanjul/240002,24.0,2.0,2023-09-22,Pedro Díaz,Pedro Díaz Fanjul,"CM, CDM, CAM",70,75,2300000.0,6000.0,25,1998-06-05,180,78,59.0,Bordeaux,17.0,Ligue 2,2.0,LDM,20.0,,2023-08-04,2027.0,45,Spain,,,,Right,4,3,1,High/High,Lean (170-185),No,4300000.0,,"Power Shot, Dead Ball, Pinged Pass, Long Ball Pass, Whipped Cross, Relentless",68.0,73.0,72.0,70.0,65.0,70.0,70,69,42,71,65,68,80,82,70,70,71,66,81,67,69,80,63,76,71,79,64,66,66,71,68,67.0,65,70,69,7,14,8,13,7,,67+2,67+2,67+2,70,69,69,69,70,70+2,70+2,70+2,69+2,70+2,70+2,70+2,69+2,69+2,69+2,69+2,69+2,69+2,68+2,65+2,65+2,65+2,68+2,16+2
237563,/player/237563/aliou-badji/240002,24.0,2.0,2023-09-22,A. Badji,Aliou Badji,ST,70,75,2400000.0,6000.0,25,1997-10-10,189,75,59.0,Bordeaux,17.0,Ligue 2,2.0,ST,77.0,,2023-07-03,2026.0,136,Senegal,,,,Right,3,3,1,Medium/Low,Lean (185+),No,4500000.0,,,87.0,69.0,44.0,67.0,26.0,85.0,28,69,72,46,62,68,53,48,33,68,85,88,73,52,58,72,94,86,86,70,79,16,71,59,53,65.0,24,23,19,12,9,10,8,9,,70+2,70+2,70+2,64,67,67,67,64,63+2,63+2,63+2,62+2,54+2,54+2,54+2,62+2,45+2,43+2,43+2,43+2,45+2,44+2,45+2,45+2,45+2,44+2,14+2
242603,/player/242603/harisson-marcelin/240002,24.0,2.0,2023-09-22,H. Marcelin,Jean Harisson Marcelin,CB,69,76,2600000.0,4000.0,23,2000-02-12,197,82,59.0,Bordeaux,17.0,Ligue 2,2.0,RES,24.0,,2023-07-13,2027.0,18,France,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,5200000.0,,,55.0,35.0,49.0,50.0,69.0,76.0,24,30,71,60,32,49,28,32,62,53,49,60,36,66,35,59,78,66,83,27,70,67,27,52,35,65.0,70,70,68,15,11,12,14,14,,49+2,49+2,49+2,45,48,48,48,45,49+2,49+2,49+2,49+2,55+2,55+2,55+2,49+2,59+2,65+2,65+2,65+2,59+2,61+2,69+2,69+2,69+2,61+2,19+2
245495,/player/245495/danylo-ignatenko/240002,24.0,2.0,2023-09-22,D. Ignatenko,Danylo Ignatenko,"CM, CDM",69,72,1800000.0,5000.0,26,1997-03-13,189,84,59.0,Bordeaux,17.0,Ligue 2,2.0,RDM,6.0,,2022-07-01,2026.0,49,Ukraine,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,3400000.0,#Strength,Long Ball Pass,49.0,53.0,69.0,67.0,69.0,82.0,66,49,71,75,44,68,57,56,69,69,48,49,59,70,51,68,79,78,86,48,80,69,69,66,48,65.0,68,70,67,13,8,8,15,11,,64+2,64+2,64+2,63,64,64,64,63,65+2,65+2,65+2,66+2,69+2,69+2,69+2,66+2,68+2,71+1,71+1,71+1,68+2,67+2,72,72,72,67+2,18+2
