player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
184190,/player/184190/romain-thomas/240002,24.0,2.0,2023-09-22,R. Thomas,Romain Thomas,CB,72,72,625000.0,4000.0,35,1988-06-12,193,84,210.0,Caen,17.0,Ligue 2,2.0,LCB,29.0,,2022-06-17,2025.0,18,France,,,,Left,3,2,1,Medium/High,Lean (185+),No,1100000.0,,"Power Header, Long Ball Pass, Block",32.0,37.0,52.0,45.0,73.0,71.0,42,30,76,65,18,31,39,34,66,63,33,32,35,69,39,64,76,42,84,28,73,71,28,37,50,70.0,73,74,71,13,7,11,14,10,,49+2,49+2,49+2,42,45,45,45,42,46+2,46+2,46+2,45+2,54+2,54+2,54+2,45+2,58+2,67+2,67+2,67+2,58+2,61+2,72,72,72,61+2,17+2
199419,/player/199419/yoann-court/240002,24.0,2.0,2023-09-22,Y. Court,Yoann Court,"RM, LM, CM",72,72,1500000.0,7000.0,33,1990-01-14,172,70,210.0,Caen,17.0,Ligue 2,2.0,RM,8.0,,2020-09-18,2024.0,18,France,,,,Left,2,4,1,Medium/Medium,Normal (170-185),No,2600000.0,,"Pinged Pass, Slide Tackle, Technical, Flair",68.0,65.0,72.0,72.0,40.0,70.0,73,67,26,71,32,71,69,67,71,71,71,66,74,71,85,69,57,75,69,65,67,50,70,74,60,67.0,35,40,44,12,16,7,13,13,,64+2,64+2,64+2,70,69,69,69,70,71+1,71+1,71+1,71+1,69+2,69+2,69+2,71+1,61+2,60+2,60+2,60+2,61+2,57+2,50+2,50+2,50+2,57+2,20+2
223510,/player/223510/alexandre-mendy/240002,24.0,2.0,2023-09-22,A. Mendy,Alexandre Mendy,ST,72,72,2300000.0,7000.0,29,1994-03-20,185,84,210.0,Caen,17.0,Ligue 2,2.0,LS,19.0,,2020-10-01,2026.0,119,Guinea Bissau,,,,Right,3,2,1,High/Low,Normal (185+),No,4000000.0,#Strength,,73.0,72.0,52.0,65.0,24.0,81.0,35,75,70,65,64,63,60,50,43,68,72,73,72,68,57,76,86,77,90,64,63,29,72,52,70,65.0,16,17,17,16,12,14,16,9,,72,72,72,65,68,68,68,65,65+2,65+2,65+2,63+2,58+2,58+2,58+2,63+2,47+2,47+2,47+2,47+2,47+2,45+2,44+2,44+2,44+2,45+2,19+2
198348,/player/198348/mathias-autret/240002,24.0,2.0,2023-09-22,M. Autret,Mathias Autret,"LM, CM, CAM",71,71,1500000.0,6000.0,32,1991-03-01,179,71,210.0,Caen,17.0,Ligue 2,2.0,LM,23.0,,2023-07-21,2025.0,18,France,,,,Right,3,4,1,High/Medium,Normal (170-185),No,2600000.0,,,61.0,70.0,73.0,72.0,42.0,58.0,73,71,48,75,64,73,63,69,74,71,60,61,72,69,79,74,58,51,62,65,55,53,72,71,62,64.0,26,49,40,10,6,13,10,12,,68+2,68+2,68+2,70,70,70,70,70,71,71,71,70+1,69+2,69+2,69+2,70+1,58+2,59+2,59+2,59+2,58+2,55+2,51+2,51+2,51+2,55+2,16+2
233366,/player/233366/valentin-henry/240002,24.0,2.0,2023-09-22,V. Henry,Valentin Henry,RB,71,71,1600000.0,6000.0,29,1993-09-18,178,73,210.0,Caen,17.0,Ligue 2,2.0,RB,4.0,,2023-06-27,2025.0,18,France,,,,Right,3,3,1,High/Medium,Lean (170-185),No,2800000.0,,Slide Tackle,81.0,61.0,64.0,71.0,63.0,75.0,71,59,59,68,53,70,67,47,65,72,83,79,84,62,76,68,80,84,74,64,63,59,55,53,55,59.0,62,67,66,11,13,12,12,14,,65+2,65+2,65+2,68,65,65,65,68,66+2,66+2,66+2,68+2,65+2,65+2,65+2,68+2,69+2,66+2,66+2,66+2,69+2,69+2,65+2,65+2,65+2,69+2,18+2
252711,/player/252711/ali-abdi/240002,24.0,2.0,2023-09-22,A. Abdi,Ali Abdi,"LB, LWB, RM",71,71,1600000.0,6000.0,29,1993-12-20,177,73,210.0,Caen,17.0,Ligue 2,2.0,LB,2.0,,2021-07-26,2026.0,145,Tunisia,,,,Left,3,3,1,High/Medium,Normal (170-185),No,2800000.0,,"Whipped Cross, Anticipate, Relentless, Long Throw",89.0,60.0,66.0,71.0,62.0,75.0,68,60,65,69,49,70,68,44,64,71,83,93,76,70,68,67,81,90,71,60,67,59,70,64,41,67.0,63,61,61,13,13,13,10,9,,68+2,68+2,68+2,71,70,70,70,71,69+2,69+2,69+2,72-1,68+2,68+2,68+2,72-1,70+1,67+2,67+2,67+2,70+1,69+2,65+2,65+2,65+2,69+2,18+2
220833,/player/220833/anthony-mandrea/240002,24.0,2.0,2023-09-22,A. Mandréa,Anthony Mandréa,GK,70,73,1600000.0,4000.0,26,1996-12-25,186,78,210.0,Caen,17.0,Ligue 2,2.0,GK,1.0,,2022-06-23,2027.0,97,Algeria,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,2900000.0,,,,,,,,,13,17,15,28,16,16,14,20,19,18,41,49,33,63,55,47,61,28,61,14,23,19,15,15,23,51.0,12,19,21,71,64,63,71,74,44.0,28+2,28+2,28+2,24,26,26,26,24,24+2,24+2,24+2,25+2,23+2,23+2,23+2,25+2,26+2,25+2,25+2,25+2,26+2,26+2,27+2,27+2,27+2,26+2,69+2
251974,/player/251974/hiangaa-mbock/240002,24.0,2.0,2023-09-22,H. Mbock,Hiang'a Mananga Mbock,"CDM, CM",68,77,2500000.0,6000.0,23,1999-12-28,186,82,210.0,Caen,17.0,Ligue 2,2.0,SUB,37.0,Brest,,2024.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,,,,57.0,59.0,63.0,70.0,63.0,71.0,50,53,59,71,33,71,53,56,70,73,66,49,67,62,67,77,72,65,75,66,66,62,61,63,45,60.0,62,65,63,9,7,12,8,10,,63+2,63+2,63+2,64,65,65,65,64,66+2,66+2,66+2,64+2,67+2,67+2,67+2,64+2,63+2,67+2,67+2,67+2,63+2,62+2,65+2,65+2,65+2,62+2,15+2
253074,/player/253074/godson-kyeremeh/240002,24.0,2.0,2023-09-22,G. Kyeremeh,Godson Kyeremeh,"LM, ST, RM",68,77,2700000.0,3000.0,23,2000-06-14,175,60,210.0,Caen,17.0,Ligue 2,2.0,SUB,17.0,,2019-01-18,2025.0,18,France,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,5300000.0,,Technical,86.0,64.0,60.0,69.0,32.0,41.0,67,68,49,58,67,69,58,55,55,68,90,83,77,51,82,65,55,56,33,54,37,21,67,64,62,61.0,24,38,40,11,6,7,7,9,,63+2,63+2,63+2,68,66,66,66,68,65+2,65+2,65+2,67+2,58+2,58+2,58+2,67+2,52+2,45+2,45+2,45+2,52+2,50+2,39+2,39+2,39+2,50+2,13+2
247534,/player/247534/caleb-zady-sery/240002,24.0,2.0,2023-09-22,C. Zady Sery,Caleb Zady Sery,"LM, RM, CAM",67,76,2300000.0,3000.0,23,1999-12-20,177,72,210.0,Caen,17.0,Ligue 2,2.0,SUB,10.0,,2019-08-31,2024.0,108,Côte d'Ivoire,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,4500000.0,,"Technical, Quick Step",89.0,55.0,60.0,69.0,21.0,59.0,60,54,54,64,49,72,53,55,56,63,92,86,86,50,81,56,75,65,62,55,38,18,61,61,59,55.0,19,15,19,9,8,13,10,8,,61+2,61+2,61+2,66,64,64,64,66,64+2,64+2,64+2,66+2,56+2,56+2,56+2,66+2,48+2,42+2,42+2,42+2,48+2,44+2,36+2,36+2,36+2,44+2,14+2
246299,/player/246299/djibril-diani/240002,24.0,2.0,2023-09-22,D. Diani,Djibril Diani,"CDM, CB",67,74,1900000.0,3000.0,25,1998-02-11,195,78,210.0,Caen,17.0,Ligue 2,2.0,SUB,28.0,,2022-01-05,2024.0,18,France,,,,Left,3,2,1,Medium/High,Lean (185+),No,3700000.0,,,63.0,45.0,56.0,61.0,64.0,80.0,46,45,58,66,34,61,37,33,64,68,55,69,61,56,37,56,74,77,87,38,68,62,47,52,45,55.0,61,68,67,9,7,13,9,14,,56+2,56+2,56+2,56,57,57,57,56,58+2,58+2,58+2,59+2,61+2,61+2,61+2,59+2,63+2,66+2,66+2,66+2,63+2,63+2,67+2,67+2,67+2,63+2,15+2
