player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
183921,/player/183921/julien-faussurier/240002,24.0,2.0,2023-09-22,J. Faussurier,Julien Faussurier,"RB, RM",68,68,275000.0,2000.0,36,1987-01-14,173,70,113742.0,Concarneau,17.0,Ligue 2,2.0,SUB,33.0,,2023-08-02,2024.0,18,France,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,481000.0,,,49.0,57.0,70.0,66.0,68.0,69.0,72,55,58,71,50,65,65,48,70,67,53,45,64,67,74,56,62,74,65,58,72,68,70,71,60,67.0,70,71,67,6,14,10,13,7,,61+2,61+2,61+2,64,64,64,64,64,66+2,66+2,66+2,66+2,69-1,69-1,69-1,66+2,67+1,70-2,70-2,70-2,67+1,66+2,67+1,67+1,67+1,66+2,16+2
216482,/player/216482/bryan-pele/240002,24.0,2.0,2023-09-22,B. Pelé,Bryan Pelé,"RM, LM",67,67,850000.0,2000.0,31,1992-03-25,169,65,113742.0,Concarneau,17.0,Ligue 2,2.0,RES,35.0,,2023-08-09,2024.0,18,France,,,,Left,3,3,1,Medium/Medium,Normal (170-),No,1500000.0,#Acrobat,Chip Shot,83.0,60.0,66.0,68.0,39.0,51.0,66,60,49,65,48,65,69,68,65,64,75,89,90,61,90,63,59,60,54,59,31,36,63,65,68,59.0,47,33,29,7,11,8,16,12,,62+2,62+2,62+2,67,65,65,65,67,66+1,66+1,66+1,66+1,61+2,61+2,61+2,66+1,55+2,51+2,51+2,51+2,55+2,52+2,45+2,45+2,45+2,52+2,17+2
222820,/player/222820/esteban-salles/240002,24.0,2.0,2023-09-22,E. Salles,Esteban Salles,GK,65,67,600000.0,1000.0,29,1994-03-02,187,78,113742.0,Concarneau,17.0,Ligue 2,2.0,GK,30.0,,2023-07-17,2024.0,18,France,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,1100000.0,,,,,,,,,21,18,16,24,17,14,15,21,20,18,25,26,31,62,28,47,56,41,64,13,18,17,11,32,15,27.0,10,14,12,66,63,62,64,64,25.0,26+2,26+2,26+2,23,24,24,24,23,24+2,24+2,24+2,24+2,25+2,25+2,25+2,24+2,24+2,24+2,24+2,24+2,24+2,23+2,24+2,24+2,24+2,23+2,64+2
240312,/player/240312/issouf-paro/240002,24.0,2.0,2023-09-22,I. Paro,Issouf Paro,CB,65,67,725000.0,2000.0,28,1994-10-16,184,79,113742.0,Concarneau,17.0,Ligue 2,2.0,LCB,28.0,,2023-06-21,2024.0,101,Burkina Faso,,,,Right,2,2,1,Low/Medium,Lean (170-185),No,1300000.0,,,63.0,30.0,56.0,49.0,65.0,72.0,58,18,66,65,32,48,33,28,62,53,63,63,32,61,41,47,74,72,75,38,65,64,28,47,38,63.0,65,67,61,14,15,14,14,8,,46+2,46+2,46+2,48,47,47,47,48,49+2,49+2,49+2,53+2,55+2,55+2,55+2,53+2,62+2,63+2,63+2,63+2,62+2,63+2,65+2,65+2,65+2,63+2,18+2
271995,/player/271995/noha-ndombasi/240002,24.0,2.0,2023-09-22,N. Ndombasi,Noha Ndombasi Nlandu,"LW, RW",64,72,1300000.0,1000.0,22,2001-04-28,174,69,113742.0,Concarneau,17.0,Ligue 2,2.0,RES,9.0,,2023-08-21,2024.0,18,France,,,,Right,2,4,1,Medium/Medium,Lean (170-185),No,2500000.0,,,85.0,58.0,50.0,69.0,28.0,61.0,40,61,60,54,47,69,58,31,44,64,84,85,84,63,84,55,77,66,62,53,48,19,63,58,68,55.0,29,28,13,13,11,11,6,7,,63+2,63+2,63+2,64,64,64,64,64,63+2,63+2,63+2,62+2,55+2,55+2,55+2,62+2,46+2,43+2,43+2,43+2,46+2,44+2,41+2,41+2,41+2,44+2,15+2
245390,/player/245390/gaoussou-traore/240002,24.0,2.0,2023-09-22,G. Traoré,Gaoussou Boubacar Traoré,"CDM, CM",64,71,1100000.0,1000.0,23,1999-12-04,173,63,113742.0,Concarneau,17.0,Ligue 2,2.0,SUB,12.0,,2023-06-28,2024.0,18,France,,,,Right,2,3,1,Medium/Medium,Lean (170-185),No,2100000.0,,,50.0,39.0,58.0,63.0,62.0,64.0,46,37,58,66,38,63,44,45,63,66,52,48,59,57,72,53,60,71,61,32,63,65,29,58,46,54.0,60,63,61,12,7,9,8,12,,50+2,50+2,50+2,53,52,52,52,53,55+2,55+2,55+2,56+2,60+2,60+2,60+2,56+2,60+2,63+2,63+2,63+2,60+2,60+2,62+2,62+2,62+2,60+2,15+2
242116,/player/242116/maxime-etuin/240002,24.0,2.0,2023-09-22,M. Etuin,Maxime Etuin,"RB, CDM, CM",64,64,575000.0,1000.0,27,1995-08-15,175,69,113742.0,Concarneau,17.0,Ligue 2,2.0,LDM,17.0,,2023-06-21,2024.0,18,France,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,1000000.0,,,68.0,56.0,69.0,65.0,59.0,47.0,64,51,48,74,58,64,65,68,72,65,65,70,68,62,76,68,49,49,46,56,47,57,50,64,65,62.0,58,64,63,8,7,11,6,13,,58+2,58+2,58+2,63,62,62,62,63,64,64,64,63+1,64,64,64,63+1,62+2,62+2,62+2,62+2,62+2,62+2,58+2,58+2,58+2,62+2,15+2
257414,/player/257414/pape-ibnou-ba/240002,24.0,2.0,2023-09-22,P. Ba,Pape Ibnou Bâ,ST,64,64,575000.0,5000.0,30,1993-01-05,174,68,113742.0,Concarneau,17.0,Ligue 2,2.0,RES,15.0,Le Havre,,2024.0,127,Mauritania,,,,Right,3,3,1,High/Low,Normal (170-185),No,,,,68.0,63.0,51.0,63.0,26.0,69.0,47,60,65,54,60,61,49,52,36,62,66,70,66,62,80,70,77,75,77,64,39,20,62,59,68,59.0,24,20,19,13,5,8,10,9,,64,64,64,60,62,62,62,60,60+2,60+2,60+2,59+2,53+2,53+2,53+2,59+2,46+2,42+2,42+2,42+2,46+2,43+2,40+2,40+2,40+2,43+2,15+2
248584,/player/248584/alexandre-phliponeau/240002,24.0,2.0,2023-09-22,A. Phliponeau,Alexandre Phliponeau,"CDM, CM",63,72,1000000.0,1000.0,23,2000-01-26,176,65,113742.0,Concarneau,17.0,Ligue 2,2.0,RDM,6.0,,2023-08-05,2024.0,18,France,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,2000000.0,,,44.0,43.0,62.0,58.0,60.0,67.0,52,36,53,63,40,58,57,58,61,61,45,44,50,63,70,58,57,70,69,42,61,57,33,71,54,46.0,62,60,62,5,12,12,7,8,,50+2,50+2,50+2,52,53,53,53,52,56+2,56+2,56+2,55+2,60+2,60+2,60+2,55+2,59+2,62+2,62+2,62+2,59+2,59+2,60+2,60+2,60+2,59+2,14+2
261202,/player/261202/nassim-chadli/240002,24.0,2.0,2023-09-22,N. Chadli,Nassim Chadli,"RW, RM",63,72,1100000.0,3000.0,21,2001-07-28,181,70,113742.0,Concarneau,17.0,Ligue 2,2.0,RM,21.0,Le Havre,,2024.0,129,Morocco,,,,Left,2,3,1,Medium/Low,Lean (170-185),No,,,Flair,67.0,60.0,57.0,70.0,25.0,50.0,56,64,54,59,56,70,67,41,49,71,68,66,77,52,67,60,60,46,55,55,42,23,54,62,62,65.0,20,23,20,5,11,5,13,7,,61+2,61+2,61+2,63,62,62,62,63,63+2,63+2,63+2,61+2,55+2,55+2,55+2,61+2,45+2,42+2,42+2,42+2,45+2,42+2,37+2,37+2,37+2,42+2,14+2
