player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
250868,/player/250868/remy-boissier/240002,24.0,2.0,2023-09-22,R. Boissier,Rémy Boissier,"CM, CDM",67,67,1000000.0,2000.0,29,1994-02-22,181,73,111276.0,Dunkerque,17.0,Ligue 2,2.0,LCM,5.0,,2023-07-18,2025.0,18,France,,,,Right,3,3,1,High/High,Normal (170-185),No,1800000.0,#Engine,Long Ball Pass,70.0,65.0,67.0,66.0,63.0,76.0,63,63,63,70,46,63,68,72,65,66,71,70,73,66,67,69,77,90,73,69,65,62,64,65,63,68.0,63,65,60,9,10,6,10,8,,66+1,66+1,66+1,66,66,66,66,66,66+1,66+1,66+1,67,67,67,67,67,67,67,67,67,67,67,65+2,65+2,65+2,67,15+2
276027,/player/276027/rayan-ghrieb/240002,24.0,2.0,2023-09-22,R. Ghrieb,Rayan Ghrieb,"RW, CAM",66,72,1400000.0,2000.0,24,1999-04-21,180,81,111276.0,Dunkerque,17.0,Ligue 2,2.0,RW,27.0,,2022-07-01,2025.0,18,France,,,,Left,3,4,1,High/Medium,Normal (170-185),No,2700000.0,,,70.0,63.0,61.0,69.0,34.0,49.0,61,65,38,63,52,69,60,54,55,69,72,68,74,64,62,65,51,48,50,59,48,26,64,65,60,65.0,33,38,32,10,6,9,11,9,,62+2,62+2,62+2,66,65,65,65,66,66+2,66+2,66+2,65+2,60+2,60+2,60+2,65+2,51+2,48+2,48+2,48+2,51+2,48+2,42+2,42+2,42+2,48+2,15+2
240069,/player/240069/julien-anziani/240002,24.0,2.0,2023-09-22,J. Anziani,Julien Anziani,"CM, CDM",65,70,1100000.0,2000.0,24,1999-06-23,175,77,111276.0,Dunkerque,17.0,Ligue 2,2.0,SUB,10.0,,2022-07-01,2026.0,18,France,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2000000.0,,,60.0,54.0,67.0,66.0,59.0,55.0,62,54,52,69,49,64,64,70,66,69,62,58,64,66,74,59,58,53,56,53,52,63,58,67,48,66.0,57,61,53,10,10,13,14,14,,59+2,59+2,59+2,63,62,62,62,63,64+2,64+2,64+2,63+2,65+2,65+2,65+2,63+2,61+2,62+2,62+2,62+2,61+2,60+2,59+2,59+2,59+2,60+2,18+2
257019,/player/257019/hugo-gambor/240002,24.0,2.0,2023-09-22,H. Gambor,Hugo Gambor,CB,64,74,1200000.0,1000.0,20,2002-12-30,186,77,111276.0,Dunkerque,17.0,Ligue 2,2.0,LCB,23.0,,2022-07-08,2024.0,105,Central African Republic,,,,Right,2,2,1,Medium/Medium,Lean (185+),No,2300000.0,,,65.0,33.0,48.0,56.0,63.0,60.0,43,29,62,64,36,51,31,36,54,59,63,67,65,62,56,41,70,34,70,32,63,62,32,26,38,64.0,62,65,62,6,5,9,7,10,,48+2,48+2,48+2,49,48,48,48,49,49+2,49+2,49+2,50+2,50+2,50+2,50+2,50+2,57+2,59+2,59+2,59+2,57+2,59+2,64+2,64+2,64+2,59+2,13+2
251104,/player/251104/tidiane-keita/240002,24.0,2.0,2023-09-22,T. Keita,Tidiane Keita,CM,64,67,750000.0,2000.0,26,1996-09-18,179,76,111276.0,Dunkerque,17.0,Ligue 2,2.0,RCM,8.0,,2022-06-01,2024.0,18,France,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1400000.0,,Rapid,70.0,53.0,63.0,64.0,55.0,64.0,60,48,58,67,47,63,45,45,64,66,75,66,65,64,69,62,70,66,62,55,63,57,63,65,45,62.0,49,59,52,7,6,11,6,11,,60+2,60+2,60+2,63,63,63,63,63,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,61+2,61+2,61+2,61+2,61+2,60+2,59+2,59+2,59+2,60+2,14+2
276028,/player/276028/alain-ipiele/240002,24.0,2.0,2023-09-22,A. Ipiélé,Alain Ipiélé,"LW, RW",64,65,700000.0,2000.0,25,1997-08-20,180,69,111276.0,Dunkerque,17.0,Ligue 2,2.0,SUB,17.0,,2022-07-02,2028.0,107,Congo,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,1300000.0,,,74.0,58.0,59.0,65.0,23.0,48.0,63,57,41,62,49,65,49,35,52,65,73,75,68,63,65,68,55,49,55,54,29,23,60,62,50,62.0,15,27,20,10,7,13,6,8,,60+2,60+2,60+2,64,63,63,63,64,63+2,63+2,63+2,63+2,56+2,56+2,56+2,63+2,47+2,43+2,43+2,43+2,47+2,44+2,35+2,35+2,35+2,44+2,14+2
212910,/player/212910/armand-gnanduillet/240002,24.0,2.0,2023-09-22,A. Gnanduillet,Armand Erwan Dsihounou Gnanduillet,ST,64,64,500000.0,2000.0,31,1992-02-13,193,93,111276.0,Dunkerque,17.0,Ligue 2,2.0,ST,21.0,,2023-07-11,2024.0,108,Côte d'Ivoire,,,,Right,2,3,1,Medium/High,Normal (185+),No,875000.0,#Strength,Power Header,59.0,65.0,46.0,57.0,36.0,79.0,40,64,70,53,60,59,51,62,40,60,52,64,52,62,33,70,79,58,91,62,76,22,64,38,65,49.0,38,31,37,6,16,15,12,6,,64,64,64,57,59,59,59,57,55+2,55+2,55+2,55+2,50+2,50+2,50+2,55+2,46+2,46+2,46+2,46+2,46+2,45+2,50+2,50+2,50+2,45+2,16+2
240258,/player/240258/opa-sangante/240002,24.0,2.0,2023-09-22,O. Sangante,Opa Sanganté,"CB, CDM",64,64,375000.0,1000.0,32,1991-02-01,188,87,111276.0,Dunkerque,17.0,Ligue 2,2.0,SUB,26.0,,2023-07-12,2024.0,119,Guinea Bissau,,,,Right,3,2,1,Medium/High,Normal (185+),No,656000.0,,,53.0,48.0,57.0,56.0,61.0,75.0,51,38,62,64,34,54,42,39,62,61,57,49,51,59,57,68,75,70,81,52,68,61,47,55,47,56.0,60,63,58,9,12,9,13,12,,55+2,55+2,55+2,54,54,54,54,54,55+2,55+2,55+2,56+2,59+2,59+2,59+2,56+2,59+2,63+1,63+1,63+1,59+2,60+2,64,64,64,60+2,17+2
254588,/player/254588/billy-koumetio/240002,24.0,2.0,2023-09-22,B. Koumetio,Billy Koumetio,CB,63,75,1100000.0,11000.0,20,2002-11-14,195,81,111276.0,Dunkerque,17.0,Ligue 2,2.0,RES,89.0,Liverpool,,2024.0,18,France,,,,Left,3,2,1,Medium/Medium,Normal (185+),Yes,,,,60.0,32.0,43.0,44.0,61.0,72.0,33,29,65,51,28,33,36,28,50,53,55,64,54,55,45,45,75,55,81,23,68,59,31,40,40,53.0,57,64,60,14,11,6,14,9,,46+2,46+2,46+2,42,43,43,43,42,44+2,44+2,44+2,45+2,47+2,47+2,47+2,45+2,53+2,57+2,57+2,57+2,53+2,56+2,63+2,63+2,63+2,56+2,16+2
273121,/player/273121/angel-orelien/240002,24.0,2.0,2023-09-22,Á. Orelien,Ángel Orelien,"LW, CAM",63,70,975000.0,1000.0,22,2001-04-02,169,60,111276.0,Dunkerque,17.0,Ligue 2,2.0,LW,29.0,,2023-07-14,2025.0,87,Panama,,,,Right,4,3,1,High/Low,Normal (170-),No,1900000.0,,,68.0,58.0,60.0,67.0,25.0,46.0,55,57,44,63,50,66,54,39,59,65,72,64,77,59,82,62,44,61,40,52,41,21,62,68,70,65.0,22,25,26,8,7,14,7,11,,59+2,59+2,59+2,63,63,63,63,63,64+2,64+2,64+2,63+2,59+2,59+2,59+2,63+2,47+2,45+2,45+2,45+2,47+2,44+2,35+2,35+2,35+2,44+2,14+2
