player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
203699,/player/203699/gaetan-courtet/240002,24.0,2.0,2023-09-22,G. Courtet,Gaëtan Courtet,ST,70,70,775000.0,5000.0,34,1989-02-22,180,73,62.0,Guingamp,17.0,Ligue 2,2.0,SUB,18.0,,2022-08-12,2024.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1400000.0,,,61.0,71.0,63.0,69.0,27.0,68.0,61,70,72,66,67,67,61,65,54,71,58,64,71,68,72,72,76,68,72,73,54,31,75,66,68,69.0,19,21,19,8,15,13,14,12,,70,70,70,68,69,69,69,68,68+2,68+2,68+2,66+2,62+2,62+2,62+2,66+2,50+2,48+2,48+2,48+2,50+2,46+2,43+2,43+2,43+2,46+2,18+2
189946,/player/189946/vincent-manceau/240002,24.0,2.0,2023-09-22,V. Manceau,Vincent Manceau,"CB, RB, RWB",69,69,675000.0,4000.0,33,1989-07-10,176,70,62.0,Guingamp,17.0,Ligue 2,2.0,SUB,15.0,,2022-07-20,2024.0,18,France,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1200000.0,,,41.0,47.0,67.0,67.0,70.0,68.0,70,41,68,73,42,65,54,44,71,68,48,36,65,73,72,60,65,73,65,42,71,72,53,61,58,71.0,71,71,65,16,10,10,11,16,,57+2,57+2,57+2,60,59,59,59,60,62+2,62+2,62+2,62+2,67+2,67+2,67+2,62+2,67+2,70-1,70-1,70-1,67+2,67+2,69,69,69,67+2,20+2
213839,/player/213839/baptiste-guillaume/240002,24.0,2.0,2023-09-22,B. Guillaume,Baptiste Guillaume,ST,69,69,1400000.0,5000.0,28,1995-06-16,189,86,62.0,Guingamp,17.0,Ligue 2,2.0,LS,21.0,,2022-07-01,2024.0,7,Belgium,,,,Right,4,3,1,High/Medium,Normal (185+),No,2500000.0,,,49.0,69.0,57.0,71.0,31.0,73.0,55,72,70,67,62,70,36,39,51,73,61,40,77,65,58,68,79,71,83,63,48,19,72,58,65,72.0,41,18,22,13,10,8,12,7,,69,69,69,66,67,67,67,66,66+2,66+2,66+2,64+2,60+2,60+2,60+2,64+2,48+2,48+2,48+2,48+2,48+2,45+2,45+2,45+2,45+2,45+2,16+2
246298,/player/246298/kalidou-sidibe/240002,24.0,2.0,2023-09-22,K. Sidibé,Kalidou Sidibé,"CDM, CM",68,73,1700000.0,3000.0,24,1999-01-28,200,85,62.0,Guingamp,17.0,Ligue 2,2.0,RDM,8.0,,2023-08-21,2026.0,18,France,,,,Right,3,2,1,Medium/High,Lean (185+),No,3100000.0,,Power Header,39.0,45.0,56.0,58.0,67.0,77.0,43,41,67,67,38,57,42,41,62,67,43,36,46,63,31,62,71,73,82,37,72,67,42,52,48,58.0,65,68,67,6,10,10,15,14,,54+2,54+2,54+2,52,54,54,54,52,55+2,55+2,55+2,55+2,61+2,61+2,61+2,55+2,61+2,67+2,67+2,67+2,61+2,62+2,68+2,68+2,68+2,62+2,17+2
225174,/player/225174/dylan-louiserre/240002,24.0,2.0,2023-09-22,D. Louiserre,Dylan Louiserre,"CDM, CM",68,69,1200000.0,3000.0,28,1995-02-02,172,63,62.0,Guingamp,17.0,Ligue 2,2.0,LDM,4.0,,2022-06-10,2025.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2200000.0,,,65.0,65.0,66.0,69.0,64.0,70.0,59,61,54,69,61,63,63,66,63,68,67,63,85,67,87,70,65,79,68,68,63,64,61,69,67,71.0,65,67,60,12,10,16,10,7,,64+2,64+2,64+2,65,65,65,65,65,67+2,67+2,67+2,65+2,67+2,67+2,67+2,65+2,66+2,67+2,67+2,67+2,66+2,65+2,64+2,64+2,64+2,65+2,16+2
212735,/player/212735/enzo-basilio/240002,24.0,2.0,2023-09-22,E. Basilio,Enzo Basilio,GK,68,68,850000.0,3000.0,28,1994-10-03,187,75,62.0,Guingamp,17.0,Ligue 2,2.0,GK,16.0,,2020-07-10,2026.0,18,France,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,1500000.0,,,,,,,,,13,13,17,29,9,17,14,18,26,28,44,49,30,67,65,48,60,26,58,19,21,21,18,23,20,22.0,10,14,12,67,65,64,66,69,46.0,30+2,30+2,30+2,27,29,29,29,27,28+2,28+2,28+2,28+2,27+2,27+2,27+2,28+2,26+2,26+2,26+2,26+2,26+2,25+2,25+2,25+2,25+2,25+2,67+1
215383,/player/215383/abdallah-ndour/240002,24.0,2.0,2023-09-22,A. Ndour,Abdallah Ndour,"LB, RB",68,68,1100000.0,3000.0,29,1993-12-20,186,70,62.0,Guingamp,17.0,Ligue 2,2.0,LB,12.0,,2023-08-02,2026.0,136,Senegal,,,,Left,3,2,1,Medium/Medium,Lean (185+),No,1900000.0,,,73.0,32.0,62.0,66.0,65.0,69.0,68,27,64,66,43,62,63,32,66,68,73,73,76,60,69,41,78,60,74,23,67,65,54,51,38,65.0,64,66,67,12,9,12,6,14,,53+2,53+2,53+2,59,56,56,56,59,58+2,58+2,58+2,62+2,60+2,60+2,60+2,62+2,66+2,65+2,65+2,65+2,66+2,66+2,67+1,67+1,67+1,66+2,16+2
223581,/player/223581/jonathan-iglesias/240002,24.0,2.0,2023-09-22,J. Iglesias,Jonathan Damián Iglesias Abreu,"CM, CDM, CAM",68,68,550000.0,4000.0,34,1988-12-17,170,69,62.0,Guingamp,17.0,Ligue 2,2.0,SUB,19.0,,2023-07-03,2025.0,60,Uruguay,,,,Right,3,3,1,Medium/High,Lean (170-),No,963000.0,,,51.0,59.0,67.0,65.0,65.0,66.0,62,60,44,71,56,60,54,55,68,69,55,48,68,68,74,61,53,77,64,55,62,66,59,70,57,72.0,70,67,64,7,12,12,9,9,,60+2,60+2,60+2,62,62,62,62,62,65+2,65+2,65+2,64+2,68,68,68,64+2,66+2,68,68,68,66+2,65+2,64+2,64+2,64+2,65+2,16+2
258570,/player/258570/baptiste-roux/240002,24.0,2.0,2023-09-22,B. Roux,Baptiste Roux,"CB, CDM",66,72,1200000.0,2000.0,23,1999-11-26,190,79,62.0,Guingamp,17.0,Ligue 2,2.0,SUB,2.0,,2018-04-01,2024.0,18,France,,,,Left,3,2,1,Low/High,Lean (185+),No,2300000.0,,,58.0,39.0,55.0,57.0,66.0,69.0,41,31,68,67,37,52,32,31,60,65,55,61,57,61,43,56,74,62,76,40,58,65,42,58,44,63.0,67,65,65,11,14,12,6,6,,53+2,53+2,53+2,53,54,54,54,53,56+2,56+2,56+2,55+2,59+2,59+2,59+2,55+2,61+2,64+2,64+2,64+2,61+2,62+2,66+2,66+2,66+2,62+2,15+2
234049,/player/234049/babacar-niasse/240002,24.0,2.0,2023-09-22,B. Niasse,Babacar Niasse Mbaye,GK,66,71,975000.0,2000.0,26,1996-12-20,195,77,62.0,Guingamp,17.0,Ligue 2,2.0,SUB,30.0,,2023-07-26,2025.0,127,Mauritania,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,1800000.0,,Footwork,,,,,,,10,8,10,27,8,13,11,12,22,11,24,36,37,58,26,45,39,27,38,9,18,6,4,34,17,31.0,11,14,10,74,65,60,56,69,29.0,21+2,21+2,21+2,20,21,21,21,20,22+2,22+2,22+2,21+2,22+2,22+2,22+2,21+2,19+2,21+2,21+2,21+2,19+2,19+2,18+2,18+2,18+2,19+2,65+2
