player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
197641,/player/197641/benjamin-leroy/240002,24.0,2.0,2023-09-22,B. Leroy,Benjamin Leroy,GK,72,72,400000.0,4000.0,34,1989-04-07,184,75,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,GK,1.0,,2023-07-01,2024.0,18,France,,,,Right,3,1,1,Medium/Medium,Lean (170-185),No,700000.0,,,,,,,,,12,13,12,23,10,14,11,19,14,18,46,46,37,69,40,53,50,28,40,11,25,15,9,48,22,60.0,14,12,17,70,70,71,72,73,46.0,26+2,26+2,26+2,25,27,27,27,25,27+2,27+2,27+2,26+2,25+2,25+2,25+2,26+2,24+2,23+2,23+2,23+2,24+2,24+2,22+2,22+2,22+2,24+2,71+1
219582,/player/219582/steven-fortes/240002,24.0,2.0,2023-09-22,S. Fortes,Steven Fortès,CB,69,69,950000.0,3000.0,31,1992-04-17,192,85,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,SUB,15.0,,2023-08-11,2024.0,104,Cape Verde Islands,,,,Right,2,2,1,Low/Medium,Normal (185+),No,1700000.0,#Strength,Bruiser,34.0,40.0,53.0,49.0,68.0,77.0,51,41,72,60,24,38,27,29,59,58,34,34,58,62,44,34,75,62,86,54,75,64,23,51,36,61.0,69,70,67,11,8,8,15,7,,47+2,47+2,47+2,46,45,45,45,46,49+2,49+2,49+2,48+2,55+2,55+2,55+2,48+2,58+2,64+2,64+2,64+2,58+2,60+2,69,69,69,60+2,16+2
262353,/player/262353/gustavo-sangare/240002,24.0,2.0,2023-09-22,G. Sangaré,Gustavo Fabrice Sangaré,"CDM, CM",68,72,1500000.0,2000.0,26,1996-11-08,180,76,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,LCM,17.0,,2018-07-01,2024.0,101,Burkina Faso,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,2700000.0,,,58.0,39.0,53.0,59.0,66.0,72.0,36,39,43,67,32,53,31,47,63,66,53,62,63,65,66,42,54,71,70,37,81,64,45,46,31,53.0,68,72,72,10,8,9,7,14,,51+2,51+2,51+2,53,53,53,53,53,56+2,56+2,56+2,55+2,60+2,60+2,60+2,55+2,63+2,67+2,67+2,67+2,63+2,63+2,66+2,66+2,66+2,63+2,16+2
241445,/player/241445/alpha-sissoko/240002,24.0,2.0,2023-09-22,A. Sissoko,Nelson Sissoko,"RB, LB",68,71,1500000.0,2000.0,26,1997-03-07,178,68,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,RB,58.0,,2022-01-30,2024.0,18,France,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,2700000.0,,"Intercept, Long Throw",77.0,33.0,56.0,60.0,63.0,68.0,68,31,60,64,35,56,45,31,48,61,79,76,65,60,77,37,75,71,65,28,71,62,48,43,37,62.0,62,65,65,6,7,12,12,7,,51+2,51+2,51+2,57,53,53,53,57,54+2,54+2,54+2,59+2,55+2,55+2,55+2,59+2,65+2,62+2,62+2,62+2,65+2,66+2,64+2,64+2,64+2,66+2,14+2
243951,/player/243951/garland-gbelle/240002,24.0,2.0,2023-09-22,G. Gbellé,Garland Gbellé,"CM, CAM",67,67,975000.0,2000.0,30,1992-12-16,179,75,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,SUB,12.0,,2021-06-17,2024.0,18,France,,,,Right,3,2,1,High/High,Normal (170-185),No,1700000.0,#Engine,"Long Ball Pass, Relentless",69.0,53.0,63.0,68.0,62.0,72.0,55,51,63,68,43,68,54,47,68,70,68,70,69,63,67,57,71,90,68,49,61,64,62,65,64,61.0,65,58,55,12,10,14,9,13,,61+2,61+2,61+2,64,64,64,64,64,65+2,65+2,65+2,66+1,67,67,67,66+1,66+1,66+1,66+1,66+1,66+1,65+2,63+2,63+2,63+2,65+2,17+2
257978,/player/257978/sambou-soumano/240002,24.0,2.0,2023-09-22,S. Soumano,Sambou Soumano,ST,66,75,1900000.0,7000.0,22,2001-01-13,182,75,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,ST,9.0,Lorient,,2024.0,136,Senegal,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,,69.0,66.0,50.0,67.0,25.0,53.0,41,72,69,59,49,70,46,36,42,68,69,69,62,56,61,66,69,56,59,57,32,20,68,54,70,55.0,21,19,18,5,12,7,11,11,,66+2,66+2,66+2,63,65,65,65,63,63+2,63+2,63+2,61+2,55+2,55+2,55+2,61+2,43+2,41+2,41+2,41+2,43+2,41+2,38+2,38+2,38+2,41+2,15+2
246807,/player/246807/till-cissokho/240002,24.0,2.0,2023-09-22,T. Cissokho,Till Cissokho,CB,66,74,1800000.0,2000.0,23,2000-02-08,200,88,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,LCB,5.0,,2022-07-01,2024.0,18,France,,,,Left,2,2,1,Low/Medium,Lean (185+),No,3500000.0,#Strength,Aerial,44.0,35.0,37.0,40.0,67.0,76.0,29,29,69,47,32,36,32,33,37,47,48,41,36,55,30,48,76,66,89,33,55,63,31,28,46,46.0,65,70,69,14,8,7,6,11,,45+2,45+2,45+2,39,40,40,40,39,39+2,39+2,39+2,41+2,44+2,44+2,44+2,41+2,54+2,57+2,57+2,57+2,54+2,57+2,66+2,66+2,66+2,57+2,15+2
251916,/player/251916/pape-ndiaga-yade/240002,24.0,2.0,2023-09-22,P. Yade,Pape Ndiaga Yade,"LM, LW, ST",66,73,1700000.0,5000.0,23,2000-01-05,185,76,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,SUB,90.0,Metz,,2024.0,136,Senegal,,,,Left,3,3,1,Medium/Medium,Stocky (185+),No,,,Rapid,80.0,68.0,59.0,69.0,44.0,66.0,65,66,59,59,63,71,67,50,50,70,83,78,69,56,58,74,82,52,76,68,54,39,63,59,64,61.0,46,40,42,13,9,14,13,11,,67+2,67+2,67+2,67,67,67,67,67,65+2,65+2,65+2,65+2,58+2,58+2,58+2,65+2,56+2,52+2,52+2,52+2,56+2,54+2,52+2,52+2,52+2,54+2,17+2
173040,/player/173040/alexandre-bonnet/240002,24.0,2.0,2023-09-22,A. Bonnet,Alexandre Bonnet,"CM, LM",66,66,275000.0,1000.0,36,1986-10-17,173,65,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,RCM,10.0,,2022-06-24,2024.0,18,France,,,,Left,4,3,1,Medium/Medium,Lean (170-185),No,481000.0,,Flair,70.0,65.0,68.0,70.0,51.0,60.0,68,64,46,68,54,67,71,67,67,69,73,67,87,63,82,67,64,63,66,67,42,61,63,66,74,69.0,44,57,37,6,7,13,6,9,,64+2,64+2,64+2,67-1,66,66,66,67-1,67-1,67-1,67-1,67-1,66,66,66,67-1,60+2,60+2,60+2,60+2,60+2,58+2,54+2,54+2,54+2,58+2,13+2
256843,/player/256843/logan-delaurier-chaubet/240002,24.0,2.0,2023-09-22,L. Delaurier-Chaubet,Logan Delaurier-Chaubet,"LW, RW, ST",65,76,1600000.0,2000.0,21,2002-04-22,174,62,112552.0,Quevilly Rouen,17.0,Ligue 2,2.0,RW,23.0,Bordeaux,,2024.0,18,France,,,,Left,4,3,1,Medium/Medium,Lean (170-185),No,,,Technical,70.0,61.0,69.0,67.0,29.0,40.0,64,64,42,79,55,70,72,67,65,67,74,67,59,53,83,62,43,59,34,54,28,19,58,59,63,53.0,29,32,27,12,8,9,12,13,,60+2,60+2,60+2,65,64,64,64,65,66+2,66+2,66+2,66+2,61+2,61+2,61+2,66+2,51+2,47+2,47+2,47+2,51+2,47+2,36+2,36+2,36+2,47+2,16+2
