player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
245822,/player/245822/dogan-alemdar/240002,24.0,2.0,2023-09-22,D. Alemdar,Doğan Alemdar,GK,72,78,2900000.0,14000.0,20,2002-10-29,189,73,294.0,Troyes,17.0,Ligue 2,2.0,GK,38.0,Rennes,,2024.0,48,Turkey,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,,,,,,,,,,14,7,12,16,8,13,10,10,24,16,38,39,35,69,42,52,61,33,65,5,19,6,8,45,10,59.0,8,11,14,71,70,69,73,71,38.0,25+2,25+2,25+2,22,24,24,24,22,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,21+2,22+2,22+2,22+2,21+2,21+2,22+2,22+2,22+2,21+2,71+2
193683,/player/193683/xavier-chavalerin/240002,24.0,2.0,2023-09-22,X. Chavalerin,Xavier Chavalerin,"CM, LM, CDM",72,72,1800000.0,7000.0,32,1991-03-07,178,66,294.0,Troyes,17.0,Ligue 2,2.0,LCM,24.0,,2021-08-30,2024.0,18,France,,,,Left,3,3,1,Medium/High,Lean (170-185),No,3200000.0,,Relentless,55.0,67.0,72.0,70.0,68.0,74.0,68,66,58,75,59,68,70,70,72,73,54,56,67,72,73,73,64,87,70,65,72,72,68,71,61,69.0,68,69,68,11,15,6,14,7,,67+2,67+2,67+2,68,68,68,68,68,69+2,69+2,69+2,69+2,72,72,72,69+2,71+1,72,72,72,71+1,69+2,69+2,69+2,69+2,69+2,18+2
209430,/player/209430/renaud-ripart/240002,24.0,2.0,2023-09-22,R. Ripart,Renaud Ripart,"RW, ST",71,71,1800000.0,6000.0,30,1993-03-14,181,73,294.0,Troyes,17.0,Ligue 2,2.0,SUB,20.0,,2021-07-15,2025.0,18,France,,,,Right,3,3,1,High/High,Stocky (170-185),No,3200000.0,#Engine,"Power Shot, Relentless",66.0,74.0,68.0,71.0,64.0,84.0,68,73,68,70,73,72,65,56,66,73,64,67,67,74,66,80,80,90,85,73,73,63,75,68,72,69.0,64,64,58,10,11,10,13,11,,73-2,73-2,73-2,71,72-1,72-1,72-1,71,71,71,71,71,71,71,71,71,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,18+2
201073,/player/201073/nicolas-de-preville/240002,24.0,2.0,2023-09-22,N. De Préville,Nicolas De Préville,ST,70,70,1300000.0,5000.0,32,1991-01-08,182,77,294.0,Troyes,17.0,Ligue 2,2.0,ST,17.0,,2023-07-20,2025.0,18,France,,,,Right,3,3,2,High/Medium,Normal (170-185),No,2300000.0,,,76.0,72.0,69.0,71.0,39.0,68.0,67,70,65,70,73,69,73,73,67,71,73,79,79,69,74,75,73,75,64,71,68,48,71,71,74,72.0,36,28,37,8,10,14,11,9,,70,70,70,71-1,71-1,71-1,71-1,71-1,71-1,71-1,71-1,71-1,67+2,67+2,67+2,71-1,59+2,57+2,57+2,57+2,59+2,56+2,51+2,51+2,51+2,56+2,16+2
263250,/player/263250/thierno-balde/240002,24.0,2.0,2023-09-22,T. Baldé,Thierno Baldé,"RB, RWB",69,77,3000000.0,3000.0,21,2002-06-10,182,68,294.0,Troyes,17.0,Ligue 2,2.0,RB,18.0,,2022-08-09,2027.0,18,France,,,,Right,3,2,1,High/Medium,Lean (170-185),No,5900000.0,,,81.0,48.0,59.0,69.0,63.0,65.0,65,46,55,65,39,70,59,37,52,68,78,83,70,64,68,57,71,68,62,45,66,63,59,55,40,65.0,64,65,66,14,11,9,12,11,,60+2,60+2,60+2,64,63,63,63,64,62+2,62+2,62+2,65+2,61+2,61+2,61+2,65+2,67+2,63+2,63+2,63+2,67+2,67+2,64+2,64+2,64+2,67+2,18+2
208835,/player/208835/youssouf-mchangama/240002,24.0,2.0,2023-09-22,Y. M'Changama,Youssouf Yacoub M'Changama,"CM, CAM",69,69,1100000.0,4000.0,32,1990-08-29,175,69,294.0,Troyes,17.0,Ligue 2,2.0,SUB,10.0,,2023-08-31,2025.0,214,Comoros,,,,Right,4,3,1,High/High,Normal (170-185),No,1900000.0,#Engine,"Pinged Pass, Relentless, Trivela",82.0,68.0,68.0,71.0,63.0,73.0,64,67,45,69,66,68,72,73,66,69,81,83,89,69,87,70,68,90,67,71,67,66,68,69,67,67.0,65,66,60,10,15,10,9,11,,67+2,67+2,67+2,70-1,69,69,69,70-1,70-1,70-1,70-1,71-2,69,69,69,71-2,70-1,68+1,68+1,68+1,70-1,69,64+2,64+2,64+2,69,18+2
247185,/player/247185/ante-palaversa/240002,24.0,2.0,2023-09-22,A. Palaversa,Ante Palaversa,"CM, CDM",68,76,2700000.0,3000.0,23,2000-04-06,187,77,294.0,Troyes,17.0,Ligue 2,2.0,CDM,15.0,,2022-08-31,2025.0,10,Croatia,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,5300000.0,,Long Ball Pass,53.0,66.0,66.0,67.0,65.0,70.0,59,63,47,72,59,68,56,59,69,70,51,54,55,68,60,73,59,70,71,69,72,66,65,65,58,74.0,66,67,69,12,13,5,14,9,,64+2,64+2,64+2,65,66,66,66,65,67+2,67+2,67+2,65+2,68+2,68+2,68+2,65+2,66+2,69+2,69+2,69+2,66+2,65+2,66+2,66+2,66+2,65+2,18+2
256788,/player/256788/ismael-boura/240002,24.0,2.0,2023-09-22,I. Boura,Ismaël Boura,"LB, LWB",68,75,2300000.0,3000.0,22,2000-08-14,173,68,294.0,Troyes,17.0,Ligue 2,2.0,LB,8.0,,2023-06-10,2025.0,18,France,,,,Left,2,3,1,High/Medium,Normal (170-185),No,4500000.0,,,73.0,47.0,57.0,72.0,63.0,65.0,68,48,50,59,37,72,43,30,50,71,76,70,73,66,82,46,67,69,62,46,67,62,60,57,38,65.0,60,69,68,14,14,13,14,9,,58+2,58+2,58+2,65,62,62,62,65,62+2,62+2,62+2,65+2,61+2,61+2,61+2,65+2,67+2,63+2,63+2,63+2,67+2,66+2,63+2,63+2,63+2,66+2,19+2
241269,/player/241269/andreas-bruus/240002,24.0,2.0,2023-09-22,A. Bruus,Andreas Bruus,"RWB, RM, RB",68,73,1700000.0,3000.0,24,1999-01-16,183,67,294.0,Troyes,17.0,Ligue 2,2.0,SUB,19.0,,2022-07-18,2027.0,13,Denmark,,,,Right,3,2,1,High/Medium,Normal (170-185),No,3100000.0,,"Whipped Cross, Quick Step",85.0,54.0,64.0,65.0,58.0,72.0,71,51,54,64,47,64,70,48,60,68,89,82,69,57,66,66,79,80,73,48,60,55,64,61,49,59.0,57,63,60,13,14,10,15,10,,62+2,62+2,62+2,66,64,64,64,66,64+2,64+2,64+2,67+2,63+2,63+2,63+2,67+2,66+2,62+2,62+2,62+2,66+2,65+2,62+2,62+2,62+2,65+2,18+2
247180,/player/247180/abdu-cadri-conte/240002,24.0,2.0,2023-09-22,Abdu Conté,Abdu Cadri Conté,"LB, LWB",68,73,1600000.0,3000.0,25,1998-03-24,183,78,294.0,Troyes,17.0,Ligue 2,2.0,SUB,12.0,,2022-01-13,2026.0,38,Portugal,,,,Left,2,3,1,Medium/Medium,Stocky (170-185),No,2900000.0,,Slide Tackle,71.0,46.0,53.0,67.0,65.0,77.0,64,40,59,62,39,69,71,30,37,66,71,71,67,66,65,70,78,73,80,35,72,66,49,41,43,56.0,65,67,65,14,15,8,14,15,,59+2,59+2,59+2,60,58,58,58,60,57+2,57+2,57+2,61+2,56+2,56+2,56+2,61+2,67+2,63+2,63+2,63+2,67+2,66+2,67+2,67+2,67+2,66+2,20+2
