player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
244960,/player/244960/bruno-xavier-almeida-costa/240002,24.0,2.0,2023-09-22,Bruno Costa,Bruno Xavier Almeida Costa,CM,72,75,3000000.0,6000.0,26,1997-04-19,174,68,110456.0,Valenciennes,17.0,Ligue 2,2.0,RES,28.0,,2023-09-03,2024.0,38,Portugal,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,5500000.0,,,67.0,71.0,72.0,73.0,62.0,61.0,71,70,46,75,54,72,66,59,74,74,72,63,77,68,81,74,60,67,57,76,66,68,70,70,68,65.0,55,70,64,12,9,12,12,5,,68+2,68+2,68+2,71,71,71,71,71,72+2,72+2,72+2,71+2,72+2,72+2,72+2,71+2,68+2,69+2,69+2,69+2,68+2,67+2,63+2,63+2,63+2,67+2,16+2
199537,/player/199537/joffrey-cuffaut/240002,24.0,2.0,2023-09-22,J. Cuffaut,Joffrey Cuffaut,"CB, RB, LB",69,69,375000.0,2000.0,35,1988-03-15,180,74,110456.0,Valenciennes,17.0,Ligue 2,2.0,SUB,14.0,,2018-07-01,2024.0,18,France,,,,Right,3,3,1,High/Medium,Normal (170-185),No,656000.0,,Block,66.0,58.0,63.0,61.0,68.0,77.0,66,52,69,67,30,55,55,76,61,61,67,65,75,69,74,69,77,83,76,64,71,66,60,52,71,69.0,68,70,68,9,7,10,16,7,,62+2,62+2,62+2,61,61,61,61,61,61+2,61+2,61+2,62+2,63+2,63+2,63+2,62+2,68+1,67+2,67+2,67+2,68+1,68+1,69,69,69,68+1,16+2
248775,/player/248775/ugo-bonnet/240002,24.0,2.0,2023-09-22,U. Bonnet,Ugo Bonnet,ST,68,68,1200000.0,3000.0,29,1993-09-17,181,73,110456.0,Valenciennes,17.0,Ligue 2,2.0,ST,11.0,,2022-01-29,2024.0,18,France,,,,Right,3,3,1,High/High,Lean (170-185),No,2100000.0,,,74.0,68.0,53.0,65.0,30.0,74.0,43,68,66,63,65,62,44,48,39,67,70,78,71,63,69,70,78,85,77,67,52,26,68,61,69,67.0,29,23,21,11,10,10,12,8,,68,68,68,64,66,66,66,64,64+2,64+2,64+2,63+2,58+2,58+2,58+2,63+2,50+2,47+2,47+2,47+2,50+2,47+2,44+2,44+2,44+2,47+2,16+2
238056,/player/238056/julien-masson/240002,24.0,2.0,2023-09-22,J. Masson,Julien Masson,"CDM, CM",67,71,1300000.0,2000.0,25,1998-06-18,182,76,110456.0,Valenciennes,17.0,Ligue 2,2.0,CDM,6.0,,2017-11-13,2025.0,18,France,,,,Left,2,2,1,Medium/Medium,Normal (170-185),No,2400000.0,,,60.0,43.0,58.0,61.0,63.0,77.0,46,32,61,66,36,58,41,37,64,63,56,64,67,62,59,58,72,85,76,52,73,64,39,59,49,57.0,63,63,62,9,10,6,8,11,,53+2,53+2,53+2,55,55,55,55,55,57+2,57+2,57+2,57+2,62+2,62+2,62+2,57+2,63+2,66+2,66+2,66+2,63+2,63+2,65+2,65+2,65+2,63+2,15+2
203910,/player/203910/anthony-knockaert/240002,24.0,2.0,2023-09-22,A. Knockaert,Anthony Knockaert,"RM, RW",67,67,850000.0,3000.0,31,1991-11-20,172,69,110456.0,Valenciennes,17.0,Ligue 2,2.0,RES,93.0,,2023-09-04,2024.0,18,France,,,,Left,3,4,1,High/Medium,Normal (170-185),Yes,1500000.0,,"Technical, Flair",67.0,65.0,67.0,71.0,47.0,60.0,71,60,56,67,62,69,73,71,60,70,70,65,82,64,80,72,63,52,56,67,78,45,65,66,68,68.0,56,39,34,14,14,8,11,8,,64+2,64+2,64+2,67,66,66,66,67,67,67,67,66+1,63+2,63+2,63+2,66+1,57+2,56+2,56+2,56+2,57+2,54+2,53+2,53+2,53+2,54+2,17+2
254784,/player/254784/aymen-boutoutaou/240002,24.0,2.0,2023-09-22,A. Boutoutaou,Aymen Boutoutaou,"RM, LM",66,76,1900000.0,2000.0,22,2001-02-18,174,65,110456.0,Valenciennes,17.0,Ligue 2,2.0,RM,17.0,,2019-11-22,2025.0,97,Algeria,,,,Right,2,3,1,Medium/Medium,Lean (170-185),No,3700000.0,#Acrobat,"Technical, Flair",76.0,61.0,59.0,75.0,33.0,42.0,60,64,39,60,56,74,59,55,48,72,80,72,91,59,89,61,46,57,35,56,39,30,59,63,53,67.0,37,28,34,10,6,8,14,8,,61+2,61+2,61+2,67,65,65,65,67,66+2,66+2,66+2,65+2,58+2,58+2,58+2,65+2,52+2,46+2,46+2,46+2,52+2,49+2,39+2,39+2,39+2,49+2,15+2
250835,/player/250835/marius-noubissi/240002,24.0,2.0,2023-09-22,M. Noubissi,Marius Noubissi,ST,66,69,1100000.0,2000.0,26,1996-11-28,180,87,110456.0,Valenciennes,17.0,Ligue 2,2.0,SUB,9.0,,2022-08-22,2024.0,103,Cameroon,,,,Right,4,2,1,High/Medium,Stocky (170-185),No,2000000.0,,,79.0,66.0,54.0,65.0,35.0,79.0,56,65,62,60,56,64,46,45,37,63,80,79,75,58,73,73,86,70,85,63,71,18,64,58,66,63.0,35,43,20,15,8,14,5,10,,66+2,66+2,66+2,64,65,65,65,64,62+2,62+2,62+2,63+2,55+2,55+2,55+2,63+2,50+2,48+2,48+2,48+2,50+2,48+2,49+2,49+2,49+2,48+2,15+2
209816,/player/209816/jonathan-buatu-mananga/240002,24.0,2.0,2023-09-22,Buatu,Jonathan Buatu Mananga,CB,66,67,800000.0,2000.0,29,1993-09-27,187,83,110456.0,Valenciennes,17.0,Ligue 2,2.0,LCB,39.0,,2022-09-01,2025.0,98,Angola,,,,Right,3,2,1,Medium/High,Normal (185+),No,1500000.0,,"Long Ball Pass, Anticipate",56.0,41.0,51.0,54.0,65.0,77.0,50,32,65,62,42,52,35,41,58,60,61,51,38,59,41,64,77,66,82,34,76,64,54,32,42,66.0,65,65,62,14,6,8,8,9,,54+2,54+2,54+2,51,52,52,52,51,51+2,51+2,51+2,54+2,55+2,55+2,55+2,54+2,60+2,63+2,63+2,63+2,60+2,61+2,66+1,66+1,66+1,61+2,15+2
211195,/player/211195/lucas-woudenberg/240002,24.0,2.0,2023-09-22,L. Woudenberg,Lucas Woudenberg,"LB, LWB",66,66,750000.0,2000.0,29,1994-04-25,186,70,110456.0,Valenciennes,17.0,Ligue 2,2.0,LWB,15.0,,2023-08-05,2025.0,34,Netherlands,,,,Left,2,2,1,High/High,Lean (185+),No,1300000.0,#Engine,Long Throw,65.0,38.0,58.0,58.0,62.0,72.0,62,35,54,62,49,57,40,39,65,57,68,63,65,63,51,41,64,90,63,34,73,64,58,50,44,66.0,62,62,63,6,6,9,15,7,,52+2,52+2,52+2,56,54,54,54,56,56+2,56+2,56+2,60+2,60+2,60+2,60+2,60+2,65+1,64+2,64+2,64+2,65+1,64+2,62+2,62+2,62+2,64+2,15+2
264501,/player/264501/ilyes-hamache/240002,24.0,2.0,2023-09-22,I. Hamache,Ilyes Hamache,"LM, RM",65,76,1600000.0,1000.0,20,2003-02-11,178,74,110456.0,Valenciennes,17.0,Ligue 2,2.0,LM,20.0,,2021-08-25,2025.0,18,France,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,3100000.0,,,81.0,63.0,56.0,67.0,18.0,51.0,54,66,27,59,54,67,48,41,53,66,73,87,79,61,73,69,51,56,56,58,34,24,65,59,43,57.0,18,11,16,10,5,11,7,6,,62+2,62+2,62+2,65,65,65,65,65,64+2,64+2,64+2,64+2,56+2,56+2,56+2,64+2,46+2,41+2,41+2,41+2,46+2,42+2,32+2,32+2,32+2,42+2,13+2
277464,/player/277464/sacha-banse/240002,24.0,2.0,2023-09-22,S. Banse,Sacha Banse,"CDM, CM",65,74,1500000.0,3000.0,22,2001-03-16,176,71,110456.0,Valenciennes,17.0,Ligue 2,2.0,RES,8.0,Standard Liège,,2024.0,101,Burkina Faso,,,,Right,3,2,1,Medium/High,Normal (170-185),No,,,,75.0,51.0,61.0,66.0,62.0,66.0,55,46,55,66,52,65,63,36,63,66,77,74,68,61,77,60,71,75,61,55,66,63,48,63,45,58.0,62,63,65,8,14,14,10,12,,58+2,58+2,58+2,62,61,61,61,62,62+2,62+2,62+2,63+2,63+2,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,65+2,63+2,63+2,63+2,65+2,17+2
248662,/player/248662/allan-linguet/240002,24.0,2.0,2023-09-22,A. Linguet,Allan Linguet,"RB, RWB",65,71,1100000.0,1000.0,23,1999-08-17,176,69,110456.0,Valenciennes,17.0,Ligue 2,2.0,RWB,24.0,,2018-11-23,2024.0,18,France,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2100000.0,,Whipped Cross,72.0,31.0,49.0,64.0,62.0,63.0,63,30,47,49,45,67,46,32,38,59,70,74,69,59,70,25,60,68,63,24,58,61,55,48,47,46.0,60,68,67,7,9,13,12,7,,49+2,49+2,49+2,56,53,53,53,56,53+2,53+2,53+2,58+2,53+2,53+2,53+2,58+2,63+2,58+2,58+2,58+2,63+2,63+2,61+2,61+2,61+2,63+2,14+2
236829,/player/236829/andrew-jung/240002,24.0,2.0,2023-09-22,A. Jung,Andrew Jung,ST,65,69,1000000.0,2000.0,25,1997-10-08,190,85,110456.0,Valenciennes,17.0,Ligue 2,2.0,SUB,33.0,,2021-07-27,2025.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,1800000.0,#Strength,Power Header,56.0,65.0,46.0,62.0,30.0,76.0,31,65,71,58,59,62,56,51,37,65,47,63,57,66,38,66,80,70,87,67,55,25,64,41,63,64.0,24,26,24,14,13,12,12,11,,65+2,65+2,65+2,58,61,61,61,58,58+2,58+2,58+2,56+2,53+2,53+2,53+2,56+2,45+2,45+2,45+2,45+2,45+2,43+2,46+2,46+2,46+2,43+2,18+2
226791,/player/226791/taylor-moore/240002,24.0,2.0,2023-09-22,T. Moore,Taylor Moore,"CB, RWB",65,67,775000.0,2000.0,26,1997-05-12,184,80,110456.0,Valenciennes,17.0,Ligue 2,2.0,RCB,4.0,,2023-07-23,2026.0,14,England,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1400000.0,,Jockey,61.0,37.0,59.0,59.0,64.0,72.0,57,30,64,66,30,59,40,30,63,61,63,59,57,61,57,45,73,73,73,41,70,67,48,56,43,57.0,60,65,64,7,10,8,7,9,,52+2,52+2,52+2,55,54,54,54,55,56+2,56+2,56+2,58+2,60+2,60+2,60+2,58+2,63+2,65+2,65+2,65+2,63+2,64+2,65+2,65+2,65+2,64+2,14+2
258679,/player/258679/david-kruse/240002,24.0,2.0,2023-09-22,D. Kruse,David Kjær Kruse,"CM, CDM",63,75,1200000.0,1000.0,21,2002-05-15,185,80,110456.0,Valenciennes,17.0,Ligue 2,2.0,CAM,23.0,,2023-08-11,2026.0,13,Denmark,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,2300000.0,,,58.0,59.0,64.0,61.0,56.0,58.0,62,59,50,65,44,58,62,60,64,64,62,55,66,62,64,62,58,70,58,60,45,57,58,65,49,63.0,59,55,50,12,6,14,6,12,,59+2,59+2,59+2,61,61,61,61,61,62+2,62+2,62+2,62+2,63+2,63+2,63+2,62+2,60+2,60+2,60+2,60+2,60+2,59+2,56+2,56+2,56+2,59+2,15+2
237726,/player/237726/nick-venema/240002,24.0,2.0,2023-09-22,N. Venema,Nick Venema,"LW, ST, RW",63,69,750000.0,1000.0,24,1999-04-09,181,71,110456.0,Valenciennes,17.0,Ligue 2,2.0,SUB,10.0,,2023-08-15,2026.0,34,Netherlands,,,,Right,4,3,1,High/Medium,Normal (170-185),No,1500000.0,,,80.0,60.0,52.0,63.0,23.0,55.0,51,60,63,57,48,63,58,33,44,63,76,83,63,62,62,65,72,65,58,57,30,17,67,52,61,64.0,21,18,15,8,9,9,8,11,,64+2,64+2,64+2,63,63,63,63,63,61+2,61+2,61+2,62+2,54+2,54+2,54+2,62+2,45+2,40+2,40+2,40+2,45+2,43+2,36+2,36+2,36+2,43+2,15+2
234796,/player/234796/jean-louchet/240002,24.0,2.0,2023-09-22,J. Louchet,Jean Louchet,GK,62,64,375000.0,1000.0,27,1996-02-03,192,80,110456.0,Valenciennes,17.0,Ligue 2,2.0,GK,16.0,,2023-07-28,2025.0,18,France,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,684000.0,,,,,,,,,10,9,13,17,7,9,10,10,42,21,15,29,32,48,29,47,37,20,42,6,17,11,4,27,15,37.0,14,11,11,62,64,63,65,61,21.0,20+2,20+2,20+2,17,19,19,19,17,20+2,20+2,20+2,19+2,22+2,22+2,22+2,19+2,18+2,22+2,22+2,22+2,18+2,17+2,19+2,19+2,19+2,17+2,61+2
275164,/player/275164/jordan-poha/240002,24.0,2.0,2023-09-22,J. Poha,Jordan Poha,CB,61,67,450000.0,800.0,20,2003-01-01,196,80,110456.0,Valenciennes,17.0,Ligue 2,2.0,CB,56.0,,2021-08-07,2026.0,18,France,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,878000.0,,"Jockey, Aerial",54.0,26.0,36.0,35.0,61.0,66.0,25,21,64,43,28,24,27,26,45,42,44,63,46,57,48,35,69,50,77,25,58,59,30,35,39,41.0,60,62,59,11,6,9,15,6,,40+2,40+2,40+2,36,37,37,37,36,37+2,37+2,37+2,38+2,42+2,42+2,42+2,38+2,49+2,53+2,53+2,53+2,49+2,53+2,61+2,61+2,61+2,53+2,15+2
262229,/player/262229/yassine-haouari/240002,24.0,2.0,2023-09-22,Y. Haouari,Yassine Haouari,"CAM, ST",60,72,600000.0,850.0,20,2003-02-13,182,73,110456.0,Valenciennes,17.0,Ligue 2,2.0,SUB,99.0,,2023-05-02,2026.0,18,France,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1200000.0,,,64.0,64.0,50.0,66.0,17.0,32.0,41,63,33,56,51,68,64,48,38,63,70,59,71,54,76,69,36,30,35,66,27,11,60,56,54,59.0,17,18,12,6,13,13,12,6,,58+2,58+2,58+2,60,61,61,61,60,60+2,60+2,60+2,57+2,50+2,50+2,50+2,57+2,37+2,34+2,34+2,34+2,37+2,34+2,27+2,27+2,27+2,34+2,14+2
270977,/player/270977/lassana-diabate/240002,24.0,2.0,2023-09-22,L. Diabaté,Lassana Diabaté,GK,60,71,450000.0,500.0,19,2003-08-21,182,75,110456.0,Valenciennes,17.0,Ligue 2,2.0,SUB,30.0,,2022-07-01,2026.0,18,France,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,878000.0,,,,,,,,,12,8,12,26,7,11,11,10,22,14,17,22,21,52,43,46,36,20,43,8,23,13,5,35,13,37.0,7,13,11,59,59,61,58,62,19.0,20+2,20+2,20+2,18,20,20,20,18,20+2,20+2,20+2,19+2,22+2,22+2,22+2,19+2,18+2,21+2,21+2,21+2,18+2,18+2,19+2,19+2,19+2,18+2,59+2
258785,/player/258785/nassim-innocenti/240002,24.0,2.0,2023-09-22,N. Innocenti,Nassim Innocenti,"CB, LB",59,74,525000.0,750.0,21,2002-02-19,187,75,110456.0,Valenciennes,17.0,Ligue 2,2.0,SUB,19.0,,2022-07-16,2024.0,101,Burkina Faso,,,,Left,2,2,1,Low/Medium,Normal (185+),No,1200000.0,,,56.0,30.0,40.0,52.0,60.0,62.0,38,26,58,45,27,49,39,35,40,52,53,59,59,54,59,44,63,57,68,24,54,56,33,35,43,49.0,58,65,61,12,12,9,5,11,,44+2,44+2,44+2,44,43,43,43,44,43+2,43+2,43+2,45+2,45+2,45+2,45+2,45+2,54+2,53+2,53+2,53+2,54+2,55+2,59+2,59+2,59+2,55+2,15+2
275165,/player/275165/sofiane-boudraa/240002,24.0,2.0,2023-09-22,S. Boudraa,Sofiane Boudraa,RM,59,68,500000.0,850.0,20,2003-06-30,180,75,110456.0,Valenciennes,17.0,Ligue 2,2.0,SUB,41.0,,2021-07-01,2026.0,97,Algeria,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,975000.0,,,64.0,49.0,55.0,61.0,25.0,48.0,60,50,41,58,42,63,49,37,46,62,65,64,55,49,65,57,50,42,57,37,30,17,55,57,52,49.0,25,24,29,10,15,12,9,12,,54+2,54+2,54+2,58,57,57,57,58,56+2,56+2,56+2,58+2,51+2,51+2,51+2,58+2,44+2,40+2,40+2,40+2,44+2,41+2,35+2,35+2,35+2,41+2,16+2
266738,/player/266738/jawed-kalai/240002,24.0,2.0,2023-09-22,J. Kalai,Jawed Kalai,CAM,58,64,325000.0,1000.0,22,2000-07-29,178,68,110456.0,Valenciennes,17.0,Ligue 2,2.0,RES,29.0,,2022-01-26,2025.0,18,France,,,,Left,2,2,1,Medium/Medium,Lean (170-185),No,634000.0,,,66.0,46.0,58.0,61.0,37.0,46.0,47,47,40,66,46,63,48,43,61,58,63,68,66,55,61,52,48,35,55,35,37,29,48,57,51,56.0,33,40,48,10,13,9,8,12,,52+2,52+2,52+2,57,56,56,56,57,58+2,58+2,58+2,57+2,54+2,54+2,54+2,57+2,48+2,48+2,48+2,48+2,48+2,47+2,43+2,43+2,43+2,47+2,16+2
