player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
252903,/player/252903/shinta-appelkamp/240002,24.0,2.0,2023-09-22,S. Appelkamp,アペルカンプ 真大 カール,"CAM, LM, CM",72,81,5500000.0,16000.0,22,2000-11-01,175,70,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,CAM,23.0,,2019-08-17,2026.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,9900000.0,#Acrobat,"Tiki Taka, Whipped Cross, Technical, Flair, First Touch",66.0,61.0,69.0,77.0,37.0,45.0,64,68,34,74,52,77,61,47,65,75,79,55,90,65,85,50,47,64,39,59,36,39,65,74,46,69.0,40,35,37,10,9,11,12,10,,62+2,62+2,62+2,71,69,69,69,71,72+2,72+2,72+2,70+2,67+2,67+2,67+2,70+2,57+2,54+2,54+2,54+2,57+2,53+2,43+2,43+2,43+2,53+2,16+2
236764,/player/236764/ao-tanaka/240002,24.0,2.0,2023-09-22,A. Tanaka,田中 青,"CDM, CM",72,77,3200000.0,15000.0,24,1998-09-10,177,69,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,LDM,4.0,,2022-04-28,2025.0,163,Japan,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,5400000.0,,Press Proven,70.0,66.0,68.0,71.0,70.0,70.0,61,66,52,73,56,67,63,65,72,72,72,69,82,70,77,71,67,79,65,67,70,69,64,67,56,68.0,72,74,68,10,14,12,12,6,,66+2,66+2,66+2,68,68,68,68,68,69+2,69+2,69+2,69+2,71+2,71+2,71+2,69+2,70+2,71+2,71+2,71+2,70+2,70+2,68+2,68+2,68+2,70+2,17+2
192567,/player/192567/matthias-zimmermann/240002,24.0,2.0,2023-09-22,M. Zimmermann,Matthias Jürgen Zimmermann,RB,72,72,1700000.0,17000.0,31,1992-06-16,177,76,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,RB,25.0,,2018-07-16,2024.0,21,Germany,,,,Right,2,2,1,Medium/High,Normal (170-185),Yes,2700000.0,,"Intercept, Slide Tackle",79.0,52.0,66.0,67.0,68.0,70.0,70,46,54,70,55,63,55,41,65,68,73,84,74,69,77,62,69,73,68,60,73,71,48,65,44,67.0,71,68,70,8,13,11,12,13,,60+2,60+2,60+2,65,62,62,62,65,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,71+1,69+2,69+2,69+2,71+1,70+2,68+2,68+2,68+2,70+2,18+2
221753,/player/221753/marcel-sobottka/240002,24.0,2.0,2023-09-22,M. Sobottka,Marcel Sobottka,"CDM, CM",72,72,2000000.0,18000.0,29,1994-04-25,185,75,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,RDM,31.0,,2015-07-17,2025.0,21,Germany,,,,Right,3,2,1,Medium/High,Normal (185+),Yes,3200000.0,,"Slide Tackle, Bruiser",72.0,57.0,63.0,66.0,71.0,75.0,58,56,60,71,51,65,46,44,67,68,65,78,64,69,65,62,73,78,75,57,72,71,56,59,45,72.0,73,74,71,11,13,13,7,14,,63+2,63+2,63+2,64,64,64,64,64,64+2,64+2,64+2,65+2,67+2,67+2,67+2,65+2,70+2,71+1,71+1,71+1,70+2,70+2,71+1,71+1,71+1,70+2,18+2
199779,/player/199779/andre-hoffmann/240002,24.0,2.0,2023-09-22,A. Hoffmann,André Hoffmann,CB,71,71,1500000.0,15000.0,30,1993-02-28,190,84,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,RCB,3.0,,2017-07-01,2025.0,21,Germany,,,,Right,2,2,1,Medium/Medium,Normal (185+),Yes,2400000.0,,"Power Header, Intercept, Bruiser",51.0,38.0,54.0,56.0,71.0,72.0,49,29,72,65,23,51,27,31,59,62,49,53,53,70,56,61,77,52,81,34,75,70,52,47,42,63.0,70,73,70,6,14,8,9,9,,54+2,54+2,54+2,52,53,53,53,52,54+2,54+2,54+2,54+2,58+2,58+2,58+2,54+2,62+2,66+2,66+2,66+2,62+2,64+2,71,71,71,64+2,16+2
202088,/player/202088/felix-klaus/240002,24.0,2.0,2023-09-22,F. Klaus,Felix Klaus,"RM, LM",71,71,1800000.0,17000.0,30,1992-09-13,179,79,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,RM,11.0,,2021-01-29,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,2900000.0,,Rapid,77.0,66.0,65.0,73.0,39.0,66.0,67,65,45,70,60,74,68,65,45,73,76,78,75,70,73,74,66,65,67,62,63,39,68,69,62,67.0,43,36,33,7,6,13,6,8,,67+2,67+2,67+2,71,70,70,70,71,70+1,70+1,70+1,70+1,63+2,63+2,63+2,70+1,58+2,54+2,54+2,54+2,58+2,55+2,50+2,50+2,50+2,55+2,14+2
211844,/player/211844/nicolas-gavory/240002,24.0,2.0,2023-09-22,N. Gavory,Nicolas Gavory,"LB, CB",71,71,1700000.0,16000.0,28,1995-02-16,183,79,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,LB,34.0,,2022-01-12,2025.0,18,France,,,,Left,3,3,1,High/Medium,Normal (170-185),No,2700000.0,,,62.0,62.0,70.0,70.0,68.0,69.0,73,56,67,69,57,70,73,68,70,71,69,56,72,69,67,73,72,74,67,64,67,66,65,68,65,68.0,66,70,70,12,16,7,9,16,,65+2,65+2,65+2,67,67,67,67,67,68+2,68+2,68+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,19+2
256948,/player/256948/christos-tzolis/240002,24.0,2.0,2023-09-22,C. Tzolis,Christos Tzolis,LM,70,77,3200000.0,14000.0,21,2002-01-30,184,73,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,SUB,7.0,Norwich City,,2024.0,22,Greece,,,,Right,4,4,1,Medium/Medium,Normal (170-185),Yes,,,Rapid,80.0,67.0,63.0,73.0,35.0,63.0,64,68,68,67,67,72,70,63,50,72,84,77,80,66,75,66,76,67,57,67,68,29,69,63,66,69.0,28,35,38,15,10,12,6,10,,69+2,69+2,69+2,70,70,70,70,70,69+2,69+2,69+2,69+2,62+2,62+2,62+2,69+2,55+2,51+2,51+2,51+2,55+2,53+2,48+2,48+2,48+2,53+2,16+2
224186,/player/224186/jordy-de-wijs/240002,24.0,2.0,2023-09-22,J. de Wijs,Jordy de Wijs,CB,70,72,1600000.0,14000.0,28,1995-01-08,189,95,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,LCB,30.0,,2022-07-01,2026.0,34,Netherlands,,,,Left,2,2,1,Low/High,Normal (185+),No,2700000.0,#Strength,"Bruiser, Aerial",58.0,51.0,49.0,50.0,69.0,82.0,40,44,70,57,27,44,65,68,60,58,42,71,35,65,51,75,75,69,92,55,73,67,26,29,49,64.0,71,69,67,11,9,15,13,7,,55+2,55+2,55+2,47,49,49,49,47,48+2,48+2,48+2,49+2,53+2,53+2,53+2,49+2,61+2,64+2,64+2,64+2,61+2,63+2,70+2,70+2,70+2,63+2,16+2
192445,/player/192445/daniel-ginczek/240002,24.0,2.0,2023-09-22,D. Ginczek,Daniel Ginczek,ST,70,70,1300000.0,16000.0,32,1991-04-13,190,85,110636.0,Fortuna Düsseldorf,20.0,2. Bundesliga,2.0,ST,10.0,,2022-01-29,2024.0,21,Germany,,,,Right,4,3,1,High/Medium,Stocky (185+),Yes,2100000.0,#Strength,,66.0,71.0,51.0,64.0,38.0,75.0,31,70,70,63,73,65,49,58,39,67,53,76,54,68,53,80,77,52,87,64,73,29,71,57,76,68.0,30,45,22,13,6,15,7,15,,70,70,70,62,67,67,67,62,63+2,63+2,63+2,60+2,58+2,58+2,58+2,60+2,47+2,50+2,50+2,50+2,47+2,46+2,52+2,52+2,52+2,46+2,17+2
