player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
211946,/player/211946/markus-kolke/240002,24.0,2.0,2023-09-22,M. Kolke,Markus Kolke,GK,71,71,925000.0,7000.0,32,1990-08-18,187,91,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,GK,1.0,,2019-07-01,2026.0,21,Germany,,,,Right,2,1,1,Medium/Medium,Stocky (185+),No,1400000.0,,Footwork,,,,,,,12,15,20,24,20,13,11,13,21,18,48,40,39,70,58,47,71,45,75,11,18,21,19,25,29,23.0,11,17,19,73,69,62,70,72,45.0,30+2,30+2,30+2,25,27,27,27,25,25+2,25+2,25+2,26+2,26+2,26+2,26+2,26+2,27+2,27+2,27+2,27+2,27+2,27+2,28+2,28+2,28+2,27+2,70+1
246845,/player/246845/kai-proger/240002,24.0,2.0,2023-09-22,K. Pröger,Kai Pröger,"RM, ST",71,71,1600000.0,10000.0,31,1992-05-25,177,73,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,RS,9.0,,2022-07-01,2024.0,21,Germany,,,,Right,4,3,1,High/Medium,Normal (170-185),No,2500000.0,,"Power Shot, Rapid, Quick Step, Acrobatic",86.0,71.0,57.0,77.0,38.0,72.0,61,68,46,55,68,77,61,65,52,79,90,83,78,68,78,80,72,85,68,75,68,41,68,57,60,64.0,37,38,30,9,14,11,8,12,,70+1,70+1,70+1,72-1,71,71,71,72-1,69+2,69+2,69+2,70+1,63+2,63+2,63+2,70+1,59+2,54+2,54+2,54+2,59+2,56+2,49+2,49+2,49+2,56+2,17+2
238637,/player/238637/sebastian-vasiliadis/240002,24.0,2.0,2023-09-22,S. Vasiliadis,Sebastian Vasiliadis,"CDM, CM",70,74,2000000.0,7000.0,25,1997-10-04,175,75,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,SUB,19.0,,2023-07-01,2026.0,22,Greece,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,3300000.0,,"Jockey, Intercept, Slide Tackle, Press Proven",73.0,61.0,67.0,73.0,64.0,72.0,59,59,46,72,42,71,45,56,70,71,76,70,79,71,85,68,67,78,68,62,75,64,70,70,49,73.0,66,68,63,12,7,14,14,12,,65+2,65+2,65+2,69,69,69,69,69,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,68+2,69+2,69+2,69+2,68+2,67+2,65+2,65+2,65+2,67+2,18+2
251482,/player/251482/christian-kinsombi/240002,24.0,2.0,2023-09-22,C. Kinsombi,Christian Kinsombi,"LM, RM",69,75,2200000.0,6000.0,23,1999-08-24,177,70,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,SUB,27.0,,2023-07-01,2026.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,3900000.0,,Rapid,82.0,55.0,61.0,72.0,31.0,58.0,65,63,35,67,53,73,46,38,52,69,83,82,81,63,80,54,60,71,58,38,39,31,62,64,40,57.0,29,30,34,9,14,13,14,7,,61+2,61+2,61+2,68,66,66,66,68,66+2,66+2,66+2,68+2,60+2,60+2,60+2,68+2,55+2,49+2,49+2,49+2,55+2,51+2,41+2,41+2,41+2,51+2,17+2
244859,/player/244859/jonas-david/240002,24.0,2.0,2023-09-22,J. David,Jonas Benjamin Chimezie David,CB,69,74,1900000.0,11000.0,23,2000-03-08,190,89,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,SUB,17.0,Hamburger SV,,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,,,"Block, Bruiser",71.0,37.0,59.0,64.0,67.0,72.0,42,29,63,72,32,64,49,38,67,69,64,77,58,61,55,50,77,58,81,47,68,65,35,53,31,50.0,67,71,67,14,11,12,14,13,,53+2,53+2,53+2,56,56,56,56,56,59+2,59+2,59+2,59+2,62+2,62+2,62+2,59+2,64+2,67+2,67+2,67+2,64+2,65+2,69+2,69+2,69+2,65+2,18+2
224094,/player/224094/janik-bachmann/240002,24.0,2.0,2023-09-22,J. Bachmann,Janik Jay Bachmann,"CDM, CAM, CM",69,70,1400000.0,7000.0,27,1996-05-06,196,84,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,RCM,26.0,,2023-07-01,2025.0,21,Germany,,,,Right,2,2,1,Medium/High,Normal (185+),No,2300000.0,,Bruiser,60.0,55.0,60.0,57.0,66.0,82.0,49,59,73,70,51,56,48,29,59,66,53,66,34,70,44,63,81,82,85,42,77,63,64,63,39,65.0,62,71,66,7,8,13,13,12,,64+2,64+2,64+2,60,62,62,62,60,62+2,62+2,62+2,62+2,65+2,65+2,65+2,62+2,65+2,68+2,68+2,68+2,65+2,66+2,70,70,70,66+2,17+2
243801,/player/243801/dennis-dressel/240002,24.0,2.0,2023-09-22,D. Dressel,Dennis Dressel,"CDM, CM",68,74,1800000.0,5000.0,24,1998-10-26,186,76,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,LCM,6.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,2,1,High/Medium,Lean (185+),No,3200000.0,,,62.0,64.0,65.0,65.0,61.0,73.0,60,60,60,70,62,61,48,47,67,67,70,56,71,66,70,72,71,88,69,69,67,64,62,68,50,69.0,60,62,56,5,15,7,10,11,,64+2,64+2,64+2,64,65,65,65,64,66+2,66+2,66+2,66+2,68+2,68+2,68+2,66+2,65+2,67+2,67+2,67+2,65+2,64+2,63+2,63+2,63+2,64+2,16+2
253173,/player/253173/juan-jose-perea/240002,24.0,2.0,2023-09-22,J. Perea,Juan José Perea Mendoza,ST,68,74,1900000.0,9000.0,23,2000-02-23,180,80,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,LS,18.0,VfB Stuttgart,,2024.0,56,Colombia,,,,Right,2,3,1,High/Low,Normal (170-185),No,,,Rapid,81.0,68.0,59.0,69.0,27.0,67.0,54,70,65,62,66,69,63,37,47,67,84,78,76,68,74,68,79,64,67,62,66,27,67,70,70,61.0,29,16,11,7,7,5,8,6,,68+2,68+2,68+2,68,69,69,69,68,67+2,67+2,67+2,67+2,59+2,59+2,59+2,67+2,48+2,46+2,46+2,46+2,48+2,46+2,42+2,42+2,42+2,46+2,14+2
229910,/player/229910/svante-ingelsson/240002,24.0,2.0,2023-09-22,S. Ingelsson,Svante Ulf Ingel Ingelsson,"CAM, LM",68,73,1800000.0,6000.0,25,1998-06-14,189,83,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,CAM,14.0,,2021-07-01,2024.0,46,Sweden,,,,Left,3,3,1,High/Medium,Normal (185+),No,2900000.0,,,75.0,60.0,66.0,67.0,60.0,77.0,66,60,47,70,52,67,61,43,64,67,72,77,73,65,56,66,68,86,75,58,75,59,70,69,49,66.0,67,59,57,12,9,10,11,11,,65+2,65+2,65+2,68,67,67,67,68,68+2,68+2,68+2,69+2,67+2,67+2,67+2,69+2,67+2,66+2,66+2,66+2,67+2,65+2,63+2,63+2,63+2,65+2,17+2
219937,/player/219937/nils-korber/240002,24.0,2.0,2023-09-22,N. Körber,Nils-Jonathan Körber,GK,68,72,1300000.0,5000.0,26,1996-11-13,187,83,27.0,Hansa Rostock,20.0,2. Bundesliga,2.0,SUB,23.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2100000.0,,,,,,,,,13,11,17,24,14,18,13,14,24,20,33,37,46,61,43,44,56,28,55,16,22,14,12,21,15,25.0,9,13,14,70,65,59,67,72,35.0,26+2,26+2,26+2,23,24,24,24,23,24+2,24+2,24+2,24+2,23+2,23+2,23+2,24+2,22+2,23+2,23+2,23+2,22+2,22+2,23+2,23+2,23+2,22+2,67+2
