player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
192665,/player/192665/andreas-luthe/240002,24.0,2.0,2023-09-22,A. Luthe,Andreas Luthe,GK,72,72,250000.0,6000.0,36,1987-03-10,195,92,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,GK,1.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,400000.0,,,,,,,,,14,12,15,24,12,12,15,12,19,14,35,43,39,72,34,46,65,36,74,16,22,21,12,49,21,23.0,16,14,12,71,70,61,73,72,38.0,27+2,27+2,27+2,24,26,26,26,24,27+2,27+2,27+2,26+2,27+2,27+2,27+2,26+2,25+2,27+2,27+2,27+2,25+2,25+2,27+2,27+2,27+2,25+2,71+1
206408,/player/206408/terrence-boyd/240002,24.0,2.0,2023-09-22,T. Boyd,Terrence Anthony Boyd,ST,72,72,1900000.0,13000.0,32,1991-02-16,188,90,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,SUB,13.0,,2022-01-22,2024.0,95,United States,,,,Right,3,2,1,Medium/Low,Stocky (185+),No,3000000.0,#Strength,Bruiser,73.0,72.0,46.0,64.0,28.0,78.0,35,73,78,60,75,61,42,42,35,68,56,86,54,71,57,79,85,61,86,66,79,22,73,45,56,78.0,23,23,22,14,10,13,15,10,,72,72,72,63,67,67,67,63,62+2,62+2,62+2,60+2,54+2,54+2,54+2,60+2,46+2,46+2,46+2,46+2,46+2,45+2,48+2,48+2,48+2,45+2,19+2
235360,/player/235360/ragnar-ache/240002,24.0,2.0,2023-09-22,R. Ache,Ragnar Ache,ST,70,75,2400000.0,9000.0,24,1998-07-28,183,81,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,RS,9.0,,2023-07-25,2026.0,21,Germany,,,,Right,3,2,1,High/Medium,Stocky (170-185),No,4000000.0,,"Power Header, Bruiser",86.0,65.0,51.0,67.0,28.0,75.0,41,66,78,60,56,67,47,34,45,66,81,90,67,65,69,72,95,66,81,58,68,17,66,54,60,68.0,31,19,22,6,12,8,12,10,,70+2,70+2,70+2,65,67,67,67,65,64+2,64+2,64+2,64+2,56+2,56+2,56+2,64+2,47+2,45+2,45+2,45+2,47+2,46+2,46+2,46+2,46+2,46+2,16+2
262119,/player/262119/boris-tomiak/240002,24.0,2.0,2023-09-22,B. Tomiak,Boris Tomiak,"CB, CDM",70,74,2100000.0,7000.0,24,1998-09-11,193,80,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,LCB,2.0,,2021-07-01,2027.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,3500000.0,,Power Header,74.0,43.0,45.0,41.0,70.0,79.0,34,39,71,60,27,28,31,25,53,46,67,80,59,67,47,62,85,73,86,41,69,68,33,32,38,54.0,70,70,68,7,12,6,6,8,,52+2,52+2,52+2,46,47,47,47,46,46+2,46+2,46+2,48+2,51+2,51+2,51+2,48+2,61+2,63+2,63+2,63+2,61+2,64+2,70+2,70+2,70+2,64+2,15+2
205086,/player/205086/philipp-klement/240002,24.0,2.0,2023-09-22,P. Klement,Phillipp Klement,"CAM, CM",70,70,1500000.0,9000.0,30,1992-09-09,175,72,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,SUB,10.0,,2022-08-25,2027.0,21,Germany,,,,Left,2,3,1,Medium/Low,Lean (170-185),Yes,2400000.0,,"Dead Ball, Pinged Pass, Long Ball Pass, Whipped Cross, Trivela",65.0,67.0,73.0,72.0,40.0,52.0,72,64,49,71,58,72,76,79,73,71,60,69,79,69,81,71,49,66,45,70,53,56,67,74,65,65.0,37,30,34,16,14,14,10,10,,65+2,65+2,65+2,70,69,69,69,70,70,70,70,70,68+2,68+2,68+2,70,58+2,57+2,57+2,57+2,58+2,55+2,47+2,47+2,47+2,55+2,19+2
207920,/player/207920/erik-durm/240002,24.0,2.0,2023-09-22,E. Durm,Erik Durm,"RB, LB",70,70,1200000.0,8000.0,31,1992-05-12,182,72,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,SUB,37.0,,2022-07-01,2027.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (170-185),Yes,1900000.0,,"Jockey, Anticipate",75.0,55.0,62.0,65.0,66.0,67.0,65,52,57,67,43,61,60,35,59,66,76,74,69,71,67,65,71,75,63,53,68,68,67,62,55,69.0,69,67,61,12,14,8,15,11,,63+2,63+2,63+2,65,64,64,64,65,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,68+2,67+2,67+2,67+2,68+2,68+2,66+2,66+2,66+2,68+2,19+2
223755,/player/223755/marlon-ritter/240002,24.0,2.0,2023-09-22,M. Ritter,Marlon Ritter,"CDM, CM",70,70,1400000.0,9000.0,28,1994-10-15,173,79,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,CAM,7.0,,2020-09-12,2028.0,21,Germany,,,,Right,3,3,1,High/High,Normal (170-185),No,2200000.0,,"Slide Tackle, Press Proven",75.0,67.0,69.0,74.0,65.0,67.0,65,65,49,70,65,71,71,67,69,75,76,75,85,70,84,75,67,70,66,70,67,67,65,69,50,65.0,62,70,70,7,12,8,7,15,,68+2,68+2,68+2,71-1,70,70,70,71-1,71-1,71-1,71-1,70,70,70,70,70,69+1,69+1,69+1,69+1,69+1,69+1,66+2,66+2,66+2,69+1,17+2
238662,/player/238662/tymoteusz-puchacz/240002,24.0,2.0,2023-09-22,T. Puchacz,Tymoteusz Puchacz,"LB, LM",69,76,2700000.0,12000.0,24,1999-01-23,180,81,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,LM,15.0,FC Union Berlin,,2024.0,37,Poland,,,,Left,2,2,1,Medium/High,Normal (170-185),No,,,"Slide Tackle, Rapid",79.0,64.0,61.0,69.0,63.0,77.0,64,61,58,64,44,70,66,55,55,65,79,79,79,64,72,77,79,78,76,65,79,63,66,55,52,58.0,63,63,65,13,11,11,10,8,,67+2,67+2,67+2,67,66,66,66,67,65+2,65+2,65+2,67+2,63+2,63+2,63+2,67+2,67+2,65+2,65+2,65+2,67+2,67+2,66+2,66+2,66+2,67+2,16+2
201925,/player/201925/kevin-kraus/240002,24.0,2.0,2023-09-22,K. Kraus,Kevin Kraus,CB,69,69,1100000.0,7000.0,30,1992-08-12,190,89,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,CB,5.0,,2018-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1800000.0,#Strength,"Jockey, Intercept",54.0,42.0,47.0,43.0,68.0,80.0,38,33,69,57,37,31,30,29,55,53,40,66,45,67,43,64,74,67,90,39,73,66,36,40,55,60.0,67,69,69,8,7,15,8,11,,51+2,51+2,51+2,44,46,46,46,44,46+2,46+2,46+2,47+2,52+2,52+2,52+2,47+2,59+2,63+2,63+2,63+2,59+2,62+2,69,69,69,62+2,15+2
262754,/player/262754/julian-niehues/240002,24.0,2.0,2023-09-22,J. Niehues,Julian Niehues,"CDM, CB",68,75,2300000.0,5000.0,22,2001-04-17,195,89,29.0,Kaiserslautern,20.0,2. Bundesliga,2.0,RCM,16.0,,2021-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,4100000.0,,Power Header,64.0,54.0,59.0,64.0,67.0,75.0,46,54,68,65,51,67,50,33,65,67,56,70,53,68,42,60,76,66,82,55,68,66,41,65,40,51.0,65,68,68,15,12,8,13,10,,60+2,60+2,60+2,60,61,61,61,60,62+2,62+2,62+2,61+2,64+2,64+2,64+2,61+2,64+2,67+2,67+2,67+2,64+2,65+2,69+2,69+2,69+2,65+2,18+2
