player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
233520,/player/233520/baris-atik/240002,24.0,2.0,2023-09-22,B. Atik,Barış-Fahri Atik,"LW, ST, CAM",71,71,1900000.0,10000.0,28,1995-01-09,170,73,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,LW,23.0,,2021-01-05,2026.0,48,Turkey,,,,Right,4,3,1,High/Medium,Lean (170-),No,2900000.0,#Acrobat,"Pinged Pass, Tiki Taka, Technical, Flair, First Touch, Trivela, Long Throw",71.0,68.0,68.0,76.0,39.0,52.0,67,70,33,70,68,75,70,72,67,74,79,64,92,62,86,67,48,72,44,67,47,33,69,66,66,67.0,50,36,33,8,14,10,14,12,,65+2,65+2,65+2,71,69,69,69,71,71,71,71,70+1,66+2,66+2,66+2,70+1,57+2,54+2,54+2,54+2,57+2,53+2,44+2,44+2,44+2,53+2,17+2
224440,/player/224440/julian-pollersbeck/240002,24.0,2.0,2023-09-22,J. Pollersbeck,Julian Pollersbeck,GK,70,72,1400000.0,6000.0,28,1994-08-16,195,85,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,SUB,42.0,,2023-07-01,2028.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Lean (185+),Yes,2300000.0,,,,,,,,,20,12,12,52,17,14,18,19,44,19,36,39,22,68,24,53,59,22,63,14,20,10,6,58,22,24.0,13,14,15,71,66,70,70,71,37.0,28+2,28+2,28+2,27,30,30,30,27,33+2,33+2,33+2,30+2,35+2,35+2,35+2,30+2,26+2,31+2,31+2,31+2,26+2,25+2,25+2,25+2,25+2,25+2,69+2
231424,/player/231424/ahmet-arslan/240002,24.0,2.0,2023-09-22,A. Arslan,Ahmet Metin Arslan,"CM, CDM, CAM",70,70,1600000.0,8000.0,29,1994-03-30,180,77,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,SUB,8.0,,2023-07-01,2026.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,2500000.0,,"Finesse Shot, Dead Ball, Technical",67.0,71.0,69.0,72.0,58.0,65.0,60,75,45,73,64,70,68,74,69,73,72,63,76,69,74,65,62,69,60,70,73,59,69,69,74,68.0,59,60,57,7,10,13,5,14,,67+2,67+2,67+2,70,70,70,70,70,71-1,71-1,71-1,69+1,70,70,70,69+1,65+2,66+2,66+2,66+2,65+2,63+2,61+2,61+2,61+2,63+2,16+2
234860,/player/234860/amara-conde/240002,24.0,2.0,2023-09-22,A. Condé,Amara Condé,CM,69,72,1800000.0,7000.0,26,1997-01-06,173,67,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,CM,29.0,,2021-07-01,2026.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,2900000.0,,"Block, Technical, Relentless",65.0,59.0,68.0,72.0,65.0,71.0,58,59,58,71,45,72,67,66,69,69,75,57,83,61,85,62,71,80,66,62,73,66,62,71,50,72.0,65,66,64,12,14,13,8,13,,63+2,63+2,63+2,66,66,66,66,66,68+2,68+2,68+2,67+2,69+2,69+2,69+2,67+2,67+2,68+2,68+2,68+2,67+2,66+2,65+2,65+2,65+2,66+2,17+2
262898,/player/262898/jason-ceka/240002,24.0,2.0,2023-09-22,J. Ceka,Jason Ceka,"RW, CAM",69,72,1900000.0,6000.0,23,1999-11-10,169,63,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,RW,10.0,,2021-07-01,2027.0,21,Germany,,,,Left,3,3,1,Medium/Medium,Lean (170-),No,3100000.0,#Acrobat,"Technical, Trivela",67.0,65.0,64.0,76.0,28.0,48.0,64,68,49,68,53,75,60,47,65,74,81,55,91,58,90,64,53,63,34,66,65,25,63,60,58,66.0,24,28,25,7,9,9,12,13,,63+2,63+2,63+2,69,67,67,67,69,68+2,68+2,68+2,68+2,62+2,62+2,62+2,68+2,51+2,49+2,49+2,49+2,51+2,47+2,39+2,39+2,39+2,47+2,15+2
269962,/player/269962/daniel-elfadli/240002,24.0,2.0,2023-09-22,D. Elfadli,Daniel Elfadli,"CDM, CB",69,71,1500000.0,6000.0,26,1997-04-06,188,78,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,LDM,6.0,,2022-07-01,2025.0,123,Libya,,,,Right,2,2,1,Low/Medium,Lean (185+),No,2400000.0,,"Intercept, Slide Tackle, Aerial",68.0,52.0,57.0,60.0,72.0,69.0,57,53,64,67,40,56,50,49,57,63,67,69,58,68,63,59,70,74,66,48,72,74,40,44,48,65.0,74,73,70,11,14,12,10,14,,58+2,58+2,58+2,58,57,57,57,58,57+2,57+2,57+2,59+2,60+2,60+2,60+2,59+2,68+2,68+2,68+2,68+2,68+2,69+2,70+1,70+1,70+1,69+2,18+2
234740,/player/234740/mo-el-hankouri/240002,24.0,2.0,2023-09-22,M. El Hankouri,Mohamed El Hankouri,"RW, RB",69,70,1600000.0,7000.0,26,1997-07-01,176,68,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,SUB,11.0,,2022-07-01,2026.0,129,Morocco,,,,Right,4,4,1,Medium/Medium,Lean (170-185),No,2600000.0,,"Technical, Flair",79.0,64.0,64.0,75.0,62.0,60.0,64,60,37,62,60,76,74,65,60,75,77,81,77,65,80,71,57,66,56,70,64,63,60,69,65,66.0,65,67,57,9,7,11,15,8,,64+2,64+2,64+2,69,68,68,68,69,69+1,69+1,69+1,69+1,66+2,66+2,66+2,69+1,66+2,64+2,64+2,64+2,66+2,65+2,61+2,61+2,61+2,65+2,16+2
201939,/player/201939/cristiano-piccini/240002,24.0,2.0,2023-09-22,C. Piccini,Cristiano Piccini,"CB, RB",69,69,1100000.0,6000.0,30,1992-09-26,189,79,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,RCB,2.0,,2022-09-06,2024.0,27,Italy,,,,Right,3,3,1,High/Medium,Normal (185+),No,1700000.0,,,64.0,45.0,66.0,68.0,68.0,72.0,67,35,66,69,34,69,64,37,65,69,69,59,63,72,61,68,77,67,76,40,67,69,66,66,44,74.0,68,69,66,8,9,5,7,11,,61+2,61+2,61+2,63,63,63,63,63,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,68+1,69,69,69,68+1,68+1,69,69,69,68+1,16+2
252014,/player/252014/herbert-bockhorn/240002,24.0,2.0,2023-09-22,H. Bockhorn,Herbert Bockhorn,RB,69,69,1300000.0,6000.0,28,1995-01-31,177,76,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,RB,7.0,,2022-09-06,2027.0,146,Uganda,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2000000.0,,"Intercept, Technical",78.0,60.0,64.0,68.0,64.0,67.0,70,62,59,67,47,67,61,38,64,66,76,79,75,58,83,61,73,74,65,63,60,65,62,60,37,68.0,63,66,63,7,9,11,15,9,,64+2,64+2,64+2,67,65,65,65,67,65+2,65+2,65+2,67+2,65+2,65+2,65+2,67+2,67+2,65+2,65+2,65+2,67+2,67+2,64+2,64+2,64+2,67+2,15+2
251519,/player/251519/jean-hugonet/240002,24.0,2.0,2023-09-22,J. Hugonet,Jean Hugonet,"CB, CDM",68,74,1700000.0,5000.0,23,1999-11-24,183,82,110588.0,Magdeburg,20.0,2. Bundesliga,2.0,RDM,24.0,,2023-07-01,2027.0,18,France,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,3000000.0,,"Jockey, Block, Aerial",64.0,31.0,52.0,53.0,68.0,75.0,34,26,69,66,24,45,32,22,67,58,61,66,60,63,61,42,76,75,77,29,70,68,33,48,42,62.0,67,69,64,10,11,11,12,14,,48+2,48+2,48+2,48,49,49,49,48,51+2,51+2,51+2,52+2,57+2,57+2,57+2,52+2,61+2,66+2,66+2,66+2,61+2,63+2,68+2,68+2,68+2,63+2,17+2
