player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
183574,/player/183574/max-kruse/240002,24.0,2.0,2023-09-22,M. Kruse,Max Bennet Kruse,"CF, CAM",76,76,3200000.0,17000.0,35,1988-03-19,180,76,10030.0,Paderborn,20.0,2. Bundesliga,2.0,RF,10.0,,2023-07-01,2024.0,21,Germany,,,,Left,4,4,2,Medium/Low,Normal (170-185),Yes,5100000.0,,"Finesse Shot, Chip Shot, Dead Ball, Pinged Pass, Technical, Flair, Trivela",51.0,80.0,80.0,79.0,39.0,61.0,79,79,59,80,77,79,83,67,79,81,51,51,71,78,75,80,65,45,71,78,57,34,80,82,90,84.0,43,35,29,12,7,5,13,9,,74+2,74+2,74+2,76,76,76,76,76,78-2,78-2,78-2,74+2,73+2,73+2,73+2,74+2,56+2,59+2,59+2,59+2,56+2,52+2,50+2,50+2,50+2,52+2,17+2
239696,/player/239696/florent-muslija/240002,24.0,2.0,2023-09-22,F. Muslija,Florent Muslija,"CAM, LM",72,75,3200000.0,13000.0,24,1998-07-06,172,65,10030.0,Paderborn,20.0,2. Bundesliga,2.0,LF,30.0,,2022-01-02,2024.0,219,Kosovo,,,,Right,3,4,1,High/Low,Lean (170-185),Yes,5400000.0,#Acrobat,"Dead Ball, Pinged Pass, Rapid",79.0,67.0,70.0,76.0,30.0,49.0,65,61,38,72,64,77,79,79,64,72,82,76,90,68,92,75,50,68,40,74,48,32,68,69,68,63.0,27,28,33,13,14,7,6,5,,65+2,65+2,65+2,72,71,71,71,72,72+2,72+2,72+2,71+2,66+2,66+2,66+2,71+2,56+2,51+2,51+2,51+2,56+2,51+2,40+2,40+2,40+2,51+2,16+2
227604,/player/227604/felix-platte/240002,24.0,2.0,2023-09-22,F. Platte,Felix Platte,ST,71,72,2200000.0,15000.0,27,1996-02-11,190,86,10030.0,Paderborn,20.0,2. Bundesliga,2.0,SUB,36.0,,2021-07-01,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,3700000.0,#Strength,,73.0,69.0,54.0,63.0,25.0,75.0,38,72,71,64,68,62,61,38,50,68,66,78,56,68,58,75,85,61,86,60,63,22,72,57,55,63.0,18,21,17,11,13,14,14,15,,71+1,71+1,71+1,64,67,67,67,64,64+2,64+2,64+2,63+2,58+2,58+2,58+2,63+2,45+2,46+2,46+2,46+2,45+2,43+2,44+2,44+2,44+2,43+2,19+2
229692,/player/229692/jannik-huth/240002,24.0,2.0,2023-09-22,J. Huth,Jannik Huth,GK,71,72,1400000.0,11000.0,29,1994-04-15,183,80,10030.0,Paderborn,20.0,2. Bundesliga,2.0,GK,21.0,,2019-07-01,2024.0,21,Germany,,,,Right,4,1,1,Medium/Medium,Normal (170-185),No,2300000.0,,,,,,,,,17,16,10,37,15,22,22,15,30,24,59,60,50,68,44,56,67,32,63,14,28,25,20,51,24,41.0,22,14,11,71,66,75,68,74,59.0,33+2,33+2,33+2,33,34,34,34,33,35+2,35+2,35+2,34+2,33+2,33+2,33+2,34+2,30+2,31+2,31+2,31+2,30+2,29+2,28+2,28+2,28+2,29+2,70+2
212625,/player/212625/david-kinsombi/240002,24.0,2.0,2023-09-22,D. Kinsombi,David Kinsombi,"RM, CM, CDM",71,71,2000000.0,13000.0,27,1995-12-12,183,74,10030.0,Paderborn,20.0,2. Bundesliga,2.0,RCM,8.0,,2023-07-01,2028.0,21,Germany,,,,Right,3,3,1,High/Medium,Normal (170-185),No,3200000.0,,"Finesse Shot, Technical",70.0,66.0,65.0,72.0,65.0,74.0,54,69,59,73,45,72,50,35,69,72,75,65,73,71,75,69,76,74,75,60,72,65,70,72,60,74.0,63,68,64,11,11,7,12,14,,69+2,69+2,69+2,69,70,70,70,69,71,71,71,70+1,71,71,71,70+1,67+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,67+2,67+2,18+2
211736,/player/211736/robert-leipertz/240002,24.0,2.0,2023-09-22,R. Leipertz,Robert Leipertz,"ST, RM, CAM",70,70,1600000.0,13000.0,30,1993-02-01,183,82,10030.0,Paderborn,20.0,2. Bundesliga,2.0,SUB,13.0,,2022-07-01,2024.0,21,Germany,,,,Left,4,3,1,Medium/Medium,Normal (170-185),No,2600000.0,,"Rapid, Relentless",76.0,71.0,65.0,70.0,35.0,75.0,62,73,64,70,59,70,62,63,58,71,84,69,72,68,72,72,82,86,73,70,65,27,69,66,58,63.0,45,27,20,10,10,15,8,15,,70,70,70,70,70,70,70,70,70,70,70,70,65+2,65+2,65+2,70,55+2,54+2,54+2,54+2,55+2,52+2,48+2,48+2,48+2,52+2,17+2
250926,/player/250926/marcel-hoffmeier/240002,24.0,2.0,2023-09-22,M. Hoffmeier,Marcel Hoffmeier,"CB, CDM",69,77,2900000.0,8000.0,23,1999-07-15,182,78,10030.0,Paderborn,20.0,2. Bundesliga,2.0,LCB,33.0,,2022-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,5200000.0,,,77.0,44.0,61.0,65.0,69.0,72.0,55,40,64,66,46,62,51,42,63,65,77,77,71,69,70,58,79,76,72,38,67,67,51,62,44,65.0,70,72,63,9,7,11,14,11,,58+2,58+2,58+2,61,60,60,60,61,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,67+2,68+2,68+2,68+2,67+2,68+2,69+2,69+2,69+2,68+2,17+2
262903,/player/262903/jannis-heuer/240002,24.0,2.0,2023-09-22,J. Heuer,Jannis Heuer,CB,69,76,2600000.0,8000.0,23,1999-07-29,189,87,10030.0,Paderborn,20.0,2. Bundesliga,2.0,RCB,24.0,,2021-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/High,Normal (185+),No,4700000.0,,"Power Header, Block",63.0,48.0,57.0,52.0,70.0,71.0,56,45,70,65,43,52,56,55,55,56,58,67,39,68,38,57,75,61,78,48,64,68,49,48,36,59.0,70,72,64,13,9,9,9,12,,57+2,57+2,57+2,55,55,55,55,55,55+2,55+2,55+2,56+2,58+2,58+2,58+2,56+2,64+2,65+2,65+2,65+2,64+2,65+2,69+2,69+2,69+2,65+2,17+2
251373,/player/251373/kai-klefisch/240002,24.0,2.0,2023-09-22,K. Klefisch,Kai Klefisch,"CDM, CM",69,74,1900000.0,8000.0,23,1999-12-03,188,81,10030.0,Paderborn,20.0,2. Bundesliga,2.0,LCM,27.0,,2022-07-01,2025.0,21,Germany,,,,Right,2,3,1,Medium/Medium,Normal (185+),No,3200000.0,,,62.0,52.0,57.0,64.0,67.0,78.0,48,48,64,68,57,62,42,37,62,67,65,60,66,67,65,63,76,81,78,48,77,63,56,52,41,60.0,66,70,69,14,9,14,14,10,,61+2,61+2,61+2,59,60,60,60,59,61+2,61+2,61+2,61+2,63+2,63+2,63+2,61+2,65+2,68+2,68+2,68+2,65+2,66+2,69+2,69+2,69+2,66+2,18+2
238363,/player/238363/raphael-obermair/240002,24.0,2.0,2023-09-22,R. Obermair,Raphael Sanchez Obermair,"LM, RM, RWB",69,69,1500000.0,10000.0,27,1996-04-01,182,76,10030.0,Paderborn,20.0,2. Bundesliga,2.0,RM,23.0,,2022-07-01,2024.0,181,Philippines,,,,Right,4,3,1,High/Medium,Lean (170-185),No,2400000.0,,Rapid,87.0,64.0,62.0,69.0,64.0,68.0,66,63,56,68,56,70,62,41,56,69,86,87,73,63,73,69,76,75,65,65,63,64,59,58,59,62.0,63,68,64,15,7,7,9,15,,66+2,66+2,66+2,68,67,67,67,68,66+2,66+2,66+2,68+1,64+2,64+2,64+2,68+1,69,65+2,65+2,65+2,69,68+1,65+2,65+2,65+2,68+1,17+2
