player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
183714,/player/183714/simon-terodde/240002,24.0,2.0,2023-09-22,S. Terodde,Simon Terodde,ST,74,74,1800000.0,10000.0,35,1988-03-02,192,87,34.0,Schalke 04,20.0,2. Bundesliga,2.0,ST,9.0,,2021-07-01,2026.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (185+),Yes,2900000.0,,"Finesse Shot, Chip Shot, Power Header",54.0,75.0,55.0,66.0,38.0,77.0,50,81,81,65,78,64,38,44,40,72,45,61,52,79,58,76,82,66,84,62,74,23,80,59,69,74.0,37,42,19,8,9,15,16,8,,74,74,74,66,70,70,70,66,66+2,66+2,66+2,64+2,61+2,61+2,61+2,64+2,50+2,52+2,52+2,52+2,50+2,48+2,53+2,53+2,53+2,48+2,18+2
239099,/player/239099/ron-schallenberg/240002,24.0,2.0,2023-09-22,R. Schallenberg,Ron Schallenberg,"CDM, CM",73,78,4200000.0,9000.0,24,1998-10-06,185,75,34.0,Schalke 04,20.0,2. Bundesliga,2.0,CDM,6.0,,2023-07-01,2026.0,21,Germany,,,,Right,2,2,1,Medium/High,Lean (185+),No,7000000.0,,"Intercept, Slide Tackle, Relentless",62.0,50.0,62.0,67.0,71.0,76.0,46,48,66,71,56,64,42,39,68,71,65,60,61,73,61,53,71,91,67,49,81,71,62,68,35,73.0,74,72,64,8,7,10,14,15,,61+2,61+2,61+2,62,64,64,64,62,65+2,65+2,65+2,65+2,69+2,69+2,69+2,65+2,69+2,72+2,72+2,72+2,69+2,69+2,71+2,71+2,71+2,69+2,18+2
223641,/player/223641/timo-baumgartl/240002,24.0,2.0,2023-09-22,T. Baumgartl,Timo Baumgartl,CB,73,76,3500000.0,10000.0,27,1996-03-04,192,90,34.0,Schalke 04,20.0,2. Bundesliga,2.0,RCB,25.0,,2023-07-26,2025.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (185+),Yes,5900000.0,,,58.0,36.0,56.0,52.0,74.0,72.0,33,28,76,71,28,45,33,31,68,61,56,59,45,71,35,61,79,64,75,33,72,74,32,55,34,68.0,73,76,70,13,15,14,16,11,,52+2,52+2,52+2,49,52,52,52,49,54+2,54+2,54+2,53+2,61+2,61+2,61+2,53+2,63+2,70+2,70+2,70+2,63+2,66+2,73+2,73+2,73+2,66+2,20+2
208375,/player/208375/marius-muller/240002,24.0,2.0,2023-09-22,M. Müller,Marius Müller,GK,73,74,2300000.0,9000.0,29,1993-07-12,192,93,34.0,Schalke 04,20.0,2. Bundesliga,2.0,GK,32.0,,2023-07-01,2025.0,21,Germany,,,,Right,2,1,1,Medium/Medium,Normal (185+),Yes,3900000.0,,Footwork,,,,,,,11,10,12,27,9,14,11,13,26,22,25,38,34,70,38,44,62,35,75,12,30,14,11,51,18,30.0,20,13,11,75,69,59,73,76,30.0,26+2,26+2,26+2,24,27,27,27,24,28+2,28+2,28+2,26+2,29+2,29+2,29+2,26+2,24+2,28+2,28+2,28+2,24+2,23+2,27+2,27+2,27+2,23+2,72+2
215604,/player/215604/cedric-brunner/240002,24.0,2.0,2023-09-22,C. Brunner,Cédric Brunner,RB,73,73,2700000.0,11000.0,29,1994-02-17,181,80,34.0,Schalke 04,20.0,2. Bundesliga,2.0,RB,27.0,,2022-07-07,2024.0,47,Switzerland,,,,Right,4,2,1,Medium/High,Normal (170-185),Yes,4300000.0,,"Intercept, Slide Tackle, Long Throw",76.0,56.0,65.0,68.0,71.0,70.0,64,54,61,72,32,65,59,38,61,70,68,82,68,72,73,64,70,78,67,63,68,71,63,63,39,65.0,72,72,71,8,7,10,10,15,,64+2,64+2,64+2,67,66,66,66,67,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,71+2,70+2,70+2,70+2,71+2,17+2
229155,/player/229155/thomas-ouwejan/240002,24.0,2.0,2023-09-22,T. Ouwejan,Thomas Ouwejan,LB,72,75,2800000.0,9000.0,26,1996-09-30,183,78,34.0,Schalke 04,20.0,2. Bundesliga,2.0,LB,2.0,,2022-05-12,2024.0,34,Netherlands,,,,Left,2,3,1,High/Low,Lean (170-185),Yes,4700000.0,,"Long Ball Pass, Whipped Cross, Trivela, Long Throw",69.0,61.0,75.0,71.0,67.0,74.0,80,51,61,73,48,70,82,74,74,73,73,66,70,70,73,76,76,81,73,73,69,70,68,74,39,72.0,69,66,63,7,12,13,7,12,,66+2,66+2,66+2,70,69,69,69,70,70+2,70+2,70+2,71+2,72+2,72+2,72+2,71+2,72+2,71+2,71+2,71+2,72+2,70+2,68+2,68+2,68+2,70+2,16+2
179783,/player/179783/ralf-fahrmann/240002,24.0,2.0,2023-09-22,R. Fährmann,Ralf Sebastian Fährmann,GK,72,72,400000.0,7000.0,34,1988-09-27,197,98,34.0,Schalke 04,20.0,2. Bundesliga,2.0,SUB,1.0,,2011-07-01,2025.0,21,Germany,,,,Right,1,1,2,Medium/Medium,Stocky (185+),Yes,640000.0,,Footwork,,,,,,,14,11,15,29,11,15,18,11,34,24,38,47,39,73,36,38,65,32,71,9,36,23,11,42,21,61.0,10,12,10,72,66,50,73,77,42.0,27+2,27+2,27+2,26,28,28,28,26,29+2,29+2,29+2,28+2,30+2,30+2,30+2,28+2,26+2,29+2,29+2,29+2,26+2,25+2,28+2,28+2,28+2,25+2,71+1
192660,/player/192660/sebastian-polter/240002,24.0,2.0,2023-09-22,S. Polter,Sebastian Polter,ST,72,72,1900000.0,11000.0,32,1991-04-01,192,94,34.0,Schalke 04,20.0,2. Bundesliga,2.0,SUB,40.0,,2022-07-01,2025.0,21,Germany,,,,Right,3,2,1,High/Medium,Normal (185+),Yes,3000000.0,#Strength,Bruiser,70.0,72.0,54.0,60.0,35.0,86.0,51,74,82,62,67,58,44,41,50,64,63,75,54,71,48,77,92,73,92,62,84,30,76,53,71,69.0,35,30,13,6,14,13,8,12,,72,72,72,64,67,67,67,64,63+2,63+2,63+2,63+2,59+2,59+2,59+2,63+2,50+2,51+2,51+2,51+2,50+2,48+2,52+2,52+2,52+2,48+2,17+2
198617,/player/198617/dominick-drexler/240002,24.0,2.0,2023-09-22,D. Drexler,Dominick Drexler,"CAM, CM, RW",72,72,1500000.0,10000.0,33,1990-05-26,183,71,34.0,Schalke 04,20.0,2. Bundesliga,2.0,SUB,24.0,,2021-07-21,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,2400000.0,,,64.0,62.0,73.0,73.0,51.0,60.0,71,63,52,76,64,73,68,52,68,75,67,61,72,72,73,61,58,67,54,58,69,38,72,78,58,72.0,58,54,43,7,9,7,6,14,,66+2,66+2,66+2,71,70,70,70,71,72,72,72,71+1,70+2,70+2,70+2,71+1,62+2,62+2,62+2,62+2,62+2,59+2,55+2,55+2,55+2,59+2,16+2
221885,/player/221885/paul-seguin/240002,24.0,2.0,2023-09-22,P. Seguin,Paul Seguin,CM,72,72,2300000.0,10000.0,28,1995-03-29,186,82,34.0,Schalke 04,20.0,2. Bundesliga,2.0,SUB,7.0,,2023-07-01,2026.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (185+),Yes,3700000.0,,,59.0,59.0,72.0,71.0,68.0,75.0,71,56,66,75,51,68,72,62,71,77,64,55,69,73,65,65,74,80,74,63,69,69,59,73,48,73.0,69,67,66,14,11,6,15,8,,65+2,65+2,65+2,68,67,67,67,68,69+2,69+2,69+2,69+2,72,72,72,69+2,70+2,72,72,72,70+2,69+2,69+2,69+2,69+2,69+2,18+2
