player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
210723,/player/210723/niko-giesselmann/240002,24.0,2.0,2023-09-22,N. Gießelmann,Niko Gießelmann,LB,73,73,2200000.0,9000.0,31,1991-09-26,182,75,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,SUB,17.0,,2023-09-06,2025.0,21,Germany,,,,Left,2,3,1,Medium/Medium,Normal (170-185),Yes,3400000.0,,,63.0,60.0,71.0,68.0,70.0,74.0,77,55,67,73,56,67,67,69,72,69,68,59,67,73,67,68,75,76,74,62,73,69,65,62,54,71.0,68,73,71,10,13,10,14,7,,65+2,65+2,65+2,67,66,66,66,67,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,18+2
209504,/player/209504/branimir-hrgota/240002,24.0,2.0,2023-09-22,B. Hrgota,Branimir Hrgota,"CAM, ST",72,72,2300000.0,9000.0,30,1993-01-12,185,76,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,CAM,10.0,,2019-08-07,2026.0,46,Sweden,,,,Left,4,3,1,Medium/Low,Lean (185+),No,3600000.0,,"Chip Shot, First Touch",72.0,74.0,65.0,75.0,25.0,64.0,59,75,52,70,72,77,75,63,53,75,77,67,76,71,67,75,70,71,67,73,45,17,73,70,73,66.0,22,28,17,7,7,11,9,14,,71+1,71+1,71+1,72,73-1,73-1,73-1,72,72,72,72,71+1,65+2,65+2,65+2,71+1,51+2,48+2,48+2,48+2,51+2,47+2,40+2,40+2,40+2,47+2,16+2
207926,/player/207926/andreas-linde/240002,24.0,2.0,2023-09-22,A. Linde,Andreas Christopher Linde,GK,70,70,1100000.0,5000.0,29,1993-07-24,196,93,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,SUB,1.0,,2022-01-12,2024.0,46,Sweden,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,1700000.0,,Far Throw,,,,,,,16,13,12,22,12,20,13,12,18,18,48,49,30,62,32,50,65,25,70,19,18,22,15,57,23,57.0,18,14,11,71,64,66,72,74,48.0,28+2,28+2,28+2,28,29,29,29,28,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,25+2,25+2,25+2,25+2,25+2,25+2,26+2,26+2,26+2,25+2,69+1
251325,/player/251325/marco-meyerhofer/240002,24.0,2.0,2023-09-22,M. Meyerhöfer,Marco Meyerhöfer,"RB, RM",69,70,1500000.0,5000.0,27,1995-11-18,179,72,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,LM,18.0,,2019-07-01,2025.0,21,Germany,,,,Right,2,2,1,Medium/Medium,Lean (170-185),Yes,2400000.0,,Technical,54.0,40.0,61.0,69.0,66.0,69.0,69,38,59,68,32,68,49,35,50,70,69,41,77,66,74,47,68,81,66,38,63,68,43,57,34,63.0,67,66,68,8,9,5,8,6,,53+2,53+2,53+2,60,57,57,57,60,60+2,60+2,60+2,62+2,62+2,62+2,62+2,62+2,68+2,66+2,66+2,66+2,68+2,67+2,66+2,66+2,66+2,67+2,14+2
212192,/player/212192/julian-green/240002,24.0,2.0,2023-09-22,J. Green,Julian Green,"CAM, CM",69,69,1400000.0,6000.0,28,1995-06-06,173,70,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,LCM,37.0,,2018-06-17,2024.0,95,United States,,,,Right,4,3,1,Medium/Low,Lean (170-185),No,2200000.0,,"Technical, Flair",74.0,67.0,65.0,73.0,33.0,60.0,68,67,55,67,69,71,67,64,59,73,77,72,84,69,82,65,69,77,59,68,38,28,68,61,61,64.0,29,34,27,14,9,8,10,12,,67+2,67+2,67+2,70-1,69,69,69,70-1,69,69,69,69,64+2,64+2,64+2,69,55+2,51+2,51+2,51+2,55+2,52+2,43+2,43+2,43+2,52+2,17+2
237548,/player/237548/oussama-haddadi/240002,24.0,2.0,2023-09-22,O. Haddadi,Oussama Haddadi,"CB, LB",69,69,950000.0,5000.0,31,1992-01-28,185,76,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,SUB,5.0,,2022-07-01,2024.0,145,Tunisia,,,,Left,3,2,1,High/Medium,Normal (185+),No,1500000.0,,Long Throw,78.0,41.0,60.0,63.0,68.0,74.0,64,34,62,67,42,64,55,34,57,60,68,87,64,66,58,58,76,73,76,36,70,69,56,54,41,68.0,67,71,67,6,6,14,9,14,,57+2,57+2,57+2,60,59,59,59,60,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,68+1,66+2,66+2,66+2,68+1,69,69,69,69,69,15+2
239097,/player/239097/dennis-srbeny/240002,24.0,2.0,2023-09-22,D. Srbeny,Dennis Srbeny,"ST, CAM",69,69,1400000.0,7000.0,29,1994-05-05,189,84,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,RS,7.0,,2023-07-01,2026.0,21,Germany,,,,Right,3,3,1,High/Medium,Normal (185+),Yes,2200000.0,,"Finesse Shot, Pinged Pass, First Touch, Press Proven, Acrobatic",66.0,67.0,59.0,68.0,33.0,71.0,49,69,68,67,60,68,56,35,50,71,67,65,69,72,44,72,77,71,76,57,58,30,70,66,65,71.0,29,28,26,15,9,11,6,10,,69,69,69,66,68,68,68,66,67+2,67+2,67+2,66+2,62+2,62+2,62+2,66+2,51+2,51+2,51+2,51+2,51+2,49+2,47+2,47+2,47+2,49+2,17+2
242850,/player/242850/simon-asta/240002,24.0,2.0,2023-09-22,S. Asta,Simon Asta,"RB, RM",68,77,2600000.0,4000.0,22,2001-01-25,178,75,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,RM,2.0,,2020-10-05,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,4600000.0,,,85.0,31.0,53.0,66.0,64.0,60.0,64,28,48,55,34,65,52,37,49,66,83,86,71,62,71,31,65,66,56,32,59,69,55,45,28,56.0,61,68,66,7,12,9,7,7,,51+2,51+2,51+2,60,56,56,56,60,56+2,56+2,56+2,61+2,56+2,56+2,56+2,61+2,66+2,61+2,61+2,61+2,66+2,66+2,62+2,62+2,62+2,66+2,14+2
260925,/player/260925/lukas-petkov/240002,24.0,2.0,2023-09-22,L. Petkov,Lukas Emanuel Petkov,"CM, CAM, LM",68,77,2700000.0,9000.0,22,2000-11-01,183,76,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,SUB,16.0,FC Augsburg,,2024.0,21,Germany,,,,Right,4,3,1,High/Medium,Normal (170-185),No,,,"Technical, Flair",71.0,66.0,65.0,70.0,55.0,64.0,58,62,49,72,54,73,63,53,65,70,78,65,68,68,62,78,66,80,60,71,53,51,65,65,54,66.0,55,58,59,13,8,10,9,7,,66+2,66+2,66+2,68,69,69,69,68,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,64+2,63+2,63+2,63+2,64+2,63+2,58+2,58+2,58+2,63+2,16+2
237024,/player/237024/luca-itter/240002,24.0,2.0,2023-09-22,L. Itter,Gian-Luca Itter,"LB, CB",68,73,1700000.0,4000.0,24,1999-01-05,183,74,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,LCB,27.0,,2022-06-03,2025.0,21,Germany,,,,Left,2,3,1,High/Medium,Lean (170-185),Yes,2800000.0,,Anticipate,84.0,42.0,60.0,67.0,64.0,62.0,60,40,60,66,31,69,63,49,63,67,80,88,66,62,67,53,75,64,63,37,56,64,57,49,41,58.0,65,65,63,10,14,13,7,12,,58+2,58+2,58+2,63,61,61,61,63,61+2,61+2,61+2,64+2,61+2,61+2,61+2,64+2,66+2,63+2,63+2,63+2,66+2,66+2,64+2,64+2,64+2,66+2,17+2
251764,/player/251764/damian-michalski/240002,24.0,2.0,2023-09-22,D. Michalski,Damian Michalski,CB,68,72,1500000.0,4000.0,25,1998-05-17,189,90,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,SUB,4.0,,2022-08-31,2025.0,37,Poland,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2400000.0,#Strength,"Power Header, Aerial",59.0,56.0,55.0,59.0,66.0,82.0,57,54,66,60,40,59,49,37,54,58,71,50,65,66,57,65,85,78,90,61,65,62,48,53,35,56.0,69,66,65,6,6,14,9,8,,60+2,60+2,60+2,58,58,58,58,58,58+2,58+2,58+2,59+2,59+2,59+2,59+2,59+2,63+2,64+2,64+2,64+2,63+2,64+2,68+2,68+2,68+2,64+2,14+2
259022,/player/259022/kerim-calhanoglu/240002,24.0,2.0,2023-09-22,K. Çalhanoğlu,Kerim Çalhanoğlu,"LB, LM",67,78,2100000.0,3000.0,20,2002-08-26,183,80,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,SUB,21.0,,2023-07-01,2025.0,21,Germany,,,,Left,3,2,1,High/Medium,Normal (170-185),Yes,3700000.0,,,77.0,51.0,65.0,67.0,59.0,66.0,73,45,52,67,48,67,70,54,55,65,77,77,76,62,71,62,69,68,64,53,67,58,59,60,45,52.0,56,64,61,11,12,14,11,12,,59+2,59+2,59+2,65,62,62,62,65,63+2,63+2,63+2,65+2,62+2,62+2,62+2,65+2,66+2,62+2,62+2,62+2,66+2,65+2,61+2,61+2,61+2,65+2,17+2
252125,/player/252125/jomaine-consbruch/240002,24.0,2.0,2023-09-22,J. Consbruch,Jomaine Ellay Consbruch,"CAM, LM, RM",67,76,2300000.0,3000.0,21,2002-01-26,174,66,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,2.0,SUB,14.0,,2023-07-01,2026.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,4000000.0,,,76.0,57.0,62.0,70.0,55.0,49.0,55,58,40,69,49,70,53,39,64,68,76,76,83,64,84,56,44,72,33,57,63,58,64,65,43,55.0,52,58,59,11,9,8,7,11,,60+2,60+2,60+2,66,65,65,65,66,67+2,67+2,67+2,67+2,65+2,65+2,65+2,67+2,63+2,61+2,61+2,61+2,63+2,62+2,55+2,55+2,55+2,62+2,15+2
