player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
211378,/player/211378/jackson-irvine/240002,24.0,2.0,2023-09-22,J. Irvine,Jackson Alexander Irvine,CM,74,74,4000000.0,17000.0,30,1993-03-07,189,70,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,RCM,7.0,,2021-07-05,2024.0,195,Australia,,,,Right,3,3,1,High/Medium,Normal (185+),No,6400000.0,,"Power Header, Incisive Pass, Intercept, Relentless, Aerial",72.0,68.0,70.0,69.0,72.0,79.0,64,67,80,73,58,69,63,58,70,74,64,78,58,75,59,73,83,90,75,68,76,73,73,74,55,72.0,66,74,72,7,13,11,9,11,,72+2,72+2,72+2,70,72,72,72,70,71+2,71+2,71+2,72+2,74,74,74,72+2,73+1,74,74,74,73+1,73+1,74,74,74,73+1,17+2
222542,/player/222542/manolis-saliakas/240002,24.0,2.0,2023-09-22,M. Saliakas,Manolis Saliakas,RWB,73,74,3300000.0,14000.0,26,1996-09-12,175,75,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,RWB,2.0,,2022-07-01,2025.0,22,Greece,,,,Right,4,2,1,Medium/High,Normal (170-185),No,5500000.0,,Slide Tackle,68.0,57.0,66.0,68.0,66.0,68.0,74,56,44,70,62,65,68,67,59,71,76,61,72,70,73,57,62,80,61,55,71,67,69,57,50,66.0,68,70,72,15,8,12,14,13,,62+2,62+2,62+2,67,65,65,65,67,65+2,65+2,65+2,68+2,66+2,66+2,66+2,68+2,71+2,68+2,68+2,68+2,71+2,70+2,66+2,66+2,66+2,70+2,19+2
233125,/player/233125/marcel-hartel/240002,24.0,2.0,2023-09-22,M. Hartel,Marcel Hartel,CM,72,73,2700000.0,14000.0,27,1996-01-19,177,68,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,LCM,10.0,,2021-08-10,2024.0,21,Germany,,,,Right,4,3,1,High/High,Lean (170-185),No,4500000.0,#Engine,"Tiki Taka, Press Proven, Relentless",71.0,64.0,71.0,77.0,39.0,61.0,63,61,49,74,67,77,67,60,74,76,74,69,84,73,81,69,56,93,47,66,58,54,67,74,48,64.0,31,36,32,14,15,8,10,12,,66+2,66+2,66+2,71,71,71,71,71,73,73,73,73,72+1,72+1,72+1,73,61+2,60+2,60+2,60+2,61+2,57+2,48+2,48+2,48+2,57+2,19+2
202276,/player/202276/simon-zoller/240002,24.0,2.0,2023-09-22,S. Zoller,Simon Zoller,"ST, RM",72,72,1900000.0,15000.0,32,1991-06-26,179,73,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,SUB,20.0,,2023-09-01,2024.0,21,Germany,,,,Right,3,3,1,High/High,Lean (170-185),No,3000000.0,,,68.0,73.0,65.0,73.0,39.0,66.0,68,75,67,68,72,72,69,55,53,75,73,63,75,72,72,73,73,76,63,69,57,24,76,67,66,71.0,45,39,25,9,16,10,10,13,,72,72,72,72,72,72,72,72,71+1,71+1,71+1,70+2,65+2,65+2,65+2,70+2,56+2,53+2,53+2,53+2,56+2,53+2,49+2,49+2,49+2,53+2,19+2
222369,/player/222369/eric-smith/240002,24.0,2.0,2023-09-22,E. Smith,Eric Anders Smith,"CB, CDM",71,74,2200000.0,11000.0,26,1997-01-08,192,86,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,CB,8.0,,2021-07-01,2025.0,46,Sweden,,,,Right,3,2,1,High/Medium,Normal (185+),No,3700000.0,,"Long Ball Pass, Intercept",73.0,57.0,64.0,65.0,70.0,77.0,43,50,62,72,43,63,44,58,76,68,65,80,65,74,56,74,77,74,81,61,73,76,66,66,41,70.0,74,67,60,12,12,13,7,11,,65+2,65+2,65+2,64,66,66,66,64,67+2,67+2,67+2,65+2,70+2,70+2,70+2,65+2,67+2,72+2,72+2,72+2,67+2,68+2,71+2,71+2,71+2,68+2,18+2
262956,/player/262956/nikola-vasilj/240002,24.0,2.0,2023-09-22,N. Vasilj,Nikola Vasilj,GK,70,72,1500000.0,8000.0,27,1995-12-02,193,89,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,GK,22.0,,2021-07-01,2024.0,8,Bosnia and Herzegovina,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,2500000.0,,,,,,,,,10,9,12,40,6,12,14,11,38,22,36,30,40,68,23,48,63,21,72,7,30,15,8,42,16,55.0,13,10,14,68,66,64,71,71,34.0,26+2,26+2,26+2,24,26,26,26,24,29+2,29+2,29+2,26+2,30+2,30+2,30+2,26+2,23+2,29+2,29+2,29+2,23+2,23+2,26+2,26+2,26+2,23+2,69+2
242946,/player/242946/dapo-afolayan/240002,24.0,2.0,2023-09-22,D. Afolayan,Oladapo Joshua Afolayan,"LM, CF",70,71,1900000.0,10000.0,25,1997-09-11,180,70,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,SUB,17.0,,2023-01-19,2026.0,14,England,,,,Right,4,3,1,Medium/Medium,Normal (170-185),Yes,3200000.0,,"Technical, Flair",81.0,66.0,62.0,71.0,48.0,69.0,61,67,55,64,54,74,59,56,61,67,83,79,76,65,74,66,73,81,60,71,76,40,67,64,54,68.0,50,50,40,10,11,10,11,14,,67+2,67+2,67+2,69,69,69,69,69,68+2,68+2,68+2,69+2,64+2,64+2,64+2,69+2,60+2,58+2,58+2,58+2,60+2,58+2,54+2,54+2,54+2,58+2,17+2
226506,/player/226506/karol-mets/240002,24.0,2.0,2023-09-22,K. Mets,Karol Mets,CB,70,70,1300000.0,10000.0,30,1993-05-16,191,82,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,LCB,3.0,,2023-05-31,2028.0,208,Estonia,,,,Left,3,2,1,Medium/High,Normal (185+),No,2100000.0,,Bruiser,67.0,51.0,58.0,60.0,69.0,80.0,55,50,66,62,34,56,60,31,66,65,55,77,59,62,57,58,76,74,84,50,77,67,50,55,51,61.0,68,73,68,12,15,14,12,6,,59+2,59+2,59+2,58,58,58,58,58,58+2,58+2,58+2,60+2,62+2,62+2,62+2,60+2,66+2,68+2,68+2,68+2,66+2,67+2,70,70,70,67+2,17+2
230855,/player/230855/hauke-wahl/240002,24.0,2.0,2023-09-22,H. Wahl,Hauke Finn Wahl,CB,70,70,1300000.0,10000.0,29,1994-04-15,189,85,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,RCB,5.0,,2023-07-01,2026.0,21,Germany,,,,Right,3,3,1,High/Medium,Normal (185+),No,2100000.0,,Block,51.0,32.0,55.0,63.0,70.0,74.0,28,30,68,73,21,58,22,20,65,68,49,53,60,68,66,44,71,77,77,24,62,73,29,59,45,67.0,67,72,67,15,14,5,13,7,,50+2,50+2,50+2,51,52,52,52,51,56+2,56+2,56+2,55+2,63+2,63+2,63+2,55+2,63+2,70,70,70,63+2,64+2,70,70,70,64+2,18+2
258626,/player/258626/danel-sinani/240002,24.0,2.0,2023-09-22,D. Sinani,Danel Sinani,"RM, CAM",69,70,1600000.0,9000.0,26,1997-04-05,185,70,110329.0,St. Pauli,20.0,2. Bundesliga,2.0,SUB,15.0,,2023-07-04,2027.0,31,Luxembourg,,,,Left,3,3,1,High/Medium,Normal (185+),No,2700000.0,,,67.0,68.0,70.0,69.0,41.0,68.0,69,65,38,72,65,69,68,68,66,70,63,70,68,67,69,72,58,64,72,70,63,44,68,70,64,66.0,38,43,42,10,14,8,10,12,,65+2,65+2,65+2,68,68,68,68,68,69+1,69+1,69+1,68+2,66+2,66+2,66+2,68+2,58+2,58+2,58+2,58+2,58+2,55+2,51+2,51+2,51+2,55+2,17+2
