player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
257307,/player/257307/nick-batzner/240002,24.0,2.0,2023-09-22,N. Bätzner,Nick Bätzner,"CAM, CM",69,77,3100000.0,8000.0,23,2000-03-15,175,66,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,RES,8.0,,2023-07-01,2024.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,5400000.0,,,70.0,59.0,71.0,73.0,56.0,59.0,66,60,37,74,59,73,74,56,74,74,75,66,79,58,81,57,55,69,56,62,53,58,53,70,54,60.0,58,59,52,9,8,12,7,7,,60+2,60+2,60+2,68,65,65,65,68,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,64+2,64+2,64+2,64+2,64+2,62+2,56+2,56+2,56+2,62+2,13+2
243628,/player/243628/aleksandar-vukotic/240002,24.0,2.0,2023-09-22,A. Vukotić,Aleksandar Vukotić,CB,69,70,1400000.0,8000.0,27,1995-07-22,201,95,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,SUB,26.0,,2023-07-01,2025.0,51,Serbia,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,2300000.0,"#Aerial threat, #Strength","Long Ball Pass, Bruiser, Aerial",43.0,42.0,48.0,41.0,68.0,82.0,27,38,77,60,36,33,31,32,63,52,41,45,37,59,30,59,75,61,95,38,77,68,33,45,34,57.0,68,68,58,10,9,13,12,12,,50+2,50+2,50+2,42,46,46,46,42,46+2,46+2,46+2,45+2,53+2,53+2,53+2,45+2,55+2,64+2,64+2,64+2,55+2,57+2,69+1,69+1,69+1,57+2,16+2
271395,/player/271395/ivan-prtajin/240002,24.0,2.0,2023-09-22,I. Prtajin,Ivan Prtajin,ST,68,69,1400000.0,8000.0,27,1996-05-14,189,89,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,ST,18.0,,2022-08-11,2025.0,10,Croatia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2300000.0,,,64.0,69.0,53.0,62.0,28.0,72.0,34,73,70,59,54,62,42,49,53,64,65,64,56,64,53,70,78,64,79,61,63,25,70,63,67,69.0,23,24,22,10,6,11,14,15,,68+1,68+1,68+1,62,65,65,65,62,63+2,63+2,63+2,61+2,58+2,58+2,58+2,61+2,44+2,47+2,47+2,47+2,44+2,43+2,44+2,44+2,44+2,43+2,17+2
218656,/player/218656/sascha-mockenhaupt/240002,24.0,2.0,2023-09-22,S. Mockenhaupt,Sascha Mockenhaupt,"CB, RWB",68,68,825000.0,7000.0,31,1991-09-10,187,87,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,RCB,4.0,,2017-01-01,2024.0,21,Germany,,,,Right,2,2,1,High/Medium,Normal (185+),No,1300000.0,,Jockey,82.0,29.0,45.0,51.0,66.0,78.0,41,21,64,57,27,45,28,28,49,51,80,84,59,66,62,49,86,71,83,22,70,64,35,34,44,64.0,67,69,61,12,9,12,7,13,,49+2,49+2,49+2,48,47,47,47,48,47+2,47+2,47+2,51+2,50+2,50+2,50+2,51+2,62+2,61+2,61+2,61+2,62+2,64+2,68,68,68,64+2,16+2
202803,/player/202803/martin-angha/240002,24.0,2.0,2023-09-22,M. Angha,Martin Yves Angha-Lötscher,CB,67,67,850000.0,6000.0,29,1994-01-22,188,81,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,SUB,2.0,,2023-07-01,2025.0,47,Switzerland,,,,Right,4,2,1,Medium/Medium,Lean (185+),No,1300000.0,,Slide Tackle,71.0,37.0,56.0,63.0,66.0,75.0,55,30,66,62,33,61,55,33,56,64,68,74,67,65,59,50,77,76,77,36,68,67,53,53,38,64.0,66,64,65,8,13,9,15,13,,55+2,55+2,55+2,57,56,56,56,57,57+2,57+2,57+2,60+2,59+2,59+2,59+2,60+2,65+2,65+2,65+2,65+2,65+2,66+1,67,67,67,66+1,18+2
241540,/player/241540/thijmen-goppel/240002,24.0,2.0,2023-09-22,T. Goppel,Thijmen Goppel,RM,67,67,1100000.0,6000.0,26,1997-02-16,180,74,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,RM,9.0,,2021-07-20,2025.0,34,Netherlands,,,,Right,2,3,1,Medium/Low,Lean (170-185),No,1700000.0,,"Whipped Cross, Rapid, Quick Step",87.0,57.0,61.0,66.0,50.0,67.0,67,58,49,61,51,63,59,49,57,68,91,83,79,59,75,63,72,75,65,51,61,52,58,60,49,57.0,49,48,52,6,14,5,12,14,,62+2,62+2,62+2,66,63,63,63,66,63+2,63+2,63+2,66+1,60+2,60+2,60+2,66+1,62+2,58+2,58+2,58+2,62+2,61+2,55+2,55+2,55+2,61+2,16+2
245750,/player/245750/florian-carstens/240002,24.0,2.0,2023-09-22,F. Carstens,Florian-Horst Carstens,CB,66,72,1200000.0,4000.0,24,1998-11-08,192,89,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,LCB,17.0,,2021-05-20,2025.0,21,Germany,,,,Right,3,2,1,High/Medium,Normal (185+),No,2100000.0,#Strength,"Jockey, Aerial",53.0,27.0,43.0,43.0,65.0,76.0,43,22,66,56,25,36,25,22,40,52,51,54,34,58,40,45,76,60,88,20,67,57,29,32,30,54.0,67,68,62,14,12,11,15,12,,44+2,44+2,44+2,41,41,41,41,41,41+2,41+2,41+2,44+2,46+2,46+2,46+2,44+2,56+2,58+2,58+2,58+2,56+2,58+2,66+2,66+2,66+2,58+2,18+2
228757,/player/228757/marcus-mathisen/240002,24.0,2.0,2023-09-22,M. Mathisen,Marcus Klingenberg Mathisen,"CB, CM",66,69,975000.0,5000.0,27,1996-02-27,184,79,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,CB,24.0,,2023-07-01,2025.0,13,Denmark,,,,Right,4,2,1,High/Medium,Normal (170-185),No,1600000.0,,Intercept,54.0,50.0,58.0,61.0,64.0,80.0,49,45,61,64,42,59,47,42,62,62,55,54,65,62,65,62,75,78,84,48,74,65,52,58,53,66.0,64,64,60,12,13,11,15,8,,57+2,57+2,57+2,56,57,57,57,56,58+2,58+2,58+2,58+2,61+2,61+2,61+2,58+2,62+2,65+2,65+2,65+2,62+2,62+2,66+2,66+2,66+2,62+2,17+2
247123,/player/247123/antonio-jonjic/240002,24.0,2.0,2023-09-22,A. Jonjić,Antonio Jonjić,"ST, RM, LM",65,71,1100000.0,5000.0,23,1999-08-02,184,83,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,SUB,10.0,,2023-07-01,2026.0,21,Germany,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1900000.0,,Technical,76.0,62.0,57.0,70.0,31.0,61.0,55,65,52,59,61,71,62,54,46,68,80,73,81,63,71,62,70,60,64,60,50,28,68,62,42,62.0,22,35,33,9,14,15,12,7,,65+2,65+2,65+2,67,66,66,66,67,65+2,65+2,65+2,65+2,58+2,58+2,58+2,65+2,51+2,47+2,47+2,47+2,51+2,48+2,43+2,43+2,43+2,48+2,17+2
236627,/player/236627/julius-kade/240002,24.0,2.0,2023-09-22,J. Kade,Julius Kade,"CM, CDM",65,70,1100000.0,4000.0,24,1999-05-20,182,73,492.0,Wehen Wiesbaden,20.0,2. Bundesliga,2.0,RES,21.0,,2023-08-10,2024.0,21,Germany,,,,Left,3,3,1,Medium/Medium,Lean (170-185),Yes,1800000.0,,,69.0,50.0,64.0,69.0,62.0,50.0,59,54,53,70,50,67,59,49,63,69,74,65,78,63,77,46,50,80,34,47,50,63,55,66,46,58.0,64,62,61,6,6,9,14,10,,57+2,57+2,57+2,64,62,62,62,64,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,66+2,64+2,64+2,64+2,66+2,65+2,58+2,58+2,58+2,65+2,15+2
