player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
233472,/player/233472/noah-joel-sarenren-bazee/240002,24.0,2.0,2023-09-22,N. Sarenren Bazee,Noah Joel Sarenren Bazee,RM,70,70,1700000.0,5000.0,26,1996-08-21,183,80,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,SUB,37.0,,2023-08-31,2026.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,2500000.0,,Rapid,81.0,61.0,64.0,73.0,29.0,48.0,72,63,53,69,55,74,64,42,54,73,85,77,78,68,75,64,69,34,55,56,44,31,66,62,52,58.0,22,26,29,15,6,13,11,11,,66+2,66+2,66+2,71-1,69,69,69,71-1,68+2,68+2,68+2,69+1,60+2,60+2,60+2,69+1,52+2,47+2,47+2,47+2,52+2,49+2,42+2,42+2,42+2,49+2,17+2
192663,/player/192663/fabian-klos/240002,24.0,2.0,2023-09-22,F. Klos,Fabian Klos,ST,68,68,525000.0,3000.0,35,1987-12-02,194,93,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,ST,9.0,,2011-07-01,2024.0,21,Germany,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,761000.0,#Strength,"Power Header, Bruiser, Aerial",56.0,69.0,60.0,59.0,39.0,81.0,46,67,72,66,72,58,56,45,60,65,51,60,41,72,43,75,82,64,91,65,78,29,70,70,80,75.0,45,32,24,7,11,7,7,13,,68,68,68,62,66,66,66,62,64+2,64+2,64+2,62+2,62+2,62+2,62+2,62+2,49+2,54+2,54+2,54+2,49+2,48+2,53+2,53+2,53+2,48+2,16+2
243378,/player/243378/manuel-wintzheimer/240002,24.0,2.0,2023-09-22,M. Wintzheimer,Manuel Paul Wintzheimer,ST,67,71,1500000.0,5000.0,24,1999-01-10,180,78,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,SUB,39.0,Nürnberg,,2024.0,21,Germany,,,,Right,5,2,1,Medium/Medium,Stocky (170-185),No,,,,62.0,67.0,63.0,67.0,27.0,68.0,64,70,63,66,60,65,50,37,57,69,71,55,73,64,71,70,76,70,71,62,57,21,70,69,57,55.0,23,27,17,5,9,12,12,11,,67+2,67+2,67+2,67,67,67,67,67,67+2,67+2,67+2,66+2,62+2,62+2,62+2,66+2,49+2,48+2,48+2,48+2,49+2,46+2,42+2,42+2,42+2,46+2,15+2
234901,/player/234901/nicklas-shipnoski/240002,24.0,2.0,2023-09-22,N. Shipnoski,Nicklas Shipnoski,"RM, CAM",66,69,1100000.0,3000.0,25,1998-01-01,184,75,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,RW,7.0,,2023-07-03,2026.0,21,Germany,,,,Right,3,3,1,High/Medium,Lean (170-185),No,1700000.0,,Rapid,71.0,60.0,58.0,68.0,26.0,49.0,59,61,49,65,57,69,54,35,44,66,83,61,77,63,75,60,56,70,44,55,34,25,61,63,64,56.0,21,24,30,12,15,10,6,13,,61+2,61+2,61+2,65,64,64,64,65,64+2,64+2,64+2,65+2,58+2,58+2,58+2,65+2,50+2,44+2,44+2,44+2,50+2,47+2,37+2,37+2,37+2,47+2,17+2
239703,/player/239703/merveille-biankadi/240002,24.0,2.0,2023-09-22,M. Biankadi,Merveille Biankadi,"RM, CM",66,66,850000.0,3000.0,28,1995-05-09,184,83,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,LCM,17.0,,2023-07-01,2025.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,1200000.0,,Rapid,76.0,57.0,59.0,68.0,54.0,74.0,58,59,55,60,43,70,58,50,58,65,74,77,73,59,71,62,75,83,75,56,62,48,59,60,41,58.0,48,62,55,12,10,13,7,12,,62+2,62+2,62+2,64,63,63,63,64,63+2,63+2,63+2,65+1,62+2,62+2,62+2,65+1,62+2,60+2,60+2,60+2,62+2,61+2,59+2,59+2,59+2,61+2,16+2
244085,/player/244085/aygun-yildirim/240002,24.0,2.0,2023-09-22,A. Yıldırım,Aygün Yıldırım,"RM, ST, LM",66,66,850000.0,3000.0,28,1995-04-04,180,78,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,LW,11.0,,2023-07-01,2025.0,21,Germany,,,,Right,4,4,1,Medium/Medium,Normal (170-185),No,1200000.0,,"Technical, Flair, Trivela",75.0,63.0,56.0,70.0,23.0,59.0,61,63,57,60,54,70,43,38,54,68,82,70,82,63,76,70,71,71,58,58,45,22,62,52,65,55.0,21,18,10,11,5,11,8,11,,64+2,64+2,64+2,66,65,65,65,66,63+2,63+2,63+2,65+1,57+2,57+2,57+2,65+1,48+2,44+2,44+2,44+2,48+2,44+2,37+2,37+2,37+2,44+2,15+2
244028,/player/244028/semi-belkahia/240002,24.0,2.0,2023-09-22,S. Belkahia,Semi Belkahia,CB,65,74,1500000.0,2000.0,24,1998-12-22,193,90,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,LCB,5.0,,2023-07-01,2025.0,21,Germany,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,2500000.0,,"Slide Tackle, Bruiser",70.0,37.0,42.0,54.0,63.0,77.0,37,31,62,57,34,49,21,25,42,60,69,70,60,59,54,62,70,73,81,27,73,61,31,29,34,52.0,60,68,64,12,10,8,7,15,,51+2,51+2,51+2,48,48,48,48,48,47+2,47+2,47+2,50+2,50+2,50+2,50+2,50+2,60+2,60+2,60+2,60+2,60+2,61+2,65+2,65+2,65+2,61+2,16+2
248174,/player/248174/nassim-boujellab/240002,24.0,2.0,2023-09-22,N. Boujellab,Nassim Boujellab,"CAM, CF, CM",65,71,1100000.0,2000.0,24,1999-06-20,182,72,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,SUB,10.0,,2023-07-01,2025.0,129,Morocco,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,1800000.0,,,70.0,59.0,61.0,71.0,50.0,54.0,52,61,49,67,52,72,54,55,61,70,73,68,77,62,75,63,54,62,48,54,58,38,56,63,59,58.0,55,54,51,15,15,7,10,7,,61+2,61+2,61+2,65,65,65,65,65,65+2,65+2,65+2,65+2,62+2,62+2,62+2,65+2,58+2,57+2,57+2,57+2,58+2,57+2,53+2,53+2,53+2,57+2,17+2
235288,/player/235288/sam-schreck/240002,24.0,2.0,2023-09-22,S. Schreck,Sam Francis Schreck,"CM, CDM",65,69,1000000.0,2000.0,24,1999-01-29,180,63,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,CDM,8.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,1500000.0,,,64.0,49.0,63.0,68.0,59.0,48.0,52,44,46,70,49,67,59,58,61,70,67,61,76,65,69,57,44,73,37,53,45,62,57,65,47,60.0,61,62,55,5,9,7,7,8,,56+2,56+2,56+2,62,62,62,62,62,64+2,64+2,64+2,63+2,65+2,65+2,65+2,63+2,63+2,63+2,63+2,63+2,63+2,62+2,56+2,56+2,56+2,62+2,14+2
270403,/player/270403/marius-worl/240002,24.0,2.0,2023-09-22,M. Wörl,Marius Wörl,"CDM, CM",64,77,1300000.0,3000.0,19,2004-04-05,178,69,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,RES,38.0,Hannover 96,,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,,,"Intercept, Anticipate",64.0,46.0,60.0,60.0,62.0,61.0,58,45,50,67,34,59,41,41,59,62,66,63,64,62,55,50,59,68,59,44,59,63,53,60,50,57.0,63,64,62,13,11,13,11,14,,54+2,54+2,54+2,59,58,58,58,59,59+2,59+2,59+2,60+2,61+2,61+2,61+2,60+2,63+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,63+2,18+2
257914,/player/257914/jonas-kersken/240002,24.0,2.0,2023-09-22,J. Kersken,Jonas Thomas Kersken,GK,64,74,1100000.0,4000.0,22,2000-09-01,190,88,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,GK,1.0,Borussia Mönchengladbach,,2024.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,12,8,10,29,8,14,12,10,25,20,25,24,34,48,25,47,51,16,58,5,25,10,5,45,11,35.0,10,10,13,65,63,62,65,66,25.0,21+2,21+2,21+2,20,22,22,22,20,24+2,24+2,24+2,22+2,24+2,24+2,24+2,22+2,19+2,22+2,22+2,22+2,19+2,18+2,21+2,21+2,21+2,18+2,63+2
259453,/player/259453/christopher-lannert/240002,24.0,2.0,2023-09-22,C. Lannert,Christopher Lannert,RB,64,67,725000.0,2000.0,25,1998-06-08,180,71,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,LB,24.0,,2023-07-04,2025.0,21,Germany,,,,Right,5,2,1,High/Medium,Normal (170-185),No,1100000.0,,"Jockey, Block",78.0,42.0,52.0,58.0,59.0,63.0,58,34,42,60,41,56,53,55,51,58,74,82,68,58,67,56,56,83,57,43,54,57,52,30,39,48.0,65,59,57,7,9,7,14,14,,52+2,52+2,52+2,56,53,53,53,56,53+2,53+2,53+2,58+2,54+2,54+2,54+2,58+2,63+2,58+2,58+2,58+2,63+2,62+2,57+2,57+2,57+2,62+2,16+2
232671,/player/232671/leandro-putaro/240002,24.0,2.0,2023-09-22,L. Putaro,Leandro Putaro,"RM, ST, LM",64,65,700000.0,3000.0,26,1997-01-07,187,77,159.0,DSC Arminia Bielefeld,2076.0,3. Liga,3.0,SUB,34.0,Osnabrück,,2024.0,21,Germany,,,,Left,3,3,1,Medium/Low,Lean (185+),No,,,"Finesse Shot, Technical",76.0,62.0,56.0,64.0,39.0,64.0,59,64,60,60,55,65,57,51,49,65,77,75,63,58,70,63,76,68,69,60,43,35,60,51,61,59.0,39,38,31,13,11,5,7,5,,63+2,63+2,63+2,63,63,63,63,63,61+2,61+2,61+2,63+2,57+2,57+2,57+2,63+2,53+2,49+2,49+2,49+2,53+2,51+2,48+2,48+2,48+2,51+2,14+2
