player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
238674,/player/238674/kevin-broll/240002,24.0,2.0,2023-09-22,K. Broll,Kevin Broll,GK,67,69,925000.0,2000.0,27,1995-08-23,184,85,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,SUB,35.0,,2023-01-31,2024.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,1400000.0,,,,,,,,,10,7,12,23,5,12,11,12,25,17,15,15,26,69,33,36,43,25,49,8,16,18,7,48,13,60.0,11,12,11,70,64,48,64,71,15.0,20+2,20+2,20+2,19,22,22,22,19,24+2,24+2,24+2,21+2,26+2,26+2,26+2,21+2,20+2,24+2,24+2,24+2,20+2,19+2,21+2,21+2,21+2,19+2,66+2
234385,/player/234385/niklas-hauptmann/240002,24.0,2.0,2023-09-22,N. Hauptmann,Niklas Hauptmann,CM,67,68,1200000.0,3000.0,27,1996-06-27,176,63,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,LCM,27.0,,2022-08-31,2024.0,21,Germany,,,,Left,1,3,1,Medium/Medium,Lean (170-185),No,1800000.0,,"Tiki Taka, Slide Tackle, Technical",58.0,55.0,68.0,72.0,56.0,49.0,62,54,34,71,47,72,69,53,67,72,61,56,79,66,83,59,36,66,34,59,70,52,61,71,41,58.0,63,62,49,9,12,7,7,8,,58+2,58+2,58+2,66,65,65,65,66,67+1,67+1,67+1,66+2,67+1,67+1,67+1,66+2,62+2,63+2,63+2,63+2,62+2,59+2,55+2,55+2,55+2,59+2,15+2
224335,/player/224335/lucas-cueto/240002,24.0,2.0,2023-09-22,L. Cueto,Lucas Cueto,"LW, RW",67,67,1100000.0,4000.0,27,1996-03-24,175,67,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,SUB,11.0,,2023-07-01,2024.0,21,Germany,,,,Right,4,3,1,Medium/Low,Lean (170-185),No,1600000.0,,"Rapid, Quick Step",89.0,62.0,55.0,71.0,35.0,53.0,55,62,45,58,59,71,57,53,44,65,92,87,89,63,87,65,62,70,49,60,39,31,61,58,56,63.0,38,30,35,9,14,12,6,11,,63+2,63+2,63+2,67,65,65,65,67,64+2,64+2,64+2,65+2,57+2,57+2,57+2,65+2,54+2,47+2,47+2,47+2,54+2,52+2,42+2,42+2,42+2,52+2,16+2
243514,/player/243514/jonathan-meier/240002,24.0,2.0,2023-09-22,J. Meier,Jonathan Meier,LB,66,71,1200000.0,2000.0,23,1999-11-11,181,75,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,SUB,8.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,2,1,Medium/Medium,Lean (170-185),No,1800000.0,,,73.0,44.0,58.0,63.0,60.0,64.0,63,49,52,62,38,62,51,39,57,63,72,74,71,63,67,39,66,71,63,37,59,59,56,54,33,47.0,61,63,62,6,10,10,15,14,,56+2,56+2,56+2,61,58,58,58,61,59+2,59+2,59+2,62+2,59+2,59+2,59+2,62+2,64+2,61+2,61+2,61+2,64+2,64+2,61+2,61+2,61+2,64+2,17+2
246127,/player/246127/paul-will/240002,24.0,2.0,2023-09-22,P. Will,Paul Will,"CDM, CM",66,71,1200000.0,2000.0,24,1999-03-01,185,77,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,CDM,28.0,,2020-08-22,2024.0,21,Germany,,,,Left,3,3,1,Medium/High,Stocky (185+),No,1800000.0,,"Incisive Pass, Intercept, Anticipate",68.0,50.0,65.0,63.0,62.0,77.0,64,43,63,70,38,63,67,62,66,64,77,60,63,57,62,65,80,79,75,55,77,61,41,57,48,56.0,60,65,61,10,10,11,10,7,,57+2,57+2,57+2,60,58,58,58,60,60+2,60+2,60+2,62+2,62+2,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,64+2,65+2,65+2,65+2,64+2,15+2
261047,/player/261047/robin-meissner/240002,24.0,2.0,2023-09-22,R. Meißner,Robin Maximilian Meißner,ST,66,70,1200000.0,3000.0,23,1999-10-08,181,78,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,LW,36.0,,2023-07-04,2025.0,21,Germany,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,1800000.0,,,68.0,67.0,44.0,63.0,23.0,69.0,33,69,65,46,57,61,40,34,40,66,70,67,67,65,69,73,76,63,74,59,60,20,67,57,59,53.0,17,18,15,7,5,6,13,10,,66+2,66+2,66+2,60,63,63,63,60,60+2,60+2,60+2,58+2,53+2,53+2,53+2,58+2,41+2,41+2,41+2,41+2,41+2,40+2,39+2,39+2,39+2,40+2,15+2
216377,/player/216377/stefan-kutschke/240002,24.0,2.0,2023-09-22,S. Kutschke,Stefan Kutschke,ST,66,66,425000.0,3000.0,34,1988-11-03,194,95,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,ST,30.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,616000.0,"#Aerial threat, #Strength","Power Header, Bruiser, Aerial",55.0,67.0,45.0,53.0,39.0,83.0,38,67,75,53,59,49,37,36,34,59,35,72,44,68,32,73,78,68,92,61,81,20,69,50,68,72.0,28,53,28,9,11,11,14,10,,66,66,66,55,60,60,60,55,56+2,56+2,56+2,54+2,53+2,53+2,53+2,54+2,46+2,48+2,48+2,48+2,46+2,46+2,53+2,53+2,53+2,46+2,17+2
251405,/player/251405/kevin-ehlers/240002,24.0,2.0,2023-09-22,K. Ehlers,Kevin Ehlers,CB,65,75,1500000.0,2000.0,22,2001-01-23,186,84,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,RCB,39.0,,2019-04-17,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2500000.0,,"Jockey, Block, Anticipate",63.0,29.0,50.0,52.0,66.0,68.0,33,22,62,63,31,42,30,25,50,60,63,63,59,63,59,42,75,62,76,28,53,67,33,57,35,63.0,65,68,64,8,15,12,8,11,,47+2,47+2,47+2,48,48,48,48,48,51+2,51+2,51+2,50+2,55+2,55+2,55+2,50+2,59+2,63+2,63+2,63+2,59+2,61+2,65+2,65+2,65+2,61+2,16+2
262534,/player/262534/jakob-lewald/240002,24.0,2.0,2023-09-22,J. Lewald,Jakob Lewald,CB,65,71,1000000.0,2000.0,24,1999-02-26,194,82,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,LCB,31.0,,2022-08-22,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1700000.0,,,61.0,31.0,41.0,51.0,65.0,73.0,28,33,67,53,22,47,28,27,49,55,54,66,52,58,45,38,67,65,82,21,63,65,25,36,34,60.0,64,67,62,14,9,10,6,11,,46+2,46+2,46+2,44,45,45,45,44,45+2,45+2,45+2,47+2,49+2,49+2,49+2,47+2,57+2,60+2,60+2,60+2,57+2,59+2,65+2,65+2,65+2,59+2,15+2
262978,/player/262978/tom-zimmerschied/240002,24.0,2.0,2023-09-22,T. Zimmerschied,Tom Zimmerschied,"LW, RW, CM",65,71,1100000.0,2000.0,24,1998-09-22,180,69,503.0,Dynamo Dresden,2076.0,3. Liga,3.0,RCM,22.0,,2023-07-01,2025.0,21,Germany,,,,Right,4,3,1,High/Low,Lean (170-185),No,1800000.0,,"Technical, Flair",72.0,61.0,61.0,68.0,36.0,58.0,54,65,44,65,56,69,60,43,60,67,71,73,77,60,69,59,53,75,53,57,51,23,63,65,46,60.0,34,40,45,7,7,10,5,14,,62+2,62+2,62+2,65,65,65,65,65,66+2,66+2,66+2,65+2,61+2,61+2,61+2,65+2,54+2,51+2,51+2,51+2,54+2,52+2,44+2,44+2,44+2,52+2,14+2
