player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
182520,/player/182520/martin-mannel/240002,24.0,2.0,2023-09-22,M. Männel,Martin Männel,GK,69,69,150000.0,1000.0,35,1988-03-16,183,80,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,GK,1.0,,2008-07-01,2024.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,218000.0,,Footwork,,,,,,,14,12,19,34,20,18,13,12,36,31,52,44,44,62,38,44,66,34,61,15,21,17,9,45,36,47.0,15,12,12,72,69,58,66,71,49.0,29+2,29+2,29+2,29,30,30,30,29,32+2,32+2,32+2,31+2,32+2,32+2,32+2,31+2,27+2,29+2,29+2,29+2,27+2,26+2,26+2,26+2,26+2,26+2,68+1
216255,/player/216255/marvin-stefaniak/240002,24.0,2.0,2023-09-22,M. Stefaniak,Marvin Stefaniak,"LM, CAM, CM",67,67,1000000.0,2000.0,28,1995-02-03,178,76,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,LM,34.0,,2022-07-01,2025.0,21,Germany,,,,Right,4,3,1,High/Low,Normal (170-185),No,1500000.0,,"Dead Ball, Technical",75.0,60.0,66.0,69.0,29.0,61.0,67,57,40,67,55,69,81,71,57,68,83,69,80,59,77,66,64,69,64,60,41,27,60,65,64,59.0,30,25,26,13,11,15,7,10,,61+2,61+2,61+2,67,65,65,65,67,66+1,66+1,66+1,66+1,60+2,60+2,60+2,66+1,52+2,48+2,48+2,48+2,52+2,48+2,40+2,40+2,40+2,48+2,16+2
238643,/player/238643/marcel-bar/240002,24.0,2.0,2023-09-22,M. Bär,Marcel Bär,ST,66,66,725000.0,2000.0,31,1992-06-08,184,80,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,ST,15.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1100000.0,,Rapid,82.0,64.0,60.0,66.0,40.0,65.0,62,68,62,63,65,66,52,44,55,65,81,82,70,62,67,64,79,73,70,59,39,28,62,61,54,60.0,38,42,40,11,10,11,7,6,,66,66,66,66,66,66,66,66,65+1,65+1,65+1,66,60+2,60+2,60+2,66,56+2,51+2,51+2,51+2,56+2,54+2,49+2,49+2,49+2,54+2,15+2
236675,/player/236675/kilian-jakob/240002,24.0,2.0,2023-09-22,K. Jakob,Killian Jakob,"LB, LM",65,69,925000.0,1000.0,25,1998-01-25,183,72,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,LB,26.0,,2023-01-01,2024.0,21,Germany,,,,Left,3,2,1,High/Medium,Lean (170-185),No,1400000.0,,,80.0,40.0,57.0,62.0,57.0,63.0,64,33,59,66,40,60,47,39,55,66,77,83,69,60,66,49,72,64,61,44,63,59,48,41,43,49.0,55,57,58,14,7,14,6,8,,54+2,54+2,54+2,59,56,56,56,59,57+2,57+2,57+2,60+2,57+2,57+2,57+2,60+2,63+2,60+2,60+2,60+2,63+2,63+2,60+2,60+2,60+2,63+2,15+2
211952,/player/211952/maximilian-thiel/240002,24.0,2.0,2023-09-22,M. Thiel,Maximilian Thiel,"LM, CAM",65,65,700000.0,1000.0,30,1993-02-03,187,81,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,SUB,30.0,,2022-07-05,2024.0,21,Germany,,,,Left,3,3,1,Medium/Medium,Lean (185+),No,1000000.0,,"Trivela, Aerial",72.0,66.0,62.0,66.0,31.0,63.0,66,62,52,63,60,69,66,64,58,66,67,76,67,61,61,74,68,54,73,74,46,33,61,59,46,55.0,24,32,25,14,16,7,10,9,,65,65,65,66-1,65,65,65,66-1,64+1,64+1,64+1,64+1,59+2,59+2,59+2,64+1,51+2,48+2,48+2,48+2,51+2,48+2,44+2,44+2,44+2,48+2,17+2
260078,/player/260078/linus-rosenlocher/240002,24.0,2.0,2023-09-22,L. Rosenlöcher,Linus Rosenlöcher,"LB, LM",64,72,1300000.0,850.0,22,2000-09-09,183,79,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,SUB,29.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,2,1,High/Medium,Stocky (170-185),No,2100000.0,,"Jockey, Anticipate, Slide Tackle",76.0,45.0,52.0,61.0,59.0,70.0,60,46,43,54,43,61,56,32,48,59,75,76,67,60,69,42,68,65,78,47,59,62,52,48,33,50.0,60,62,60,10,7,8,13,6,,54+2,54+2,54+2,58,56,56,56,58,56+2,56+2,56+2,59+2,55+2,55+2,55+2,59+2,62+2,59+2,59+2,59+2,62+2,62+2,61+2,61+2,61+2,62+2,15+2
239686,/player/239686/anthony-barylla/240002,24.0,2.0,2023-09-22,A. Barylla,Anthony Barylla,"RB, CB, LB",64,67,700000.0,1000.0,26,1997-06-01,180,84,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,RCB,23.0,,2021-07-01,2024.0,21,Germany,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,,69.0,46.0,56.0,58.0,60.0,75.0,57,47,62,59,28,55,51,59,57,58,71,68,64,61,61,61,79,83,76,35,60,58,50,50,31,58.0,60,60,57,7,6,7,11,7,,56+2,56+2,56+2,56,56,56,56,56,55+2,55+2,55+2,59+2,57+2,57+2,57+2,59+2,62+2,61+2,61+2,61+2,62+2,62+2,62+2,62+2,62+2,62+2,14+2
269866,/player/269866/tim-danhof/240002,24.0,2.0,2023-09-22,T. Danhof,Tim Danhof,"RB, RM",64,67,700000.0,1000.0,26,1997-05-05,182,74,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,RB,2.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,2,1,High/Medium,Normal (170-185),No,1100000.0,,,71.0,46.0,61.0,64.0,58.0,59.0,67,48,43,64,33,64,62,35,48,66,72,71,65,54,69,50,55,71,56,39,51,58,55,64,48,56.0,60,60,61,7,6,14,11,8,,55+2,55+2,55+2,61,59,59,59,61,60+2,60+2,60+2,63+2,59+2,59+2,59+2,63+2,64+2,60+2,60+2,60+2,64+2,62+2,57+2,57+2,57+2,62+2,13+2
224433,/player/224433/korbinian-burger/240002,24.0,2.0,2023-09-22,K. Burger,Korbinian Burger,"CB, LB",64,65,550000.0,1000.0,28,1995-04-27,189,74,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,SUB,5.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,839000.0,,Block,59.0,32.0,53.0,54.0,64.0,71.0,57,28,62,60,27,53,33,50,55,57,56,61,48,56,60,46,70,72,74,27,60,66,32,39,45,56.0,64,65,63,12,14,12,11,10,,47+2,47+2,47+2,49,47,47,47,49,48+2,48+2,48+2,52+2,53+2,53+2,53+2,52+2,62+2,61+2,61+2,61+2,62+2,62+2,64+1,64+1,64+1,62+2,17+2
229756,/player/229756/steffen-nkansah/240002,24.0,2.0,2023-09-22,S. Nkansah,Steffen Nkansah,CB,64,65,600000.0,1000.0,27,1996-04-07,188,78,506.0,Erzgebirge Aue,2076.0,3. Liga,3.0,SUB,24.0,,2022-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,915000.0,,Jockey,70.0,30.0,44.0,48.0,65.0,68.0,40,27,65,57,20,42,31,30,43,50,70,70,60,58,59,42,75,72,71,25,55,66,36,35,40,54.0,61,68,65,10,10,8,6,14,,47+2,47+2,47+2,46,46,46,46,46,46+2,46+2,46+2,49+2,49+2,49+2,49+2,49+2,60+2,59+2,59+2,59+2,60+2,62+2,64+1,64+1,64+1,62+2,15+2
