player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
239121,/player/239121/hamadi-al-ghaddioui/240002,24.0,2.0,2023-09-22,H. Al Ghaddioui,Hamadi Al Ghaddioui,ST,65,65,575000.0,2000.0,32,1990-09-22,190,90,110691.0,Freiburg II,2076.0,3. Liga,3.0,ST,18.0,,2023-07-01,2026.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Stocky (185+),No,834000.0,#Strength,,53.0,65.0,53.0,58.0,29.0,76.0,42,66,68,65,67,58,49,37,41,60,52,53,55,64,50,67,77,66,87,62,60,20,66,57,66,56.0,32,22,16,7,5,10,11,14,,65,65,65,59,62,62,62,59,60+2,60+2,60+2,58+2,55+2,55+2,55+2,58+2,44+2,46+2,46+2,46+2,44+2,42+2,44+2,44+2,44+2,42+2,15+2
266446,/player/266446/mika-baur/240002,24.0,2.0,2023-09-22,M. Baur,Mika Baur,"RM, CM",64,71,1100000.0,500.0,18,2004-07-09,172,62,110691.0,Freiburg II,2076.0,3. Liga,3.0,RCM,22.0,,2022-01-15,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1800000.0,,,66.0,56.0,62.0,66.0,43.0,54.0,62,60,49,69,49,68,50,36,60,67,67,65,72,48,76,56,57,54,56,49,50,44,59,63,42,44.0,37,46,40,13,9,10,13,12,,59+2,59+2,59+2,63,62,62,62,63,63+2,63+2,63+2,63+2,60+2,60+2,60+2,63+2,54+2,53+2,53+2,53+2,54+2,52+2,48+2,48+2,48+2,52+2,16+2
251286,/player/251286/fabian-rudlin/240002,24.0,2.0,2023-09-22,F. Rüdlin,Fabian Rüdlin,CDM,64,66,650000.0,1000.0,26,1997-01-13,176,71,110691.0,Freiburg II,2076.0,3. Liga,3.0,CDM,5.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,991000.0,,,72.0,45.0,56.0,64.0,60.0,59.0,31,39,40,65,35,58,56,57,62,64,74,70,82,62,81,61,52,71,52,43,65,61,50,58,38,64.0,62,63,61,7,15,9,14,15,,53+2,53+2,53+2,57,57,57,57,57,59+2,59+2,59+2,58+2,61+2,61+2,61+2,58+2,60+2,63+2,63+2,63+2,60+2,60+2,59+2,59+2,59+2,60+2,18+2
263023,/player/263023/niklas-sauter/240002,24.0,2.0,2023-09-22,N. Sauter,Niklas Sauter,GK,63,72,900000.0,550.0,20,2003-04-06,183,79,110691.0,Freiburg II,2076.0,3. Liga,3.0,GK,40.0,,2021-07-01,2024.0,21,Germany,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,1500000.0,,,,,,,,,13,8,11,23,7,9,12,11,20,13,28,26,32,59,29,44,52,27,59,8,22,10,9,32,14,30.0,9,13,12,67,61,58,58,66,27.0,22+2,22+2,22+2,19,21,21,21,19,21+2,21+2,21+2,20+2,22+2,22+2,22+2,20+2,20+2,21+2,21+2,21+2,20+2,19+2,21+2,21+2,21+2,19+2,62+2
270898,/player/270898/oscar-wiklof/240002,24.0,2.0,2023-09-22,O. Wiklöf,Oscar Wiklöf,CM,63,72,1000000.0,850.0,20,2003-01-29,187,70,110691.0,Freiburg II,2076.0,3. Liga,3.0,SUB,26.0,,2022-07-17,2024.0,17,Finland,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1700000.0,,Anticipate,65.0,56.0,59.0,64.0,52.0,58.0,48,60,53,67,38,65,44,42,66,67,68,63,59,59,62,55,60,59,58,58,57,57,60,61,38,53.0,47,54,48,5,7,14,14,10,,60+2,60+2,60+2,62,62,62,62,62,63+2,63+2,63+2,62+2,63+2,63+2,63+2,62+2,57+2,59+2,59+2,59+2,57+2,56+2,55+2,55+2,55+2,56+2,15+2
243537,/player/243537/maximilian-breunig/240002,24.0,2.0,2023-09-22,M. Breunig,Maximilian Breunig,"ST, CAM",63,71,1100000.0,1000.0,22,2000-08-14,193,80,110691.0,Freiburg II,2076.0,3. Liga,3.0,SUB,29.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,2,1,Medium/Medium,Lean (185+),No,1800000.0,,,65.0,61.0,47.0,63.0,25.0,65.0,41,66,63,59,58,64,42,33,37,64,62,68,64,55,61,64,73,58,75,54,47,19,59,43,45,48.0,19,23,22,13,11,11,8,10,,63+2,63+2,63+2,59,60,60,60,59,58+2,58+2,58+2,57+2,51+2,51+2,51+2,57+2,43+2,41+2,41+2,41+2,43+2,41+2,40+2,40+2,40+2,41+2,15+2
257183,/player/257183/julian-stark/240002,24.0,2.0,2023-09-22,J. Stark,Julian Stark,"CM, CB",63,71,1100000.0,1000.0,22,2001-03-08,183,73,110691.0,Freiburg II,2076.0,3. Liga,3.0,LCM,11.0,,2022-07-01,2024.0,21,Germany,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,1800000.0,,Anticipate,63.0,52.0,61.0,66.0,60.0,66.0,57,52,55,68,45,67,48,44,62,64,64,62,71,63,69,54,66,65,67,51,66,58,62,60,45,57.0,61,64,58,7,7,8,12,14,,59+2,59+2,59+2,62,61,61,61,62,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,62+2,63+2,63+2,63+2,62+2,61+2,62+2,62+2,62+2,61+2,16+2
251317,/player/251317/alexander-lungwitz/240002,24.0,2.0,2023-09-22,A. Lungwitz,Alexander Lungwitz,LB,63,68,700000.0,900.0,22,2000-08-04,175,71,110691.0,Freiburg II,2076.0,3. Liga,3.0,LB,3.0,,2023-07-01,2025.0,21,Germany,,,,Left,2,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,,70.0,38.0,51.0,60.0,59.0,62.0,62,35,46,60,31,57,40,33,42,59,71,69,77,54,80,42,59,70,59,38,62,59,48,37,38,47.0,58,64,62,12,7,13,9,6,,50+2,50+2,50+2,55,52,52,52,55,52+2,52+2,52+2,56+2,52+2,52+2,52+2,56+2,62+2,58+2,58+2,58+2,62+2,61+2,59+2,59+2,59+2,61+2,14+2
211917,/player/211917/sandrino-braun-schumacher/240002,24.0,2.0,2023-09-22,S. Braun-Schumacher,Sandrino Braun-Schumacher,CB,63,63,160000.0,1000.0,34,1988-07-04,178,82,110691.0,Freiburg II,2076.0,3. Liga,3.0,RES,6.0,,2019-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,232000.0,,,43.0,42.0,47.0,54.0,64.0,70.0,38,37,57,58,32,48,29,38,56,55,53,35,63,63,73,57,63,76,68,41,70,64,38,39,50,64.0,64,65,63,9,13,11,8,16,,49+2,49+2,49+2,47,48,48,48,47,49+2,49+2,49+2,49+2,54+2,54+2,54+2,49+2,58+2,62+1,62+1,62+1,58+2,59+2,63,63,63,59+2,17+2
270083,/player/270083/patrick-lienhard/240002,24.0,2.0,2023-09-22,P. Lienhard,Patrick Lienhard,CM,63,63,400000.0,1000.0,31,1992-05-30,167,66,110691.0,Freiburg II,2076.0,3. Liga,3.0,LM,8.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (170-),No,580000.0,,,70.0,52.0,61.0,64.0,62.0,56.0,51,48,48,68,39,59,45,50,63,63,74,66,85,58,90,57,54,67,49,58,60,64,60,65,49,55.0,65,63,60,14,10,10,6,11,,57+2,57+2,57+2,61,60,60,60,61,63,63,63,62+1,63,63,63,62+1,62+1,63,63,63,62+1,62+1,60+2,60+2,60+2,62+1,15+2
