player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
225875,/player/225875/niklas-kreuzer/240002,24.0,2.0,2023-09-22,N. Kreuzer,Niklas Kreuzer,"RB, RW",67,67,875000.0,1000.0,30,1993-02-20,178,76,110482.0,Hallescher FC,2076.0,3. Liga,3.0,SUB,8.0,,2021-07-01,2026.0,21,Germany,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1300000.0,,"Dead Ball, Whipped Cross",78.0,59.0,65.0,65.0,58.0,71.0,73,56,43,64,60,65,68,70,62,61,81,76,79,60,79,65,64,80,64,56,78,58,64,61,61,57.0,60,60,61,10,13,15,16,10,,61+2,61+2,61+2,65,63,63,63,65,63+2,63+2,63+2,66+1,63+2,63+2,63+2,66+1,66+1,63+2,63+2,63+2,66+1,65+2,60+2,60+2,60+2,65+2,18+2
212238,/player/212238/besar-halimi/240002,24.0,2.0,2023-09-22,B. Halimi,Besar Halimi,"CAM, CM",66,66,850000.0,1000.0,28,1994-12-12,169,67,110482.0,Hallescher FC,2076.0,3. Liga,3.0,SUB,23.0,,2023-07-01,2025.0,219,Kosovo,,,,Left,3,3,1,Medium/Medium,Normal (170-),No,1200000.0,,"Technical, Flair",61.0,63.0,65.0,71.0,53.0,53.0,60,62,33,68,65,69,67,66,61,68,74,50,86,61,91,63,43,67,41,65,68,59,64,66,52,61.0,54,56,48,8,8,9,9,9,,60+2,60+2,60+2,66,65,65,65,66,66,66,66,65+1,65+1,65+1,65+1,65+1,60+2,61+2,61+2,61+2,60+2,58+2,53+2,53+2,53+2,58+2,14+2
225735,/player/225735/dominic-baumann/240002,24.0,2.0,2023-09-22,D. Baumann,Dominic Baumann,ST,66,66,875000.0,1000.0,28,1995-04-24,178,82,110482.0,Hallescher FC,2076.0,3. Liga,3.0,ST,28.0,,2023-07-01,2028.0,21,Germany,,,,Right,3,3,1,High/Low,Stocky (170-185),No,1300000.0,,,67.0,65.0,53.0,62.0,29.0,74.0,49,66,63,59,53,60,51,32,48,62,64,69,67,63,78,75,78,61,83,55,66,27,69,55,60,61.0,29,21,23,16,15,8,9,12,,66,66,66,61,63,63,63,61,61+2,61+2,61+2,60+2,55+2,55+2,55+2,60+2,46+2,46+2,46+2,46+2,46+2,44+2,45+2,45+2,45+2,44+2,18+2
251662,/player/251662/aljaz-casar/240002,24.0,2.0,2023-09-22,A. Casar,Aljaž Casar,"CM, CDM, CB",65,74,1600000.0,900.0,22,2000-09-17,190,86,110482.0,Hallescher FC,2076.0,3. Liga,3.0,RES,17.0,,2022-08-31,2024.0,44,Slovenia,,,,Right,3,2,1,High/High,Normal (185+),No,2600000.0,,"Pinged Pass, Intercept, Relentless",59.0,54.0,62.0,63.0,61.0,76.0,53,51,58,66,40,63,64,50,64,68,57,60,58,66,49,65,73,76,82,56,62,66,58,64,38,59.0,62,59,58,7,5,5,7,11,,61+2,61+2,61+2,61,62,62,62,61,63+2,63+2,63+2,62+2,65+2,65+2,65+2,62+2,63+2,65+2,65+2,65+2,63+2,62+2,64+2,64+2,64+2,62+2,14+2
238642,/player/238642/jonas-nietfeld/240002,24.0,2.0,2023-09-22,J. Nietfeld,Jonas Nietfeld,"CB, ST",65,66,650000.0,950.0,29,1994-01-15,186,83,110482.0,Hallescher FC,2076.0,3. Liga,3.0,RCB,33.0,,2019-07-01,2026.0,21,Germany,,,,Right,3,2,1,High/Medium,Lean (185+),No,991000.0,,"Power Header, Block",72.0,62.0,59.0,64.0,64.0,73.0,46,62,65,66,60,64,54,65,60,66,71,73,63,64,60,66,80,82,76,63,51,64,60,61,50,61.0,66,64,61,8,15,12,14,5,,65+1,65+1,65+1,63,64,64,64,63,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,65+1,65+1,65+1,65+1,65+1,65+1,65+1,65+1,65+1,65+1,16+2
256982,/player/256982/nico-hug/240002,24.0,2.0,2023-09-22,N. Hug,Nico Hug,"LB, LW",64,70,875000.0,700.0,24,1998-10-01,170,68,110482.0,Hallescher FC,2076.0,3. Liga,3.0,LB,22.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,2,1,High/Medium,Lean (170-),No,1400000.0,,,73.0,39.0,57.0,66.0,59.0,61.0,61,39,46,60,26,64,52,35,57,65,73,73,82,61,83,45,59,76,56,32,54,62,55,54,33,53.0,63,59,54,12,13,14,14,13,,53+2,53+2,53+2,60,57,57,57,60,59+2,59+2,59+2,62+2,59+2,59+2,59+2,62+2,63+2,61+2,61+2,61+2,63+2,62+2,58+2,58+2,58+2,62+2,18+2
234846,/player/234846/sven-muller/240002,24.0,2.0,2023-09-22,S. Müller,Sven Tobias Müller,GK,64,67,575000.0,700.0,27,1996-02-16,190,82,110482.0,Hallescher FC,2076.0,3. Liga,3.0,GK,1.0,,2023-07-01,2024.0,21,Germany,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,877000.0,,,,,,,,,13,8,12,30,8,12,10,10,31,13,16,27,25,49,27,44,53,20,66,8,26,9,7,41,11,35.0,11,13,10,65,66,58,64,67,20.0,21+2,21+2,21+2,19,21,21,21,19,23+2,23+2,23+2,21+2,24+2,24+2,24+2,21+2,18+2,23+2,23+2,23+2,18+2,18+2,22+2,22+2,22+2,18+2,63+2
234382,/player/234382/niklas-landgraf/240002,24.0,2.0,2023-09-22,N. Landgraf,Niklas Landgraf,"CB, LB, CDM",64,65,600000.0,850.0,27,1996-03-01,178,68,110482.0,Hallescher FC,2076.0,3. Liga,3.0,LCB,31.0,,2017-07-01,2025.0,21,Germany,,,,Left,2,2,1,Medium/Medium,Lean (170-185),No,915000.0,,Jockey,73.0,41.0,54.0,62.0,64.0,69.0,60,29,54,58,31,58,56,49,46,59,75,72,78,63,77,58,68,80,64,51,67,64,50,49,36,62.0,64,67,65,6,13,9,11,13,,53+2,53+2,53+2,57,55,55,55,57,55+2,55+2,55+2,58+2,57+2,57+2,57+2,58+2,65,62+2,62+2,62+2,65,65,64+1,64+1,64+1,65,16+2
212000,/player/212000/erich-berko/240002,24.0,2.0,2023-09-22,E. Berko,Erich Berko,"LW, ST",64,64,600000.0,1000.0,28,1994-09-06,181,79,110482.0,Hallescher FC,2076.0,3. Liga,3.0,RW,41.0,,2023-01-31,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,870000.0,,Quick Step,82.0,60.0,57.0,64.0,41.0,64.0,58,60,52,61,58,64,51,42,50,61,85,80,74,60,74,63,73,70,67,59,48,38,58,60,56,57.0,44,38,31,8,14,10,14,12,,62+2,62+2,62+2,64,63,63,63,64,62+2,62+2,62+2,63+1,58+2,58+2,58+2,63+1,55+2,51+2,51+2,51+2,55+2,53+2,48+2,48+2,48+2,53+2,17+2
228632,/player/228632/marvin-ajani/240002,24.0,2.0,2023-09-22,M. Ajani,Marvin Ajani,"RM, LM, RB",64,64,575000.0,950.0,29,1993-10-04,188,86,110482.0,Hallescher FC,2076.0,3. Liga,3.0,SUB,3.0,,2023-08-17,2024.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (185+),No,834000.0,#Speedster,"Rapid, Quick Step",91.0,54.0,55.0,61.0,53.0,77.0,57,52,56,58,44,60,58,47,50,59,87,94,67,61,64,62,75,81,77,54,71,49,59,54,48,58.0,51,55,54,15,16,9,14,6,,61+2,61+2,61+2,62,61,61,61,62,60+2,60+2,60+2,63+1,58+2,58+2,58+2,63+1,62+2,58+2,58+2,58+2,62+2,61+2,59+2,59+2,59+2,61+2,18+2
