player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
227932,/player/227932/lukas-frode/240002,24.0,2.0,2023-09-22,L. Fröde,Lukas Thomas Fröde,CDM,69,70,1300000.0,5000.0,28,1995-01-23,192,85,111239.0,Ingolstadt,2076.0,3. Liga,3.0,CDM,34.0,,2023-07-01,2027.0,21,Germany,,,,Right,2,2,1,Medium/High,Normal (185+),No,2000000.0,,"Intercept, Bruiser, Aerial",46.0,48.0,58.0,57.0,70.0,81.0,48,44,75,67,39,57,46,42,62,60,49,43,49,66,47,63,79,79,84,47,74,70,43,54,49,62.0,70,70,64,10,10,15,15,8,,56+2,56+2,56+2,53,55,55,55,53,56+2,56+2,56+2,56+2,61+2,61+2,61+2,56+2,63+2,68+2,68+2,68+2,63+2,64+2,71-1,71-1,71-1,64+2,17+2
242383,/player/242383/simon-lorenz/240002,24.0,2.0,2023-09-22,S. Lorenz,Simon Lorenz,CB,68,70,1300000.0,4000.0,26,1997-03-30,187,84,111239.0,Ingolstadt,2076.0,3. Liga,3.0,CB,32.0,,2023-07-05,2024.0,21,Germany,,,,Right,3,2,1,Medium/High,Normal (185+),No,2000000.0,,"Block, Slide Tackle",67.0,38.0,51.0,51.0,68.0,77.0,39,29,67,63,32,45,36,47,57,53,72,62,62,49,64,55,81,74,80,40,74,68,45,42,37,55.0,64,71,67,9,8,13,12,8,,51+2,51+2,51+2,49,49,49,49,49,50+2,50+2,50+2,51+2,54+2,54+2,54+2,51+2,61+2,63+2,63+2,63+2,61+2,63+2,68+2,68+2,68+2,63+2,14+2
257147,/player/257147/ryan-malone/240002,24.0,2.0,2023-09-22,R. Malone,Ryan Patrick Malone,CB,68,68,1000000.0,4000.0,30,1992-08-11,188,87,111239.0,Ingolstadt,2076.0,3. Liga,3.0,LCB,16.0,,2023-07-01,2025.0,95,United States,,,,Right,3,2,1,Medium/High,Stocky (185+),No,1500000.0,#Strength,"Long Throw +, Jockey, Block, Bruiser, Aerial",65.0,31.0,48.0,42.0,67.0,80.0,27,30,71,65,28,34,27,28,64,42,67,64,55,61,55,37,78,69,87,25,75,58,31,37,42,57.0,66,70,70,14,14,10,10,8,,46+2,46+2,46+2,43,44,44,44,43,46+2,46+2,46+2,47+2,51+2,51+2,51+2,47+2,58+2,63+2,63+2,63+2,58+2,61+2,68,68,68,61+2,17+2
232643,/player/232643/leon-guwara/240002,24.0,2.0,2023-09-22,L. Guwara,Leon Guwara,"LWB, LM",67,68,1100000.0,3000.0,27,1996-06-28,184,84,111239.0,Ingolstadt,2076.0,3. Liga,3.0,LWB,6.0,,2023-07-01,2026.0,116,Gambia,,,,Left,2,3,1,Medium/High,Normal (170-185),No,1700000.0,,Slide Tackle,79.0,39.0,57.0,64.0,62.0,72.0,63,34,55,63,31,67,47,35,55,61,80,79,67,62,62,52,78,68,75,32,70,66,55,49,42,59.0,60,64,62,14,11,7,9,13,,55+2,55+2,55+2,60,58,58,58,60,58+2,58+2,58+2,62+2,58+2,58+2,58+2,62+2,65+2,63+2,63+2,63+2,65+2,65+2,65+2,65+2,65+2,65+2,17+2
241967,/player/241967/marcel-costly/240002,24.0,2.0,2023-09-22,M. Costly,Marcel Costly,"RWB, RM",67,68,1100000.0,3000.0,27,1995-11-20,183,76,111239.0,Ingolstadt,2076.0,3. Liga,3.0,RWB,22.0,,2022-07-01,2025.0,21,Germany,,,,Right,3,3,1,High/High,Normal (170-185),No,1700000.0,#Engine,"Whipped Cross, Rapid, Quick Step, Long Throw, Aerial",88.0,52.0,56.0,67.0,55.0,71.0,62,51,48,61,38,67,56,30,48,65,84,92,76,57,73,62,71,90,69,52,52,59,52,56,38,59.0,53,56,57,7,14,7,9,13,,59+2,59+2,59+2,64,62,62,62,64,61+2,61+2,61+2,65+2,60+2,60+2,60+2,65+2,65+2,59+2,59+2,59+2,65+2,64+2,58+2,58+2,58+2,64+2,16+2
198019,/player/198019/pascal-testroet/240002,24.0,2.0,2023-09-22,P. Testroet,Pascal Testroet,ST,67,67,825000.0,4000.0,32,1990-09-26,185,86,111239.0,Ingolstadt,2076.0,3. Liga,3.0,LS,37.0,,2022-07-01,2025.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Stocky (185+),No,1200000.0,,,66.0,68.0,57.0,62.0,39.0,76.0,57,66,67,62,66,60,73,41,41,63,60,70,60,69,74,75,76,71,80,65,70,35,69,58,72,61.0,32,40,33,12,10,15,16,12,,67,67,67,63,65,65,65,63,62+2,62+2,62+2,62+2,58+2,58+2,58+2,62+2,53+2,51+2,51+2,51+2,53+2,51+2,51+2,51+2,51+2,51+2,19+2
211954,/player/211954/tobias-schrock/240002,24.0,2.0,2023-09-22,T. Schröck,Tobias Schröck,"CB, CDM",66,66,700000.0,3000.0,30,1992-12-31,188,84,111239.0,Ingolstadt,2076.0,3. Liga,3.0,SUB,21.0,,2017-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1000000.0,,,64.0,63.0,58.0,59.0,65.0,77.0,57,53,68,63,74,58,51,49,60,60,62,66,57,61,57,76,77,82,78,74,68,62,53,51,47,58.0,65,66,64,16,9,11,10,11,,62+2,62+2,62+2,59,60,60,60,59,59+2,59+2,59+2,60+2,61+2,61+2,61+2,60+2,64+2,64+2,64+2,64+2,64+2,64+2,66,66,66,64+2,17+2
225849,/player/225849/maximilian-dittgen/240002,24.0,2.0,2023-09-22,M. Dittgen,Maximilian Dittgen,"ST, LM",66,66,875000.0,4000.0,28,1995-03-03,182,77,111239.0,Ingolstadt,2076.0,3. Liga,3.0,RES,10.0,,2022-07-01,2025.0,21,Germany,,,,Left,3,3,1,Medium/Medium,Stocky (170-185),No,1300000.0,,,79.0,62.0,57.0,67.0,51.0,74.0,59,68,50,61,51,68,55,43,54,67,87,73,69,67,71,72,78,85,75,40,58,56,68,55,54,49.0,45,54,51,6,16,14,15,14,,66,66,66,66,66,66,66,66,64+2,64+2,64+2,67-1,62+2,62+2,62+2,67-1,63+2,59+2,59+2,59+2,63+2,61+2,57+2,57+2,57+2,61+2,19+2
230607,/player/230607/yannick-deichmann/240002,24.0,2.0,2023-09-22,Y. Deichmann,Yannick Deichmann,"CM, RWB",66,66,850000.0,3000.0,28,1994-08-13,178,79,111239.0,Ingolstadt,2076.0,3. Liga,3.0,SUB,20.0,,2023-07-01,2025.0,21,Germany,,,,Right,4,2,1,High/Medium,Stocky (170-185),No,1200000.0,,Relentless,78.0,61.0,64.0,68.0,60.0,78.0,63,63,56,69,53,66,59,42,66,69,77,78,75,60,79,64,78,88,76,57,70,60,62,62,52,58.0,59,62,58,9,15,13,6,5,,65+1,65+1,65+1,67-1,66,66,66,67-1,66,66,66,68-2,66,66,66,68-2,67-1,66,66,66,67-1,66,64+2,64+2,64+2,66,15+2
244034,/player/244034/david-kopacz/240002,24.0,2.0,2023-09-22,D. Kopacz,David Peter Kopacz,"RM, CAM",65,71,1100000.0,2000.0,24,1999-05-29,180,73,111239.0,Ingolstadt,2076.0,3. Liga,3.0,RCM,29.0,,2022-07-01,2025.0,37,Poland,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1800000.0,,Technical,74.0,58.0,61.0,68.0,39.0,62.0,59,54,47,65,63,67,60,46,59,65,76,73,81,58,79,65,61,82,55,62,54,35,57,61,52,62.0,22,51,50,9,11,12,7,6,,60+2,60+2,60+2,64,63,63,63,64,63+2,63+2,63+2,64+2,61+2,61+2,61+2,64+2,57+2,53+2,53+2,53+2,57+2,55+2,47+2,47+2,47+2,55+2,14+2
