player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
210004,/player/210004/benedikt-saller/240002,24.0,2.0,2023-09-22,B. Saller,Benedikt Saller,RB,67,67,875000.0,2000.0,30,1992-09-22,178,72,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,RB,6.0,,2016-10-08,2024.0,21,Germany,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1300000.0,,Long Ball Pass,78.0,51.0,61.0,64.0,63.0,66.0,63,45,61,65,48,62,50,40,61,62,73,82,74,63,73,59,72,70,65,55,64,63,57,60,46,62.0,62,66,62,14,14,7,10,11,,59+2,59+2,59+2,62,61,61,61,62,62+2,62+2,62+2,63+2,62+2,62+2,62+2,63+2,65+2,64+2,64+2,64+2,65+2,65+2,64+2,64+2,64+2,65+2,18+2
213644,/player/213644/andreas-geipl/240002,24.0,2.0,2023-09-22,A. Geipl,Andreas Geipl,"CDM, CM",67,67,725000.0,2000.0,31,1992-04-21,178,73,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,RDM,8.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/High,Lean (170-185),No,1100000.0,,"Long Ball Pass, Slide Tackle",62.0,53.0,59.0,61.0,68.0,72.0,60,44,60,64,47,57,45,57,60,59,71,54,73,66,78,72,72,77,65,56,81,67,44,52,59,62.0,70,70,69,12,14,8,12,8,,57+2,57+2,57+2,57,57,57,57,57,57+2,57+2,57+2,59+2,60+2,60+2,60+2,59+2,66+1,66+1,66+1,66+1,66+1,66+1,68-1,68-1,68-1,66+1,17+2
259718,/player/259718/felix-gebhardt/240002,24.0,2.0,2023-09-22,F. Gebhardt,Felix Karl-Ernst Gebhardt,GK,66,75,1700000.0,900.0,21,2002-03-01,189,83,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,GK,1.0,,2023-07-01,2026.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2800000.0,,,,,,,,,18,14,13,35,15,16,17,16,30,26,45,46,36,58,50,47,64,40,70,14,27,23,15,26,20,36.0,14,20,13,65,63,62,66,71,45.0,29+2,29+2,29+2,27,28,28,28,27,28+2,28+2,28+2,29+2,29+2,29+2,29+2,29+2,28+2,30+2,30+2,30+2,28+2,28+2,28+2,28+2,28+2,28+2,65+2
263061,/player/263061/konrad-faber/240002,24.0,2.0,2023-09-22,K. Faber,Konrad Faber,"RB, RM",66,68,975000.0,2000.0,25,1997-11-04,179,69,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,RM,11.0,,2021-07-01,2024.0,21,Germany,,,,Right,2,2,1,High/Medium,Normal (170-185),No,1500000.0,,"Slide Tackle, Quick Step",82.0,57.0,61.0,69.0,59.0,60.0,64,61,49,67,54,69,50,40,57,68,74,88,73,65,76,60,63,66,61,49,48,52,50,56,55,61.0,61,64,61,6,5,13,14,15,,62+2,62+2,62+2,65,63,63,63,65,64+2,64+2,64+2,66+2,62+2,62+2,62+2,66+2,65+2,61+2,61+2,61+2,65+2,64+2,60+2,60+2,60+2,64+2,16+2
216284,/player/216284/florian-ballas/240002,24.0,2.0,2023-09-22,F. Ballas,Florian Ballas,CB,66,66,700000.0,2000.0,30,1993-01-08,196,96,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,RCB,4.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Low/Medium,Normal (185+),No,1000000.0,#Strength,Bruiser,55.0,41.0,43.0,38.0,64.0,76.0,31,28,74,51,29,31,27,27,40,44,34,72,32,59,30,66,70,46,94,51,68,60,28,51,33,60.0,64,65,60,13,15,7,10,8,,48+2,48+2,48+2,41,44,44,44,41,43+2,43+2,43+2,42+2,47+2,47+2,47+2,42+2,52+2,57+2,57+2,57+2,52+2,55+2,66,66,66,55+2,17+2
256634,/player/256634/christian-viet/240002,24.0,2.0,2023-09-22,C. Viet,Christian Viet,"RM, CM, CAM",65,69,1000000.0,1000.0,24,1999-03-27,181,75,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,CAM,10.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1500000.0,,"Jockey, Block, Intercept, Anticipate, Technical, Flair",71.0,41.0,62.0,67.0,59.0,67.0,62,40,60,64,41,66,51,58,64,64,75,68,81,64,74,35,72,79,62,44,65,55,56,60,41,62.0,60,60,61,13,6,15,10,10,,55+2,55+2,55+2,62,59,59,59,62,61+2,61+2,61+2,64+2,62+2,62+2,62+2,64+2,64+2,62+2,62+2,62+2,64+2,63+2,61+2,61+2,61+2,63+2,16+2
188872,/player/188872/alexander-bittroff/240002,24.0,2.0,2023-09-22,A. Bittroff,Alexander Bittroff,CB,65,65,230000.0,2000.0,34,1988-09-19,186,81,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,SUB,13.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,334000.0,,"Long Ball Pass, Long Throw",64.0,45.0,59.0,61.0,63.0,70.0,58,34,60,67,45,60,51,45,64,63,60,67,63,61,60,64,68,67,70,51,74,61,46,50,47,64.0,62,66,64,15,15,12,7,9,,55+2,55+2,55+2,57,56,56,56,57,57+2,57+2,57+2,59+2,60+2,60+2,60+2,59+2,63+2,64+1,64+1,64+1,63+2,63+2,65,65,65,63+2,17+2
248575,/player/248575/dominik-kother/240002,24.0,2.0,2023-09-22,D. Kother,Dominik Kother,"LM, RM",64,71,1200000.0,1000.0,23,2000-03-16,180,72,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,LM,27.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,2000000.0,,"Rapid, Flair, Quick Step",81.0,60.0,52.0,69.0,21.0,48.0,60,64,46,57,54,69,45,37,42,68,82,80,83,57,68,58,58,58,48,59,33,19,58,49,49,53.0,21,16,18,9,9,11,10,8,,61+2,61+2,61+2,65,63,63,63,65,62+2,62+2,62+2,63+2,53+2,53+2,53+2,63+2,47+2,39+2,39+2,39+2,47+2,43+2,33+2,33+2,33+2,43+2,14+2
234861,/player/234861/robin-ziegele/240002,24.0,2.0,2023-09-22,R. Ziegele,Robin Ziegele,CB,64,67,675000.0,1000.0,26,1997-03-13,183,82,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,SUB,14.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1000000.0,,"Block, Anticipate",66.0,28.0,38.0,48.0,63.0,75.0,26,24,60,48,27,40,30,34,45,49,54,75,64,56,65,36,73,67,81,29,71,64,25,32,39,55.0,61,64,65,8,9,5,14,7,,43+2,43+2,43+2,42,41,41,41,42,42+2,42+2,42+2,44+2,46+2,46+2,46+2,44+2,56+2,58+2,58+2,58+2,56+2,58+2,64+2,64+2,64+2,58+2,14+2
257051,/player/257051/oscar-schonfelder/240002,24.0,2.0,2023-09-22,O. Schönfelder,Oscar Schönfelder,"LM, RM, LB",63,72,1100000.0,1000.0,22,2001-02-05,182,74,543.0,Jahn Regensburg,2076.0,3. Liga,3.0,SUB,7.0,,2023-07-01,2025.0,21,Germany,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,1800000.0,,,75.0,57.0,57.0,66.0,47.0,54.0,59,60,43,61,58,65,58,41,54,67,76,74,70,58,73,61,58,50,57,49,51,48,56,53,54,55.0,40,53,52,13,8,10,13,6,,60+2,60+2,60+2,63,61,61,61,63,61+2,61+2,61+2,62+2,57+2,57+2,57+2,62+2,57+2,54+2,54+2,54+2,57+2,56+2,51+2,51+2,51+2,56+2,15+2
