player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
189272,/player/189272/alexander-esswein/240002,24.0,2.0,2023-09-22,A. Esswein,Alexander Esswein,"ST, RM, LM",68,68,775000.0,2000.0,33,1990-03-25,182,85,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,SUB,40.0,,2023-08-15,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1100000.0,,Power Shot,70.0,68.0,62.0,67.0,53.0,75.0,66,66,64,64,68,68,67,54,56,67,73,67,67,68,63,79,79,73,76,65,72,48,67,58,61,64.0,49,59,48,7,16,10,12,11,,68,68,68,67,67,67,67,67,65+2,65+2,65+2,66+2,63+2,63+2,63+2,66+2,61+2,60+2,60+2,60+2,61+2,60+2,60+2,60+2,60+2,60+2,18+2
251330,/player/251330/vincent-muller/240002,24.0,2.0,2023-09-22,V. Müller,Vincent Carsten Maria Müller,GK,67,75,2000000.0,1000.0,22,2000-08-23,190,91,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,GK,1.0,,2022-07-01,2024.0,21,Germany,,,,Right,2,1,1,Medium/Medium,Stocky (185+),No,3300000.0,,,,,,,,,17,8,18,21,9,9,14,15,18,15,27,33,32,59,26,50,59,23,69,10,23,11,9,32,14,34.0,9,11,16,67,65,67,67,68,29.0,24+2,24+2,24+2,20,22,22,22,20,21+2,21+2,21+2,21+2,21+2,21+2,21+2,21+2,20+2,21+2,21+2,21+2,20+2,20+2,24+2,24+2,24+2,20+2,66+2
238559,/player/238559/sebastian-mai/240002,24.0,2.0,2023-09-22,S. Mai,Sebastian Mai,"CB, ST",66,67,800000.0,1000.0,29,1993-12-10,195,91,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,RCB,26.0,,2022-07-01,2024.0,21,Germany,,,,Right,2,2,1,Medium/Medium,Stocky (185+),No,1200000.0,#Strength,"Long Ball Pass, Block, Bruiser, Aerial",42.0,57.0,44.0,48.0,63.0,83.0,31,55,70,52,44,49,22,30,56,51,33,50,33,60,31,74,65,62,94,48,86,59,60,45,55,65.0,60,65,62,12,13,6,9,14,,59+2,59+2,59+2,48,53,53,53,48,51+2,51+2,51+2,49+2,54+2,54+2,54+2,49+2,54+2,60+2,60+2,60+2,54+2,55+2,66+1,66+1,66+1,55+2,17+2
210237,/player/210237/thomas-pledl/240002,24.0,2.0,2023-09-22,T. Pledl,Thomas Pledl,"RM, LM",66,66,850000.0,1000.0,29,1994-05-23,174,72,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,RM,10.0,,2023-07-01,2025.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,1200000.0,#Acrobat,,75.0,55.0,62.0,71.0,49.0,58.0,63,56,48,62,50,69,70,69,51,68,77,74,90,63,83,64,59,69,51,44,59,50,59,66,60,58.0,45,50,52,12,14,8,8,9,,60+2,60+2,60+2,65,64,64,64,65,64+2,64+2,64+2,65+1,61+2,61+2,61+2,65+1,60+2,56+2,56+2,56+2,60+2,59+2,53+2,53+2,53+2,59+2,16+2
266422,/player/266422/caspar-jander/240002,24.0,2.0,2023-09-22,C. Jander,Caspar Jander,CM,65,76,1600000.0,900.0,20,2003-03-23,183,75,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,LDM,18.0,,2022-01-14,2024.0,21,Germany,,,,Right,4,3,1,High/High,Normal (170-185),No,2600000.0,,"Technical, First Touch",76.0,47.0,64.0,69.0,61.0,65.0,59,46,48,69,40,69,51,48,64,69,75,76,74,67,79,49,63,71,61,45,67,61,59,67,54,60.0,66,60,57,9,8,14,10,6,,58+2,58+2,58+2,65,63,63,63,65,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,64+2,15+2
203979,/player/203979/marvin-bakalorz/240002,24.0,2.0,2023-09-22,M. Bakalorz,Marvin Bakalorz,CDM,65,65,350000.0,1000.0,33,1989-09-13,180,79,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,RDM,6.0,,2021-07-01,2024.0,21,Germany,,,,Right,4,2,1,Medium/Medium,Stocky (170-185),No,508000.0,,"Intercept, Slide Tackle, Bruiser",56.0,61.0,57.0,59.0,63.0,75.0,45,57,68,65,60,57,42,52,60,59,60,53,64,58,70,72,73,71,73,61,84,64,60,60,62,61.0,64,61,62,15,15,7,12,15,,62+2,62+2,62+2,58,60,60,60,58,60+2,60+2,60+2,58+2,61+2,61+2,61+2,58+2,60+2,64+1,64+1,64+1,60+2,61+2,66-1,66-1,66-1,61+2,19+2
229271,/player/229271/pascal-kopke/240002,24.0,2.0,2023-09-22,P. Köpke,Pascal Köpke,ST,65,65,775000.0,1000.0,27,1995-09-03,176,75,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,SUB,14.0,,2023-07-03,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1100000.0,,,71.0,65.0,58.0,66.0,30.0,62.0,64,65,64,62,62,64,59,46,48,66,76,67,75,63,79,69,75,66,64,61,47,23,66,53,60,59.0,37,21,18,8,6,11,8,8,,65,65,65,65,64,64,64,65,63+2,63+2,63+2,64+1,56+2,56+2,56+2,64+1,49+2,45+2,45+2,45+2,49+2,47+2,42+2,42+2,42+2,47+2,14+2
252263,/player/252263/niklas-kolle/240002,24.0,2.0,2023-09-22,N. Kölle,Niklas Kölle,"LB, LM",64,72,1200000.0,850.0,23,1999-11-17,181,77,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,LM,11.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,2,1,High/Medium,Normal (170-185),No,2000000.0,,Rapid,78.0,46.0,54.0,61.0,59.0,67.0,60,50,47,60,38,59,41,34,48,60,79,78,70,60,75,42,67,71,66,41,63,60,59,50,41,57.0,61,60,58,15,15,9,13,7,,56+2,56+2,56+2,60,58,58,58,60,58+2,58+2,58+2,61+2,57+2,57+2,57+2,61+2,63+2,59+2,59+2,59+2,63+2,62+2,60+2,60+2,60+2,62+2,18+2
252857,/player/252857/marvin-senger/240002,24.0,2.0,2023-09-22,M. Senger,Marvin Senger,CB,64,71,1100000.0,850.0,23,2000-01-06,193,86,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,LCB,4.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,2,1,Low/Medium,Lean (185+),No,1800000.0,,Block,71.0,29.0,44.0,45.0,63.0,73.0,47,23,65,54,25,39,35,19,40,51,66,75,46,59,52,42,71,63,84,31,56,61,30,33,22,48.0,61,66,64,14,7,13,5,14,,46+2,46+2,46+2,45,44,44,44,45,44+2,44+2,44+2,48+2,47+2,47+2,47+2,48+2,59+2,57+2,57+2,57+2,59+2,61+2,64+2,64+2,64+2,61+2,16+2
242328,/player/242328/niclas-stierlin/240002,24.0,2.0,2023-09-22,N. Stierlin,Niclas Stierlin,CDM,64,69,800000.0,850.0,23,2000-01-22,182,80,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,SUB,23.0,,2021-07-01,2024.0,21,Germany,,,,Right,3,2,1,Low/High,Normal (170-185),No,1200000.0,,Aerial,68.0,54.0,54.0,59.0,64.0,73.0,50,52,62,60,41,55,36,39,53,61,69,68,64,61,67,63,75,72,75,62,68,62,42,55,37,58.0,63,68,64,10,8,9,11,6,,58+2,58+2,58+2,57,57,57,57,57,57+2,57+2,57+2,58+2,58+2,58+2,58+2,58+2,62+2,63+2,63+2,63+2,62+2,63+2,65+2,65+2,65+2,63+2,15+2
234407,/player/234407/joshua-bitter/240002,24.0,2.0,2023-09-22,J. Bitter,Joshua Bitter,RB,64,67,700000.0,1000.0,26,1997-01-01,185,83,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,RB,29.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Stocky (185+),No,1100000.0,,Long Throw,65.0,32.0,52.0,52.0,61.0,75.0,58,22,62,62,36,48,38,35,53,54,66,65,57,60,62,50,79,71,83,33,60,60,40,37,42,45.0,61,63,60,7,7,15,6,10,,49+2,49+2,49+2,50,48,48,48,50,49+2,49+2,49+2,53+2,53+2,53+2,53+2,53+2,61+2,60+2,60+2,60+2,61+2,62+2,64+2,64+2,64+2,62+2,14+2
183819,/player/183819/rolf-feltscher/240002,24.0,2.0,2023-09-22,R. Feltscher,Rolf Günther Feltscher Martínez,RB,64,64,400000.0,1000.0,32,1990-10-06,184,85,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,SUB,21.0,,2021-07-01,2024.0,61,Venezuela,,,,Right,3,2,1,High/Medium,Stocky (170-185),No,580000.0,,"Slide Tackle, Bruiser",59.0,46.0,59.0,60.0,61.0,80.0,57,35,59,64,49,60,64,49,58,61,57,61,61,61,62,60,74,74,84,56,78,64,55,54,39,56.0,59,61,60,10,14,12,16,7,,56+2,56+2,56+2,57,56,56,56,57,57+2,57+2,57+2,58+2,60+2,60+2,60+2,58+2,62+2,64,64,64,62+2,62+2,65-1,65-1,65-1,62+2,17+2
208589,/player/208589/kolja-pusch/240002,24.0,2.0,2023-09-22,K. Pusch,Kolja Pusch,CAM,64,64,575000.0,1000.0,30,1993-02-12,181,76,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,CAM,7.0,,2021-07-01,2024.0,21,Germany,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,834000.0,,Technical,66.0,65.0,62.0,66.0,54.0,66.0,59,61,55,64,69,64,66,65,62,66,67,66,74,65,71,70,66,76,66,70,54,58,59,61,62,62.0,52,56,48,10,7,14,7,11,,63+1,63+1,63+1,64,64,64,64,64,64,64,64,64,64,64,64,64,61+2,61+2,61+2,61+2,61+2,60+2,57+2,57+2,57+2,60+2,15+2
238938,/player/238938/benjamin-girth/240002,24.0,2.0,2023-09-22,B. Girth,Benjamin Girth,ST,64,64,500000.0,1000.0,31,1992-01-31,181,83,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,ST,31.0,,2022-08-24,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Stocky (170-185),No,725000.0,,Power Header,55.0,64.0,45.0,63.0,23.0,55.0,34,67,64,57,66,63,42,33,34,64,67,45,65,59,66,65,74,39,72,55,27,19,68,49,63,63.0,18,19,17,8,15,12,9,10,,64,64,64,59,61,61,61,59,59+2,59+2,59+2,56+2,50+2,50+2,50+2,56+2,38+2,38+2,38+2,38+2,38+2,37+2,37+2,37+2,37+2,37+2,16+2
244140,/player/244140/alaa-bakir/240002,24.0,2.0,2023-09-22,A. Bakir,Alaa Hamad Bakir,"CAM, LM",63,71,1100000.0,850.0,22,2001-01-15,179,71,1825.0,MSV Duisburg,2076.0,3. Liga,3.0,SUB,9.0,,2021-07-01,2024.0,21,Germany,,,,Right,3,3,1,Medium/Low,Lean (170-185),No,1800000.0,,"Technical, Flair",73.0,55.0,61.0,69.0,31.0,58.0,62,55,43,65,57,69,58,44,58,67,74,72,82,61,81,57,55,70,55,54,50,30,54,59,49,52.0,34,26,24,7,12,9,11,6,,59+2,59+2,59+2,64,62,62,62,64,63+2,63+2,63+2,64+2,59+2,59+2,59+2,64+2,52+2,49+2,49+2,49+2,52+2,48+2,41+2,41+2,41+2,48+2,15+2
