player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
236467,/player/236467/felix-gotze/240002,24.0,2.0,2023-09-22,F. Götze,Felix Götze,"CM, CAM, CB",66,68,1100000.0,2000.0,25,1998-02-11,185,80,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,SUB,24.0,,2023-05-21,2024.0,21,Germany,,,,Right,2,3,1,Medium/Medium,Normal (185+),No,1700000.0,,Press Proven,65.0,50.0,62.0,66.0,65.0,68.0,45,52,66,68,39,64,59,52,68,68,65,65,68,70,63,55,74,67,72,48,60,66,56,67,33,66.0,64,66,64,13,13,11,12,7,,61+2,61+2,61+2,62,62,62,62,62,64+2,64+2,64+2,63+2,66+2,66+2,66+2,63+2,64+2,67+1,67+1,67+1,64+2,64+2,66+2,66+2,66+2,64+2,18+2
239661,/player/239661/isaiah-young/240002,24.0,2.0,2023-09-22,I. Young,Isaiah Ahmad Young,"LM, RM, ST",66,68,1100000.0,2000.0,25,1998-03-30,181,68,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,RM,30.0,,2020-10-05,2024.0,95,United States,,,,Right,3,3,1,Medium/Low,Lean (170-185),No,1700000.0,,"Technical, Quick Step",84.0,58.0,59.0,67.0,31.0,65.0,62,58,53,60,55,67,59,37,58,64,85,84,78,62,74,66,72,72,61,54,62,42,57,61,50,56.0,23,28,23,13,11,9,7,5,,62+2,62+2,62+2,65,64,64,64,65,63+2,63+2,63+2,65+2,59+2,59+2,59+2,65+2,53+2,50+2,50+2,50+2,53+2,50+2,44+2,44+2,44+2,50+2,15+2
262902,/player/262902/vinko-sapina/240002,24.0,2.0,2023-09-22,V. Sapina,Vinko Sapina,"CM, CDM",66,66,850000.0,2000.0,28,1995-06-29,194,84,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,RDM,27.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/High,Normal (185+),No,1200000.0,,"Slide Tackle, Relentless",54.0,45.0,59.0,63.0,63.0,80.0,45,41,60,69,32,63,31,39,65,67,54,54,54,66,55,55,74,87,85,42,61,64,58,65,55,55.0,57,69,60,13,12,5,12,12,,57+2,57+2,57+2,58,59,59,59,58,61+2,61+2,61+2,61+2,66,66,66,61+2,63+2,67-1,67-1,67-1,63+2,63+2,66,66,66,63+2,18+2
269269,/player/269269/jakob-golz/240002,24.0,2.0,2023-09-22,J. Golz,Jakob Golz,GK,65,69,800000.0,1000.0,24,1998-08-16,187,80,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,GK,1.0,,2019-07-01,2025.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1200000.0,,,,,,,,,11,9,11,23,9,14,10,11,28,16,19,18,31,62,39,43,52,17,60,8,26,13,6,22,11,36.0,9,10,13,65,62,57,64,68,19.0,22+2,22+2,22+2,18,20,20,20,18,20+2,20+2,20+2,19+2,22+2,22+2,22+2,19+2,18+2,22+2,22+2,22+2,18+2,18+2,22+2,22+2,22+2,18+2,64+2
170159,/player/170159/felix-bastians/240002,24.0,2.0,2023-09-22,F. Bastians,Felix Bastians,"LB, CB",65,65,220000.0,1000.0,35,1988-05-09,188,84,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,LCB,4.0,,2021-09-03,2024.0,21,Germany,,,,Left,3,3,1,Medium/High,Normal (185+),No,319000.0,,Aerial,56.0,55.0,60.0,56.0,68.0,71.0,58,45,66,62,65,53,67,60,61,54,57,56,61,64,64,70,74,64,77,58,65,68,58,58,65,68.0,70,67,62,6,8,14,11,12,,59+2,59+2,59+2,56,57,57,57,56,57+2,57+2,57+2,57+2,60+2,60+2,60+2,57+2,62+2,64+1,64+1,64+1,62+2,63+2,67-2,67-2,67-2,63+2,16+2
204388,/player/204388/andreas-wiegel/240002,24.0,2.0,2023-09-22,A. Wiegel,Andreas Wiegel,"RB, RM",65,65,525000.0,2000.0,31,1991-07-21,179,70,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,RB,7.0,,2022-08-30,2025.0,21,Germany,,,,Right,3,3,1,High/High,Lean (170-185),No,761000.0,,Slide Tackle,75.0,60.0,59.0,64.0,60.0,68.0,60,60,56,60,55,63,55,48,57,63,73,77,70,63,70,66,70,73,64,57,69,63,62,59,58,63.0,57,61,60,12,14,8,14,14,,63+2,63+2,63+2,63,63,63,63,63,62+2,62+2,62+2,64+1,61+2,61+2,61+2,64+1,64+1,62+2,62+2,62+2,64+1,63+2,62+2,62+2,62+2,63+2,19+2
261334,/player/261334/ron-berlinski/240002,24.0,2.0,2023-09-22,R. Berlinski,Ron Berlinski,"ST, RM",65,65,725000.0,2000.0,28,1994-08-08,182,76,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,SUB,9.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,3,1,High/High,Lean (170-185),No,1100000.0,,Quick Step,83.0,64.0,56.0,64.0,32.0,67.0,60,67,56,60,58,64,57,42,49,63,85,81,71,62,69,67,76,73,66,56,58,32,66,53,65,61.0,28,30,28,8,6,6,6,8,,65,65,65,65,65,65,65,65,62+2,62+2,62+2,65,57+2,57+2,57+2,65,53+2,48+2,48+2,48+2,53+2,50+2,45+2,45+2,45+2,50+2,13+2
269315,/player/269315/jose-enrique-rios-alonso/240002,24.0,2.0,2023-09-22,J. Ríos Alonso,José-Enrique Ríos Alonso,CB,64,71,1100000.0,1000.0,22,2000-08-13,182,77,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,RCB,23.0,,2021-07-01,2024.0,21,Germany,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,1800000.0,,Intercept,70.0,36.0,51.0,54.0,63.0,68.0,52,31,64,60,33,47,38,27,54,58,68,72,63,63,59,49,71,68,69,37,64,65,39,40,34,54.0,60,65,64,12,10,13,6,8,,51+2,51+2,51+2,52,50,50,50,52,51+2,51+2,51+2,54+2,54+2,54+2,54+2,54+2,62+2,61+2,61+2,61+2,62+2,63+2,64+2,64+2,64+2,63+2,15+2
260716,/player/260716/moussa-doumbouya/240002,24.0,2.0,2023-09-22,M. Doumbouya,Moussa Doumbouya,ST,64,69,875000.0,2000.0,25,1998-01-01,188,79,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,ST,29.0,,2023-07-01,2025.0,118,Guinea,,,,Right,3,2,1,Medium/Low,Normal (185+),No,1300000.0,,Rapid,74.0,63.0,47.0,64.0,19.0,62.0,30,67,56,60,55,65,44,30,40,64,76,73,69,60,66,63,74,64,70,55,35,11,64,53,58,47.0,17,13,20,14,6,12,6,8,,64+2,64+2,64+2,61,63,63,63,61,61+2,61+2,61+2,60+2,53+2,53+2,53+2,60+2,42+2,39+2,39+2,39+2,42+2,39+2,35+2,35+2,35+2,39+2,14+2
238784,/player/238784/bjorn-rother/240002,24.0,2.0,2023-09-22,B. Rother,Björn Rother,CDM,64,66,650000.0,1000.0,26,1996-07-29,184,81,526.0,Rot-Weiss Essen,2076.0,3. Liga,3.0,SUB,6.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,991000.0,,,59.0,48.0,53.0,54.0,63.0,73.0,36,52,60,62,36,50,39,31,62,54,63,55,65,63,64,54,75,72,78,39,63,62,51,57,37,55.0,63,66,61,5,8,12,14,15,,55+2,55+2,55+2,53,55,55,55,53,56+2,56+2,56+2,55+2,58+2,58+2,58+2,55+2,59+2,63+2,63+2,63+2,59+2,60+2,64+2,64+2,64+2,60+2,16+2
