player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
224424,/player/224424/richard-neudecker/240002,24.0,2.0,2023-09-22,R. Neudecker,Richard Neudecker,CM,68,69,1400000.0,4000.0,26,1996-10-29,174,72,523.0,Saarbrücken,2076.0,3. Liga,3.0,RCM,31.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,3,1,High/Low,Normal (170-185),No,2100000.0,,"Dead Ball, Tiki Taka, Whipped Cross, Flair, First Touch, Press Proven",75.0,60.0,69.0,72.0,51.0,68.0,66,56,38,71,61,69,68,73,67,70,77,73,88,68,86,68,61,85,64,62,59,61,66,69,39,71.0,46,52,56,9,14,11,15,13,,63+2,63+2,63+2,69,67,67,67,69,69,69,69,69,68+1,68+1,68+1,69,66+2,63+2,63+2,63+2,66+2,63+2,56+2,56+2,56+2,63+2,19+2
237490,/player/237490/patrick-sontheimer/240002,24.0,2.0,2023-09-22,P. Sontheimer,Patrick Sontheimer,"CM, CDM",67,71,1500000.0,3000.0,24,1998-07-03,168,68,523.0,Saarbrücken,2076.0,3. Liga,3.0,CDM,6.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,3,1,High/High,Lean (170-),No,2300000.0,#Engine,"Pinged Pass, Press Proven, Relentless",64.0,51.0,64.0,71.0,61.0,63.0,59,52,37,68,47,68,60,40,65,69,67,62,83,67,91,56,44,91,45,45,78,64,61,66,49,66.0,64,63,63,6,14,6,8,12,,57+2,57+2,57+2,64,63,63,63,64,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,67+2,67+2,67+2,67+2,67+2,65+2,60+2,60+2,60+2,65+2,16+2
199479,/player/199479/bone-uaferro/240002,24.0,2.0,2023-09-22,B. Uaferro,Boné Uaferro,CB,67,67,700000.0,3000.0,31,1992-01-04,191,88,523.0,Saarbrücken,2076.0,3. Liga,3.0,LCB,14.0,,2019-07-01,2024.0,21,Germany,,,,Right,4,2,1,Low/Medium,Normal (185+),No,1000000.0,,"Block, Intercept, Aerial",44.0,37.0,54.0,55.0,66.0,69.0,39,30,71,62,29,55,45,43,60,57,38,49,43,62,52,52,75,37,85,39,68,64,29,55,42,62.0,65,67,62,10,16,9,15,7,,49+2,49+2,49+2,48,49,49,49,48,51+2,51+2,51+2,49+2,55+2,55+2,55+2,49+2,55+2,62+2,62+2,62+2,55+2,57+2,67,67,67,57+2,17+2
203754,/player/203754/manuel-zeitz/240002,24.0,2.0,2023-09-22,M. Zeitz,Manuel Zeitz,"CB, CDM",67,67,650000.0,3000.0,32,1990-08-01,181,78,523.0,Saarbrücken,2076.0,3. Liga,3.0,CB,8.0,,2016-07-01,2025.0,21,Germany,,,,Right,3,2,1,Low/Medium,Normal (170-185),No,943000.0,,Power Header,53.0,54.0,57.0,59.0,66.0,75.0,49,47,65,63,56,57,51,43,63,60,55,52,51,66,66,66,78,83,72,59,71,66,48,55,56,64.0,68,65,66,9,9,15,7,13,,58+2,58+2,58+2,55,57,57,57,55,57+2,57+2,57+2,58+2,61+2,61+2,61+2,58+2,63+2,66+1,66+1,66+1,63+2,64+2,67,67,67,64+2,16+2
205096,/player/205096/bjarne-thoelke/240002,24.0,2.0,2023-09-22,B. Thoelke,Bjarne Thoelke,CB,67,67,700000.0,3000.0,31,1992-04-11,191,84,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,16.0,,2022-01-28,2025.0,21,Germany,,,,Right,3,2,1,Low/Medium,Normal (185+),No,1000000.0,,"Jockey, Aerial",34.0,34.0,47.0,53.0,68.0,65.0,37,24,66,60,34,52,28,29,55,55,34,34,38,67,41,57,68,34,81,29,65,68,38,39,43,70.0,70,68,65,8,16,14,8,15,,48+2,48+2,48+2,44,46,46,46,44,47+2,47+2,47+2,46+2,52+2,52+2,52+2,46+2,55+2,61+2,61+2,61+2,55+2,57+2,67,67,67,57+2,18+2
234279,/player/234279/calogero-rizzuto/240002,24.0,2.0,2023-09-22,C. Rizzuto,Calogero Rizzuto,"LWB, RWB",67,67,750000.0,3000.0,31,1992-01-05,170,73,523.0,Saarbrücken,2076.0,3. Liga,3.0,RWB,27.0,,2022-09-28,2024.0,21,Germany,,,,Right,3,3,1,Medium/High,Stocky (170-),No,1100000.0,,Flair,75.0,52.0,60.0,67.0,58.0,72.0,65,44,40,61,54,65,64,51,58,64,81,70,82,65,87,66,64,81,67,50,75,58,61,58,63,59.0,59,62,64,14,11,6,15,7,,58+2,58+2,58+2,63,61,61,61,63,62+2,62+2,62+2,64+2,62+2,62+2,62+2,64+2,65+2,63+2,63+2,63+2,65+2,64+2,61+2,61+2,61+2,64+2,17+2
256282,/player/256282/kasim-rabihic/240002,24.0,2.0,2023-09-22,K. Rabihic,Kasim Rabihic,CF,67,67,1000000.0,3000.0,30,1993-02-24,179,69,523.0,Saarbrücken,2076.0,3. Liga,3.0,LS,10.0,,2022-07-01,2024.0,21,Germany,,,,Right,5,3,1,Medium/Low,Normal (170-185),No,1500000.0,,"Technical, Flair, Trivela",77.0,64.0,63.0,71.0,29.0,59.0,62,66,43,64,50,71,56,58,62,67,80,74,81,66,82,62,60,71,59,65,45,28,64,67,61,63.0,26,28,24,11,6,12,12,9,,64+2,64+2,64+2,68-1,67,67,67,68-1,67,67,67,68-1,62+2,62+2,62+2,68-1,52+2,49+2,49+2,49+2,52+2,48+2,40+2,40+2,40+2,48+2,16+2
260369,/player/260369/luca-kerber/240002,24.0,2.0,2023-09-22,L. Kerber,Luca Kerber,"CM, CDM",66,74,1900000.0,2000.0,21,2002-03-10,180,77,523.0,Saarbrücken,2076.0,3. Liga,3.0,LCM,33.0,,2021-01-09,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,3100000.0,,Press Proven,69.0,53.0,63.0,67.0,60.0,67.0,53,55,44,68,43,64,59,40,66,67,67,71,77,67,78,61,56,81,62,45,65,60,58,67,43,66.0,61,64,62,13,13,9,9,11,,59+2,59+2,59+2,63,63,63,63,63,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,65+2,65+2,65+2,65+2,65+2,64+2,61+2,61+2,61+2,64+2,17+2
191252,/player/191252/marcel-gaus/240002,24.0,2.0,2023-09-22,M. Gaus,Marcel Gaus,LWB,66,66,450000.0,2000.0,33,1989-08-02,182,80,523.0,Saarbrücken,2076.0,3. Liga,3.0,LWB,28.0,,2023-01-30,2024.0,21,Germany,,,,Left,4,3,1,Medium/Medium,Normal (170-185),No,653000.0,,"Slide Tackle, Long Throw",70.0,60.0,63.0,63.0,59.0,76.0,66,59,59,64,51,59,59,61,61,65,73,68,66,62,68,67,77,79,77,60,69,60,55,60,57,68.0,56,61,60,6,6,16,10,12,,62+2,62+2,62+2,63,62,62,62,63,62+2,62+2,62+2,64+2,62+2,62+2,62+2,64+2,64+2,63+2,63+2,63+2,64+2,64+2,63+2,63+2,63+2,64+2,15+2
223899,/player/223899/sebastian-jacob/240002,24.0,2.0,2023-09-22,S. Jacob,Sebastian Jacob,"ST, CAM",66,66,850000.0,3000.0,30,1993-06-26,183,80,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,24.0,,2018-01-30,2024.0,21,Germany,,,,Right,3,2,1,High/Medium,Normal (170-185),No,1200000.0,,,72.0,64.0,55.0,67.0,29.0,67.0,40,66,66,63,60,66,54,37,49,68,70,74,70,63,70,64,67,70,71,58,53,24,68,67,64,66.0,30,21,22,14,10,13,7,15,,66,66,66,64,66,66,66,64,65+1,65+1,65+1,63+2,59+2,59+2,59+2,63+2,48+2,47+2,47+2,47+2,48+2,45+2,43+2,43+2,43+2,45+2,17+2
225075,/player/225075/julian-gunther-schmidt/240002,24.0,2.0,2023-09-22,J. Günther-Schmidt,Julian Günther-Schmidt,"CAM, ST",66,66,850000.0,3000.0,28,1994-09-13,183,81,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,20.0,,2021-01-05,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1200000.0,,"Finesse Shot, Technical",71.0,65.0,65.0,67.0,45.0,73.0,64,65,63,67,59,65,64,60,58,67,68,74,72,66,68,68,77,74,77,64,62,43,64,67,68,65.0,47,40,38,8,8,11,8,8,,66,66,66,66,66,66,66,66,66,66,66,66,63+2,63+2,63+2,66,58+2,57+2,57+2,57+2,58+2,56+2,54+2,54+2,54+2,56+2,15+2
244040,/player/244040/patrick-schmidt/240002,24.0,2.0,2023-09-22,P. Schmidt,Patrick Schmidt,ST,66,66,850000.0,3000.0,29,1993-09-10,186,88,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,39.0,,2023-07-01,2027.0,21,Germany,,,,Right,3,2,1,High/Medium,Normal (185+),No,1200000.0,,,62.0,66.0,43.0,60.0,28.0,72.0,39,69,69,54,65,55,35,33,29,62,63,61,68,63,64,73,78,84,80,56,37,23,66,42,57,62.0,23,25,19,11,12,6,14,7,,66,66,66,58,61,61,61,58,57+2,57+2,57+2,57+2,51+2,51+2,51+2,57+2,45+2,42+2,42+2,42+2,45+2,44+2,42+2,42+2,42+2,44+2,16+2
252911,/player/252911/tim-schreiber/240002,24.0,2.0,2023-09-22,T. Schreiber,Tim Stanislaw Schreiber,GK,65,75,1400000.0,5000.0,21,2002-04-24,191,87,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,1.0,RB Leipzig,,2024.0,21,Germany,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,Footwork,,,,,,,14,7,10,42,9,14,11,11,38,19,29,28,44,57,25,47,56,36,65,6,28,13,5,42,18,35.0,9,11,14,69,61,63,59,70,29.0,23+2,23+2,23+2,23,24,24,24,23,27+2,27+2,27+2,26+2,30+2,30+2,30+2,26+2,24+2,28+2,28+2,28+2,24+2,22+2,24+2,24+2,24+2,22+2,64+2
225636,/player/225636/lukas-boeder/240002,24.0,2.0,2023-09-22,L. Boeder,Lukas Boeder,"CB, RWB",65,69,875000.0,2000.0,26,1997-04-18,185,80,523.0,Saarbrücken,2076.0,3. Liga,3.0,RCB,29.0,,2021-09-21,2024.0,21,Germany,,,,Right,3,2,1,Low/High,Normal (185+),No,1300000.0,,,65.0,31.0,53.0,57.0,64.0,73.0,53,23,63,62,30,52,33,35,58,62,62,68,56,61,61,49,75,73,76,27,64,64,38,42,42,62.0,63,64,64,8,12,9,7,11,,49+2,49+2,49+2,51,50,50,50,51,51+2,51+2,51+2,55+2,55+2,55+2,55+2,55+2,63+2,63+2,63+2,63+2,63+2,63+2,65+2,65+2,65+2,63+2,15+2
223147,/player/223147/julius-biada/240002,24.0,2.0,2023-09-22,J. Biada,Julius Valentin Biada,"CAM, CF",64,64,575000.0,2000.0,30,1992-11-03,179,76,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,11.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,834000.0,,"Power Shot, Long Throw",56.0,69.0,60.0,66.0,39.0,61.0,48,65,50,63,66,66,72,66,56,66,59,54,68,65,73,78,62,52,70,73,50,39,66,63,60,62.0,37,39,38,7,15,12,9,9,,65-1,65-1,65-1,63,65-1,65-1,65-1,63,64,64,64,61+2,60+2,60+2,60+2,61+2,51+2,52+2,52+2,52+2,51+2,49+2,48+2,48+2,48+2,49+2,16+2
260014,/player/260014/tim-civeja/240002,24.0,2.0,2023-09-22,T. Civeja,Tim Civeja,CM,63,76,1200000.0,1000.0,21,2002-01-04,180,74,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,23.0,,2023-07-04,2026.0,21,Germany,,,,Right,5,2,1,Medium/Medium,Normal (170-185),Yes,2500000.0,,Press Proven,59.0,54.0,64.0,66.0,53.0,60.0,58,54,53,67,37,66,60,52,66,67,64,54,68,60,69,55,59,63,59,58,59,47,55,66,50,57.0,55,56,46,11,12,10,14,11,,58+2,58+2,58+2,62,61,61,61,62,63+2,63+2,63+2,62+2,63+2,63+2,63+2,62+2,58+2,59+2,59+2,59+2,58+2,56+2,55+2,55+2,55+2,56+2,17+2
265783,/player/265783/dominik-becker/240002,24.0,2.0,2023-09-22,D. Becker,Dominik Becker,CB,63,70,900000.0,1000.0,23,2000-01-09,188,75,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,17.0,,2023-06-26,2025.0,21,Germany,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1500000.0,,,67.0,34.0,48.0,52.0,62.0,67.0,52,23,64,60,36,49,41,27,42,58,61,72,47,60,46,48,72,57,72,41,65,61,39,35,40,53.0,60,64,62,10,6,7,7,10,,49+2,49+2,49+2,50,49,49,49,50,49+2,49+2,49+2,51+2,51+2,51+2,51+2,51+2,60+2,58+2,58+2,58+2,60+2,61+2,63+2,63+2,63+2,61+2,14+2
255789,/player/255789/simon-stehle/240002,24.0,2.0,2023-09-22,S. Stehle,Simon Fabio Stehle,ST,63,68,750000.0,2000.0,21,2001-09-17,182,80,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,22.0,,2023-08-07,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1100000.0,#Speedster,"Rapid, Quick Step",91.0,58.0,53.0,64.0,34.0,58.0,47,61,48,61,45,64,43,34,47,62,92,90,72,63,73,61,72,60,64,55,39,30,61,55,44,56.0,32,36,31,13,9,8,13,14,,63+2,63+2,63+2,64,64,64,64,64,62+2,62+2,62+2,63+2,56+2,56+2,56+2,63+2,52+2,47+2,47+2,47+2,52+2,50+2,44+2,44+2,44+2,50+2,18+2
242291,/player/242291/kai-brunker/240002,24.0,2.0,2023-09-22,K. Brünker,Kai Brünker,ST,63,63,475000.0,2000.0,29,1994-06-10,190,82,523.0,Saarbrücken,2076.0,3. Liga,3.0,RS,9.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,689000.0,,Power Header,63.0,63.0,48.0,57.0,32.0,80.0,30,64,69,57,56,55,38,37,47,59,54,70,58,55,54,71,77,79,85,54,69,29,61,54,61,60.0,32,24,27,6,11,14,13,11,,63,63,63,56,59,59,59,56,57+2,57+2,57+2,56+2,54+2,54+2,54+2,56+2,45+2,47+2,47+2,47+2,45+2,44+2,47+2,47+2,47+2,44+2,15+2
270461,/player/270461/fabio-di-michele-sanchez/240002,24.0,2.0,2023-09-22,F. Di Michele Sanchez,Fabio Di Michele Sanchez,LWB,62,74,925000.0,1000.0,20,2003-03-14,180,81,523.0,Saarbrücken,2076.0,3. Liga,3.0,SUB,21.0,,2023-07-01,2024.0,21,Germany,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,1500000.0,,,71.0,32.0,52.0,60.0,58.0,66.0,58,30,54,58,36,61,38,34,53,56,67,74,64,62,66,29,65,65,68,31,64,61,44,45,45,55.0,57,58,57,8,13,13,13,7,,49+2,49+2,49+2,54,51,51,51,54,53+2,53+2,53+2,56+2,54+2,54+2,54+2,56+2,60+2,58+2,58+2,58+2,60+2,60+2,60+2,60+2,60+2,60+2,16+2
218873,/player/218873/tim-paterok/240002,24.0,2.0,2023-09-22,T. Paterok,Tim Paterok,GK,62,62,275000.0,1000.0,30,1992-08-05,192,79,523.0,Saarbrücken,2076.0,3. Liga,3.0,GK,30.0,,2022-07-01,2024.0,21,Germany,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,399000.0,,,,,,,,,15,13,12,29,16,19,18,14,28,20,33,34,39,47,38,47,52,34,55,16,20,15,15,31,21,35.0,6,16,14,64,61,62,61,65,33.0,25+2,25+2,25+2,24,25,25,25,24,25+2,25+2,25+2,25+2,26+2,26+2,26+2,25+2,23+2,24+2,24+2,24+2,23+2,22+2,22+2,22+2,22+2,22+2,61+1
278043,/player/278043/amine-naifi/240002,24.0,2.0,2023-09-22,A. Naïfi,Amine Naïfi,"RM, LM, CF",58,65,400000.0,1000.0,23,1999-12-19,183,67,523.0,Saarbrücken,2076.0,3. Liga,3.0,RES,7.0,,2023-01-31,2028.0,18,France,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,660000.0,,,68.0,54.0,51.0,64.0,28.0,49.0,57,57,38,51,54,66,56,45,47,65,71,66,69,45,65,57,45,53,47,47,48,26,48,49,46,47.0,24,30,31,8,7,6,9,8,,54+2,54+2,54+2,58,56,56,56,58,56+2,56+2,56+2,57+2,50+2,50+2,50+2,57+2,46+2,42+2,42+2,42+2,46+2,43+2,37+2,37+2,37+2,43+2,12+2
