player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
179516,/player/179516/rouwen-hennings/240002,24.0,2.0,2023-09-22,R. Hennings,Rouwen Hennings,ST,70,70,675000.0,4000.0,35,1987-08-28,180,80,110178.0,Sandhausen,2076.0,3. Liga,3.0,LS,10.0,,2023-07-01,2024.0,21,Germany,,,,Left,3,3,1,High/Medium,Stocky (170-185),Yes,979000.0,,Power Shot,54.0,74.0,61.0,65.0,39.0,72.0,60,74,69,63,70,63,68,68,57,68,56,53,58,72,67,78,72,67,75,70,71,36,72,58,75,69.0,38,35,34,15,10,12,12,14,,70,70,70,65,67,67,67,65,65+2,65+2,65+2,64+2,62+2,62+2,62+2,64+2,53+2,54+2,54+2,54+2,53+2,51+2,51+2,51+2,51+2,51+2,19+2
189388,/player/189388/dennis-diekmeier/240002,24.0,2.0,2023-09-22,D. Diekmeier,Dennis Diekmeier,RWB,69,69,725000.0,4000.0,33,1989-10-20,188,79,110178.0,Sandhausen,2076.0,3. Liga,3.0,RWB,18.0,,2019-01-03,2024.0,21,Germany,,,,Right,2,3,1,High/Medium,Normal (170-185),Yes,1100000.0,,"Long Throw, Aerial",77.0,40.0,62.0,62.0,66.0,71.0,67,26,66,64,28,63,56,53,65,63,68,85,58,69,49,69,75,68,74,39,65,66,53,57,44,70.0,66,66,65,6,14,10,11,7,,57+2,57+2,57+2,59,59,59,59,59,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,67+2,16+2
211723,/player/211723/tim-knipping/240002,24.0,2.0,2023-09-22,T. Knipping,Tim Knipping,CB,68,68,1000000.0,3000.0,30,1992-11-24,191,90,110178.0,Sandhausen,2076.0,3. Liga,3.0,LCB,4.0,,2023-07-01,2025.0,21,Germany,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,1500000.0,#Strength,"Block, Aerial",47.0,33.0,48.0,50.0,68.0,76.0,28,28,70,61,30,46,32,26,57,51,39,54,47,62,56,46,73,64,87,33,65,65,29,49,35,65.0,66,70,67,13,7,11,6,15,,47+2,47+2,47+2,44,46,46,46,44,48+2,48+2,48+2,47+2,54+2,54+2,54+2,47+2,57+2,63+2,63+2,63+2,57+2,59+2,68,68,68,59+2,16+2
229923,/player/229923/sebastian-stolze/240002,24.0,2.0,2023-09-22,S. Stolze,Sebastian Stolze,"RM, CAM, LM",68,68,1200000.0,3000.0,28,1995-01-29,180,76,110178.0,Sandhausen,2076.0,3. Liga,3.0,SUB,36.0,,2023-07-01,2026.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1700000.0,,Technical,79.0,62.0,62.0,68.0,29.0,58.0,65,65,55,68,61,68,57,39,56,67,82,76,79,59,76,55,70,78,55,63,39,19,61,59,60,54.0,36,23,22,12,11,7,9,12,,63+2,63+2,63+2,67,65,65,65,67,66+2,66+2,66+2,67+1,60+2,60+2,60+2,67+1,52+2,47+2,47+2,47+2,52+2,49+2,40+2,40+2,40+2,49+2,16+2
242183,/player/242183/david-otto/240002,24.0,2.0,2023-09-22,D. Otto,David Otto,ST,67,74,2100000.0,3000.0,24,1999-03-03,185,82,110178.0,Sandhausen,2076.0,3. Liga,3.0,RS,17.0,,2023-07-25,2024.0,21,Germany,,,,Right,3,3,1,High/Medium,Lean (185+),No,3500000.0,,,70.0,66.0,55.0,66.0,27.0,62.0,50,68,64,64,54,67,47,41,40,66,73,68,68,62,64,66,75,69,69,65,33,20,71,59,68,60.0,29,20,18,12,14,9,11,14,,67+2,67+2,67+2,65,66,66,66,65,64+2,64+2,64+2,64+2,57+2,57+2,57+2,64+2,47+2,44+2,44+2,44+2,47+2,44+2,40+2,40+2,40+2,44+2,18+2
209485,/player/209485/alexander-muhling/240002,24.0,2.0,2023-09-22,A. Mühling,Alexander Mühling,CM,67,67,975000.0,3000.0,30,1992-09-05,186,84,110178.0,Sandhausen,2076.0,3. Liga,3.0,CDM,15.0,,2023-07-01,2026.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (185+),No,1400000.0,,"Finesse Shot, Incisive Pass, Press Proven",65.0,68.0,68.0,70.0,53.0,68.0,66,67,46,70,54,70,65,63,68,71,58,70,68,63,74,72,59,78,70,67,52,54,62,68,84,68.0,49,57,54,9,12,15,14,7,,65+2,65+2,65+2,67,67,67,67,67,68-1,68-1,68-1,68-1,67,67,67,68-1,63+2,62+2,62+2,62+2,63+2,61+2,57+2,57+2,57+2,61+2,17+2
222773,/player/222773/luca-zander/240002,24.0,2.0,2023-09-22,L. Zander,Luca-Milan Zander,RWB,67,67,975000.0,2000.0,27,1995-08-09,186,73,110178.0,Sandhausen,2076.0,3. Liga,3.0,SUB,19.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1400000.0,,,76.0,37.0,57.0,62.0,63.0,66.0,65,35,55,64,31,59,45,36,55,64,82,71,70,64,64,46,74,68,64,32,66,61,54,48,36,64.0,62,67,64,16,16,8,15,11,,54+2,54+2,54+2,59,56,56,56,59,57+2,57+2,57+2,61+2,58+2,58+2,58+2,61+2,65+2,63+2,63+2,63+2,65+2,65+2,64+2,64+2,64+2,65+2,20+2
240158,/player/240158/christoph-ehlich/240002,24.0,2.0,2023-09-22,C. Ehlich,Christoph Ehlich,"LWB, RWB",65,70,1000000.0,2000.0,24,1999-02-02,170,68,110178.0,Sandhausen,2076.0,3. Liga,3.0,LWB,3.0,,2023-07-01,2025.0,21,Germany,,,,Right,4,3,1,High/Medium,Lean (170-),No,1500000.0,,,71.0,43.0,58.0,63.0,57.0,54.0,64,45,37,62,40,57,44,32,52,62,75,67,82,60,84,44,49,74,49,37,43,61,49,58,47,59.0,60,56,58,13,12,11,15,12,,51+2,51+2,51+2,59,56,56,56,59,58+2,58+2,58+2,60+2,58+2,58+2,58+2,60+2,63+2,59+2,59+2,59+2,63+2,61+2,55+2,55+2,55+2,61+2,18+2
251441,/player/251441/yassin-ben-balla/240002,24.0,2.0,2023-09-22,Y. Ben Balla,Yassin Ben Balla,"CDM, CM",65,67,775000.0,2000.0,27,1996-02-24,181,72,110178.0,Sandhausen,2076.0,3. Liga,3.0,SUB,26.0,,2023-07-04,2024.0,18,France,,,,Right,3,2,1,Low/High,Lean (170-185),No,1200000.0,,,66.0,51.0,52.0,60.0,63.0,67.0,34,48,51,66,38,58,37,31,58,61,68,65,69,63,68,62,62,77,62,51,70,67,52,52,39,49.0,65,64,62,13,15,12,14,7,,57+2,57+2,57+2,57,58,58,58,57,59+2,59+2,59+2,58+2,60+2,60+2,60+2,58+2,62+2,64+2,64+2,64+2,62+2,62+2,63+2,63+2,63+2,62+2,18+2
243357,/player/243357/franck-evina/240002,24.0,2.0,2023-09-22,F. Evina,Franck Junior Evina,"ST, LM",64,72,1300000.0,2000.0,22,2000-07-05,180,77,110178.0,Sandhausen,2076.0,3. Liga,3.0,SUB,9.0,,2023-01-01,2025.0,103,Cameroon,,,,Right,3,3,1,Medium/Medium,Stocky (170-185),No,2100000.0,,Rapid,80.0,62.0,56.0,65.0,34.0,68.0,59,64,54,59,47,65,57,63,48,67,83,77,69,55,74,70,78,64,75,56,54,21,61,53,59,48.0,35,35,30,13,9,5,13,10,,64+2,64+2,64+2,64,63,63,63,64,62+2,62+2,62+2,63+2,55+2,55+2,55+2,63+2,51+2,47+2,47+2,47+2,51+2,49+2,46+2,46+2,46+2,49+2,16+2
