player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
224491,/player/224491/christian-ortag/240002,24.0,2.0,2023-09-22,C. Ortag,Christian Ortag,GK,64,65,475000.0,550.0,28,1995-01-14,197,82,110176.0,Ulm,2076.0,3. Liga,3.0,GK,39.0,,2018-07-01,2025.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,724000.0,,,,,,,,,14,18,20,24,19,15,19,21,19,23,45,45,33,51,47,44,68,37,72,24,35,21,12,41,23,25.0,22,15,13,65,64,59,65,63,45.0,29+2,29+2,29+2,26,27,27,27,26,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,25+2,27+2,27+2,27+2,25+2,26+2,29+2,29+2,29+2,26+2,63+2
231555,/player/231555/johannes-reichert/240002,24.0,2.0,2023-09-22,J. Reichert,Johannes Reichert,CB,64,64,400000.0,650.0,31,1991-07-02,184,82,110176.0,Ulm,2076.0,3. Liga,3.0,RCB,5.0,,2016-07-01,2026.0,21,Germany,,,,Right,4,2,1,High/Medium,Normal (170-185),No,580000.0,,Anticipate,62.0,32.0,48.0,53.0,63.0,76.0,41,32,61,58,26,48,30,27,56,51,60,64,62,62,67,40,74,75,79,18,68,56,32,40,69,63.0,67,65,63,6,11,11,13,6,,47+2,47+2,47+2,47,46,46,46,47,48+2,48+2,48+2,51+2,52+2,52+2,52+2,51+2,59+2,61+2,61+2,61+2,59+2,60+2,64,64,64,60+2,15+2
262671,/player/262671/sascha-risch/240002,24.0,2.0,2023-09-22,S. Risch,Sascha Risch,"LM, LWB",63,70,975000.0,550.0,23,2000-04-13,178,68,110176.0,Ulm,2076.0,3. Liga,3.0,SUB,28.0,,2023-07-01,2025.0,21,Germany,,,,Left,3,2,1,Medium/High,Lean (170-185),No,1600000.0,,,70.0,39.0,60.0,66.0,54.0,59.0,66,36,39,64,28,66,47,29,60,65,77,65,80,48,78,39,51,78,49,50,62,53,49,58,32,44.0,49,60,63,6,14,8,7,14,,50+2,50+2,50+2,60,56,56,56,60,59+2,59+2,59+2,62+2,60+2,60+2,60+2,62+2,62+2,59+2,59+2,59+2,62+2,61+2,54+2,54+2,54+2,61+2,14+2
269964,/player/269964/leonardo-scienza/240002,24.0,2.0,2023-09-22,Léo Scienza,Leonardo Weschenfelder-Scienza,"LW, RW",63,66,650000.0,650.0,24,1998-09-13,175,69,110176.0,Ulm,2076.0,3. Liga,3.0,SUB,22.0,,2023-07-05,2025.0,54,Brazil,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,991000.0,,Technical,69.0,62.0,60.0,66.0,29.0,49.0,61,64,56,61,56,66,61,65,61,64,73,66,82,52,75,62,60,62,48,60,33,25,57,57,59,60.0,25,27,27,6,14,6,14,6,,61+2,61+2,61+2,63,62,62,62,63,62+2,62+2,62+2,62+2,57+2,57+2,57+2,62+2,48+2,45+2,45+2,45+2,48+2,46+2,38+2,38+2,38+2,46+2,14+2
256232,/player/256232/lamar-yarbrough/240002,24.0,2.0,2023-09-22,L. Yarbrough,Lamar Yarbrough,CB,63,64,475000.0,600.0,27,1996-04-07,192,86,110176.0,Ulm,2076.0,3. Liga,3.0,SUB,25.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,724000.0,#Strength,,62.0,38.0,43.0,50.0,60.0,77.0,28,28,62,58,28,50,30,29,51,53,60,64,42,56,44,60,78,68,86,46,67,59,30,33,34,52.0,59,61,61,10,13,8,15,9,,49+2,49+2,49+2,46,47,47,47,46,47+2,47+2,47+2,48+2,50+2,50+2,50+2,48+2,56+2,59+2,59+2,59+2,56+2,57+2,63+1,63+1,63+1,57+2,16+2
201816,/player/201816/thomas-geyer/240002,24.0,2.0,2023-09-22,T. Geyer,Thomas Geyer,"CB, CDM",63,63,300000.0,600.0,32,1991-03-06,179,71,110176.0,Ulm,2076.0,3. Liga,3.0,CB,6.0,,2019-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/High,Lean (170-185),No,435000.0,,Anticipate,66.0,25.0,44.0,53.0,64.0,68.0,25,19,64,59,22,46,22,15,60,56,65,66,60,61,72,37,70,74,68,21,61,63,36,35,30,59.0,65,63,61,14,13,7,11,13,,45+2,45+2,45+2,45,46,46,46,45,47+2,47+2,47+2,49+2,52+2,52+2,52+2,49+2,58+2,61+2,61+2,61+2,58+2,60+2,63,63,63,60+2,18+2
238694,/player/238694/lucas-roser/240002,24.0,2.0,2023-09-22,L. Röser,Lucas Röser,ST,63,63,475000.0,750.0,29,1993-12-28,184,80,110176.0,Ulm,2076.0,3. Liga,3.0,ST,9.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,689000.0,,,71.0,63.0,53.0,63.0,32.0,65.0,47,64,58,63,58,62,59,42,41,62,70,72,67,60,69,62,71,60,71,65,53,30,60,53,65,58.0,37,24,17,5,14,7,14,5,,63,63,63,62,62,62,62,62,61+2,61+2,61+2,60+2,55+2,55+2,55+2,60+2,47+2,46+2,46+2,46+2,47+2,45+2,44+2,44+2,44+2,45+2,15+2
276193,/player/276193/nicolas-jann/240002,24.0,2.0,2023-09-22,N. Jann,Nicolas Jann,"LW, LM, RW",63,63,400000.0,700.0,31,1992-03-21,178,72,110176.0,Ulm,2076.0,3. Liga,3.0,LW,21.0,,2018-07-01,2024.0,21,Germany,,,,Left,5,3,1,High/Medium,Normal (170-185),No,580000.0,,Whipped Cross,68.0,58.0,61.0,65.0,50.0,63.0,64,60,45,62,45,64,55,34,58,62,72,65,76,61,78,61,59,75,59,55,57,49,61,65,54,62.0,51,51,47,8,7,10,7,10,,60+2,60+2,60+2,63,62,62,62,63,63,63,63,64-1,61+2,61+2,61+2,64-1,59+2,57+2,57+2,57+2,59+2,57+2,53+2,53+2,53+2,57+2,14+2
257060,/player/257060/lenn-jastremski/240002,24.0,2.0,2023-09-22,L. Jastremski,Lenn Jastremski,ST,62,73,900000.0,550.0,22,2001-01-24,190,79,110176.0,Ulm,2076.0,3. Liga,3.0,SUB,20.0,,2020-07-01,2024.0,21,Germany,,,,Right,4,2,1,Medium/Low,Normal (185+),No,1500000.0,,,59.0,63.0,41.0,57.0,19.0,64.0,40,65,61,42,56,55,46,39,31,60,55,62,58,63,51,65,70,58,75,57,42,14,65,48,62,48.0,10,19,11,8,6,8,10,9,,62+2,62+2,62+2,56,58,58,58,56,54+2,54+2,54+2,54+2,47+2,47+2,47+2,54+2,38+2,36+2,36+2,36+2,38+2,36+2,35+2,35+2,35+2,36+2,14+2
262838,/player/262838/felix-higl/240002,24.0,2.0,2023-09-22,F. Higl,Felix Higl,ST,62,65,525000.0,650.0,26,1997-01-08,194,83,110176.0,Ulm,2076.0,3. Liga,3.0,SUB,33.0,,2023-07-01,2026.0,21,Germany,,,,Left,3,2,1,Medium/Medium,Lean (185+),No,801000.0,,,64.0,59.0,56.0,58.0,27.0,71.0,58,60,66,64,46,61,33,39,40,62,54,72,52,50,41,66,73,71,79,55,49,24,59,60,53,43.0,24,20,19,13,7,14,8,13,,62+2,62+2,62+2,60,60,60,60,60,59+2,59+2,59+2,60+2,54+2,54+2,54+2,60+2,47+2,44+2,44+2,44+2,47+2,44+2,42+2,42+2,42+2,44+2,15+2
