player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
193425,/player/193425/hanno-behrens/240002,24.0,2.0,2023-09-22,H. Behrens,Hanno Behrens,"CM, CAM",67,67,625000.0,2000.0,33,1990-03-26,188,82,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,SUB,18.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,906000.0,,Incisive Pass,48.0,66.0,63.0,65.0,67.0,75.0,54,63,75,68,62,64,52,47,65,67,58,40,62,67,63,74,80,72,76,67,73,66,65,66,57,67.0,65,67,66,6,9,16,6,10,,66+1,66+1,66+1,62,65,65,65,62,65+2,65+2,65+2,63+2,67,67,67,63+2,64+2,67,67,67,64+2,64+2,69-2,69-2,69-2,64+2,15+2
204492,/player/204492/pascal-breier/240002,24.0,2.0,2023-09-22,P. Breier,Pascal Breier,"LM, ST",66,66,700000.0,1000.0,31,1992-02-02,185,77,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,SUB,39.0,,2023-08-31,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,1000000.0,,,72.0,63.0,59.0,67.0,33.0,69.0,60,65,62,60,62,67,62,58,60,68,70,74,67,66,67,64,72,75,70,60,60,32,62,57,51,61.0,30,29,23,8,11,15,10,11,,65+1,65+1,65+1,65,65,65,65,65,64+2,64+2,64+2,65+1,60+2,60+2,60+2,65+1,52+2,50+2,50+2,50+2,52+2,49+2,46+2,46+2,46+2,49+2,16+2
211827,/player/211827/philipp-klewin/240002,24.0,2.0,2023-09-22,P. Klewin,Philipp Mickel Klewin,GK,66,66,575000.0,1000.0,29,1993-09-30,192,86,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,GK,1.0,,2023-07-01,2025.0,21,Germany,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,834000.0,,,,,,,,,16,17,15,23,13,17,20,17,19,19,42,40,35,64,55,45,62,30,68,17,24,17,15,18,22,29.0,21,19,17,66,63,60,68,65,41.0,28+2,28+2,28+2,25,26,26,26,25,24+2,24+2,24+2,25+2,23+2,23+2,23+2,25+2,26+2,25+2,25+2,25+2,26+2,26+2,28+2,28+2,28+2,26+2,65+1
211875,/player/211875/tommy-grupe/240002,24.0,2.0,2023-09-22,T. Grupe,Tommy Grupe,"CB, CDM",65,65,500000.0,1000.0,31,1992-03-29,193,85,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,RCB,17.0,,2018-07-01,2024.0,21,Germany,,,,Right,4,2,1,Medium/High,Lean (185+),No,725000.0,,,55.0,44.0,40.0,49.0,64.0,77.0,24,40,69,48,37,45,28,27,53,58,47,61,38,50,38,60,74,71,83,42,69,60,39,39,36,62.0,60,68,66,15,11,8,14,11,,52+2,52+2,52+2,45,48,48,48,45,47+2,47+2,47+2,47+2,51+2,51+2,51+2,47+2,55+2,59+2,59+2,59+2,55+2,57+2,65,65,65,57+2,17+2
211955,/player/211955/ulrich-taffertshofer/240002,24.0,2.0,2023-09-22,U. Taffertshofer,Ulrich Taffertshofer,"CDM, CM",65,65,500000.0,1000.0,31,1992-02-14,183,82,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,RDM,20.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Low/High,Normal (170-185),No,725000.0,,"Intercept, Anticipate, Bruiser",48.0,47.0,52.0,61.0,62.0,78.0,45,42,55,60,29,56,26,40,59,62,54,43,63,66,76,59,68,80,77,57,82,63,35,51,34,66.0,61,64,65,8,11,13,7,14,,52+2,52+2,52+2,53,53,53,53,53,55+2,55+2,55+2,54+2,59+2,59+2,59+2,54+2,61+2,64+1,64+1,64+1,61+2,61+2,65,65,65,61+2,16+2
244510,/player/244510/marius-hauptmann/240002,24.0,2.0,2023-09-22,M. Hauptmann,Marius Hauptmann,"RM, RB",64,70,925000.0,950.0,23,1999-09-14,177,68,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,SUB,7.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1500000.0,,,81.0,52.0,57.0,67.0,52.0,53.0,56,58,46,62,44,66,54,39,55,63,83,80,82,62,89,54,59,59,49,37,52,51,59,57,43,61.0,55,53,44,10,15,8,8,15,,59+2,59+2,59+2,63,62,62,62,63,62+2,62+2,62+2,63+2,58+2,58+2,58+2,63+2,59+2,56+2,56+2,56+2,59+2,58+2,53+2,53+2,53+2,58+2,17+2
250876,/player/250876/florian-egerer/240002,24.0,2.0,2023-09-22,F. Egerer,Florian Egerer,CDM,64,68,750000.0,950.0,25,1998-02-17,180,76,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,SUB,8.0,,2022-07-06,2024.0,21,Germany,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,,55.0,44.0,58.0,57.0,62.0,71.0,52,38,55,65,36,52,42,46,61,57,56,54,69,58,69,63,64,78,69,42,69,63,42,57,38,59.0,62,65,60,15,14,6,12,8,,52+2,52+2,52+2,53,53,53,53,53,55+2,55+2,55+2,55+2,59+2,59+2,59+2,55+2,61+2,63+2,63+2,63+2,61+2,61+2,63+2,63+2,63+2,61+2,17+2
247078,/player/247078/felix-drinkuth/240002,24.0,2.0,2023-09-22,F. Drinkuth,Felix Werner Wolfgang Drinkuth,"LM, ST, CAM",64,64,600000.0,1000.0,28,1994-10-20,185,83,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,SUB,11.0,,2022-07-01,2024.0,21,Germany,,,,Right,4,3,1,Medium/Medium,Normal (185+),No,870000.0,,Finesse Shot,75.0,59.0,58.0,64.0,28.0,65.0,63,62,55,63,42,63,54,36,54,65,74,76,70,59,70,64,74,62,71,52,52,19,62,52,59,60.0,30,23,25,12,11,12,14,7,,63+1,63+1,63+1,63,62,62,62,63,61+2,61+2,61+2,63+1,56+2,56+2,56+2,63+1,49+2,45+2,45+2,45+2,49+2,46+2,42+2,42+2,42+2,46+2,16+2
242433,/player/242433/cyrill-akono/240002,24.0,2.0,2023-09-22,C. Akono,Cyrill Akono,"ST, CF, LM",63,71,1100000.0,950.0,23,2000-02-29,190,78,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,ST,14.0,,2023-07-01,2025.0,21,Germany,,,,Left,2,2,1,High/Medium,Lean (185+),No,1800000.0,,,71.0,61.0,50.0,61.0,28.0,68.0,41,66,63,51,53,62,59,41,54,63,69,72,54,63,58,57,74,60,72,59,66,26,61,55,57,61.0,24,23,24,9,10,14,11,12,,63+2,63+2,63+2,60,62,62,62,60,60+2,60+2,60+2,59+2,54+2,54+2,54+2,59+2,45+2,45+2,45+2,45+2,45+2,43+2,43+2,43+2,43+2,43+2,16+2
276307,/player/276307/robin-kolle/240002,24.0,2.0,2023-09-22,R. Kölle,Robin Kölle,RB,63,68,700000.0,750.0,22,2001-02-17,174,70,1829.0,VfB Lübeck,2076.0,3. Liga,3.0,RES,2.0,,2021-07-07,2024.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,,72.0,34.0,52.0,59.0,59.0,63.0,57,33,60,58,30,59,44,39,54,57,71,73,59,59,79,37,71,68,63,30,55,59,49,40,33,47.0,57,61,57,9,15,11,6,14,,51+2,51+2,51+2,54,52,52,52,54,52+2,52+2,52+2,57+2,54+2,54+2,54+2,57+2,61+2,58+2,58+2,58+2,61+2,61+2,60+2,60+2,60+2,61+2,16+2
