player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
239498,/player/239498/bryan-henning/240002,24.0,2.0,2023-09-22,B. Henning,Bryan Henning,"CM, CAM",67,67,1000000.0,3000.0,28,1995-03-19,172,73,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,LCM,19.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,3,1,High/High,Lean (170-185),No,1500000.0,,"Slide Tackle, Relentless",68.0,55.0,60.0,69.0,64.0,70.0,45,55,40,67,49,67,40,36,66,65,80,59,83,71,82,61,61,84,61,56,77,69,52,68,42,67.0,66,66,67,6,8,14,6,9,,59+2,59+2,59+2,63,63,63,63,63,65+2,65+2,65+2,64+2,67,67,67,64+2,66+1,68-1,68-1,68-1,66+1,66+1,64+2,64+2,64+2,66+1,15+2
251433,/player/251433/ben-voll/240002,24.0,2.0,2023-09-22,B. Voll,Ben Alexander Voll,GK,66,72,1100000.0,2000.0,22,2000-12-09,195,85,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,GK,1.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1800000.0,,,,,,,,,9,9,13,27,9,11,12,11,24,15,24,25,27,52,24,49,56,22,67,9,21,9,8,32,8,59.0,9,13,11,68,64,65,63,72,24.0,23+2,23+2,23+2,19,21,21,21,19,21+2,21+2,21+2,20+2,22+2,22+2,22+2,20+2,18+2,22+2,22+2,22+2,18+2,18+2,22+2,22+2,22+2,18+2,65+2
241995,/player/241995/lars-dietz/240002,24.0,2.0,2023-09-22,L. Dietz,Lars Dietz,CB,66,71,1100000.0,2000.0,26,1997-01-07,190,79,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,SUB,2.0,,2022-07-01,2024.0,21,Germany,,,,Right,3,2,1,Medium/High,Normal (185+),No,1700000.0,,,62.0,37.0,54.0,60.0,65.0,74.0,43,29,65,62,34,59,38,35,60,61,55,68,63,64,53,56,75,66,81,37,67,66,38,55,38,63.0,64,65,62,14,7,14,13,13,,52+2,52+2,52+2,53,53,53,53,53,55+2,55+2,55+2,55+2,58+2,58+2,58+2,55+2,61+2,64+2,64+2,64+2,61+2,62+2,66+2,66+2,66+2,62+2,18+2
240156,/player/240156/luca-marseiler/240002,24.0,2.0,2023-09-22,L. Marseiler,Luca Marseiler,"LM, RM",66,67,1000000.0,3000.0,26,1997-02-18,176,68,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,LF,30.0,,2021-08-31,2025.0,21,Germany,,,,Right,5,3,1,Medium/Medium,Lean (170-185),No,1500000.0,,Technical,81.0,58.0,58.0,68.0,35.0,57.0,59,61,36,63,56,68,57,56,49,66,81,81,80,61,81,56,56,70,54,58,48,39,61,56,41,53.0,39,28,31,11,15,7,8,13,,60+2,60+2,60+2,66,64,64,64,66,64+2,64+2,64+2,65+2,58+2,58+2,58+2,65+2,54+2,49+2,49+2,49+2,54+2,51+2,43+2,43+2,43+2,51+2,17+2
216183,/player/216183/simon-handle/240002,24.0,2.0,2023-09-22,S. Handle,Simon Handle,"LM, RM",66,66,825000.0,3000.0,30,1993-01-25,170,68,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,SUB,7.0,,2018-04-20,2025.0,21,Germany,,,,Right,3,3,1,High/Medium,Lean (170-),No,1200000.0,#Acrobat,"Rapid, Quick Step",83.0,59.0,57.0,70.0,56.0,60.0,60,62,48,60,48,69,63,48,48,65,86,81,90,62,87,61,63,82,51,57,53,54,57,58,48,51.0,56,60,57,13,11,8,11,13,,61+2,61+2,61+2,66,64,64,64,66,64+2,64+2,64+2,65+1,60+2,60+2,60+2,65+1,64+2,59+2,59+2,59+2,64+2,63+2,57+2,57+2,57+2,63+2,17+2
217841,/player/217841/michael-schultz/240002,24.0,2.0,2023-09-22,M. Schultz,Michael Schultz,CB,66,66,700000.0,2000.0,30,1993-05-30,194,88,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,RCB,3.0,,2023-01-12,2025.0,21,Germany,,,,Right,3,2,1,Low/Medium,Normal (185+),No,1000000.0,#Strength,"Power Header, Intercept, Bruiser, Aerial",49.0,26.0,44.0,51.0,65.0,74.0,29,23,69,65,27,52,24,22,57,56,44,53,33,60,32,40,66,56,86,19,70,63,24,24,35,50.0,65,66,60,9,6,8,12,11,,45+2,45+2,45+2,43,43,43,43,43,44+2,44+2,44+2,46+2,50+2,50+2,50+2,46+2,56+2,61+2,61+2,61+2,56+2,57+2,66,66,66,57+2,15+2
251500,/player/251500/patrick-koronkiewicz/240002,24.0,2.0,2023-09-22,P. Koronkiewicz,Patrick Koronkiewicz,"RWB, RM, RB",66,66,600000.0,2000.0,32,1991-03-13,185,77,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,RM,28.0,,2014-07-01,2024.0,21,Germany,,,,Right,2,3,1,High/Low,Normal (185+),No,870000.0,,"Whipped Cross, Rapid",83.0,61.0,61.0,63.0,58.0,73.0,62,58,57,64,61,64,51,45,62,62,81,84,65,60,63,72,79,79,73,59,66,60,62,59,50,59.0,58,58,56,9,6,15,5,8,,64+2,64+2,64+2,64,64,64,64,64,63+2,63+2,63+2,65+1,62+2,62+2,62+2,65+1,64+2,62+2,62+2,62+2,64+2,64+2,62+2,62+2,62+2,64+2,13+2
238684,/player/238684/jeremias-lorch/240002,24.0,2.0,2023-09-22,J. Lorch,Jeremias Lorch,"CDM, CM, CB",65,66,725000.0,2000.0,27,1995-12-02,188,79,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,SUB,4.0,,2020-07-23,2024.0,21,Germany,,,,Right,4,2,1,High/High,Lean (185+),No,1100000.0,,,65.0,46.0,58.0,59.0,64.0,74.0,61,41,65,62,44,57,44,36,58,62,64,66,58,61,59,54,74,78,74,44,70,61,53,55,52,55.0,65,66,64,7,9,10,9,10,,56+2,56+2,56+2,57,56,56,56,57,57+2,57+2,57+2,60+2,60+2,60+2,60+2,60+2,64+2,64+2,64+2,64+2,64+2,64+2,66,66,66,64+2,15+2
252861,/player/252861/stefano-russo/240002,24.0,2.0,2023-09-22,S. Russo,Stefano Russo,"CDM, CB",64,72,1200000.0,2000.0,23,2000-06-29,183,75,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,RCM,6.0,,2023-07-01,2025.0,21,Germany,,,,Right,3,2,1,Low/High,Normal (170-185),No,2000000.0,,Slide Tackle,60.0,53.0,57.0,61.0,61.0,73.0,50,43,55,65,43,59,48,46,61,63,61,60,66,58,69,69,68,73,72,62,77,61,44,50,53,46.0,59,63,62,11,6,11,7,13,,56+2,56+2,56+2,56,56,56,56,56,57+2,57+2,57+2,57+2,60+2,60+2,60+2,57+2,61+2,63+2,63+2,63+2,61+2,61+2,63+2,63+2,63+2,61+2,15+2
259272,/player/259272/niklas-may/240002,24.0,2.0,2023-09-22,N. May,Niklas May,"LWB, LM, LB",64,71,1100000.0,1000.0,21,2002-04-10,182,74,110645.0,Viktoria Köln,2076.0,3. Liga,3.0,LM,37.0,,2020-10-11,2025.0,21,Germany,,,,Left,3,2,1,Low/Medium,Lean (170-185),No,1800000.0,,,74.0,47.0,56.0,63.0,60.0,59.0,58,46,51,61,41,62,49,39,56,61,72,76,74,62,73,52,63,62,59,47,55,63,47,52,41,53.0,63,60,55,9,15,15,15,6,,55+2,55+2,55+2,59,57,57,57,59,58+2,58+2,58+2,60+2,58+2,58+2,58+2,60+2,62+2,60+2,60+2,60+2,62+2,62+2,60+2,60+2,60+2,62+2,17+2
