player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
256630,/player/256630/florian-wirtz/240002,24.0,2.0,2023-09-22,F. Wirtz,Florian Richard Wirtz,"CAM, CM",85,91,83500000.0,65000.0,20,2003-05-03,177,71,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,LF,27.0,,2020-01-31,2027.0,21,Germany,1337.0,CAM,9.0,Right,4,4,3,High/Medium,Normal (170-185),Yes,158700000.0,"#Dribbler, #Playmaker, #Acrobat, #Complete midfielder","Chip Shot, Pinged Pass, Technical, Flair, First Touch, Trivela",74.0,76.0,83.0,87.0,52.0,63.0,77,78,39,88,73,87,80,64,81,89,78,70,86,85,85,74,59,83,53,75,63,45,80,88,60,83.0,59,57,44,14,14,13,6,10,,75+3,75+3,75+3,83,82,82,82,83,84+3,84+3,84+3,83+3,82+3,82+3,82+3,83+3,70+3,70+3,70+3,70+3,70+3,66+3,57+3,57+3,57+3,66+3,19+3
210035,/player/210035/alejandro-grimaldo-garcia/240002,24.0,2.0,2023-09-22,Grimaldo,Alejandro Grimaldo García,"LWB, LM",84,84,40500000.0,74000.0,27,1995-09-20,171,67,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,LM,20.0,,2023-07-01,2027.0,45,Spain,,,,Left,2,3,3,High/Medium,Normal (170-185),Yes,68900000.0,,"Dead Ball, Whipped Cross, Anticipate",87.0,69.0,83.0,84.0,76.0,72.0,83,59,66,83,61,84,87,83,79,83,86,87,84,83,86,82,77,90,63,82,69,79,77,84,54,83.0,75,78,76,7,13,10,7,13,,75+3,75+3,75+3,81,80,80,80,81,81+3,81+3,81+3,82+2,82+2,82+2,82+2,82+2,82+2,79+3,79+3,79+3,82+2,81+3,75+3,75+3,75+3,81+3,18+3
253149,/player/253149/jeremie-frimpong/240002,24.0,2.0,2023-09-22,J. Frimpong,Jeremie Agyekum Frimpong,"RWB, RM",83,88,52000000.0,58000.0,22,2000-12-10,171,64,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,RM,30.0,,2021-01-27,2025.0,34,Netherlands,,,,Right,3,3,2,High/Medium,Normal (170-185),Yes,92300000.0,"#Speedster, #Acrobat","Rapid, Flair, Quick Step",94.0,56.0,75.0,84.0,74.0,70.0,84,62,49,77,43,85,77,47,61,81,96,92,91,78,90,53,73,85,61,48,75,76,78,81,39,79.0,75,78,75,12,7,8,13,14,,69+2,69+2,69+2,80,76,76,76,80,78+2,78+2,78+2,81+2,76+2,76+2,76+2,81+2,81+2,75+2,75+2,75+2,81+2,79+2,72+2,72+2,72+2,79+2,19+2
234236,/player/234236/patrik-schick/240002,24.0,2.0,2023-09-22,P. Schick,Patrik Schick,ST,83,84,42500000.0,80000.0,27,1996-01-24,191,86,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,SUB,14.0,,2020-09-08,2027.0,12,Czech Republic,,,,Left,3,4,3,Medium/Medium,Normal (185+),Yes,75400000.0,,"Finesse Shot, Power Header, Technical, Flair, Acrobatic",79.0,80.0,71.0,81.0,37.0,76.0,64,82,85,78,80,81,78,56,64,82,75,83,83,81,67,82,91,69,83,77,65,25,85,74,61,84.0,44,29,19,11,15,8,9,14,,82+2,82+2,82+2,79,81,81,81,79,79+3,79+3,79+3,77+3,71+3,71+3,71+3,77+3,57+3,57+3,57+3,57+3,57+3,54+3,53+3,53+3,53+3,54+3,20+3
210324,/player/210324/jonas-hofmann/240002,24.0,2.0,2023-09-22,J. Hofmann,Jonas Hofmann,"CAM, RM, LM",83,83,35000000.0,74000.0,30,1992-07-14,176,72,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,RF,7.0,,2023-07-05,2027.0,21,Germany,1337.0,SUB,18.0,Right,4,3,3,High/Medium,Normal (170-185),Yes,59500000.0,,"Dead Ball, Pinged Pass, Whipped Cross, Technical, Relentless",76.0,79.0,83.0,81.0,64.0,73.0,80,84,48,84,69,82,77,75,82,81,75,76,79,83,78,74,66,90,66,76,70,75,83,86,71,82.0,70,57,57,6,6,10,10,10,,77+3,77+3,77+3,81,81,81,81,81,82+1,82+1,82+1,82+1,82+1,82+1,82+1,82+1,76+3,75+3,75+3,75+3,76+3,72+3,66+3,66+3,66+3,72+3,16+3
199503,/player/199503/granit-xhaka/240002,24.0,2.0,2023-09-22,G. Xhaka,Granit Xhaka,"CM, CDM",82,82,29000000.0,68000.0,30,1992-09-27,185,82,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,LCM,34.0,,2023-07-06,2028.0,47,Switzerland,,,,Left,3,3,3,Medium/Medium,Normal (185+),Yes,49300000.0,,"Power Shot, Long Ball Pass, Slide Tackle, Bruiser",49.0,74.0,82.0,73.0,75.0,82.0,74,67,62,86,50,72,76,77,85,83,48,50,49,79,61,90,69,85,78,79,91,76,76,82,65,74.0,76,79,74,7,8,11,7,13,,73+3,73+3,73+3,73,75,75,75,73,76+3,76+3,76+3,75+3,81+1,81+1,81+1,75+3,76+3,81+1,81+1,81+1,76+3,74+3,76+3,76+3,76+3,74+3,17+3
212242,/player/212242/robert-andrich/240002,24.0,2.0,2023-09-22,R. Andrich,Robert Andrich,"CDM, CM",82,82,27000000.0,65000.0,28,1994-09-22,186,86,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,SUB,8.0,,2021-08-16,2026.0,21,Germany,,,,Right,4,3,2,High/High,Normal (185+),Yes,45900000.0,#Engine,"Power Shot, Anticipate, Bruiser, Relentless, Trivela",57.0,76.0,76.0,73.0,81.0,85.0,71,74,74,80,70,74,78,76,78,76,59,56,63,80,59,84,80,87,83,80,88,82,72,73,62,73.0,82,84,77,7,9,10,13,15,,75+2,75+2,75+2,73,74,74,74,73,74+2,74+2,74+2,74+2,78+2,78+2,78+2,74+2,77+2,81+1,81+1,81+1,77+2,77+2,81+1,81+1,81+1,77+2,19+2
247263,/player/247263/edmond-tapsoba/240002,24.0,2.0,2023-09-22,E. Tapsoba,Edmond Fayçal Tapsoba,CB,81,85,33000000.0,49000.0,24,1999-02-02,194,84,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,LCB,12.0,,2020-01-31,2026.0,101,Burkina Faso,,,,Right,3,2,2,Medium/Medium,Normal (185+),Yes,58600000.0,#Aerial threat,"Power Header, Long Ball Pass",75.0,54.0,65.0,70.0,82.0,79.0,39,57,82,80,33,66,54,32,78,74,74,75,66,79,64,74,83,75,83,30,75,83,34,66,77,81.0,82,84,77,5,10,13,7,15,,65+2,65+2,65+2,63,65,65,65,63,66+2,66+2,66+2,66+2,71+2,71+2,71+2,66+2,73+2,79+2,79+2,79+2,73+2,75+2,81+2,81+2,81+2,75+2,17+2
213331,/player/213331/jonathan-tah/240002,24.0,2.0,2023-09-22,J. Tah,Jonathan Tah,CB,81,82,26000000.0,57000.0,27,1996-02-11,195,94,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,CB,4.0,,2015-07-16,2025.0,21,Germany,1337.0,SUB,4.0,Right,4,2,2,Low/Medium,Stocky (185+),Yes,46200000.0,"#Aerial threat, #Strength",,67.0,37.0,59.0,61.0,81.0,85.0,35,32,83,77,33,60,37,27,68,66,55,76,49,77,40,60,87,77,92,26,79,81,33,56,38,74.0,79,84,80,11,8,7,9,14,,57+2,57+2,57+2,55,57,57,57,55,58+2,58+2,58+2,59+2,65+2,65+2,65+2,59+2,71+2,77+2,77+2,77+2,71+2,73+2,81+1,81+1,81+1,73+2,18+2
190941,/player/190941/lukas-hradecky/240002,24.0,2.0,2023-09-22,L. Hrádecký,Lukáš Hrádecký,GK,81,81,8500000.0,46000.0,33,1989-11-24,192,85,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,GK,1.0,,2018-07-01,2026.0,17,Finland,1334.0,GK,1.0,Right,3,1,3,Medium/Medium,Normal (185+),Yes,14500000.0,,Footwork,,,,,,,11,11,11,30,9,10,11,15,33,20,38,44,43,81,39,49,59,34,55,14,31,18,9,53,20,45.0,10,10,13,83,77,65,79,86,40.0,27+3,27+3,27+3,26,28,28,28,26,30+3,30+3,30+3,28+3,31+3,31+3,31+3,28+3,25+3,28+3,28+3,28+3,25+3,25+3,25+3,25+3,25+3,25+3,80+1
