player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
222028,/player/222028/julian-weigl/240002,24.0,2.0,2023-09-22,J. Weigl,Julian Weigl,CDM,80,81,21500000.0,33000.0,27,1995-09-08,186,77,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,RDM,8.0,,2023-05-05,2028.0,21,Germany,,,,Right,3,3,2,Low/High,Lean (185+),Yes,38200000.0,,"Incisive Pass, Long Ball Pass, Tiki Taka, Press Proven, Trivela, Long Throw",56.0,64.0,77.0,76.0,76.0,74.0,59,65,65,88,57,75,73,46,85,78,65,49,75,80,64,68,71,83,68,61,78,77,67,76,55,80.0,78,80,64,6,14,16,11,7,,69+2,69+2,69+2,71,72,72,72,71,75+2,75+2,75+2,73+2,79+2,79+2,79+2,73+2,74+2,79+2,79+2,79+2,74+2,72+2,74+2,74+2,74+2,72+2,18+2
223550,/player/223550/jonas-omlin/240002,24.0,2.0,2023-09-22,J. Omlin,Jonas Omlin,GK,80,81,16000000.0,28000.0,29,1994-01-10,190,85,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,RES,1.0,,2023-01-19,2027.0,47,Switzerland,,,,Right,3,1,2,Medium/Medium,Normal (185+),No,28400000.0,,Footwork,,,,,,,24,17,24,45,15,27,21,16,35,31,52,51,32,74,51,57,74,35,72,18,22,25,15,48,27,55.0,20,21,24,80,77,76,78,82,52.0,35+2,35+2,35+2,34,36,36,36,34,37+2,37+2,37+2,36+2,37+2,37+2,37+2,36+2,34+2,35+2,35+2,35+2,34+2,34+2,34+2,34+2,34+2,34+2,79+2
234943,/player/234943/florian-neuhaus/240002,24.0,2.0,2023-09-22,F. Neuhaus,Florian Christian Neuhaus,CM,79,82,23000000.0,34000.0,26,1997-03-16,185,77,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,LDM,10.0,,2017-07-01,2027.0,21,Germany,,,,Right,4,3,2,Medium/Medium,Lean (185+),Yes,40800000.0,,"Pinged Pass, Intercept, Technical",67.0,72.0,78.0,79.0,67.0,69.0,68,71,55,83,63,80,79,59,83,78,64,69,77,77,78,75,66,81,66,77,60,72,71,80,53,76.0,67,67,64,6,11,10,11,15,,72+2,72+2,72+2,75,75,75,75,75,77+2,77+2,77+2,76+2,79+2,79+2,79+2,76+2,73+2,74+2,74+2,74+2,73+2,71+2,67+2,67+2,67+2,71+2,18+2
250723,/player/250723/kouadio-manu-kone/240002,24.0,2.0,2023-09-22,K. Koné,Emmanuel Kouadio Koné,CM,77,85,23500000.0,25000.0,22,2001-05-17,185,80,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,SUB,17.0,,2021-01-21,2025.0,18,France,,,,Right,3,4,2,Medium/Medium,Lean (185+),Yes,44700000.0,,"Tiki Taka, Slide Tackle, Technical, Flair",73.0,70.0,74.0,82.0,69.0,75.0,70,71,68,78,55,84,70,50,77,82,76,71,78,75,77,74,80,75,75,72,74,70,69,78,54,77.0,64,74,70,11,10,11,9,10,,74+2,74+2,74+2,76,76,76,76,76,77+2,77+2,77+2,77+2,77+2,77+2,77+2,77+2,73+2,74+2,74+2,74+2,73+2,72+2,72+2,72+2,72+2,72+2,17+2
233152,/player/233152/ko-itakura/240002,24.0,2.0,2023-09-22,K. Itakura,板仓 晃,"CB, CDM",77,80,12000000.0,26000.0,26,1997-01-27,186,75,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,RCB,3.0,,2022-07-02,2026.0,163,Japan,,,,Right,4,3,2,Medium/High,Lean (185+),No,21300000.0,,"Block, Anticipate",73.0,45.0,59.0,70.0,79.0,77.0,34,41,70,74,34,68,41,40,69,70,77,70,71,74,69,67,81,84,75,36,74,82,48,59,38,76.0,77,80,80,13,6,9,10,12,,61+2,61+2,61+2,61,62,62,62,61,64+2,64+2,64+2,64+2,68+2,68+2,68+2,64+2,72+2,76+2,76+2,76+2,72+2,73+2,77+2,77+2,77+2,73+2,17+2
221491,/player/221491/nico-elvedi/240002,24.0,2.0,2023-09-22,N. Elvedi,Nico Elvedi,CB,77,79,11500000.0,26000.0,26,1996-09-30,189,84,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,SUB,30.0,,2015-07-01,2024.0,47,Switzerland,,,,Right,3,2,2,Low/Medium,Normal (185+),Yes,20400000.0,,Long Ball Pass,69.0,39.0,64.0,66.0,78.0,78.0,65,30,76,76,30,62,45,29,61,72,68,70,64,77,55,50,85,75,81,45,72,78,53,60,37,70.0,78,78,76,9,15,10,12,9,,59+2,59+2,59+2,62,61,61,61,62,63+2,63+2,63+2,65+2,67+2,67+2,67+2,65+2,74+2,74+2,74+2,74+2,74+2,75+2,77+2,77+2,77+2,75+2,18+2
204024,/player/204024/christoph-kramer/240002,24.0,2.0,2023-09-22,C. Kramer,Christoph Kramer,"CDM, CM",77,77,7000000.0,26000.0,32,1991-02-19,191,80,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,SUB,6.0,,2016-07-01,2025.0,21,Germany,,,,Right,3,3,2,Medium/High,Lean (185+),Yes,11900000.0,,"Press Proven, Relentless",48.0,52.0,71.0,72.0,75.0,75.0,61,52,65,78,58,74,54,58,75,77,41,53,53,76,54,54,65,85,72,46,72,78,72,73,47,80.0,78,75,72,8,13,9,6,8,,64+2,64+2,64+2,66,67,67,67,66,69+2,69+2,69+2,69+2,74+2,74+2,74+2,69+2,72+2,76+1,76+1,76+1,72+2,72+2,74+2,74+2,74+2,72+2,16+2
206467,/player/206467/alassane-plea/240002,24.0,2.0,2023-09-22,A. Plea,Alassane Alexandre Pléa,"CAM, CF, LM",77,77,10000000.0,29000.0,30,1993-03-10,181,82,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,CAM,14.0,,2018-07-13,2025.0,18,France,,,,Right,3,4,2,Medium/Medium,Normal (170-185),Yes,17000000.0,,"Finesse Shot, Pinged Pass",70.0,76.0,79.0,78.0,39.0,73.0,77,75,73,80,80,77,82,73,77,77,75,65,81,78,79,78,82,74,73,75,67,39,78,79,67,78.0,29,40,30,11,15,16,12,15,,76+1,76+1,76+1,77,77,77,77,77,77,77,77,76+1,74+2,74+2,74+2,76+1,60+2,60+2,60+2,60+2,60+2,57+2,53+2,53+2,53+2,57+2,21+2
231838,/player/231838/maximilian-wober/240002,24.0,2.0,2023-09-22,M. Wöber,Maximilian Wöber,"CB, LB",76,80,9500000.0,36000.0,25,1998-02-04,188,82,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,LCB,39.0,Leeds United,,2024.0,4,Austria,,,,Left,3,2,1,Medium/High,Normal (185+),No,,,Slide Tackle,65.0,52.0,67.0,64.0,75.0,79.0,63,41,78,72,34,63,65,69,69,67,62,68,62,74,55,67,77,72,82,62,79,71,56,60,58,67.0,76,75,77,13,13,14,14,8,,62+2,62+2,62+2,62,62,62,62,62,63+2,63+2,63+2,64+2,67+2,67+2,67+2,64+2,71+2,72+2,72+2,72+2,71+2,72+2,76+2,76+2,76+2,72+2,19+2
220876,/player/220876/franck-honorat/240002,24.0,2.0,2023-09-22,F. Honorat,Franck Honorat,"RM, LM",76,76,8000000.0,27000.0,26,1996-08-11,180,70,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,RM,9.0,,2023-07-11,2028.0,18,France,,,,Right,3,4,2,High/Medium,Lean (170-185),No,13600000.0,,"Pinged Pass, Whipped Cross, Technical, Trivela",79.0,75.0,71.0,76.0,47.0,60.0,77,74,59,72,74,78,69,60,65,76,80,78,78,72,68,77,68,80,54,78,48,43,73,72,68,74.0,51,45,39,10,15,7,14,15,,72+2,72+2,72+2,76,75,75,75,76,74+2,74+2,74+2,75+1,70+2,70+2,70+2,75+1,64+2,59+2,59+2,59+2,64+2,61+2,53+2,53+2,53+2,61+2,20+2
246919,/player/246919/tomas-cvancara/240002,24.0,2.0,2023-09-22,T. Čvančara,Tomáš Čvančara,"ST, RW",75,80,8500000.0,24000.0,22,2000-08-13,190,86,23.0,Borussia Mönchengladbach,19.0,Bundesliga,1.0,ST,31.0,,2023-07-14,2028.0,12,Czech Republic,1330.0,LW,10.0,Right,3,2,1,Medium/Low,Lean (185+),No,15100000.0,,,76.0,73.0,66.0,72.0,25.0,77.0,67,75,76,69,71,73,62,60,62,75,74,77,68,75,58,72,82,68,83,67,73,17,79,64,72,70.0,21,20,19,10,15,12,8,13,,75+2,75+2,75+2,73,73,73,73,73,71+2,71+2,71+2,72+2,65+2,65+2,65+2,72+2,51+2,50+2,50+2,50+2,51+2,48+2,46+2,46+2,46+2,48+2,19+2
