player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
209987,/player/209987/marcel-schuhen/240002,24.0,2.0,2023-09-22,M. Schuhen,Marcel Schuhen,GK,75,75,3700000.0,17000.0,30,1993-01-13,188,85,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,GK,1.0,,2019-07-01,2025.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,6700000.0,,,,,,,,,19,19,14,30,14,22,15,20,28,27,55,50,47,73,48,55,74,40,78,13,26,18,17,55,26,63.0,19,16,18,74,71,73,73,77,53.0,33+2,33+2,33+2,32,34,34,34,32,34+2,34+2,34+2,34+2,33+2,33+2,33+2,34+2,30+2,31+2,31+2,31+2,30+2,30+2,30+2,30+2,30+2,30+2,74+1
225692,/player/225692/matthias-bader/240002,24.0,2.0,2023-09-22,M. Bader,Matthias Bader,"RWB, RM",74,76,4800000.0,20000.0,26,1997-06-17,176,73,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,RWB,26.0,,2020-01-31,2025.0,21,Germany,,,,Right,3,3,1,High/High,Normal (170-185),No,9000000.0,#Engine,"Block, Relentless",70.0,39.0,62.0,71.0,68.0,69.0,71,37,48,72,26,69,58,36,54,72,74,66,76,70,77,45,64,86,62,38,68,68,48,50,40,67.0,70,71,70,10,13,15,7,7,,54+2,54+2,54+2,63,59,59,59,63,61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,72+2,68+2,68+2,68+2,72+2,71+2,67+2,67+2,67+2,71+2,16+2
227978,/player/227978/marvin-mehlem/240002,24.0,2.0,2023-09-22,M. Mehlem,Marvin Mehlem,"CAM, LM",73,76,4000000.0,19000.0,25,1997-09-11,174,67,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,RCM,6.0,,2017-07-01,2025.0,21,Germany,,,,Right,3,3,1,High/High,Normal (170-185),No,7500000.0,#Engine,"Technical, Relentless",69.0,65.0,69.0,76.0,51.0,61.0,64,68,34,73,45,75,66,52,68,74,77,63,86,67,90,63,52,86,49,68,64,49,72,75,52,68.0,50,59,51,16,10,8,8,13,,65+2,65+2,65+2,72,71,71,71,72,73+2,73+2,73+2,72+2,71+2,71+2,71+2,72+2,64+2,63+2,63+2,63+2,64+2,61+2,54+2,54+2,54+2,61+2,18+2
208470,/player/208470/fabian-holland/240002,24.0,2.0,2023-09-22,F. Holland,Fabian Holland,"LWB, CDM",73,73,2100000.0,18000.0,32,1990-07-11,172,74,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,LCM,32.0,,2015-07-05,2025.0,21,Germany,,,,Left,2,3,1,Medium/High,Normal (170-185),No,3800000.0,,Long Throw,64.0,48.0,66.0,71.0,72.0,70.0,71,38,63,69,48,69,64,59,67,71,75,55,77,72,82,65,74,75,66,54,71,69,47,56,55,71.0,72,75,73,11,13,13,8,13,,59+2,59+2,59+2,63,61,61,61,63,63+2,63+2,63+2,65+2,66+2,66+2,66+2,65+2,71+2,70+2,70+2,70+2,71+2,71+2,70+2,70+2,70+2,71+2,18+2
239322,/player/239322/christoph-zimmermann/240002,24.0,2.0,2023-09-22,C. Zimmermann,Christoph Zimmermann,CB,73,73,2500000.0,18000.0,30,1993-01-12,194,92,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,CB,4.0,,2022-07-20,2025.0,21,Germany,,,,Right,3,2,1,Low/High,Normal (185+),Yes,4500000.0,,"Power Header, Aerial",51.0,30.0,44.0,46.0,74.0,77.0,20,25,73,60,33,41,26,20,66,51,31,68,33,68,36,50,73,65,85,22,75,73,22,33,37,70.0,77,73,74,11,9,9,12,14,,46+2,46+2,46+2,40,43,43,43,40,44+2,44+2,44+2,45+2,52+2,52+2,52+2,45+2,60+2,67+2,67+2,67+2,60+2,63+2,73,73,73,63+2,18+2
242386,/player/242386/christoph-klarer/240002,24.0,2.0,2023-09-22,C. Klarer,Christoph Klarer,CB,72,78,3400000.0,14000.0,23,2000-06-14,191,82,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,RCB,14.0,,2023-07-18,2027.0,4,Austria,,,,Right,3,2,1,Low/Medium,Lean (185+),No,6800000.0,,"Block, Aerial",63.0,36.0,50.0,54.0,73.0,72.0,32,34,68,70,35,48,29,33,60,65,59,66,49,69,40,44,75,62,78,29,70,71,32,35,47,59.0,75,75,70,8,8,14,6,10,,51+2,51+2,51+2,50,51,51,51,50,52+2,52+2,52+2,53+2,57+2,57+2,57+2,53+2,63+2,68+2,68+2,68+2,63+2,66+2,72+2,72+2,72+2,66+2,15+2
254928,/player/254928/bartol-franjic/240002,24.0,2.0,2023-09-22,B. Franjić,Bartol Franjić,"CDM, CB, LB",71,75,2400000.0,20000.0,23,2000-01-14,186,77,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,CDM,28.0,VfL Wolfsburg,,2024.0,10,Croatia,,,,Left,3,2,1,Medium/High,Lean (185+),No,,,,75.0,50.0,62.0,65.0,69.0,77.0,55,42,70,64,39,63,39,56,73,70,76,74,58,69,60,64,81,78,75,57,78,76,50,65,58,64.0,67,67,64,7,14,13,8,11,,61+2,61+2,61+2,62,62,62,62,62,63+2,63+2,63+2,64+2,67+2,67+2,67+2,64+2,68+2,70+2,70+2,70+2,68+2,69+2,70+2,70+2,70+2,69+2,17+2
239397,/player/239397/braydon-manu/240002,24.0,2.0,2023-09-22,B. Manu,Braydon Marvin Manu,"ST, RM, LM",71,74,2500000.0,17000.0,26,1997-03-28,170,70,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,SUB,7.0,,2019-07-01,2024.0,117,Ghana,,,,Right,4,4,1,Medium/Medium,Stocky (170-),No,4700000.0,#Speedster,"Rapid, Flair, Quick Step",90.0,67.0,63.0,77.0,37.0,70.0,62,72,48,68,61,76,47,37,61,75,92,89,88,70,90,72,73,72,69,56,69,35,73,66,54,69.0,31,42,33,8,10,14,8,10,,71+2,71+2,71+2,74,73,73,73,74,72+2,72+2,72+2,73+1,66+2,66+2,66+2,73+1,58+2,56+2,56+2,56+2,58+2,56+2,50+2,50+2,50+2,56+2,16+2
199413,/player/199413/tobias-kempe/240002,24.0,2.0,2023-09-22,T. Kempe,Tobias Kempe,"CM, CAM",71,71,875000.0,15000.0,34,1989-06-27,184,77,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,SUB,11.0,,2017-07-07,2025.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1600000.0,,"Power Shot, Whipped Cross",61.0,73.0,76.0,72.0,55.0,68.0,79,69,50,75,69,71,77,75,72,73,65,57,72,72,68,80,66,70,72,75,57,59,66,78,81,75.0,55,56,45,14,13,13,13,12,,68+2,68+2,68+2,71,71,71,71,71,72-1,72-1,72-1,71,71,71,71,71,65+2,65+2,65+2,65+2,65+2,62+2,59+2,59+2,59+2,62+2,19+2
229286,/player/229286/tim-skarke/240002,24.0,2.0,2023-09-22,T. Skarke,Tim Skarke,"RM, LM, RWB",71,71,2000000.0,20000.0,26,1996-09-07,181,79,110502.0,Darmstadt 98,19.0,Bundesliga,1.0,SUB,27.0,FC Union Berlin,,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,Rapid,85.0,68.0,60.0,73.0,45.0,55.0,64,67,46,64,61,73,63,44,54,72,86,84,80,67,79,74,61,77,48,69,44,43,69,56,47,61.0,42,49,43,7,14,11,13,8,,67+2,67+2,67+2,70,70,70,70,70,68+2,68+2,68+2,70+1,63+2,63+2,63+2,70+1,61+2,55+2,55+2,55+2,61+2,59+2,50+2,50+2,50+2,59+2,17+2
