player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
188943,/player/188943/kevin-trapp/240002,24.0,2.0,2023-09-22,K. Trapp,Kevin Trapp,GK,85,85,26500000.0,51000.0,32,1990-07-08,189,84,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,GK,1.0,,2019-08-07,2026.0,21,Germany,1337.0,SUB,12.0,Right,4,1,3,Medium/Medium,Normal (185+),Yes,45100000.0,,Footwork,,,,,,,13,13,11,25,12,10,14,12,12,24,43,50,42,83,37,58,69,45,75,13,30,22,12,46,17,64.0,15,14,10,83,81,77,85,86,46.0,30+3,30+3,30+3,27,30,30,30,27,29+3,29+3,29+3,28+3,28+3,28+3,28+3,28+3,28+3,29+3,29+3,29+3,28+3,28+3,28+3,28+3,28+3,28+3,83+2
192318,/player/192318/mario-gotze/240002,24.0,2.0,2023-09-22,M. Götze,Mario Götze,"CAM, CF, LM",82,82,25000000.0,53000.0,31,1992-06-03,176,72,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,RF,27.0,,2022-07-01,2025.0,21,Germany,,,,Right,4,4,4,Medium/Medium,Normal (170-185),Yes,42500000.0,#Playmaker ,"Finesse Shot, Pinged Pass, Tiki Taka, Technical, Flair, First Touch",63.0,75.0,83.0,85.0,55.0,71.0,80,75,47,87,84,84,81,72,81,90,68,58,78,81,83,75,63,91,67,68,59,65,81,86,78,87.0,64,42,53,14,7,12,6,10,,75+3,75+3,75+3,80,80,80,80,80,82,82,82,81+1,81+1,81+1,81+1,81+1,72+3,72+3,72+3,72+3,72+3,68+3,60+3,60+3,60+3,68+3,17+3
225126,/player/225126/ellyes-skhiri/240002,24.0,2.0,2023-09-22,E. Skhiri,Ellyes Joris Skhiri,"CDM, CM",81,82,25000000.0,46000.0,28,1995-05-10,185,74,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,LCM,15.0,,2023-07-05,2027.0,145,Tunisia,,,,Right,3,3,2,High/High,Lean (185+),No,44400000.0,"#Engine, #Tactician ","Long Ball Pass, Intercept, Slide Tackle, Press Proven, Relentless",63.0,73.0,74.0,76.0,80.0,76.0,67,76,75,79,60,76,72,55,83,77,65,61,74,83,64,75,75,93,67,72,77,86,75,71,58,82.0,82,79,73,15,14,8,14,14,,74+2,74+2,74+2,74,75,75,75,74,75+2,75+2,75+2,75+2,79+2,79+2,79+2,75+2,78+2,80+2,80+2,80+2,78+2,77+2,78+2,78+2,78+2,77+2,22+2
200215,/player/200215/sebastian-rode/240002,24.0,2.0,2023-09-22,S. Rode,Sebastian Rode,"CDM, CM",79,79,11500000.0,39000.0,32,1990-10-11,180,71,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,RCM,17.0,,2019-07-27,2024.0,21,Germany,,,,Right,3,3,2,High/High,Normal (170-185),Yes,19600000.0,,Bruiser,64.0,65.0,72.0,74.0,78.0,74.0,67,63,64,79,55,72,56,52,75,77,69,60,67,80,74,73,74,69,72,68,84,82,72,72,51,80.0,79,79,76,9,8,14,7,11,,70+2,70+2,70+2,71,72,72,72,71,73+2,73+2,73+2,72+2,75+2,75+2,75+2,72+2,75+2,78+1,78+1,78+1,75+2,75+2,77+2,77+2,77+2,75+2,17+2
212187,/player/212187/philipp-max/240002,24.0,2.0,2023-09-22,P. Max,Philipp Martin Max,"LWB, LM",78,78,12500000.0,37000.0,29,1993-09-30,177,77,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,LM,31.0,,2023-07-01,2026.0,21,Germany,,,,Left,3,3,2,Medium/Medium,Normal (170-185),Yes,21300000.0,,Whipped Cross,77.0,65.0,77.0,75.0,70.0,74.0,84,63,60,76,45,73,79,75,74,76,79,75,76,77,76,79,76,82,70,63,73,73,69,73,60,74.0,69,72,71,15,12,11,8,11,,70+2,70+2,70+2,74,73,73,73,74,73+2,73+2,73+2,75+2,74+2,74+2,74+2,75+2,76+2,74+2,74+2,74+2,76+2,75+2,71+2,71+2,71+2,75+2,19+2
247182,/player/247182/lucas-silva-melo/240002,24.0,2.0,2023-09-22,Tuta,Lucas Silva Melo,CB,76,80,9500000.0,27000.0,23,1999-07-04,185,81,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,RCB,35.0,,2019-01-31,2026.0,54,Brazil,,,,Right,2,2,2,Medium/Medium,Normal (185+),No,16900000.0,,"Long Ball Pass, Jockey, Block",75.0,49.0,63.0,70.0,75.0,78.0,60,48,74,75,46,67,42,39,74,73,68,81,68,76,68,59,82,74,79,40,77,76,45,50,62,76.0,77,74,73,7,11,5,15,12,,62+2,62+2,62+2,64,63,63,63,64,64+2,64+2,64+2,66+2,67+2,67+2,67+2,66+2,73+2,74+2,74+2,74+2,73+2,73+2,76+2,76+2,76+2,73+2,18+2
236532,/player/236532/robin-koch/240002,24.0,2.0,2023-09-22,R. Koch,Robin Koch,"CB, CDM",76,79,8500000.0,38000.0,26,1996-07-17,192,85,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,CB,4.0,Leeds United,,2024.0,21,Germany,,,,Right,4,2,2,Medium/High,Lean (185+),Yes,,,Long Ball Pass,61.0,38.0,60.0,64.0,78.0,74.0,40,27,76,74,29,60,31,28,71,70,52,69,61,75,53,56,78,68,76,42,73,78,52,64,38,74.0,78,78,76,9,6,15,8,6,,57+2,57+2,57+2,57,59,59,59,57,62+2,62+2,62+2,60+2,67+2,67+2,67+2,60+2,69+2,74+2,74+2,74+2,69+2,70+2,76+2,76+2,76+2,70+2,15+2
270670,/player/270670/fares-chaibi/240002,24.0,2.0,2023-09-22,F. Chaïbi,Farès Chaïbi,"LM, CM",75,86,12500000.0,24000.0,20,2002-11-28,183,79,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,SUB,8.0,,2023-08-30,2028.0,97,Algeria,,,,Right,3,3,1,High/High,Normal (170-185),No,23800000.0,,Technical,73.0,67.0,73.0,73.0,68.0,71.0,67,76,65,79,52,75,59,67,69,74,74,72,63,75,63,67,77,74,71,48,68,69,73,74,61,73.0,67,69,68,10,13,12,12,11,,72+2,72+2,72+2,73,73,73,73,73,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,72+2,72+2,72+2,72+2,72+2,71+2,70+2,70+2,70+2,71+2,19+2
257540,/player/257540/ansgar-knauff/240002,24.0,2.0,2023-09-22,A. Knauff,Ansgar Knauff,"RM, LM",75,81,9000000.0,24000.0,21,2002-01-10,180,73,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,SUB,36.0,,2023-06-09,2027.0,21,Germany,,,,Right,3,3,2,Medium/Medium,Lean (170-185),Yes,17100000.0,,Rapid,86.0,63.0,69.0,77.0,51.0,60.0,71,64,48,75,61,80,68,43,58,76,88,84,79,72,76,66,67,72,55,62,54,52,71,71,41,65.0,55,48,44,8,13,13,14,7,,68+2,68+2,68+2,75,73,73,73,75,73+2,73+2,73+2,74+2,69+2,69+2,69+2,74+2,66+2,61+2,61+2,61+2,66+2,63+2,55+2,55+2,55+2,63+2,17+2
248573,/player/248573/junior-dina-ebimbe/240002,24.0,2.0,2023-09-22,J. Dina Ebimbe,Eric Junior Dina Ebimbe,"RM, CM, RWB",75,80,8500000.0,28000.0,22,2000-11-21,184,80,1824.0,Eintracht Frankfurt,19.0,Bundesliga,1.0,LF,26.0,,2023-07-01,2027.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,15100000.0,,"Anticipate, Rapid",83.0,60.0,71.0,75.0,69.0,76.0,65,58,59,78,51,75,59,49,71,77,84,83,77,74,74,71,81,80,76,57,70,74,64,71,57,70.0,70,70,61,6,11,14,12,5,,69+2,69+2,69+2,72,71,71,71,72,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,73+2,73+2,72+2,71+2,71+2,71+2,72+2,16+2
